,address1,city,state,zip,country,phone,fax,website,industry,sector,longBusinessSummary,companyOfficers,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,beta,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,sharesOutstanding,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,netIncomeToCommon,trailingEps,enterpriseToRevenue,enterpriseToEbitda,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,recommendationKey,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,grossProfits,operatingCashflow,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,6780 Caballo Street,Las Vegas,NV,89119,United States,702-479-1028,702-479-1033,https://www.o2pus.com,Drug Manufacturers—Specialty & Generic,Healthcare,"Nutri Pharmaceuticals Research, Inc. engages in the manufacture and sale of health, beauty, and food ingredients, as well as vitamins and supplements worldwide. It also develops a process that transforms edible oils into a free-flowing powder form. The company uses its oil to powder' products as ingredients in finished goods, such as food, pet food, nutraceuticals or vitamin supplements, cosmetics, and organic household products. Nutri Pharmaceuticals is based in Las Vegas, Nevada.","{'maxAge': 1, 'name': 'Mr. Godfrey  Yew', 'age': 62, 'title': 'Chairman, Chief Exec. Officer & Treasurer', 'yearBorn': 1960, 'fiscalYear': 2004, 'totalPay': 100000, 'exercisedValue': 0, 'unexercisedValue': 0}",1104451200,86400,4,0.026,0.02,0.02,0.02,0.026,0.02,0.02,0.02,-2.021438,850,850,2756,8751,8751,0.0,0.0,0,0,18772,0.012,0.03935,0.0154985,0.0172236,0.0227182,0.0,0.0,USD,56900,-0.38605,938622,0.044,0.45454544,1072828800,1104451200,1072828800,-467592,-0.654,0.047,-0.134,PNK,EQUITY,NRPR,NRPR,NUTRI PHARMACEUTICALS RESEARCH ,"Nutri Pharmaceuticals Research, Inc.",1036593000,America/New_York,EDT,-14400000,0.02,none,90073,0.085,-423340,125862,0.341,0.719,1211214,52.805,1.693,18951,22675,0.42071998,-0.34952,-0.38256,USD,
1,6780 Caballo Street,Las Vegas,NV,89119,United States,702-479-1028,702-479-1033,https://www.o2pus.com,Drug Manufacturers—Specialty & Generic,Healthcare,"Nutri Pharmaceuticals Research, Inc. engages in the manufacture and sale of health, beauty, and food ingredients, as well as vitamins and supplements worldwide. It also develops a process that transforms edible oils into a free-flowing powder form. The company uses its oil to powder' products as ingredients in finished goods, such as food, pet food, nutraceuticals or vitamin supplements, cosmetics, and organic household products. Nutri Pharmaceuticals is based in Las Vegas, Nevada.","{'maxAge': 1, 'name': 'Ms. Kimberly  Baker', 'age': 69, 'title': 'Pres, Sec. & Director', 'yearBorn': 1953, 'fiscalYear': 2004, 'totalPay': 45000, 'exercisedValue': 0, 'unexercisedValue': 0}",1104451200,86400,4,0.026,0.02,0.02,0.02,0.026,0.02,0.02,0.02,-2.021438,850,850,2756,8751,8751,0.0,0.0,0,0,18772,0.012,0.03935,0.0154985,0.0172236,0.0227182,0.0,0.0,USD,56900,-0.38605,938622,0.044,0.45454544,1072828800,1104451200,1072828800,-467592,-0.654,0.047,-0.134,PNK,EQUITY,NRPR,NRPR,NUTRI PHARMACEUTICALS RESEARCH ,"Nutri Pharmaceuticals Research, Inc.",1036593000,America/New_York,EDT,-14400000,0.02,none,90073,0.085,-423340,125862,0.341,0.719,1211214,52.805,1.693,18951,22675,0.42071998,-0.34952,-0.38256,USD,
2,6780 Caballo Street,Las Vegas,NV,89119,United States,702-479-1028,702-479-1033,https://www.o2pus.com,Drug Manufacturers—Specialty & Generic,Healthcare,"Nutri Pharmaceuticals Research, Inc. engages in the manufacture and sale of health, beauty, and food ingredients, as well as vitamins and supplements worldwide. It also develops a process that transforms edible oils into a free-flowing powder form. The company uses its oil to powder' products as ingredients in finished goods, such as food, pet food, nutraceuticals or vitamin supplements, cosmetics, and organic household products. Nutri Pharmaceuticals is based in Las Vegas, Nevada.","{'maxAge': 1, 'name': 'Mr. Don  Rader', 'age': 93, 'title': 'VP of Technology', 'yearBorn': 1929, 'fiscalYear': 2004, 'totalPay': 50000, 'exercisedValue': 0, 'unexercisedValue': 0}",1104451200,86400,4,0.026,0.02,0.02,0.02,0.026,0.02,0.02,0.02,-2.021438,850,850,2756,8751,8751,0.0,0.0,0,0,18772,0.012,0.03935,0.0154985,0.0172236,0.0227182,0.0,0.0,USD,56900,-0.38605,938622,0.044,0.45454544,1072828800,1104451200,1072828800,-467592,-0.654,0.047,-0.134,PNK,EQUITY,NRPR,NRPR,NUTRI PHARMACEUTICALS RESEARCH ,"Nutri Pharmaceuticals Research, Inc.",1036593000,America/New_York,EDT,-14400000,0.02,none,90073,0.085,-423340,125862,0.341,0.719,1211214,52.805,1.693,18951,22675,0.42071998,-0.34952,-0.38256,USD,
