,address1,address2,city,state,zip,country,phone,website,industry,sector,longBusinessSummary,companyOfficers,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,payoutRatio,beta,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,sharesShort,sharesShortPriorMonth,sharesShortPreviousMonthDate,dateShortInterest,sharesPercentSharesOut,heldPercentInsiders,heldPercentInstitutions,shortRatio,bookValue,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,netIncomeToCommon,trailingEps,enterpriseToRevenue,enterpriseToEbitda,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,recommendationKey,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,revenuePerShare,returnOnAssets,grossProfits,freeCashflow,operatingCashflow,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,2051 Viceroy Place,Suite 100,Richmond,BC,V6V 1Y9,Canada,604-273-2932,https://recodesignbuild.com,Engineering & Construction,Industrials,"Reco International Group Inc., together with its subsidiaries, engages in the commercial and residential construction business in British Columbia. The company's services include project management, pre-design and build, interior design and build, tenant improvements, general contracting, construction set of drawings, site measurement, millwork design, CAD drawings, space planning, 3D renderings, finishing work and upholstery, furniture layout and specifications, and procurement. Its services cover retail and supermarket, commercial and institutional, food services, schools, hospitals, and government services projects. The company was incorporated in 1999 and is headquartered in Richmond, Canada.","{'maxAge': 1, 'name': 'Mr. Yu Guang Zhen', 'age': 64, 'title': 'Exec. Chairman, Pres & CEO', 'yearBorn': 1958, 'fiscalYear': 2022, 'totalPay': 105470, 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,4,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.0,1.852646,4,4,3274,11222,11222,0.02,0.03,0,0,992712,0.01,0.06,0.35011765,0.02,0.02115,0.0,0.0,CAD,1879657,-0.40767,30398352,49635600,563,814,1685491200,1688083200,0.0,0.38757,0.0,0.79,-0.016,1664496000,1696032000,1688083200,-1155899,-0.02,0.663,-2.263,VAN,EQUITY,RGI.V,RGI.V,RECO INTERNATIONAL GROUP INC.,Reco International Group Inc.,958483800,America/Toronto,EDT,-14400000,0.02,none,176628,0.004,-830506,1063573,0.291,0.317,2835367,0.056,-0.35823002,1090117,760027,-208340,0.593,0.33108002,-0.29291,-0.33183,CAD,
1,2051 Viceroy Place,Suite 100,Richmond,BC,V6V 1Y9,Canada,604-273-2932,https://recodesignbuild.com,Engineering & Construction,Industrials,"Reco International Group Inc., together with its subsidiaries, engages in the commercial and residential construction business in British Columbia. The company's services include project management, pre-design and build, interior design and build, tenant improvements, general contracting, construction set of drawings, site measurement, millwork design, CAD drawings, space planning, 3D renderings, finishing work and upholstery, furniture layout and specifications, and procurement. Its services cover retail and supermarket, commercial and institutional, food services, schools, hospitals, and government services projects. The company was incorporated in 1999 and is headquartered in Richmond, Canada.","{'maxAge': 1, 'name': 'Mr. William Sinclair Harper', 'title': 'Interim Chief Financial Officer', 'fiscalYear': 2022, 'totalPay': 9840, 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,4,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.0,1.852646,4,4,3274,11222,11222,0.02,0.03,0,0,992712,0.01,0.06,0.35011765,0.02,0.02115,0.0,0.0,CAD,1879657,-0.40767,30398352,49635600,563,814,1685491200,1688083200,0.0,0.38757,0.0,0.79,-0.016,1664496000,1696032000,1688083200,-1155899,-0.02,0.663,-2.263,VAN,EQUITY,RGI.V,RGI.V,RECO INTERNATIONAL GROUP INC.,Reco International Group Inc.,958483800,America/Toronto,EDT,-14400000,0.02,none,176628,0.004,-830506,1063573,0.291,0.317,2835367,0.056,-0.35823002,1090117,760027,-208340,0.593,0.33108002,-0.29291,-0.33183,CAD,
