,address1,address2,city,state,zip,country,phone,fax,website,industry,sector,longBusinessSummary,fullTimeEmployees,companyOfficers,auditRisk,boardRisk,compensationRisk,shareHolderRightsRisk,overallRisk,governanceEpochDate,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,dividendRate,dividendYield,exDividendDate,payoutRatio,fiveYearAvgDividendYield,beta,trailingPE,forwardPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,sharesShort,sharesShortPriorMonth,sharesShortPreviousMonthDate,dateShortInterest,sharesPercentSharesOut,heldPercentInsiders,heldPercentInstitutions,shortRatio,shortPercentOfFloat,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,netIncomeToCommon,trailingEps,forwardEps,enterpriseToRevenue,enterpriseToEbitda,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,recommendationMean,recommendationKey,numberOfAnalystOpinions,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,freeCashflow,operatingCashflow,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,401 Edgewater Place,Suite 200,Wakefield,MA,01880-6210,United States,781 557 1300,781 246 2807,https://www.fspreit.com,REIT—Office,Real Estate,"Franklin Street Properties Corp., based in Wakefield, Massachusetts, is focused on infill and central business district (CBD) office properties in the U.S. Sunbelt and Mountain West, as well as select opportunistic markets. FSP seeks value-oriented investments with an eye towards long-term growth and appreciation, as well as current income. FSP is a Maryland corporation that operates in a manner intended to qualify as a real estate investment trust (REIT) for federal income tax purposes.",28,"{'maxAge': 1, 'name': 'Mr. George John Carter', 'age': 73, 'title': 'Chairman & CEO', 'yearBorn': 1949, 'fiscalYear': 2022, 'totalPay': 306000, 'exercisedValue': 0, 'unexercisedValue': 0}",9,7,5,5,6,1693526400,1672444800,86400,4,1.94,1.91,1.8,1.99,1.94,1.91,1.8,1.99,0.04,0.020599999,1689811200,0.5,6.26,0.792531,23.0,-9.684211,1890668,1890668,742169,515470,515470,1.82,2.0,2900,2900,190311200,1.13,3.19,1.2193183,1.782,2.00385,0.04,0.020618556,USD,594316864,0.05348,86601200,103430000,1765929,1676883,1690761600,1693440000,0.0171,0.21147,0.83467,4.14,0.0248,7.339,0.25071535,1672444800,1703980800,1688083200,8348000,0.08,-0.19,3.808,11.036,ASE,EQUITY,FSP,FSP,Franklin Street Properties Corp,Franklin Street Properties Corp.,1117719000,America/New_York,EDT,-14400000,1.84,2.5,2.0,2.25,2.25,2.5,buy,2,5947000,0.057,53854000,399608992,1.672,1.948,156080000,52.643,1.512,-0.00021,0.011030001,78175000,42183000,25942000,-0.122,0.4652,0.34504002,-0.00269,USD,
1,401 Edgewater Place,Suite 200,Wakefield,MA,01880-6210,United States,781 557 1300,781 246 2807,https://www.fspreit.com,REIT—Office,Real Estate,"Franklin Street Properties Corp., based in Wakefield, Massachusetts, is focused on infill and central business district (CBD) office properties in the U.S. Sunbelt and Mountain West, as well as select opportunistic markets. FSP seeks value-oriented investments with an eye towards long-term growth and appreciation, as well as current income. FSP is a Maryland corporation that operates in a manner intended to qualify as a real estate investment trust (REIT) for federal income tax purposes.",28,"{'maxAge': 1, 'name': 'Mr. Jeffrey B. Carter', 'age': 50, 'title': 'Pres & Chief Investment Officer', 'yearBorn': 1972, 'fiscalYear': 2022, 'totalPay': 696342, 'exercisedValue': 0, 'unexercisedValue': 0}",9,7,5,5,6,1693526400,1672444800,86400,4,1.94,1.91,1.8,1.99,1.94,1.91,1.8,1.99,0.04,0.020599999,1689811200,0.5,6.26,0.792531,23.0,-9.684211,1890668,1890668,742169,515470,515470,1.82,2.0,2900,2900,190311200,1.13,3.19,1.2193183,1.782,2.00385,0.04,0.020618556,USD,594316864,0.05348,86601200,103430000,1765929,1676883,1690761600,1693440000,0.0171,0.21147,0.83467,4.14,0.0248,7.339,0.25071535,1672444800,1703980800,1688083200,8348000,0.08,-0.19,3.808,11.036,ASE,EQUITY,FSP,FSP,Franklin Street Properties Corp,Franklin Street Properties Corp.,1117719000,America/New_York,EDT,-14400000,1.84,2.5,2.0,2.25,2.25,2.5,buy,2,5947000,0.057,53854000,399608992,1.672,1.948,156080000,52.643,1.512,-0.00021,0.011030001,78175000,42183000,25942000,-0.122,0.4652,0.34504002,-0.00269,USD,
2,401 Edgewater Place,Suite 200,Wakefield,MA,01880-6210,United States,781 557 1300,781 246 2807,https://www.fspreit.com,REIT—Office,Real Estate,"Franklin Street Properties Corp., based in Wakefield, Massachusetts, is focused on infill and central business district (CBD) office properties in the U.S. Sunbelt and Mountain West, as well as select opportunistic markets. FSP seeks value-oriented investments with an eye towards long-term growth and appreciation, as well as current income. FSP is a Maryland corporation that operates in a manner intended to qualify as a real estate investment trust (REIT) for federal income tax purposes.",28,"{'maxAge': 1, 'name': 'Mr. John G. Demeritt', 'age': 62, 'title': 'Exec. VP, CFO & Treasurer', 'yearBorn': 1960, 'fiscalYear': 2022, 'totalPay': 698367, 'exercisedValue': 0, 'unexercisedValue': 0}",9,7,5,5,6,1693526400,1672444800,86400,4,1.94,1.91,1.8,1.99,1.94,1.91,1.8,1.99,0.04,0.020599999,1689811200,0.5,6.26,0.792531,23.0,-9.684211,1890668,1890668,742169,515470,515470,1.82,2.0,2900,2900,190311200,1.13,3.19,1.2193183,1.782,2.00385,0.04,0.020618556,USD,594316864,0.05348,86601200,103430000,1765929,1676883,1690761600,1693440000,0.0171,0.21147,0.83467,4.14,0.0248,7.339,0.25071535,1672444800,1703980800,1688083200,8348000,0.08,-0.19,3.808,11.036,ASE,EQUITY,FSP,FSP,Franklin Street Properties Corp,Franklin Street Properties Corp.,1117719000,America/New_York,EDT,-14400000,1.84,2.5,2.0,2.25,2.25,2.5,buy,2,5947000,0.057,53854000,399608992,1.672,1.948,156080000,52.643,1.512,-0.00021,0.011030001,78175000,42183000,25942000,-0.122,0.4652,0.34504002,-0.00269,USD,
3,401 Edgewater Place,Suite 200,Wakefield,MA,01880-6210,United States,781 557 1300,781 246 2807,https://www.fspreit.com,REIT—Office,Real Estate,"Franklin Street Properties Corp., based in Wakefield, Massachusetts, is focused on infill and central business district (CBD) office properties in the U.S. Sunbelt and Mountain West, as well as select opportunistic markets. FSP seeks value-oriented investments with an eye towards long-term growth and appreciation, as well as current income. FSP is a Maryland corporation that operates in a manner intended to qualify as a real estate investment trust (REIT) for federal income tax purposes.",28,"{'maxAge': 1, 'name': 'Mr. Scott H. Carter Esq.', 'age': 50, 'title': 'Exec. VP, Gen. Counsel & Sec.', 'yearBorn': 1972, 'fiscalYear': 2022, 'totalPay': 656557, 'exercisedValue': 0, 'unexercisedValue': 0}",9,7,5,5,6,1693526400,1672444800,86400,4,1.94,1.91,1.8,1.99,1.94,1.91,1.8,1.99,0.04,0.020599999,1689811200,0.5,6.26,0.792531,23.0,-9.684211,1890668,1890668,742169,515470,515470,1.82,2.0,2900,2900,190311200,1.13,3.19,1.2193183,1.782,2.00385,0.04,0.020618556,USD,594316864,0.05348,86601200,103430000,1765929,1676883,1690761600,1693440000,0.0171,0.21147,0.83467,4.14,0.0248,7.339,0.25071535,1672444800,1703980800,1688083200,8348000,0.08,-0.19,3.808,11.036,ASE,EQUITY,FSP,FSP,Franklin Street Properties Corp,Franklin Street Properties Corp.,1117719000,America/New_York,EDT,-14400000,1.84,2.5,2.0,2.25,2.25,2.5,buy,2,5947000,0.057,53854000,399608992,1.672,1.948,156080000,52.643,1.512,-0.00021,0.011030001,78175000,42183000,25942000,-0.122,0.4652,0.34504002,-0.00269,USD,
4,401 Edgewater Place,Suite 200,Wakefield,MA,01880-6210,United States,781 557 1300,781 246 2807,https://www.fspreit.com,REIT—Office,Real Estate,"Franklin Street Properties Corp., based in Wakefield, Massachusetts, is focused on infill and central business district (CBD) office properties in the U.S. Sunbelt and Mountain West, as well as select opportunistic markets. FSP seeks value-oriented investments with an eye towards long-term growth and appreciation, as well as current income. FSP is a Maryland corporation that operates in a manner intended to qualify as a real estate investment trust (REIT) for federal income tax purposes.",28,"{'maxAge': 1, 'name': 'Mr. John F. Donahue', 'age': 55, 'title': 'Exec. VP', 'yearBorn': 1967, 'fiscalYear': 2022, 'totalPay': 647825, 'exercisedValue': 0, 'unexercisedValue': 0}",9,7,5,5,6,1693526400,1672444800,86400,4,1.94,1.91,1.8,1.99,1.94,1.91,1.8,1.99,0.04,0.020599999,1689811200,0.5,6.26,0.792531,23.0,-9.684211,1890668,1890668,742169,515470,515470,1.82,2.0,2900,2900,190311200,1.13,3.19,1.2193183,1.782,2.00385,0.04,0.020618556,USD,594316864,0.05348,86601200,103430000,1765929,1676883,1690761600,1693440000,0.0171,0.21147,0.83467,4.14,0.0248,7.339,0.25071535,1672444800,1703980800,1688083200,8348000,0.08,-0.19,3.808,11.036,ASE,EQUITY,FSP,FSP,Franklin Street Properties Corp,Franklin Street Properties Corp.,1117719000,America/New_York,EDT,-14400000,1.84,2.5,2.0,2.25,2.25,2.5,buy,2,5947000,0.057,53854000,399608992,1.672,1.948,156080000,52.643,1.512,-0.00021,0.011030001,78175000,42183000,25942000,-0.122,0.4652,0.34504002,-0.00269,USD,
5,401 Edgewater Place,Suite 200,Wakefield,MA,01880-6210,United States,781 557 1300,781 246 2807,https://www.fspreit.com,REIT—Office,Real Estate,"Franklin Street Properties Corp., based in Wakefield, Massachusetts, is focused on infill and central business district (CBD) office properties in the U.S. Sunbelt and Mountain West, as well as select opportunistic markets. FSP seeks value-oriented investments with an eye towards long-term growth and appreciation, as well as current income. FSP is a Maryland corporation that operates in a manner intended to qualify as a real estate investment trust (REIT) for federal income tax purposes.",28,"{'maxAge': 1, 'name': 'Mr. Eriel  Anchondo', 'age': 44, 'title': 'Exec. VP & COO', 'yearBorn': 1978, 'exercisedValue': 0, 'unexercisedValue': 0}",9,7,5,5,6,1693526400,1672444800,86400,4,1.94,1.91,1.8,1.99,1.94,1.91,1.8,1.99,0.04,0.020599999,1689811200,0.5,6.26,0.792531,23.0,-9.684211,1890668,1890668,742169,515470,515470,1.82,2.0,2900,2900,190311200,1.13,3.19,1.2193183,1.782,2.00385,0.04,0.020618556,USD,594316864,0.05348,86601200,103430000,1765929,1676883,1690761600,1693440000,0.0171,0.21147,0.83467,4.14,0.0248,7.339,0.25071535,1672444800,1703980800,1688083200,8348000,0.08,-0.19,3.808,11.036,ASE,EQUITY,FSP,FSP,Franklin Street Properties Corp,Franklin Street Properties Corp.,1117719000,America/New_York,EDT,-14400000,1.84,2.5,2.0,2.25,2.25,2.5,buy,2,5947000,0.057,53854000,399608992,1.672,1.948,156080000,52.643,1.512,-0.00021,0.011030001,78175000,42183000,25942000,-0.122,0.4652,0.34504002,-0.00269,USD,
6,401 Edgewater Place,Suite 200,Wakefield,MA,01880-6210,United States,781 557 1300,781 246 2807,https://www.fspreit.com,REIT—Office,Real Estate,"Franklin Street Properties Corp., based in Wakefield, Massachusetts, is focused on infill and central business district (CBD) office properties in the U.S. Sunbelt and Mountain West, as well as select opportunistic markets. FSP seeks value-oriented investments with an eye towards long-term growth and appreciation, as well as current income. FSP is a Maryland corporation that operates in a manner intended to qualify as a real estate investment trust (REIT) for federal income tax purposes.",28,"{'maxAge': 1, 'name': 'Ms. Georgia  Touma', 'title': 'VP & Director of Investor Relations', 'exercisedValue': 0, 'unexercisedValue': 0}",9,7,5,5,6,1693526400,1672444800,86400,4,1.94,1.91,1.8,1.99,1.94,1.91,1.8,1.99,0.04,0.020599999,1689811200,0.5,6.26,0.792531,23.0,-9.684211,1890668,1890668,742169,515470,515470,1.82,2.0,2900,2900,190311200,1.13,3.19,1.2193183,1.782,2.00385,0.04,0.020618556,USD,594316864,0.05348,86601200,103430000,1765929,1676883,1690761600,1693440000,0.0171,0.21147,0.83467,4.14,0.0248,7.339,0.25071535,1672444800,1703980800,1688083200,8348000,0.08,-0.19,3.808,11.036,ASE,EQUITY,FSP,FSP,Franklin Street Properties Corp,Franklin Street Properties Corp.,1117719000,America/New_York,EDT,-14400000,1.84,2.5,2.0,2.25,2.25,2.5,buy,2,5947000,0.057,53854000,399608992,1.672,1.948,156080000,52.643,1.512,-0.00021,0.011030001,78175000,42183000,25942000,-0.122,0.4652,0.34504002,-0.00269,USD,
7,401 Edgewater Place,Suite 200,Wakefield,MA,01880-6210,United States,781 557 1300,781 246 2807,https://www.fspreit.com,REIT—Office,Real Estate,"Franklin Street Properties Corp., based in Wakefield, Massachusetts, is focused on infill and central business district (CBD) office properties in the U.S. Sunbelt and Mountain West, as well as select opportunistic markets. FSP seeks value-oriented investments with an eye towards long-term growth and appreciation, as well as current income. FSP is a Maryland corporation that operates in a manner intended to qualify as a real estate investment trust (REIT) for federal income tax purposes.",28,"{'maxAge': 1, 'name': 'Ms. Julie  Driscoll', 'title': 'Assistant VP & HR Director', 'exercisedValue': 0, 'unexercisedValue': 0}",9,7,5,5,6,1693526400,1672444800,86400,4,1.94,1.91,1.8,1.99,1.94,1.91,1.8,1.99,0.04,0.020599999,1689811200,0.5,6.26,0.792531,23.0,-9.684211,1890668,1890668,742169,515470,515470,1.82,2.0,2900,2900,190311200,1.13,3.19,1.2193183,1.782,2.00385,0.04,0.020618556,USD,594316864,0.05348,86601200,103430000,1765929,1676883,1690761600,1693440000,0.0171,0.21147,0.83467,4.14,0.0248,7.339,0.25071535,1672444800,1703980800,1688083200,8348000,0.08,-0.19,3.808,11.036,ASE,EQUITY,FSP,FSP,Franklin Street Properties Corp,Franklin Street Properties Corp.,1117719000,America/New_York,EDT,-14400000,1.84,2.5,2.0,2.25,2.25,2.5,buy,2,5947000,0.057,53854000,399608992,1.672,1.948,156080000,52.643,1.512,-0.00021,0.011030001,78175000,42183000,25942000,-0.122,0.4652,0.34504002,-0.00269,USD,
8,401 Edgewater Place,Suite 200,Wakefield,MA,01880-6210,United States,781 557 1300,781 246 2807,https://www.fspreit.com,REIT—Office,Real Estate,"Franklin Street Properties Corp., based in Wakefield, Massachusetts, is focused on infill and central business district (CBD) office properties in the U.S. Sunbelt and Mountain West, as well as select opportunistic markets. FSP seeks value-oriented investments with an eye towards long-term growth and appreciation, as well as current income. FSP is a Maryland corporation that operates in a manner intended to qualify as a real estate investment trust (REIT) for federal income tax purposes.",28,"{'maxAge': 1, 'name': 'Mr. Leo H. Daley Jr.', 'title': 'Sr. VP', 'exercisedValue': 0, 'unexercisedValue': 0}",9,7,5,5,6,1693526400,1672444800,86400,4,1.94,1.91,1.8,1.99,1.94,1.91,1.8,1.99,0.04,0.020599999,1689811200,0.5,6.26,0.792531,23.0,-9.684211,1890668,1890668,742169,515470,515470,1.82,2.0,2900,2900,190311200,1.13,3.19,1.2193183,1.782,2.00385,0.04,0.020618556,USD,594316864,0.05348,86601200,103430000,1765929,1676883,1690761600,1693440000,0.0171,0.21147,0.83467,4.14,0.0248,7.339,0.25071535,1672444800,1703980800,1688083200,8348000,0.08,-0.19,3.808,11.036,ASE,EQUITY,FSP,FSP,Franklin Street Properties Corp,Franklin Street Properties Corp.,1117719000,America/New_York,EDT,-14400000,1.84,2.5,2.0,2.25,2.25,2.5,buy,2,5947000,0.057,53854000,399608992,1.672,1.948,156080000,52.643,1.512,-0.00021,0.011030001,78175000,42183000,25942000,-0.122,0.4652,0.34504002,-0.00269,USD,
9,401 Edgewater Place,Suite 200,Wakefield,MA,01880-6210,United States,781 557 1300,781 246 2807,https://www.fspreit.com,REIT—Office,Real Estate,"Franklin Street Properties Corp., based in Wakefield, Massachusetts, is focused on infill and central business district (CBD) office properties in the U.S. Sunbelt and Mountain West, as well as select opportunistic markets. FSP seeks value-oriented investments with an eye towards long-term growth and appreciation, as well as current income. FSP is a Maryland corporation that operates in a manner intended to qualify as a real estate investment trust (REIT) for federal income tax purposes.",28,"{'maxAge': 1, 'name': 'Mr. William S. Friend', 'title': 'Sr. VP', 'exercisedValue': 0, 'unexercisedValue': 0}",9,7,5,5,6,1693526400,1672444800,86400,4,1.94,1.91,1.8,1.99,1.94,1.91,1.8,1.99,0.04,0.020599999,1689811200,0.5,6.26,0.792531,23.0,-9.684211,1890668,1890668,742169,515470,515470,1.82,2.0,2900,2900,190311200,1.13,3.19,1.2193183,1.782,2.00385,0.04,0.020618556,USD,594316864,0.05348,86601200,103430000,1765929,1676883,1690761600,1693440000,0.0171,0.21147,0.83467,4.14,0.0248,7.339,0.25071535,1672444800,1703980800,1688083200,8348000,0.08,-0.19,3.808,11.036,ASE,EQUITY,FSP,FSP,Franklin Street Properties Corp,Franklin Street Properties Corp.,1117719000,America/New_York,EDT,-14400000,1.84,2.5,2.0,2.25,2.25,2.5,buy,2,5947000,0.057,53854000,399608992,1.672,1.948,156080000,52.643,1.512,-0.00021,0.011030001,78175000,42183000,25942000,-0.122,0.4652,0.34504002,-0.00269,USD,
