,address1,address2,city,zip,country,phone,fax,website,industry,sector,longBusinessSummary,fullTimeEmployees,companyOfficers,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,dividendRate,dividendYield,exDividendDate,payoutRatio,beta,trailingPE,forwardPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,heldPercentInsiders,heldPercentInstitutions,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,earningsQuarterlyGrowth,netIncomeToCommon,trailingEps,forwardEps,enterpriseToRevenue,enterpriseToEbitda,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,recommendationKey,totalCash,totalCashPerShare,ebitda,totalDebt,totalRevenue,revenuePerShare,grossProfits,earningsGrowth,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,"209-210, Arcadia Building","2nd Floor NCPA Marg 195, Nariman Point",Mumbai,400021,India,91 22 4019 8600,91 22 4019 8650,https://www.geeceeventures.com,Real Estate—Development,Real Estate,"Geecee Ventures Limited engages in the real estate development, power generation, and financing and investing activities in India. The company operates through Real Estate, Investments /Financing, and Wind Power Generation segments. It develops residential, commercial, and affordable housing projects. The company was formerly known as Gwalior Chemical Industries Limited and changed its name to Geecee Ventures Limited in January 2010. The company was incorporated in 1984 and is based in Mumbai, India.",48,"{'maxAge': 1, 'name': 'Mr. Vidit  Dhandharia', 'title': 'Chief Financial Officer', 'exercisedValue': 0, 'unexercisedValue': 0}",1703980800,86400,2,186.65,188.5,186.35,203.5,186.65,188.5,186.35,203.5,2.0,0.0101,1694131200,0.0,0.721409,33.558178,32.463295,121912,121912,42365,38339,38339,0.0,0.0,0,0,4161428224,121.05,203.5,10.860301,180.073,157.06325,0.0,0.0,INR,3372909056,0.3039,4878444,20911700,0.8036,0.0,267.493,0.74394464,1680220800,1711843200,1688083200,0.003,116448000,5.93,6.13,8.802,20.678,NSI,EQUITY,GEECEE.NS,GEECEE.NS,GEECEE VENTURES,GeeCee Ventures Limited,1159933500,Asia/Kolkata,IST,19800000,199.0,none,808737024,38.653,163118256,0,383177984,18.293,262133000,0.004,-0.134,0.71282,0.4257,0.38076,INR,
1,"209-210, Arcadia Building","2nd Floor NCPA Marg 195, Nariman Point",Mumbai,400021,India,91 22 4019 8600,91 22 4019 8650,https://www.geeceeventures.com,Real Estate—Development,Real Estate,"Geecee Ventures Limited engages in the real estate development, power generation, and financing and investing activities in India. The company operates through Real Estate, Investments /Financing, and Wind Power Generation segments. It develops residential, commercial, and affordable housing projects. The company was formerly known as Gwalior Chemical Industries Limited and changed its name to Geecee Ventures Limited in January 2010. The company was incorporated in 1984 and is based in Mumbai, India.",48,"{'maxAge': 1, 'name': 'Ms. Dipyanti AjayKumar Jaiswar', 'title': 'Compliance Officer & Company Sec.', 'exercisedValue': 0, 'unexercisedValue': 0}",1703980800,86400,2,186.65,188.5,186.35,203.5,186.65,188.5,186.35,203.5,2.0,0.0101,1694131200,0.0,0.721409,33.558178,32.463295,121912,121912,42365,38339,38339,0.0,0.0,0,0,4161428224,121.05,203.5,10.860301,180.073,157.06325,0.0,0.0,INR,3372909056,0.3039,4878444,20911700,0.8036,0.0,267.493,0.74394464,1680220800,1711843200,1688083200,0.003,116448000,5.93,6.13,8.802,20.678,NSI,EQUITY,GEECEE.NS,GEECEE.NS,GEECEE VENTURES,GeeCee Ventures Limited,1159933500,Asia/Kolkata,IST,19800000,199.0,none,808737024,38.653,163118256,0,383177984,18.293,262133000,0.004,-0.134,0.71282,0.4257,0.38076,INR,
2,"209-210, Arcadia Building","2nd Floor NCPA Marg 195, Nariman Point",Mumbai,400021,India,91 22 4019 8600,91 22 4019 8650,https://www.geeceeventures.com,Real Estate—Development,Real Estate,"Geecee Ventures Limited engages in the real estate development, power generation, and financing and investing activities in India. The company operates through Real Estate, Investments /Financing, and Wind Power Generation segments. It develops residential, commercial, and affordable housing projects. The company was formerly known as Gwalior Chemical Industries Limited and changed its name to Geecee Ventures Limited in January 2010. The company was incorporated in 1984 and is based in Mumbai, India.",48,"{'maxAge': 1, 'name': 'Mr. Vazhathara Vasudevan Sureshkumar Pillai', 'age': 64, 'title': 'Pres of Marketing & Whole-Time Director', 'yearBorn': 1958, 'fiscalYear': 2023, 'totalPay': 6605000, 'exercisedValue': 0, 'unexercisedValue': 0}",1703980800,86400,2,186.65,188.5,186.35,203.5,186.65,188.5,186.35,203.5,2.0,0.0101,1694131200,0.0,0.721409,33.558178,32.463295,121912,121912,42365,38339,38339,0.0,0.0,0,0,4161428224,121.05,203.5,10.860301,180.073,157.06325,0.0,0.0,INR,3372909056,0.3039,4878444,20911700,0.8036,0.0,267.493,0.74394464,1680220800,1711843200,1688083200,0.003,116448000,5.93,6.13,8.802,20.678,NSI,EQUITY,GEECEE.NS,GEECEE.NS,GEECEE VENTURES,GeeCee Ventures Limited,1159933500,Asia/Kolkata,IST,19800000,199.0,none,808737024,38.653,163118256,0,383177984,18.293,262133000,0.004,-0.134,0.71282,0.4257,0.38076,INR,
3,"209-210, Arcadia Building","2nd Floor NCPA Marg 195, Nariman Point",Mumbai,400021,India,91 22 4019 8600,91 22 4019 8650,https://www.geeceeventures.com,Real Estate—Development,Real Estate,"Geecee Ventures Limited engages in the real estate development, power generation, and financing and investing activities in India. The company operates through Real Estate, Investments /Financing, and Wind Power Generation segments. It develops residential, commercial, and affordable housing projects. The company was formerly known as Gwalior Chemical Industries Limited and changed its name to Geecee Ventures Limited in January 2010. The company was incorporated in 1984 and is based in Mumbai, India.",48,"{'maxAge': 1, 'name': 'Mr. Harisingh  Shyamsukha B.Sc.[Chem.]', 'age': 73, 'title': 'Whole Time Director', 'yearBorn': 1949, 'fiscalYear': 2023, 'totalPay': 6665000, 'exercisedValue': 0, 'unexercisedValue': 0}",1703980800,86400,2,186.65,188.5,186.35,203.5,186.65,188.5,186.35,203.5,2.0,0.0101,1694131200,0.0,0.721409,33.558178,32.463295,121912,121912,42365,38339,38339,0.0,0.0,0,0,4161428224,121.05,203.5,10.860301,180.073,157.06325,0.0,0.0,INR,3372909056,0.3039,4878444,20911700,0.8036,0.0,267.493,0.74394464,1680220800,1711843200,1688083200,0.003,116448000,5.93,6.13,8.802,20.678,NSI,EQUITY,GEECEE.NS,GEECEE.NS,GEECEE VENTURES,GeeCee Ventures Limited,1159933500,Asia/Kolkata,IST,19800000,199.0,none,808737024,38.653,163118256,0,383177984,18.293,262133000,0.004,-0.134,0.71282,0.4257,0.38076,INR,
4,"209-210, Arcadia Building","2nd Floor NCPA Marg 195, Nariman Point",Mumbai,400021,India,91 22 4019 8600,91 22 4019 8650,https://www.geeceeventures.com,Real Estate—Development,Real Estate,"Geecee Ventures Limited engages in the real estate development, power generation, and financing and investing activities in India. The company operates through Real Estate, Investments /Financing, and Wind Power Generation segments. It develops residential, commercial, and affordable housing projects. The company was formerly known as Gwalior Chemical Industries Limited and changed its name to Geecee Ventures Limited in January 2010. The company was incorporated in 1984 and is based in Mumbai, India.",48,"{'maxAge': 1, 'name': 'Mr. Gaurav  Shyamsukha', 'age': 43, 'title': 'Whole Time Director', 'yearBorn': 1979, 'fiscalYear': 2023, 'totalPay': 6739000, 'exercisedValue': 0, 'unexercisedValue': 0}",1703980800,86400,2,186.65,188.5,186.35,203.5,186.65,188.5,186.35,203.5,2.0,0.0101,1694131200,0.0,0.721409,33.558178,32.463295,121912,121912,42365,38339,38339,0.0,0.0,0,0,4161428224,121.05,203.5,10.860301,180.073,157.06325,0.0,0.0,INR,3372909056,0.3039,4878444,20911700,0.8036,0.0,267.493,0.74394464,1680220800,1711843200,1688083200,0.003,116448000,5.93,6.13,8.802,20.678,NSI,EQUITY,GEECEE.NS,GEECEE.NS,GEECEE VENTURES,GeeCee Ventures Limited,1159933500,Asia/Kolkata,IST,19800000,199.0,none,808737024,38.653,163118256,0,383177984,18.293,262133000,0.004,-0.134,0.71282,0.4257,0.38076,INR,
5,"209-210, Arcadia Building","2nd Floor NCPA Marg 195, Nariman Point",Mumbai,400021,India,91 22 4019 8600,91 22 4019 8650,https://www.geeceeventures.com,Real Estate—Development,Real Estate,"Geecee Ventures Limited engages in the real estate development, power generation, and financing and investing activities in India. The company operates through Real Estate, Investments /Financing, and Wind Power Generation segments. It develops residential, commercial, and affordable housing projects. The company was formerly known as Gwalior Chemical Industries Limited and changed its name to Geecee Ventures Limited in January 2010. The company was incorporated in 1984 and is based in Mumbai, India.",48,"{'maxAge': 1, 'name': 'Mr. AnilKumar R. Agarwal', 'title': 'Head of Operations', 'exercisedValue': 0, 'unexercisedValue': 0}",1703980800,86400,2,186.65,188.5,186.35,203.5,186.65,188.5,186.35,203.5,2.0,0.0101,1694131200,0.0,0.721409,33.558178,32.463295,121912,121912,42365,38339,38339,0.0,0.0,0,0,4161428224,121.05,203.5,10.860301,180.073,157.06325,0.0,0.0,INR,3372909056,0.3039,4878444,20911700,0.8036,0.0,267.493,0.74394464,1680220800,1711843200,1688083200,0.003,116448000,5.93,6.13,8.802,20.678,NSI,EQUITY,GEECEE.NS,GEECEE.NS,GEECEE VENTURES,GeeCee Ventures Limited,1159933500,Asia/Kolkata,IST,19800000,199.0,none,808737024,38.653,163118256,0,383177984,18.293,262133000,0.004,-0.134,0.71282,0.4257,0.38076,INR,
6,"209-210, Arcadia Building","2nd Floor NCPA Marg 195, Nariman Point",Mumbai,400021,India,91 22 4019 8600,91 22 4019 8650,https://www.geeceeventures.com,Real Estate—Development,Real Estate,"Geecee Ventures Limited engages in the real estate development, power generation, and financing and investing activities in India. The company operates through Real Estate, Investments /Financing, and Wind Power Generation segments. It develops residential, commercial, and affordable housing projects. The company was formerly known as Gwalior Chemical Industries Limited and changed its name to Geecee Ventures Limited in January 2010. The company was incorporated in 1984 and is based in Mumbai, India.",48,"{'maxAge': 1, 'name': 'Mr. S. N. Sharma', 'age': 73, 'title': 'Pres of Technical', 'yearBorn': 1949, 'exercisedValue': 0, 'unexercisedValue': 0}",1703980800,86400,2,186.65,188.5,186.35,203.5,186.65,188.5,186.35,203.5,2.0,0.0101,1694131200,0.0,0.721409,33.558178,32.463295,121912,121912,42365,38339,38339,0.0,0.0,0,0,4161428224,121.05,203.5,10.860301,180.073,157.06325,0.0,0.0,INR,3372909056,0.3039,4878444,20911700,0.8036,0.0,267.493,0.74394464,1680220800,1711843200,1688083200,0.003,116448000,5.93,6.13,8.802,20.678,NSI,EQUITY,GEECEE.NS,GEECEE.NS,GEECEE VENTURES,GeeCee Ventures Limited,1159933500,Asia/Kolkata,IST,19800000,199.0,none,808737024,38.653,163118256,0,383177984,18.293,262133000,0.004,-0.134,0.71282,0.4257,0.38076,INR,
7,"209-210, Arcadia Building","2nd Floor NCPA Marg 195, Nariman Point",Mumbai,400021,India,91 22 4019 8600,91 22 4019 8650,https://www.geeceeventures.com,Real Estate—Development,Real Estate,"Geecee Ventures Limited engages in the real estate development, power generation, and financing and investing activities in India. The company operates through Real Estate, Investments /Financing, and Wind Power Generation segments. It develops residential, commercial, and affordable housing projects. The company was formerly known as Gwalior Chemical Industries Limited and changed its name to Geecee Ventures Limited in January 2010. The company was incorporated in 1984 and is based in Mumbai, India.",48,"{'maxAge': 1, 'name': 'Mr. Sourabh  Singh', 'age': 34, 'title': 'Mang. of Sales & Marketing', 'yearBorn': 1988, 'exercisedValue': 0, 'unexercisedValue': 0}",1703980800,86400,2,186.65,188.5,186.35,203.5,186.65,188.5,186.35,203.5,2.0,0.0101,1694131200,0.0,0.721409,33.558178,32.463295,121912,121912,42365,38339,38339,0.0,0.0,0,0,4161428224,121.05,203.5,10.860301,180.073,157.06325,0.0,0.0,INR,3372909056,0.3039,4878444,20911700,0.8036,0.0,267.493,0.74394464,1680220800,1711843200,1688083200,0.003,116448000,5.93,6.13,8.802,20.678,NSI,EQUITY,GEECEE.NS,GEECEE.NS,GEECEE VENTURES,GeeCee Ventures Limited,1159933500,Asia/Kolkata,IST,19800000,199.0,none,808737024,38.653,163118256,0,383177984,18.293,262133000,0.004,-0.134,0.71282,0.4257,0.38076,INR,
8,"209-210, Arcadia Building","2nd Floor NCPA Marg 195, Nariman Point",Mumbai,400021,India,91 22 4019 8600,91 22 4019 8650,https://www.geeceeventures.com,Real Estate—Development,Real Estate,"Geecee Ventures Limited engages in the real estate development, power generation, and financing and investing activities in India. The company operates through Real Estate, Investments /Financing, and Wind Power Generation segments. It develops residential, commercial, and affordable housing projects. The company was formerly known as Gwalior Chemical Industries Limited and changed its name to Geecee Ventures Limited in January 2010. The company was incorporated in 1984 and is based in Mumbai, India.",48,"{'maxAge': 1, 'name': 'Ms. Nidhi  Shyamsukha', 'title': 'Head Product Design', 'exercisedValue': 0, 'unexercisedValue': 0}",1703980800,86400,2,186.65,188.5,186.35,203.5,186.65,188.5,186.35,203.5,2.0,0.0101,1694131200,0.0,0.721409,33.558178,32.463295,121912,121912,42365,38339,38339,0.0,0.0,0,0,4161428224,121.05,203.5,10.860301,180.073,157.06325,0.0,0.0,INR,3372909056,0.3039,4878444,20911700,0.8036,0.0,267.493,0.74394464,1680220800,1711843200,1688083200,0.003,116448000,5.93,6.13,8.802,20.678,NSI,EQUITY,GEECEE.NS,GEECEE.NS,GEECEE VENTURES,GeeCee Ventures Limited,1159933500,Asia/Kolkata,IST,19800000,199.0,none,808737024,38.653,163118256,0,383177984,18.293,262133000,0.004,-0.134,0.71282,0.4257,0.38076,INR,
9,"209-210, Arcadia Building","2nd Floor NCPA Marg 195, Nariman Point",Mumbai,400021,India,91 22 4019 8600,91 22 4019 8650,https://www.geeceeventures.com,Real Estate—Development,Real Estate,"Geecee Ventures Limited engages in the real estate development, power generation, and financing and investing activities in India. The company operates through Real Estate, Investments /Financing, and Wind Power Generation segments. It develops residential, commercial, and affordable housing projects. The company was formerly known as Gwalior Chemical Industries Limited and changed its name to Geecee Ventures Limited in January 2010. The company was incorporated in 1984 and is based in Mumbai, India.",48,"{'maxAge': 1, 'name': 'Mr. Girish  Daiya', 'age': 59, 'title': 'VP of Projects', 'yearBorn': 1963, 'exercisedValue': 0, 'unexercisedValue': 0}",1703980800,86400,2,186.65,188.5,186.35,203.5,186.65,188.5,186.35,203.5,2.0,0.0101,1694131200,0.0,0.721409,33.558178,32.463295,121912,121912,42365,38339,38339,0.0,0.0,0,0,4161428224,121.05,203.5,10.860301,180.073,157.06325,0.0,0.0,INR,3372909056,0.3039,4878444,20911700,0.8036,0.0,267.493,0.74394464,1680220800,1711843200,1688083200,0.003,116448000,5.93,6.13,8.802,20.678,NSI,EQUITY,GEECEE.NS,GEECEE.NS,GEECEE VENTURES,GeeCee Ventures Limited,1159933500,Asia/Kolkata,IST,19800000,199.0,none,808737024,38.653,163118256,0,383177984,18.293,262133000,0.004,-0.134,0.71282,0.4257,0.38076,INR,
