,address1,address2,city,state,zip,country,phone,website,industry,sector,longBusinessSummary,fullTimeEmployees,companyOfficers,auditRisk,boardRisk,compensationRisk,shareHolderRightsRisk,overallRisk,governanceEpochDate,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,dividendRate,dividendYield,exDividendDate,payoutRatio,fiveYearAvgDividendYield,beta,trailingPE,forwardPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,sharesShort,sharesShortPriorMonth,sharesShortPreviousMonthDate,dateShortInterest,sharesPercentSharesOut,heldPercentInsiders,heldPercentInstitutions,shortRatio,shortPercentOfFloat,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,earningsQuarterlyGrowth,netIncomeToCommon,trailingEps,forwardEps,enterpriseToRevenue,enterpriseToEbitda,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,recommendationMean,recommendationKey,numberOfAnalystOpinions,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,freeCashflow,operatingCashflow,earningsGrowth,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,2001 K Street NW,Suite 775 North,Washington,DC,20006,United States,202 595 9500,https://www.easterlyreit.com,REIT—Office,Real Estate,"Easterly Government Properties, Inc. (NYSE: DEA) is based in Washington, D.C., and focuses primarily on the acquisition, development and management of Class A commercial properties that are leased to the U.S. Government. Easterly's experienced management team brings specialized insight into the strategy and needs of mission-critical U.S. Government agencies for properties leased to such agencies either directly or through the U.S. General Services Administration (GSA).",54,"{'maxAge': 1, 'name': 'Mr. Darrell William Crate', 'age': 55, 'title': 'Exec. Chairman', 'yearBorn': 1967, 'fiscalYear': 2022, 'totalPay': 1357500, 'exercisedValue': 0, 'unexercisedValue': 0}",5,7,1,7,5,1693526400,1672444800,86400,2,12.84,12.77,12.73,13.02,12.84,12.77,12.73,13.02,1.06,0.082600005,1692144000,3.9259,5.45,0.663208,48.148148,76.47059,1774948,1774948,723838,750520,750520,12.74,13.47,1000,800,2334202112,12.27,17.87,7.889069,14.003,14.42305,1.06,0.08255451,USD,2573860608,0.08764,92991853,93415696,5514101,5234474,1690761600,1693440000,0.059,0.0038800002,0.90690005,7.2,0.0846,13.458,0.9659682,1672444800,1703980800,1688083200,-0.291,25357000,0.27,0.17,8.699,15.826,NYQ,EQUITY,DEA,DEA,"Easterly Government Properties,","Easterly Government Properties, Inc.",1423233000,America/New_York,EDT,-14400000,13.0,17.0,13.0,14.17,14.0,3.0,hold,6,14930000,0.16,162636000,1224436992,0.47,0.544,295878016,86.103,3.233,0.01523,0.020499999,197929000,115489376,120639000,-0.357,-0.011,0.65116996,0.54967,0.23679,USD,
1,2001 K Street NW,Suite 775 North,Washington,DC,20006,United States,202 595 9500,https://www.easterlyreit.com,REIT—Office,Real Estate,"Easterly Government Properties, Inc. (NYSE: DEA) is based in Washington, D.C., and focuses primarily on the acquisition, development and management of Class A commercial properties that are leased to the U.S. Government. Easterly's experienced management team brings specialized insight into the strategy and needs of mission-critical U.S. Government agencies for properties leased to such agencies either directly or through the U.S. General Services Administration (GSA).",54,"{'maxAge': 1, 'name': 'Mr. William C. Trimble III', 'age': 60, 'title': 'Pres, CEO & Director', 'yearBorn': 1962, 'fiscalYear': 2022, 'totalPay': 2060219, 'exercisedValue': 0, 'unexercisedValue': 0}",5,7,1,7,5,1693526400,1672444800,86400,2,12.84,12.77,12.73,13.02,12.84,12.77,12.73,13.02,1.06,0.082600005,1692144000,3.9259,5.45,0.663208,48.148148,76.47059,1774948,1774948,723838,750520,750520,12.74,13.47,1000,800,2334202112,12.27,17.87,7.889069,14.003,14.42305,1.06,0.08255451,USD,2573860608,0.08764,92991853,93415696,5514101,5234474,1690761600,1693440000,0.059,0.0038800002,0.90690005,7.2,0.0846,13.458,0.9659682,1672444800,1703980800,1688083200,-0.291,25357000,0.27,0.17,8.699,15.826,NYQ,EQUITY,DEA,DEA,"Easterly Government Properties,","Easterly Government Properties, Inc.",1423233000,America/New_York,EDT,-14400000,13.0,17.0,13.0,14.17,14.0,3.0,hold,6,14930000,0.16,162636000,1224436992,0.47,0.544,295878016,86.103,3.233,0.01523,0.020499999,197929000,115489376,120639000,-0.357,-0.011,0.65116996,0.54967,0.23679,USD,
2,2001 K Street NW,Suite 775 North,Washington,DC,20006,United States,202 595 9500,https://www.easterlyreit.com,REIT—Office,Real Estate,"Easterly Government Properties, Inc. (NYSE: DEA) is based in Washington, D.C., and focuses primarily on the acquisition, development and management of Class A commercial properties that are leased to the U.S. Government. Easterly's experienced management team brings specialized insight into the strategy and needs of mission-critical U.S. Government agencies for properties leased to such agencies either directly or through the U.S. General Services Administration (GSA).",54,"{'maxAge': 1, 'name': 'Mr. Michael P. Ibe', 'age': 75, 'title': 'Vice Chairman and Exec. VP of Devel. & Acquisitions', 'yearBorn': 1947, 'fiscalYear': 2022, 'totalPay': 1369714, 'exercisedValue': 0, 'unexercisedValue': 0}",5,7,1,7,5,1693526400,1672444800,86400,2,12.84,12.77,12.73,13.02,12.84,12.77,12.73,13.02,1.06,0.082600005,1692144000,3.9259,5.45,0.663208,48.148148,76.47059,1774948,1774948,723838,750520,750520,12.74,13.47,1000,800,2334202112,12.27,17.87,7.889069,14.003,14.42305,1.06,0.08255451,USD,2573860608,0.08764,92991853,93415696,5514101,5234474,1690761600,1693440000,0.059,0.0038800002,0.90690005,7.2,0.0846,13.458,0.9659682,1672444800,1703980800,1688083200,-0.291,25357000,0.27,0.17,8.699,15.826,NYQ,EQUITY,DEA,DEA,"Easterly Government Properties,","Easterly Government Properties, Inc.",1423233000,America/New_York,EDT,-14400000,13.0,17.0,13.0,14.17,14.0,3.0,hold,6,14930000,0.16,162636000,1224436992,0.47,0.544,295878016,86.103,3.233,0.01523,0.020499999,197929000,115489376,120639000,-0.357,-0.011,0.65116996,0.54967,0.23679,USD,
3,2001 K Street NW,Suite 775 North,Washington,DC,20006,United States,202 595 9500,https://www.easterlyreit.com,REIT—Office,Real Estate,"Easterly Government Properties, Inc. (NYSE: DEA) is based in Washington, D.C., and focuses primarily on the acquisition, development and management of Class A commercial properties that are leased to the U.S. Government. Easterly's experienced management team brings specialized insight into the strategy and needs of mission-critical U.S. Government agencies for properties leased to such agencies either directly or through the U.S. General Services Administration (GSA).",54,"{'maxAge': 1, 'name': 'Ms. Meghan G. Baivier', 'age': 42, 'title': 'Exec. VP, CFO & COO', 'yearBorn': 1980, 'fiscalYear': 2022, 'totalPay': 1450219, 'exercisedValue': 0, 'unexercisedValue': 0}",5,7,1,7,5,1693526400,1672444800,86400,2,12.84,12.77,12.73,13.02,12.84,12.77,12.73,13.02,1.06,0.082600005,1692144000,3.9259,5.45,0.663208,48.148148,76.47059,1774948,1774948,723838,750520,750520,12.74,13.47,1000,800,2334202112,12.27,17.87,7.889069,14.003,14.42305,1.06,0.08255451,USD,2573860608,0.08764,92991853,93415696,5514101,5234474,1690761600,1693440000,0.059,0.0038800002,0.90690005,7.2,0.0846,13.458,0.9659682,1672444800,1703980800,1688083200,-0.291,25357000,0.27,0.17,8.699,15.826,NYQ,EQUITY,DEA,DEA,"Easterly Government Properties,","Easterly Government Properties, Inc.",1423233000,America/New_York,EDT,-14400000,13.0,17.0,13.0,14.17,14.0,3.0,hold,6,14930000,0.16,162636000,1224436992,0.47,0.544,295878016,86.103,3.233,0.01523,0.020499999,197929000,115489376,120639000,-0.357,-0.011,0.65116996,0.54967,0.23679,USD,
4,2001 K Street NW,Suite 775 North,Washington,DC,20006,United States,202 595 9500,https://www.easterlyreit.com,REIT—Office,Real Estate,"Easterly Government Properties, Inc. (NYSE: DEA) is based in Washington, D.C., and focuses primarily on the acquisition, development and management of Class A commercial properties that are leased to the U.S. Government. Easterly's experienced management team brings specialized insight into the strategy and needs of mission-critical U.S. Government agencies for properties leased to such agencies either directly or through the U.S. General Services Administration (GSA).",54,"{'maxAge': 1, 'name': 'Ms. Allison E. Marino', 'age': 38, 'title': 'Sr. VP & Chief Accounting Officer', 'yearBorn': 1984, 'fiscalYear': 2022, 'totalPay': 460296, 'exercisedValue': 0, 'unexercisedValue': 0}",5,7,1,7,5,1693526400,1672444800,86400,2,12.84,12.77,12.73,13.02,12.84,12.77,12.73,13.02,1.06,0.082600005,1692144000,3.9259,5.45,0.663208,48.148148,76.47059,1774948,1774948,723838,750520,750520,12.74,13.47,1000,800,2334202112,12.27,17.87,7.889069,14.003,14.42305,1.06,0.08255451,USD,2573860608,0.08764,92991853,93415696,5514101,5234474,1690761600,1693440000,0.059,0.0038800002,0.90690005,7.2,0.0846,13.458,0.9659682,1672444800,1703980800,1688083200,-0.291,25357000,0.27,0.17,8.699,15.826,NYQ,EQUITY,DEA,DEA,"Easterly Government Properties,","Easterly Government Properties, Inc.",1423233000,America/New_York,EDT,-14400000,13.0,17.0,13.0,14.17,14.0,3.0,hold,6,14930000,0.16,162636000,1224436992,0.47,0.544,295878016,86.103,3.233,0.01523,0.020499999,197929000,115489376,120639000,-0.357,-0.011,0.65116996,0.54967,0.23679,USD,
5,2001 K Street NW,Suite 775 North,Washington,DC,20006,United States,202 595 9500,https://www.easterlyreit.com,REIT—Office,Real Estate,"Easterly Government Properties, Inc. (NYSE: DEA) is based in Washington, D.C., and focuses primarily on the acquisition, development and management of Class A commercial properties that are leased to the U.S. Government. Easterly's experienced management team brings specialized insight into the strategy and needs of mission-critical U.S. Government agencies for properties leased to such agencies either directly or through the U.S. General Services Administration (GSA).",54,"{'maxAge': 1, 'name': 'Mr. Daniel  Powers', 'title': 'VP of Corp. Fin.', 'exercisedValue': 0, 'unexercisedValue': 0}",5,7,1,7,5,1693526400,1672444800,86400,2,12.84,12.77,12.73,13.02,12.84,12.77,12.73,13.02,1.06,0.082600005,1692144000,3.9259,5.45,0.663208,48.148148,76.47059,1774948,1774948,723838,750520,750520,12.74,13.47,1000,800,2334202112,12.27,17.87,7.889069,14.003,14.42305,1.06,0.08255451,USD,2573860608,0.08764,92991853,93415696,5514101,5234474,1690761600,1693440000,0.059,0.0038800002,0.90690005,7.2,0.0846,13.458,0.9659682,1672444800,1703980800,1688083200,-0.291,25357000,0.27,0.17,8.699,15.826,NYQ,EQUITY,DEA,DEA,"Easterly Government Properties,","Easterly Government Properties, Inc.",1423233000,America/New_York,EDT,-14400000,13.0,17.0,13.0,14.17,14.0,3.0,hold,6,14930000,0.16,162636000,1224436992,0.47,0.544,295878016,86.103,3.233,0.01523,0.020499999,197929000,115489376,120639000,-0.357,-0.011,0.65116996,0.54967,0.23679,USD,
6,2001 K Street NW,Suite 775 North,Washington,DC,20006,United States,202 595 9500,https://www.easterlyreit.com,REIT—Office,Real Estate,"Easterly Government Properties, Inc. (NYSE: DEA) is based in Washington, D.C., and focuses primarily on the acquisition, development and management of Class A commercial properties that are leased to the U.S. Government. Easterly's experienced management team brings specialized insight into the strategy and needs of mission-critical U.S. Government agencies for properties leased to such agencies either directly or through the U.S. General Services Administration (GSA).",54,"{'maxAge': 1, 'name': 'Ms. Lindsay  Winterhalter', 'title': 'Supervisory VP of Investor Relations & Operations', 'exercisedValue': 0, 'unexercisedValue': 0}",5,7,1,7,5,1693526400,1672444800,86400,2,12.84,12.77,12.73,13.02,12.84,12.77,12.73,13.02,1.06,0.082600005,1692144000,3.9259,5.45,0.663208,48.148148,76.47059,1774948,1774948,723838,750520,750520,12.74,13.47,1000,800,2334202112,12.27,17.87,7.889069,14.003,14.42305,1.06,0.08255451,USD,2573860608,0.08764,92991853,93415696,5514101,5234474,1690761600,1693440000,0.059,0.0038800002,0.90690005,7.2,0.0846,13.458,0.9659682,1672444800,1703980800,1688083200,-0.291,25357000,0.27,0.17,8.699,15.826,NYQ,EQUITY,DEA,DEA,"Easterly Government Properties,","Easterly Government Properties, Inc.",1423233000,America/New_York,EDT,-14400000,13.0,17.0,13.0,14.17,14.0,3.0,hold,6,14930000,0.16,162636000,1224436992,0.47,0.544,295878016,86.103,3.233,0.01523,0.020499999,197929000,115489376,120639000,-0.357,-0.011,0.65116996,0.54967,0.23679,USD,
7,2001 K Street NW,Suite 775 North,Washington,DC,20006,United States,202 595 9500,https://www.easterlyreit.com,REIT—Office,Real Estate,"Easterly Government Properties, Inc. (NYSE: DEA) is based in Washington, D.C., and focuses primarily on the acquisition, development and management of Class A commercial properties that are leased to the U.S. Government. Easterly's experienced management team brings specialized insight into the strategy and needs of mission-critical U.S. Government agencies for properties leased to such agencies either directly or through the U.S. General Services Administration (GSA).",54,"{'maxAge': 1, 'name': 'Mr. Franklin V. Logan', 'age': 52, 'title': 'Exec. VP, Gen. Counsel & Sec.', 'yearBorn': 1970, 'exercisedValue': 0, 'unexercisedValue': 0}",5,7,1,7,5,1693526400,1672444800,86400,2,12.84,12.77,12.73,13.02,12.84,12.77,12.73,13.02,1.06,0.082600005,1692144000,3.9259,5.45,0.663208,48.148148,76.47059,1774948,1774948,723838,750520,750520,12.74,13.47,1000,800,2334202112,12.27,17.87,7.889069,14.003,14.42305,1.06,0.08255451,USD,2573860608,0.08764,92991853,93415696,5514101,5234474,1690761600,1693440000,0.059,0.0038800002,0.90690005,7.2,0.0846,13.458,0.9659682,1672444800,1703980800,1688083200,-0.291,25357000,0.27,0.17,8.699,15.826,NYQ,EQUITY,DEA,DEA,"Easterly Government Properties,","Easterly Government Properties, Inc.",1423233000,America/New_York,EDT,-14400000,13.0,17.0,13.0,14.17,14.0,3.0,hold,6,14930000,0.16,162636000,1224436992,0.47,0.544,295878016,86.103,3.233,0.01523,0.020499999,197929000,115489376,120639000,-0.357,-0.011,0.65116996,0.54967,0.23679,USD,
8,2001 K Street NW,Suite 775 North,Washington,DC,20006,United States,202 595 9500,https://www.easterlyreit.com,REIT—Office,Real Estate,"Easterly Government Properties, Inc. (NYSE: DEA) is based in Washington, D.C., and focuses primarily on the acquisition, development and management of Class A commercial properties that are leased to the U.S. Government. Easterly's experienced management team brings specialized insight into the strategy and needs of mission-critical U.S. Government agencies for properties leased to such agencies either directly or through the U.S. General Services Administration (GSA).",54,"{'maxAge': 1, 'name': 'Mr. Andrew G. Pulliam CPA', 'age': 51, 'title': 'Exec. VP of Acquisitions & Portfolio Management', 'yearBorn': 1971, 'exercisedValue': 0, 'unexercisedValue': 0}",5,7,1,7,5,1693526400,1672444800,86400,2,12.84,12.77,12.73,13.02,12.84,12.77,12.73,13.02,1.06,0.082600005,1692144000,3.9259,5.45,0.663208,48.148148,76.47059,1774948,1774948,723838,750520,750520,12.74,13.47,1000,800,2334202112,12.27,17.87,7.889069,14.003,14.42305,1.06,0.08255451,USD,2573860608,0.08764,92991853,93415696,5514101,5234474,1690761600,1693440000,0.059,0.0038800002,0.90690005,7.2,0.0846,13.458,0.9659682,1672444800,1703980800,1688083200,-0.291,25357000,0.27,0.17,8.699,15.826,NYQ,EQUITY,DEA,DEA,"Easterly Government Properties,","Easterly Government Properties, Inc.",1423233000,America/New_York,EDT,-14400000,13.0,17.0,13.0,14.17,14.0,3.0,hold,6,14930000,0.16,162636000,1224436992,0.47,0.544,295878016,86.103,3.233,0.01523,0.020499999,197929000,115489376,120639000,-0.357,-0.011,0.65116996,0.54967,0.23679,USD,
9,2001 K Street NW,Suite 775 North,Washington,DC,20006,United States,202 595 9500,https://www.easterlyreit.com,REIT—Office,Real Estate,"Easterly Government Properties, Inc. (NYSE: DEA) is based in Washington, D.C., and focuses primarily on the acquisition, development and management of Class A commercial properties that are leased to the U.S. Government. Easterly's experienced management team brings specialized insight into the strategy and needs of mission-critical U.S. Government agencies for properties leased to such agencies either directly or through the U.S. General Services Administration (GSA).",54,"{'maxAge': 1, 'name': 'Mr. Mark W. Bauer', 'title': 'Exec. VP of Devel.', 'exercisedValue': 0, 'unexercisedValue': 0}",5,7,1,7,5,1693526400,1672444800,86400,2,12.84,12.77,12.73,13.02,12.84,12.77,12.73,13.02,1.06,0.082600005,1692144000,3.9259,5.45,0.663208,48.148148,76.47059,1774948,1774948,723838,750520,750520,12.74,13.47,1000,800,2334202112,12.27,17.87,7.889069,14.003,14.42305,1.06,0.08255451,USD,2573860608,0.08764,92991853,93415696,5514101,5234474,1690761600,1693440000,0.059,0.0038800002,0.90690005,7.2,0.0846,13.458,0.9659682,1672444800,1703980800,1688083200,-0.291,25357000,0.27,0.17,8.699,15.826,NYQ,EQUITY,DEA,DEA,"Easterly Government Properties,","Easterly Government Properties, Inc.",1423233000,America/New_York,EDT,-14400000,13.0,17.0,13.0,14.17,14.0,3.0,hold,6,14930000,0.16,162636000,1224436992,0.47,0.544,295878016,86.103,3.233,0.01523,0.020499999,197929000,115489376,120639000,-0.357,-0.011,0.65116996,0.54967,0.23679,USD,
