,address1,city,state,zip,country,phone,fax,website,industry,industryDisp,sector,sectorDisp,longBusinessSummary,fullTimeEmployees,companyOfficers,auditRisk,boardRisk,compensationRisk,shareHolderRightsRisk,overallRisk,governanceEpochDate,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,dividendRate,dividendYield,exDividendDate,fiveYearAvgDividendYield,beta,forwardPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,sharesShort,sharesShortPriorMonth,sharesShortPreviousMonthDate,dateShortInterest,sharesPercentSharesOut,heldPercentInsiders,heldPercentInstitutions,shortRatio,impliedSharesOutstanding,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,netIncomeToCommon,trailingEps,forwardEps,pegRatio,enterpriseToRevenue,enterpriseToEbitda,52WeekChange,SandP52WeekChange,lastDividendValue,lastDividendDate,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,uuid,messageBoardId,gmtOffSetMilliseconds,currentPrice,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,recommendationMean,recommendationKey,numberOfAnalystOpinions,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,freeCashflow,operatingCashflow,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,354 Davis Road,Oakville,ON,L6J 2X1,Canada,905 465 4500,905 465 4514,https://algonquinpower.com,Utilities—Renewable,Utilities—Renewable,Utilities,Utilities,"Algonquin Power & Utilities Corp., a renewable energy and utility company, that provides energy and water solutions and services in North America and internationally. The company operates through two segments, Regulated Services Group and Renewable Energy Group. The Regulated Services Group segment provides a portfolio of rate-regulated water, electricity, and gas utility services. It offers electricity distribution, water distribution, waste water treatment, and natural gas distribution services. The Renewable Energy Group segment generates and sells electrical energy produced by its portfolio of renewable power generation facilities primarily in the United States and Canada. It owns and operates hydroelectric, wind, solar, renewable natural gas, and thermal facilities. Algonquin Power & Utilities Corp. was incorporated in 1988 and is headquartered in Oakville, Canada.",3951,"{'maxAge': 1, 'name': 'Mr. Christopher G. H. Huskilson', 'age': 65, 'title': 'Interim CEO & Director', 'yearBorn': 1957, 'fiscalYear': 2022, 'totalPay': 181319, 'exercisedValue': 0, 'unexercisedValue': 0}",1,4,7,7,5,1693526400,1672444800,86400,2,9.72,9.86,9.71,9.86,9.72,9.86,9.71,9.86,0.58,0.06,1695772800,5.01,0.269432,12.316455,6807626,6807626,2881516,2529740,2529740,9.73,9.74,0,0,6702150144,8.7,17.55,2.377466,10.2788,10.5239,0.579,0.0595679,CAD,16896215040,-0.08963,636022115,688812992,21650319,21449839,1690761600,1693440000,0.031400003,0.00065,0.63057,7.72,688812992,7.261,1.3400357,1672444800,1703980800,1688083200,-261111008,-0.53,0.79,23.39,5.994,17.91,-0.44463468,0.14113986,0.144,1687996800,TOR,EQUITY,AQN.TO,AQN.TO,ALGONQUIN POWER AND UTILITIES C,Algonquin Power & Utilities Corp.,1065706200,America/Toronto,EDT,8f21df93-b6ba-3477-a1a9-92106ee64b71,finmb_882318,-14400000,9.73,15.54,8.78,12.08,12.16,2.8,hold,11,100258000,0.146,943382016,8148128768,0.403,0.713,2819031040,113.893,4.118,0.01681,-0.04291,1047170000,-529825888,612214976,0.014,0.37492,0.33465,0.17037001,USD,
1,354 Davis Road,Oakville,ON,L6J 2X1,Canada,905 465 4500,905 465 4514,https://algonquinpower.com,Utilities—Renewable,Utilities—Renewable,Utilities,Utilities,"Algonquin Power & Utilities Corp., a renewable energy and utility company, that provides energy and water solutions and services in North America and internationally. The company operates through two segments, Regulated Services Group and Renewable Energy Group. The Regulated Services Group segment provides a portfolio of rate-regulated water, electricity, and gas utility services. It offers electricity distribution, water distribution, waste water treatment, and natural gas distribution services. The Renewable Energy Group segment generates and sells electrical energy produced by its portfolio of renewable power generation facilities primarily in the United States and Canada. It owns and operates hydroelectric, wind, solar, renewable natural gas, and thermal facilities. Algonquin Power & Utilities Corp. was incorporated in 1988 and is headquartered in Oakville, Canada.",3951,"{'maxAge': 1, 'name': 'Mr. Darren G. Myers', 'age': 48, 'title': 'Chief Financial Officer', 'yearBorn': 1974, 'fiscalYear': 2022, 'totalPay': 364213, 'exercisedValue': 0, 'unexercisedValue': 0}",1,4,7,7,5,1693526400,1672444800,86400,2,9.72,9.86,9.71,9.86,9.72,9.86,9.71,9.86,0.58,0.06,1695772800,5.01,0.269432,12.316455,6807626,6807626,2881516,2529740,2529740,9.73,9.74,0,0,6702150144,8.7,17.55,2.377466,10.2788,10.5239,0.579,0.0595679,CAD,16896215040,-0.08963,636022115,688812992,21650319,21449839,1690761600,1693440000,0.031400003,0.00065,0.63057,7.72,688812992,7.261,1.3400357,1672444800,1703980800,1688083200,-261111008,-0.53,0.79,23.39,5.994,17.91,-0.44463468,0.14113986,0.144,1687996800,TOR,EQUITY,AQN.TO,AQN.TO,ALGONQUIN POWER AND UTILITIES C,Algonquin Power & Utilities Corp.,1065706200,America/Toronto,EDT,8f21df93-b6ba-3477-a1a9-92106ee64b71,finmb_882318,-14400000,9.73,15.54,8.78,12.08,12.16,2.8,hold,11,100258000,0.146,943382016,8148128768,0.403,0.713,2819031040,113.893,4.118,0.01681,-0.04291,1047170000,-529825888,612214976,0.014,0.37492,0.33465,0.17037001,USD,
2,354 Davis Road,Oakville,ON,L6J 2X1,Canada,905 465 4500,905 465 4514,https://algonquinpower.com,Utilities—Renewable,Utilities—Renewable,Utilities,Utilities,"Algonquin Power & Utilities Corp., a renewable energy and utility company, that provides energy and water solutions and services in North America and internationally. The company operates through two segments, Regulated Services Group and Renewable Energy Group. The Regulated Services Group segment provides a portfolio of rate-regulated water, electricity, and gas utility services. It offers electricity distribution, water distribution, waste water treatment, and natural gas distribution services. The Renewable Energy Group segment generates and sells electrical energy produced by its portfolio of renewable power generation facilities primarily in the United States and Canada. It owns and operates hydroelectric, wind, solar, renewable natural gas, and thermal facilities. Algonquin Power & Utilities Corp. was incorporated in 1988 and is headquartered in Oakville, Canada.",3951,"{'maxAge': 1, 'name': 'Mr. Anthony  Johnston', 'title': 'Chief Operating Officer', 'fiscalYear': 2022, 'totalPay': 698173, 'exercisedValue': 0, 'unexercisedValue': 0}",1,4,7,7,5,1693526400,1672444800,86400,2,9.72,9.86,9.71,9.86,9.72,9.86,9.71,9.86,0.58,0.06,1695772800,5.01,0.269432,12.316455,6807626,6807626,2881516,2529740,2529740,9.73,9.74,0,0,6702150144,8.7,17.55,2.377466,10.2788,10.5239,0.579,0.0595679,CAD,16896215040,-0.08963,636022115,688812992,21650319,21449839,1690761600,1693440000,0.031400003,0.00065,0.63057,7.72,688812992,7.261,1.3400357,1672444800,1703980800,1688083200,-261111008,-0.53,0.79,23.39,5.994,17.91,-0.44463468,0.14113986,0.144,1687996800,TOR,EQUITY,AQN.TO,AQN.TO,ALGONQUIN POWER AND UTILITIES C,Algonquin Power & Utilities Corp.,1065706200,America/Toronto,EDT,8f21df93-b6ba-3477-a1a9-92106ee64b71,finmb_882318,-14400000,9.73,15.54,8.78,12.08,12.16,2.8,hold,11,100258000,0.146,943382016,8148128768,0.403,0.713,2819031040,113.893,4.118,0.01681,-0.04291,1047170000,-529825888,612214976,0.014,0.37492,0.33465,0.17037001,USD,
3,354 Davis Road,Oakville,ON,L6J 2X1,Canada,905 465 4500,905 465 4514,https://algonquinpower.com,Utilities—Renewable,Utilities—Renewable,Utilities,Utilities,"Algonquin Power & Utilities Corp., a renewable energy and utility company, that provides energy and water solutions and services in North America and internationally. The company operates through two segments, Regulated Services Group and Renewable Energy Group. The Regulated Services Group segment provides a portfolio of rate-regulated water, electricity, and gas utility services. It offers electricity distribution, water distribution, waste water treatment, and natural gas distribution services. The Renewable Energy Group segment generates and sells electrical energy produced by its portfolio of renewable power generation facilities primarily in the United States and Canada. It owns and operates hydroelectric, wind, solar, renewable natural gas, and thermal facilities. Algonquin Power & Utilities Corp. was incorporated in 1988 and is headquartered in Oakville, Canada.",3951,"{'maxAge': 1, 'name': 'Ms. Jennifer  Tindale', 'age': 50, 'title': 'Chief Legal Officer & Corp. Sec.', 'yearBorn': 1972, 'fiscalYear': 2022, 'totalPay': 647923, 'exercisedValue': 103012, 'unexercisedValue': 0}",1,4,7,7,5,1693526400,1672444800,86400,2,9.72,9.86,9.71,9.86,9.72,9.86,9.71,9.86,0.58,0.06,1695772800,5.01,0.269432,12.316455,6807626,6807626,2881516,2529740,2529740,9.73,9.74,0,0,6702150144,8.7,17.55,2.377466,10.2788,10.5239,0.579,0.0595679,CAD,16896215040,-0.08963,636022115,688812992,21650319,21449839,1690761600,1693440000,0.031400003,0.00065,0.63057,7.72,688812992,7.261,1.3400357,1672444800,1703980800,1688083200,-261111008,-0.53,0.79,23.39,5.994,17.91,-0.44463468,0.14113986,0.144,1687996800,TOR,EQUITY,AQN.TO,AQN.TO,ALGONQUIN POWER AND UTILITIES C,Algonquin Power & Utilities Corp.,1065706200,America/Toronto,EDT,8f21df93-b6ba-3477-a1a9-92106ee64b71,finmb_882318,-14400000,9.73,15.54,8.78,12.08,12.16,2.8,hold,11,100258000,0.146,943382016,8148128768,0.403,0.713,2819031040,113.893,4.118,0.01681,-0.04291,1047170000,-529825888,612214976,0.014,0.37492,0.33465,0.17037001,USD,
4,354 Davis Road,Oakville,ON,L6J 2X1,Canada,905 465 4500,905 465 4514,https://algonquinpower.com,Utilities—Renewable,Utilities—Renewable,Utilities,Utilities,"Algonquin Power & Utilities Corp., a renewable energy and utility company, that provides energy and water solutions and services in North America and internationally. The company operates through two segments, Regulated Services Group and Renewable Energy Group. The Regulated Services Group segment provides a portfolio of rate-regulated water, electricity, and gas utility services. It offers electricity distribution, water distribution, waste water treatment, and natural gas distribution services. The Renewable Energy Group segment generates and sells electrical energy produced by its portfolio of renewable power generation facilities primarily in the United States and Canada. It owns and operates hydroelectric, wind, solar, renewable natural gas, and thermal facilities. Algonquin Power & Utilities Corp. was incorporated in 1988 and is headquartered in Oakville, Canada.",3951,"{'maxAge': 1, 'name': 'Mr. Jeffery  Norman', 'age': 53, 'title': 'Chief Devel. Officer', 'yearBorn': 1969, 'fiscalYear': 2022, 'totalPay': 701637, 'exercisedValue': 0, 'unexercisedValue': 0}",1,4,7,7,5,1693526400,1672444800,86400,2,9.72,9.86,9.71,9.86,9.72,9.86,9.71,9.86,0.58,0.06,1695772800,5.01,0.269432,12.316455,6807626,6807626,2881516,2529740,2529740,9.73,9.74,0,0,6702150144,8.7,17.55,2.377466,10.2788,10.5239,0.579,0.0595679,CAD,16896215040,-0.08963,636022115,688812992,21650319,21449839,1690761600,1693440000,0.031400003,0.00065,0.63057,7.72,688812992,7.261,1.3400357,1672444800,1703980800,1688083200,-261111008,-0.53,0.79,23.39,5.994,17.91,-0.44463468,0.14113986,0.144,1687996800,TOR,EQUITY,AQN.TO,AQN.TO,ALGONQUIN POWER AND UTILITIES C,Algonquin Power & Utilities Corp.,1065706200,America/Toronto,EDT,8f21df93-b6ba-3477-a1a9-92106ee64b71,finmb_882318,-14400000,9.73,15.54,8.78,12.08,12.16,2.8,hold,11,100258000,0.146,943382016,8148128768,0.403,0.713,2819031040,113.893,4.118,0.01681,-0.04291,1047170000,-529825888,612214976,0.014,0.37492,0.33465,0.17037001,USD,
5,354 Davis Road,Oakville,ON,L6J 2X1,Canada,905 465 4500,905 465 4514,https://algonquinpower.com,Utilities—Renewable,Utilities—Renewable,Utilities,Utilities,"Algonquin Power & Utilities Corp., a renewable energy and utility company, that provides energy and water solutions and services in North America and internationally. The company operates through two segments, Regulated Services Group and Renewable Energy Group. The Regulated Services Group segment provides a portfolio of rate-regulated water, electricity, and gas utility services. It offers electricity distribution, water distribution, waste water treatment, and natural gas distribution services. The Renewable Energy Group segment generates and sells electrical energy produced by its portfolio of renewable power generation facilities primarily in the United States and Canada. It owns and operates hydroelectric, wind, solar, renewable natural gas, and thermal facilities. Algonquin Power & Utilities Corp. was incorporated in 1988 and is headquartered in Oakville, Canada.",3951,"{'maxAge': 1, 'name': 'Mr. Brian James Chin CPA', 'age': 48, 'title': 'VP of Investor Relations', 'yearBorn': 1974, 'exercisedValue': 0, 'unexercisedValue': 0}",1,4,7,7,5,1693526400,1672444800,86400,2,9.72,9.86,9.71,9.86,9.72,9.86,9.71,9.86,0.58,0.06,1695772800,5.01,0.269432,12.316455,6807626,6807626,2881516,2529740,2529740,9.73,9.74,0,0,6702150144,8.7,17.55,2.377466,10.2788,10.5239,0.579,0.0595679,CAD,16896215040,-0.08963,636022115,688812992,21650319,21449839,1690761600,1693440000,0.031400003,0.00065,0.63057,7.72,688812992,7.261,1.3400357,1672444800,1703980800,1688083200,-261111008,-0.53,0.79,23.39,5.994,17.91,-0.44463468,0.14113986,0.144,1687996800,TOR,EQUITY,AQN.TO,AQN.TO,ALGONQUIN POWER AND UTILITIES C,Algonquin Power & Utilities Corp.,1065706200,America/Toronto,EDT,8f21df93-b6ba-3477-a1a9-92106ee64b71,finmb_882318,-14400000,9.73,15.54,8.78,12.08,12.16,2.8,hold,11,100258000,0.146,943382016,8148128768,0.403,0.713,2819031040,113.893,4.118,0.01681,-0.04291,1047170000,-529825888,612214976,0.014,0.37492,0.33465,0.17037001,USD,
6,354 Davis Road,Oakville,ON,L6J 2X1,Canada,905 465 4500,905 465 4514,https://algonquinpower.com,Utilities—Renewable,Utilities—Renewable,Utilities,Utilities,"Algonquin Power & Utilities Corp., a renewable energy and utility company, that provides energy and water solutions and services in North America and internationally. The company operates through two segments, Regulated Services Group and Renewable Energy Group. The Regulated Services Group segment provides a portfolio of rate-regulated water, electricity, and gas utility services. It offers electricity distribution, water distribution, waste water treatment, and natural gas distribution services. The Renewable Energy Group segment generates and sells electrical energy produced by its portfolio of renewable power generation facilities primarily in the United States and Canada. It owns and operates hydroelectric, wind, solar, renewable natural gas, and thermal facilities. Algonquin Power & Utilities Corp. was incorporated in 1988 and is headquartered in Oakville, Canada.",3951,"{'maxAge': 1, 'name': 'Ms. Mary Ellen Paravalos', 'title': 'Chief Compliance & Risk Officer', 'exercisedValue': 0, 'unexercisedValue': 0}",1,4,7,7,5,1693526400,1672444800,86400,2,9.72,9.86,9.71,9.86,9.72,9.86,9.71,9.86,0.58,0.06,1695772800,5.01,0.269432,12.316455,6807626,6807626,2881516,2529740,2529740,9.73,9.74,0,0,6702150144,8.7,17.55,2.377466,10.2788,10.5239,0.579,0.0595679,CAD,16896215040,-0.08963,636022115,688812992,21650319,21449839,1690761600,1693440000,0.031400003,0.00065,0.63057,7.72,688812992,7.261,1.3400357,1672444800,1703980800,1688083200,-261111008,-0.53,0.79,23.39,5.994,17.91,-0.44463468,0.14113986,0.144,1687996800,TOR,EQUITY,AQN.TO,AQN.TO,ALGONQUIN POWER AND UTILITIES C,Algonquin Power & Utilities Corp.,1065706200,America/Toronto,EDT,8f21df93-b6ba-3477-a1a9-92106ee64b71,finmb_882318,-14400000,9.73,15.54,8.78,12.08,12.16,2.8,hold,11,100258000,0.146,943382016,8148128768,0.403,0.713,2819031040,113.893,4.118,0.01681,-0.04291,1047170000,-529825888,612214976,0.014,0.37492,0.33465,0.17037001,USD,
7,354 Davis Road,Oakville,ON,L6J 2X1,Canada,905 465 4500,905 465 4514,https://algonquinpower.com,Utilities—Renewable,Utilities—Renewable,Utilities,Utilities,"Algonquin Power & Utilities Corp., a renewable energy and utility company, that provides energy and water solutions and services in North America and internationally. The company operates through two segments, Regulated Services Group and Renewable Energy Group. The Regulated Services Group segment provides a portfolio of rate-regulated water, electricity, and gas utility services. It offers electricity distribution, water distribution, waste water treatment, and natural gas distribution services. The Renewable Energy Group segment generates and sells electrical energy produced by its portfolio of renewable power generation facilities primarily in the United States and Canada. It owns and operates hydroelectric, wind, solar, renewable natural gas, and thermal facilities. Algonquin Power & Utilities Corp. was incorporated in 1988 and is headquartered in Oakville, Canada.",3951,"{'maxAge': 1, 'name': 'Stephanie  Bose', 'title': 'Director of Corp. Communications', 'exercisedValue': 0, 'unexercisedValue': 0}",1,4,7,7,5,1693526400,1672444800,86400,2,9.72,9.86,9.71,9.86,9.72,9.86,9.71,9.86,0.58,0.06,1695772800,5.01,0.269432,12.316455,6807626,6807626,2881516,2529740,2529740,9.73,9.74,0,0,6702150144,8.7,17.55,2.377466,10.2788,10.5239,0.579,0.0595679,CAD,16896215040,-0.08963,636022115,688812992,21650319,21449839,1690761600,1693440000,0.031400003,0.00065,0.63057,7.72,688812992,7.261,1.3400357,1672444800,1703980800,1688083200,-261111008,-0.53,0.79,23.39,5.994,17.91,-0.44463468,0.14113986,0.144,1687996800,TOR,EQUITY,AQN.TO,AQN.TO,ALGONQUIN POWER AND UTILITIES C,Algonquin Power & Utilities Corp.,1065706200,America/Toronto,EDT,8f21df93-b6ba-3477-a1a9-92106ee64b71,finmb_882318,-14400000,9.73,15.54,8.78,12.08,12.16,2.8,hold,11,100258000,0.146,943382016,8148128768,0.403,0.713,2819031040,113.893,4.118,0.01681,-0.04291,1047170000,-529825888,612214976,0.014,0.37492,0.33465,0.17037001,USD,
8,354 Davis Road,Oakville,ON,L6J 2X1,Canada,905 465 4500,905 465 4514,https://algonquinpower.com,Utilities—Renewable,Utilities—Renewable,Utilities,Utilities,"Algonquin Power & Utilities Corp., a renewable energy and utility company, that provides energy and water solutions and services in North America and internationally. The company operates through two segments, Regulated Services Group and Renewable Energy Group. The Regulated Services Group segment provides a portfolio of rate-regulated water, electricity, and gas utility services. It offers electricity distribution, water distribution, waste water treatment, and natural gas distribution services. The Renewable Energy Group segment generates and sells electrical energy produced by its portfolio of renewable power generation facilities primarily in the United States and Canada. It owns and operates hydroelectric, wind, solar, renewable natural gas, and thermal facilities. Algonquin Power & Utilities Corp. was incorporated in 1988 and is headquartered in Oakville, Canada.",3951,"{'maxAge': 1, 'name': 'Ms. Kirsten  Olsen', 'title': 'Chief HR Officer', 'exercisedValue': 0, 'unexercisedValue': 0}",1,4,7,7,5,1693526400,1672444800,86400,2,9.72,9.86,9.71,9.86,9.72,9.86,9.71,9.86,0.58,0.06,1695772800,5.01,0.269432,12.316455,6807626,6807626,2881516,2529740,2529740,9.73,9.74,0,0,6702150144,8.7,17.55,2.377466,10.2788,10.5239,0.579,0.0595679,CAD,16896215040,-0.08963,636022115,688812992,21650319,21449839,1690761600,1693440000,0.031400003,0.00065,0.63057,7.72,688812992,7.261,1.3400357,1672444800,1703980800,1688083200,-261111008,-0.53,0.79,23.39,5.994,17.91,-0.44463468,0.14113986,0.144,1687996800,TOR,EQUITY,AQN.TO,AQN.TO,ALGONQUIN POWER AND UTILITIES C,Algonquin Power & Utilities Corp.,1065706200,America/Toronto,EDT,8f21df93-b6ba-3477-a1a9-92106ee64b71,finmb_882318,-14400000,9.73,15.54,8.78,12.08,12.16,2.8,hold,11,100258000,0.146,943382016,8148128768,0.403,0.713,2819031040,113.893,4.118,0.01681,-0.04291,1047170000,-529825888,612214976,0.014,0.37492,0.33465,0.17037001,USD,
9,354 Davis Road,Oakville,ON,L6J 2X1,Canada,905 465 4500,905 465 4514,https://algonquinpower.com,Utilities—Renewable,Utilities—Renewable,Utilities,Utilities,"Algonquin Power & Utilities Corp., a renewable energy and utility company, that provides energy and water solutions and services in North America and internationally. The company operates through two segments, Regulated Services Group and Renewable Energy Group. The Regulated Services Group segment provides a portfolio of rate-regulated water, electricity, and gas utility services. It offers electricity distribution, water distribution, waste water treatment, and natural gas distribution services. The Renewable Energy Group segment generates and sells electrical energy produced by its portfolio of renewable power generation facilities primarily in the United States and Canada. It owns and operates hydroelectric, wind, solar, renewable natural gas, and thermal facilities. Algonquin Power & Utilities Corp. was incorporated in 1988 and is headquartered in Oakville, Canada.",3951,"{'maxAge': 1, 'name': 'Ms. Brenda Dale Marshall', 'title': 'Sr. VP of Wind Devel.', 'exercisedValue': 0, 'unexercisedValue': 0}",1,4,7,7,5,1693526400,1672444800,86400,2,9.72,9.86,9.71,9.86,9.72,9.86,9.71,9.86,0.58,0.06,1695772800,5.01,0.269432,12.316455,6807626,6807626,2881516,2529740,2529740,9.73,9.74,0,0,6702150144,8.7,17.55,2.377466,10.2788,10.5239,0.579,0.0595679,CAD,16896215040,-0.08963,636022115,688812992,21650319,21449839,1690761600,1693440000,0.031400003,0.00065,0.63057,7.72,688812992,7.261,1.3400357,1672444800,1703980800,1688083200,-261111008,-0.53,0.79,23.39,5.994,17.91,-0.44463468,0.14113986,0.144,1687996800,TOR,EQUITY,AQN.TO,AQN.TO,ALGONQUIN POWER AND UTILITIES C,Algonquin Power & Utilities Corp.,1065706200,America/Toronto,EDT,8f21df93-b6ba-3477-a1a9-92106ee64b71,finmb_882318,-14400000,9.73,15.54,8.78,12.08,12.16,2.8,hold,11,100258000,0.146,943382016,8148128768,0.403,0.713,2819031040,113.893,4.118,0.01681,-0.04291,1047170000,-529825888,612214976,0.014,0.37492,0.33465,0.17037001,USD,
