,address1,address2,city,state,zip,country,phone,longBusinessSummary,companyOfficers,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,beta,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,heldPercentInsiders,heldPercentInstitutions,bookValue,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,netIncomeToCommon,trailingEps,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,recommendationKey,totalDebt,operatingCashflow,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,2500 East Colorado Boulevard,Suite 255,Pasadena,CA,91107,United States,650-530-0699,"US-DADI Fertilizer Industry International, Inc. focuses on fertilizer-related products and equipment exporting business. The company was founded in 2010 and is based in Pasadena, California.","{'maxAge': 1, 'name': 'Mr. Ling Yam   Lam', 'title': 'Chairman, Chief Exec. Officer and Pres', 'fiscalYear': 2016, 'totalPay': 0, 'exercisedValue': 0, 'unexercisedValue': 0}",1483142400,86400,4,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.996189,5000,5000,5316,29770,29770,59019,0.0001,0.001,0.000982,0.0009955,0.0,0.0,USD,129463,0.0,62865072,98365000,0.0,0.00014,-0.001,1483142400,1514678400,1506729600,-19708,-0.0,PNK,EQUITY,USDF,USDF,US-DADI FERTILIZER IND INTL INC,"US-Dadi Fertilizer Industry International, Inc.",1378215000,America/New_York,EDT,-14400000,0.0001,none,119627,-16581,0.0,0.0,0.0,USD,
1,2500 East Colorado Boulevard,Suite 255,Pasadena,CA,91107,United States,650-530-0699,"US-DADI Fertilizer Industry International, Inc. focuses on fertilizer-related products and equipment exporting business. The company was founded in 2010 and is based in Pasadena, California.","{'maxAge': 1, 'name': 'Ms. Fung-Yee  Yip', 'title': 'Chief Financial Officer, Chief Accounting Officer, Treasurer and Director', 'fiscalYear': 2016, 'totalPay': 0, 'exercisedValue': 0, 'unexercisedValue': 0}",1483142400,86400,4,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.996189,5000,5000,5316,29770,29770,59019,0.0001,0.001,0.000982,0.0009955,0.0,0.0,USD,129463,0.0,62865072,98365000,0.0,0.00014,-0.001,1483142400,1514678400,1506729600,-19708,-0.0,PNK,EQUITY,USDF,USDF,US-DADI FERTILIZER IND INTL INC,"US-Dadi Fertilizer Industry International, Inc.",1378215000,America/New_York,EDT,-14400000,0.0001,none,119627,-16581,0.0,0.0,0.0,USD,
2,2500 East Colorado Boulevard,Suite 255,Pasadena,CA,91107,United States,650-530-0699,"US-DADI Fertilizer Industry International, Inc. focuses on fertilizer-related products and equipment exporting business. The company was founded in 2010 and is based in Pasadena, California.","{'maxAge': 1, 'name': 'Mr. Chai Fung Fan', 'title': 'Sec. and Director', 'fiscalYear': 2016, 'totalPay': 0, 'exercisedValue': 0, 'unexercisedValue': 0}",1483142400,86400,4,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.996189,5000,5000,5316,29770,29770,59019,0.0001,0.001,0.000982,0.0009955,0.0,0.0,USD,129463,0.0,62865072,98365000,0.0,0.00014,-0.001,1483142400,1514678400,1506729600,-19708,-0.0,PNK,EQUITY,USDF,USDF,US-DADI FERTILIZER IND INTL INC,"US-Dadi Fertilizer Industry International, Inc.",1378215000,America/New_York,EDT,-14400000,0.0001,none,119627,-16581,0.0,0.0,0.0,USD,
