,address1,address2,city,zip,country,phone,fax,website,industry,sector,longBusinessSummary,fullTimeEmployees,companyOfficers,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,exDividendDate,payoutRatio,beta,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,heldPercentInsiders,heldPercentInstitutions,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,netIncomeToCommon,trailingEps,lastSplitFactor,lastSplitDate,enterpriseToRevenue,enterpriseToEbitda,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,recommendationKey,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,freeCashflow,operatingCashflow,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,Equity Tower,"48th Floor Sudirman Central Business Dist., Lot 9 Jl. Jenderal Sudirman, Kav. 52-53",Jakarta Selatan,12190,Indonesia,62 21 515 3335,62 21 515 3759,https://www.jresources.com,Gold,Basic Materials,"PT J Resources Asia Pasifik Tbk engages in gold mining business in Indonesia. It also provides general trading services. The company was formerly known as PT Pelita Sejahtera Abadi and changed its name to PT J Resources Asia Pasifik Tbk in January 2012. PT J Resources Asia Pasifik Tbk was founded in 2002 and is based in Jakarta Selatan, Indonesia.",826,"{'maxAge': 1, 'name': 'Mr. Edi  Permadi', 'age': 46, 'title': 'Pres Director & Corp. Sec.', 'yearBorn': 1976, 'exercisedValue': 0, 'unexercisedValue': 0}",86400,2,86.0,86.0,85.0,87.0,86.0,86.0,85.0,87.0,1257292800,0.0,0.955784,2346000,2346000,6461016,1515420,1515420,85.0,86.0,0,0,2249100099584,81.0,158.0,21676.117,88.02,100.575,0.0,0.0,IDR,2275989782528,-0.36615002,1980266400,26460000256,0.92516,0.0,0.011,7727.273,1672444800,1703980800,1688083200,-37992028,-21.77,5:1,1466121600,21935.273,59610.395,JKT,EQUITY,PSAB.JK,PSAB.JK,J Resources Asia Pasifik Tbk.,PT J Resources Asia Pasifik Tbk,1051063200,Asia/Jakarta,WIB,25200000,85.0,none,6599742,0.0,38181092,353287680,0.052,0.475,103759360,96.69,0.004,0.0049,-0.08144,49796962,-85766048,-837038,0.404,0.58144003,0.36798,0.06348,USD,
1,Equity Tower,"48th Floor Sudirman Central Business Dist., Lot 9 Jl. Jenderal Sudirman, Kav. 52-53",Jakarta Selatan,12190,Indonesia,62 21 515 3335,62 21 515 3759,https://www.jresources.com,Gold,Basic Materials,"PT J Resources Asia Pasifik Tbk engages in gold mining business in Indonesia. It also provides general trading services. The company was formerly known as PT Pelita Sejahtera Abadi and changed its name to PT J Resources Asia Pasifik Tbk in January 2012. PT J Resources Asia Pasifik Tbk was founded in 2002 and is based in Jakarta Selatan, Indonesia.",826,"{'maxAge': 1, 'name': 'Mr. Wisaksono  Pribadi', 'title': 'Head of Internal Audit Unit', 'exercisedValue': 0, 'unexercisedValue': 0}",86400,2,86.0,86.0,85.0,87.0,86.0,86.0,85.0,87.0,1257292800,0.0,0.955784,2346000,2346000,6461016,1515420,1515420,85.0,86.0,0,0,2249100099584,81.0,158.0,21676.117,88.02,100.575,0.0,0.0,IDR,2275989782528,-0.36615002,1980266400,26460000256,0.92516,0.0,0.011,7727.273,1672444800,1703980800,1688083200,-37992028,-21.77,5:1,1466121600,21935.273,59610.395,JKT,EQUITY,PSAB.JK,PSAB.JK,J Resources Asia Pasifik Tbk.,PT J Resources Asia Pasifik Tbk,1051063200,Asia/Jakarta,WIB,25200000,85.0,none,6599742,0.0,38181092,353287680,0.052,0.475,103759360,96.69,0.004,0.0049,-0.08144,49796962,-85766048,-837038,0.404,0.58144003,0.36798,0.06348,USD,
