,address1,address2,city,country,phone,fax,website,industry,sector,longBusinessSummary,fullTimeEmployees,companyOfficers,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,dividendRate,dividendYield,exDividendDate,payoutRatio,trailingPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,sharesOutstanding,heldPercentInsiders,heldPercentInstitutions,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,trailingEps,lastSplitFactor,lastSplitDate,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,recommendationKey,revenuePerShare,grossProfits,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,BUeyUekdere Cad. No: 171,Metro City A Blok Kat: 17 1.Levent,Istanbul,Turkey,90 212 344 12 89,90 212 344 12 86,https://www.atlasyo.com.tr,Capital Markets,Financial Services,"Atlas Menkul Kiymetler Yatirim Ortakligi A.S. engages in the portfolio management activities related to securities traded on national and international exchanges. The company was incorporated in 1993 and is headquartered in Istanbul, Turkey.",5,"{'maxAge': 1, 'name': 'Mr. Atilla  Akgünlü', 'title': 'Gen. Mang.', 'exercisedValue': 0, 'unexercisedValue': 0}",86400,2,5.79,5.75,5.51,5.95,5.79,5.75,5.51,5.95,0.35,0.060300004,1701734400,0.0242,3.5432098,2136876,2136876,8537451,13251085,13251085,5.72,5.73,0,0,344400000,1.29,7.51,5.1304,3.5877,0.0,0.0,TRY,344400000,0.0,60000000,0.0,0.0,3.328,1.7247595,1672444800,1703980800,1688083200,1.62,300:100,1151625600,IST,EQUITY,ATLAS.IS,ATLAS.IS,ATLAS YAT. ORT.,Atlas Menkul Kiymetler Yatirim Ortakligi A.S.,957940200,Europe/Istanbul,TRT,10800000,5.74,none,24.345,111209920,0.0,0.0,0.0,TRY,
1,BUeyUekdere Cad. No: 171,Metro City A Blok Kat: 17 1.Levent,Istanbul,Turkey,90 212 344 12 89,90 212 344 12 86,https://www.atlasyo.com.tr,Capital Markets,Financial Services,"Atlas Menkul Kiymetler Yatirim Ortakligi A.S. engages in the portfolio management activities related to securities traded on national and international exchanges. The company was incorporated in 1993 and is headquartered in Istanbul, Turkey.",5,"{'maxAge': 1, 'name': 'Ms. Yasemin  Hakan', 'title': 'Investor Relations Mang.', 'exercisedValue': 0, 'unexercisedValue': 0}",86400,2,5.79,5.75,5.51,5.95,5.79,5.75,5.51,5.95,0.35,0.060300004,1701734400,0.0242,3.5432098,2136876,2136876,8537451,13251085,13251085,5.72,5.73,0,0,344400000,1.29,7.51,5.1304,3.5877,0.0,0.0,TRY,344400000,0.0,60000000,0.0,0.0,3.328,1.7247595,1672444800,1703980800,1688083200,1.62,300:100,1151625600,IST,EQUITY,ATLAS.IS,ATLAS.IS,ATLAS YAT. ORT.,Atlas Menkul Kiymetler Yatirim Ortakligi A.S.,957940200,Europe/Istanbul,TRT,10800000,5.74,none,24.345,111209920,0.0,0.0,0.0,TRY,
