,address1,address2,city,state,zip,country,phone,fax,website,industry,sector,longBusinessSummary,companyOfficers,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,payoutRatio,beta,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,heldPercentInsiders,heldPercentInstitutions,bookValue,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,netIncomeToCommon,trailingEps,lastSplitFactor,lastSplitDate,enterpriseToEbitda,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,recommendationKey,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,returnOnAssets,returnOnEquity,freeCashflow,operatingCashflow,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,885 West Georgia Street,Suite 1400,Vancouver,BC,V6C 3E8,Canada,604-601-2006,604-683-8125,https://www.nevadaexploration.com,Gold,Basic Materials,"Nevada Exploration Inc., a junior mineral exploration company, engages in the acquisition, exploration, and development of resource properties in Canada and the United States. It primarily explores for gold deposits. Nevada Exploration Inc. is headquartered in Vancouver, Canada.","{'maxAge': 1, 'name': 'Ms. Christina  Blacker C.A.', 'age': 40, 'title': 'CFO & Corp. Sec.', 'yearBorn': 1982, 'fiscalYear': 2022, 'totalPay': 66474, 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,4,0.12,0.1124,0.12,0.12,0.12,0.1124,0.12,0.12,0.0,0.981878,20,20,7193,200,200,0.0,0.0,0,0,2371788,0.005,0.186,0.110414,0.0964185,0.0,0.0,USD,2619724,0.0,16392584,19764900,0.070760004,0.029560002,-0.098,1682812800,1714435200,1682812800,-3111283,-0.34,1:10,1440633600,-1.026,PNK,EQUITY,NVDEF,NVDEF,NEVADA EXPLORATION INC,Nevada Exploration Inc.,1473255000,America/New_York,EDT,-14400000,0.12,none,10523,0.001,-2552839,258464,0.021,0.053,-1.16159,-4.19189,605151,-865049,0.0,0.0,0.0,CAD,
1,885 West Georgia Street,Suite 1400,Vancouver,BC,V6C 3E8,Canada,604-601-2006,604-683-8125,https://www.nevadaexploration.com,Gold,Basic Materials,"Nevada Exploration Inc., a junior mineral exploration company, engages in the acquisition, exploration, and development of resource properties in Canada and the United States. It primarily explores for gold deposits. Nevada Exploration Inc. is headquartered in Vancouver, Canada.","{'maxAge': 1, 'name': 'Ms. Anne  Labelle B.Sc., L.L.B.', 'title': 'CEO, Interim Pres & Director', 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,4,0.12,0.1124,0.12,0.12,0.12,0.1124,0.12,0.12,0.0,0.981878,20,20,7193,200,200,0.0,0.0,0,0,2371788,0.005,0.186,0.110414,0.0964185,0.0,0.0,USD,2619724,0.0,16392584,19764900,0.070760004,0.029560002,-0.098,1682812800,1714435200,1682812800,-3111283,-0.34,1:10,1440633600,-1.026,PNK,EQUITY,NVDEF,NVDEF,NEVADA EXPLORATION INC,Nevada Exploration Inc.,1473255000,America/New_York,EDT,-14400000,0.12,none,10523,0.001,-2552839,258464,0.021,0.053,-1.16159,-4.19189,605151,-865049,0.0,0.0,0.0,CAD,
