,address1,address2,city,state,zip,country,phone,website,industry,industryDisp,sector,sectorDisp,longBusinessSummary,fullTimeEmployees,companyOfficers,auditRisk,boardRisk,compensationRisk,shareHolderRightsRisk,overallRisk,governanceEpochDate,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,exDividendDate,payoutRatio,beta,forwardPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,sharesShort,sharesShortPriorMonth,sharesShortPreviousMonthDate,dateShortInterest,sharesPercentSharesOut,heldPercentInsiders,heldPercentInstitutions,shortRatio,shortPercentOfFloat,impliedSharesOutstanding,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,netIncomeToCommon,trailingEps,forwardEps,lastSplitFactor,lastSplitDate,enterpriseToRevenue,enterpriseToEbitda,52WeekChange,SandP52WeekChange,lastDividendValue,lastDividendDate,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,uuid,messageBoardId,gmtOffSetMilliseconds,currentPrice,recommendationMean,recommendationKey,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,freeCashflow,operatingCashflow,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,4582 South Ulster Street,Suite 1450,Denver,CO,80237-2632,United States,303 224 7900,https://www.aimco.com,REIT—Residential,REIT—Residential,Real Estate,Real Estate,"Aimco is a diversified real estate company primarily focused on value add and opportunistic investments, targeting the U.S. multifamily sector. Aimco's mission is to make real estate investments where outcomes are enhanced through our human capital so that substantial value is created for investors, teammates, and the communities in which we operate. Aimco is traded on the New York Stock Exchange as AIV.",62,"{'maxAge': 1, 'name': 'Mr. Wesley William Powell', 'age': 42, 'title': 'Pres, CEO & Director', 'yearBorn': 1980, 'fiscalYear': 2022, 'totalPay': 1758716, 'exercisedValue': 0, 'unexercisedValue': 0}",9,2,1,7,4,1693526400,1672444800,86400,2,7.37,7.32,7.24,7.39,7.37,7.32,7.24,7.39,1663027200,0.0,1.478117,28.23077,2735649,2735649,1073216,1033220,1033220,7.24,7.97,800,800,1085064832,6.47,8.93,6.022484,8.1176,7.88405,0.0,0.0,USD,2351945984,-1.0214801,128036855,147828992,10185814,9696650,1690761600,1693440000,0.0689,0.08125,0.92334,12.62,0.096599996,147828992,3.633,2.020369,1672444800,1703980800,1688083200,-181716000,-1.22,0.26,9295:1000,1607990400,13.054,32.005,-0.17062145,0.14113986,0.02,1663027200,NYQ,EQUITY,AIV,AIV,Apartment Investment and Manage,Apartment Investment and Management Company,774883800,America/New_York,EDT,3a696100-e6c8-36c5-83be-2a2acaf0548d,finmb_688391455,-14400000,7.34,3.0,hold,173988000,1.176,73486000,1194999040,1.655,2.398,180168992,155.719,1.225,0.00671,-0.21502,119131000,19202250,196539008,-0.097,0.61619,0.40787,0.13819,USD,
1,4582 South Ulster Street,Suite 1450,Denver,CO,80237-2632,United States,303 224 7900,https://www.aimco.com,REIT—Residential,REIT—Residential,Real Estate,Real Estate,"Aimco is a diversified real estate company primarily focused on value add and opportunistic investments, targeting the U.S. multifamily sector. Aimco's mission is to make real estate investments where outcomes are enhanced through our human capital so that substantial value is created for investors, teammates, and the communities in which we operate. Aimco is traded on the New York Stock Exchange as AIV.",62,"{'maxAge': 1, 'name': 'Ms. H. Lynn C. Stanfield', 'age': 46, 'title': 'Exec. VP & CFO', 'yearBorn': 1976, 'fiscalYear': 2022, 'totalPay': 1267953, 'exercisedValue': 0, 'unexercisedValue': 0}",9,2,1,7,4,1693526400,1672444800,86400,2,7.37,7.32,7.24,7.39,7.37,7.32,7.24,7.39,1663027200,0.0,1.478117,28.23077,2735649,2735649,1073216,1033220,1033220,7.24,7.97,800,800,1085064832,6.47,8.93,6.022484,8.1176,7.88405,0.0,0.0,USD,2351945984,-1.0214801,128036855,147828992,10185814,9696650,1690761600,1693440000,0.0689,0.08125,0.92334,12.62,0.096599996,147828992,3.633,2.020369,1672444800,1703980800,1688083200,-181716000,-1.22,0.26,9295:1000,1607990400,13.054,32.005,-0.17062145,0.14113986,0.02,1663027200,NYQ,EQUITY,AIV,AIV,Apartment Investment and Manage,Apartment Investment and Management Company,774883800,America/New_York,EDT,3a696100-e6c8-36c5-83be-2a2acaf0548d,finmb_688391455,-14400000,7.34,3.0,hold,173988000,1.176,73486000,1194999040,1.655,2.398,180168992,155.719,1.225,0.00671,-0.21502,119131000,19202250,196539008,-0.097,0.61619,0.40787,0.13819,USD,
2,4582 South Ulster Street,Suite 1450,Denver,CO,80237-2632,United States,303 224 7900,https://www.aimco.com,REIT—Residential,REIT—Residential,Real Estate,Real Estate,"Aimco is a diversified real estate company primarily focused on value add and opportunistic investments, targeting the U.S. multifamily sector. Aimco's mission is to make real estate investments where outcomes are enhanced through our human capital so that substantial value is created for investors, teammates, and the communities in which we operate. Aimco is traded on the New York Stock Exchange as AIV.",62,"{'maxAge': 1, 'name': 'Ms. Jennifer B. Johnson', 'age': 49, 'title': 'Exec. VP, Chief Admin. Officer, Gen. Counsel & Sec.', 'yearBorn': 1973, 'fiscalYear': 2022, 'totalPay': 1181509, 'exercisedValue': 0, 'unexercisedValue': 0}",9,2,1,7,4,1693526400,1672444800,86400,2,7.37,7.32,7.24,7.39,7.37,7.32,7.24,7.39,1663027200,0.0,1.478117,28.23077,2735649,2735649,1073216,1033220,1033220,7.24,7.97,800,800,1085064832,6.47,8.93,6.022484,8.1176,7.88405,0.0,0.0,USD,2351945984,-1.0214801,128036855,147828992,10185814,9696650,1690761600,1693440000,0.0689,0.08125,0.92334,12.62,0.096599996,147828992,3.633,2.020369,1672444800,1703980800,1688083200,-181716000,-1.22,0.26,9295:1000,1607990400,13.054,32.005,-0.17062145,0.14113986,0.02,1663027200,NYQ,EQUITY,AIV,AIV,Apartment Investment and Manage,Apartment Investment and Management Company,774883800,America/New_York,EDT,3a696100-e6c8-36c5-83be-2a2acaf0548d,finmb_688391455,-14400000,7.34,3.0,hold,173988000,1.176,73486000,1194999040,1.655,2.398,180168992,155.719,1.225,0.00671,-0.21502,119131000,19202250,196539008,-0.097,0.61619,0.40787,0.13819,USD,
3,4582 South Ulster Street,Suite 1450,Denver,CO,80237-2632,United States,303 224 7900,https://www.aimco.com,REIT—Residential,REIT—Residential,Real Estate,Real Estate,"Aimco is a diversified real estate company primarily focused on value add and opportunistic investments, targeting the U.S. multifamily sector. Aimco's mission is to make real estate investments where outcomes are enhanced through our human capital so that substantial value is created for investors, teammates, and the communities in which we operate. Aimco is traded on the New York Stock Exchange as AIV.",62,"{'maxAge': 1, 'name': 'Ms. Kellie  Dreyer', 'age': 36, 'title': 'Sr. VP & Chief Accounting Officer', 'yearBorn': 1986, 'exercisedValue': 0, 'unexercisedValue': 0}",9,2,1,7,4,1693526400,1672444800,86400,2,7.37,7.32,7.24,7.39,7.37,7.32,7.24,7.39,1663027200,0.0,1.478117,28.23077,2735649,2735649,1073216,1033220,1033220,7.24,7.97,800,800,1085064832,6.47,8.93,6.022484,8.1176,7.88405,0.0,0.0,USD,2351945984,-1.0214801,128036855,147828992,10185814,9696650,1690761600,1693440000,0.0689,0.08125,0.92334,12.62,0.096599996,147828992,3.633,2.020369,1672444800,1703980800,1688083200,-181716000,-1.22,0.26,9295:1000,1607990400,13.054,32.005,-0.17062145,0.14113986,0.02,1663027200,NYQ,EQUITY,AIV,AIV,Apartment Investment and Manage,Apartment Investment and Management Company,774883800,America/New_York,EDT,3a696100-e6c8-36c5-83be-2a2acaf0548d,finmb_688391455,-14400000,7.34,3.0,hold,173988000,1.176,73486000,1194999040,1.655,2.398,180168992,155.719,1.225,0.00671,-0.21502,119131000,19202250,196539008,-0.097,0.61619,0.40787,0.13819,USD,
4,4582 South Ulster Street,Suite 1450,Denver,CO,80237-2632,United States,303 224 7900,https://www.aimco.com,REIT—Residential,REIT—Residential,Real Estate,Real Estate,"Aimco is a diversified real estate company primarily focused on value add and opportunistic investments, targeting the U.S. multifamily sector. Aimco's mission is to make real estate investments where outcomes are enhanced through our human capital so that substantial value is created for investors, teammates, and the communities in which we operate. Aimco is traded on the New York Stock Exchange as AIV.",62,"{'maxAge': 1, 'name': 'Mr. Kelley  Babin', 'title': 'Sr. VP & Chief Information Officer', 'exercisedValue': 0, 'unexercisedValue': 0}",9,2,1,7,4,1693526400,1672444800,86400,2,7.37,7.32,7.24,7.39,7.37,7.32,7.24,7.39,1663027200,0.0,1.478117,28.23077,2735649,2735649,1073216,1033220,1033220,7.24,7.97,800,800,1085064832,6.47,8.93,6.022484,8.1176,7.88405,0.0,0.0,USD,2351945984,-1.0214801,128036855,147828992,10185814,9696650,1690761600,1693440000,0.0689,0.08125,0.92334,12.62,0.096599996,147828992,3.633,2.020369,1672444800,1703980800,1688083200,-181716000,-1.22,0.26,9295:1000,1607990400,13.054,32.005,-0.17062145,0.14113986,0.02,1663027200,NYQ,EQUITY,AIV,AIV,Apartment Investment and Manage,Apartment Investment and Management Company,774883800,America/New_York,EDT,3a696100-e6c8-36c5-83be-2a2acaf0548d,finmb_688391455,-14400000,7.34,3.0,hold,173988000,1.176,73486000,1194999040,1.655,2.398,180168992,155.719,1.225,0.00671,-0.21502,119131000,19202250,196539008,-0.097,0.61619,0.40787,0.13819,USD,
5,4582 South Ulster Street,Suite 1450,Denver,CO,80237-2632,United States,303 224 7900,https://www.aimco.com,REIT—Residential,REIT—Residential,Real Estate,Real Estate,"Aimco is a diversified real estate company primarily focused on value add and opportunistic investments, targeting the U.S. multifamily sector. Aimco's mission is to make real estate investments where outcomes are enhanced through our human capital so that substantial value is created for investors, teammates, and the communities in which we operate. Aimco is traded on the New York Stock Exchange as AIV.",62,"{'maxAge': 1, 'name': 'Matt  Foster', 'title': 'Sr. Director of Capital Markets & Investor Relations', 'exercisedValue': 0, 'unexercisedValue': 0}",9,2,1,7,4,1693526400,1672444800,86400,2,7.37,7.32,7.24,7.39,7.37,7.32,7.24,7.39,1663027200,0.0,1.478117,28.23077,2735649,2735649,1073216,1033220,1033220,7.24,7.97,800,800,1085064832,6.47,8.93,6.022484,8.1176,7.88405,0.0,0.0,USD,2351945984,-1.0214801,128036855,147828992,10185814,9696650,1690761600,1693440000,0.0689,0.08125,0.92334,12.62,0.096599996,147828992,3.633,2.020369,1672444800,1703980800,1688083200,-181716000,-1.22,0.26,9295:1000,1607990400,13.054,32.005,-0.17062145,0.14113986,0.02,1663027200,NYQ,EQUITY,AIV,AIV,Apartment Investment and Manage,Apartment Investment and Management Company,774883800,America/New_York,EDT,3a696100-e6c8-36c5-83be-2a2acaf0548d,finmb_688391455,-14400000,7.34,3.0,hold,173988000,1.176,73486000,1194999040,1.655,2.398,180168992,155.719,1.225,0.00671,-0.21502,119131000,19202250,196539008,-0.097,0.61619,0.40787,0.13819,USD,
6,4582 South Ulster Street,Suite 1450,Denver,CO,80237-2632,United States,303 224 7900,https://www.aimco.com,REIT—Residential,REIT—Residential,Real Estate,Real Estate,"Aimco is a diversified real estate company primarily focused on value add and opportunistic investments, targeting the U.S. multifamily sector. Aimco's mission is to make real estate investments where outcomes are enhanced through our human capital so that substantial value is created for investors, teammates, and the communities in which we operate. Aimco is traded on the New York Stock Exchange as AIV.",62,"{'maxAge': 1, 'name': 'Mr. Derek  Ullian', 'title': 'Sr. VP of Devel.', 'exercisedValue': 0, 'unexercisedValue': 0}",9,2,1,7,4,1693526400,1672444800,86400,2,7.37,7.32,7.24,7.39,7.37,7.32,7.24,7.39,1663027200,0.0,1.478117,28.23077,2735649,2735649,1073216,1033220,1033220,7.24,7.97,800,800,1085064832,6.47,8.93,6.022484,8.1176,7.88405,0.0,0.0,USD,2351945984,-1.0214801,128036855,147828992,10185814,9696650,1690761600,1693440000,0.0689,0.08125,0.92334,12.62,0.096599996,147828992,3.633,2.020369,1672444800,1703980800,1688083200,-181716000,-1.22,0.26,9295:1000,1607990400,13.054,32.005,-0.17062145,0.14113986,0.02,1663027200,NYQ,EQUITY,AIV,AIV,Apartment Investment and Manage,Apartment Investment and Management Company,774883800,America/New_York,EDT,3a696100-e6c8-36c5-83be-2a2acaf0548d,finmb_688391455,-14400000,7.34,3.0,hold,173988000,1.176,73486000,1194999040,1.655,2.398,180168992,155.719,1.225,0.00671,-0.21502,119131000,19202250,196539008,-0.097,0.61619,0.40787,0.13819,USD,
7,4582 South Ulster Street,Suite 1450,Denver,CO,80237-2632,United States,303 224 7900,https://www.aimco.com,REIT—Residential,REIT—Residential,Real Estate,Real Estate,"Aimco is a diversified real estate company primarily focused on value add and opportunistic investments, targeting the U.S. multifamily sector. Aimco's mission is to make real estate investments where outcomes are enhanced through our human capital so that substantial value is created for investors, teammates, and the communities in which we operate. Aimco is traded on the New York Stock Exchange as AIV.",62,"{'maxAge': 1, 'name': 'Ms. Elizabeth Tizzie Likovich', 'title': 'Sr. VP of Central Region', 'exercisedValue': 0, 'unexercisedValue': 0}",9,2,1,7,4,1693526400,1672444800,86400,2,7.37,7.32,7.24,7.39,7.37,7.32,7.24,7.39,1663027200,0.0,1.478117,28.23077,2735649,2735649,1073216,1033220,1033220,7.24,7.97,800,800,1085064832,6.47,8.93,6.022484,8.1176,7.88405,0.0,0.0,USD,2351945984,-1.0214801,128036855,147828992,10185814,9696650,1690761600,1693440000,0.0689,0.08125,0.92334,12.62,0.096599996,147828992,3.633,2.020369,1672444800,1703980800,1688083200,-181716000,-1.22,0.26,9295:1000,1607990400,13.054,32.005,-0.17062145,0.14113986,0.02,1663027200,NYQ,EQUITY,AIV,AIV,Apartment Investment and Manage,Apartment Investment and Management Company,774883800,America/New_York,EDT,3a696100-e6c8-36c5-83be-2a2acaf0548d,finmb_688391455,-14400000,7.34,3.0,hold,173988000,1.176,73486000,1194999040,1.655,2.398,180168992,155.719,1.225,0.00671,-0.21502,119131000,19202250,196539008,-0.097,0.61619,0.40787,0.13819,USD,
8,4582 South Ulster Street,Suite 1450,Denver,CO,80237-2632,United States,303 224 7900,https://www.aimco.com,REIT—Residential,REIT—Residential,Real Estate,Real Estate,"Aimco is a diversified real estate company primarily focused on value add and opportunistic investments, targeting the U.S. multifamily sector. Aimco's mission is to make real estate investments where outcomes are enhanced through our human capital so that substantial value is created for investors, teammates, and the communities in which we operate. Aimco is traded on the New York Stock Exchange as AIV.",62,"{'maxAge': 1, 'name': 'Mr. Lee  Hodges', 'title': 'Sr. VP of South East Region', 'exercisedValue': 0, 'unexercisedValue': 0}",9,2,1,7,4,1693526400,1672444800,86400,2,7.37,7.32,7.24,7.39,7.37,7.32,7.24,7.39,1663027200,0.0,1.478117,28.23077,2735649,2735649,1073216,1033220,1033220,7.24,7.97,800,800,1085064832,6.47,8.93,6.022484,8.1176,7.88405,0.0,0.0,USD,2351945984,-1.0214801,128036855,147828992,10185814,9696650,1690761600,1693440000,0.0689,0.08125,0.92334,12.62,0.096599996,147828992,3.633,2.020369,1672444800,1703980800,1688083200,-181716000,-1.22,0.26,9295:1000,1607990400,13.054,32.005,-0.17062145,0.14113986,0.02,1663027200,NYQ,EQUITY,AIV,AIV,Apartment Investment and Manage,Apartment Investment and Management Company,774883800,America/New_York,EDT,3a696100-e6c8-36c5-83be-2a2acaf0548d,finmb_688391455,-14400000,7.34,3.0,hold,173988000,1.176,73486000,1194999040,1.655,2.398,180168992,155.719,1.225,0.00671,-0.21502,119131000,19202250,196539008,-0.097,0.61619,0.40787,0.13819,USD,
9,4582 South Ulster Street,Suite 1450,Denver,CO,80237-2632,United States,303 224 7900,https://www.aimco.com,REIT—Residential,REIT—Residential,Real Estate,Real Estate,"Aimco is a diversified real estate company primarily focused on value add and opportunistic investments, targeting the U.S. multifamily sector. Aimco's mission is to make real estate investments where outcomes are enhanced through our human capital so that substantial value is created for investors, teammates, and the communities in which we operate. Aimco is traded on the New York Stock Exchange as AIV.",62,"{'maxAge': 1, 'name': 'Mr. Matt  Konrad', 'title': 'Sr. VP of National Transactions', 'exercisedValue': 0, 'unexercisedValue': 0}",9,2,1,7,4,1693526400,1672444800,86400,2,7.37,7.32,7.24,7.39,7.37,7.32,7.24,7.39,1663027200,0.0,1.478117,28.23077,2735649,2735649,1073216,1033220,1033220,7.24,7.97,800,800,1085064832,6.47,8.93,6.022484,8.1176,7.88405,0.0,0.0,USD,2351945984,-1.0214801,128036855,147828992,10185814,9696650,1690761600,1693440000,0.0689,0.08125,0.92334,12.62,0.096599996,147828992,3.633,2.020369,1672444800,1703980800,1688083200,-181716000,-1.22,0.26,9295:1000,1607990400,13.054,32.005,-0.17062145,0.14113986,0.02,1663027200,NYQ,EQUITY,AIV,AIV,Apartment Investment and Manage,Apartment Investment and Management Company,774883800,America/New_York,EDT,3a696100-e6c8-36c5-83be-2a2acaf0548d,finmb_688391455,-14400000,7.34,3.0,hold,173988000,1.176,73486000,1194999040,1.655,2.398,180168992,155.719,1.225,0.00671,-0.21502,119131000,19202250,196539008,-0.097,0.61619,0.40787,0.13819,USD,
