,address1,address2,city,zip,country,phone,website,industry,sector,longBusinessSummary,fullTimeEmployees,companyOfficers,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,beta,trailingPE,volume,regularMarketVolume,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,profitMargins,floatShares,sharesOutstanding,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,netIncomeToCommon,trailingEps,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,recommendationKey,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,freeCashflow,operatingCashflow,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,42 Edward Street,Suite 201 P.O. Box 469,George Town,KY1-9006,Cayman Islands,345 749 7570,https://www.oxbridgere.com,Insurance—Reinsurance,Financial Services,"Oxbridge Re Holdings Limited, together with its subsidiaries, provides specialty property and casualty reinsurance solutions. The company underwrites reinsurance contracts primarily for property and casualty insurance companies in the Gulf Coast region of the United States. It distributes its products and solutions through reinsurance brokers. Oxbridge Re Holdings Limited was incorporated in 2013 and is headquartered in George Town, the Cayman Islands.",4,"{'maxAge': 1, 'name': 'Mr. Sanjay  Madhu', 'age': 56, 'title': 'Chairman, Pres & CEO', 'yearBorn': 1966, 'fiscalYear': 2022, 'totalPay': 290305, 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,4,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,1.491009,0.056577083,2778,2778,0.0587,0.07,3000,1300,458687,0.08,0.08,0.28994122,0.0,0.0,USD,-0.89886004,4592284,5733590,2.582,0.030983733,1672444800,1703980800,1688083200,-1422000,1.414,NCM,EQUITY,OXBRW,OXBRW,Oxbridge Re Holdings Limited,Oxbridge Re Holdings Limited,America/New_York,EDT,-14400000,0.08,none,3117000,0.531,-1338000,178000,2.076,2.32,1582000,1.175,0.272,-0.04615,-0.09011,-19267000,1043625,-1968000,0.374,0.26738,-0.84576,-0.84893,USD,
1,42 Edward Street,Suite 201 P.O. Box 469,George Town,KY1-9006,Cayman Islands,345 749 7570,https://www.oxbridgere.com,Insurance—Reinsurance,Financial Services,"Oxbridge Re Holdings Limited, together with its subsidiaries, provides specialty property and casualty reinsurance solutions. The company underwrites reinsurance contracts primarily for property and casualty insurance companies in the Gulf Coast region of the United States. It distributes its products and solutions through reinsurance brokers. Oxbridge Re Holdings Limited was incorporated in 2013 and is headquartered in George Town, the Cayman Islands.",4,"{'maxAge': 1, 'name': 'Mr. Wrendon  Timothy', 'age': 42, 'title': 'CFO, Sec. & Director', 'yearBorn': 1980, 'fiscalYear': 2022, 'totalPay': 167305, 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,4,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,1.491009,0.056577083,2778,2778,0.0587,0.07,3000,1300,458687,0.08,0.08,0.28994122,0.0,0.0,USD,-0.89886004,4592284,5733590,2.582,0.030983733,1672444800,1703980800,1688083200,-1422000,1.414,NCM,EQUITY,OXBRW,OXBRW,Oxbridge Re Holdings Limited,Oxbridge Re Holdings Limited,America/New_York,EDT,-14400000,0.08,none,3117000,0.531,-1338000,178000,2.076,2.32,1582000,1.175,0.272,-0.04615,-0.09011,-19267000,1043625,-1968000,0.374,0.26738,-0.84576,-0.84893,USD,
2,42 Edward Street,Suite 201 P.O. Box 469,George Town,KY1-9006,Cayman Islands,345 749 7570,https://www.oxbridgere.com,Insurance—Reinsurance,Financial Services,"Oxbridge Re Holdings Limited, together with its subsidiaries, provides specialty property and casualty reinsurance solutions. The company underwrites reinsurance contracts primarily for property and casualty insurance companies in the Gulf Coast region of the United States. It distributes its products and solutions through reinsurance brokers. Oxbridge Re Holdings Limited was incorporated in 2013 and is headquartered in George Town, the Cayman Islands.",4,"{'maxAge': 1, 'name': 'Dr. Reuel  Ocho', 'title': 'Head of Special Projects', 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,4,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,1.491009,0.056577083,2778,2778,0.0587,0.07,3000,1300,458687,0.08,0.08,0.28994122,0.0,0.0,USD,-0.89886004,4592284,5733590,2.582,0.030983733,1672444800,1703980800,1688083200,-1422000,1.414,NCM,EQUITY,OXBRW,OXBRW,Oxbridge Re Holdings Limited,Oxbridge Re Holdings Limited,America/New_York,EDT,-14400000,0.08,none,3117000,0.531,-1338000,178000,2.076,2.32,1582000,1.175,0.272,-0.04615,-0.09011,-19267000,1043625,-1968000,0.374,0.26738,-0.84576,-0.84893,USD,
