,address1,address2,city,state,zip,country,phone,website,industry,sector,longBusinessSummary,fullTimeEmployees,companyOfficers,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,payoutRatio,beta,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,sharesOutstanding,bookValue,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,netIncomeToCommon,trailingEps,lastSplitFactor,lastSplitDate,enterpriseToRevenue,enterpriseToEbitda,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,recommendationKey,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,revenuePerShare,returnOnAssets,grossProfits,freeCashflow,operatingCashflow,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,520 Zang Street,Suite 250,Broomfield,CO,80021,United States,720-502-4483,https://www.t-rexoilinc.com,Diagnostics & Research,Healthcare,"Columbine Valley Resources, Inc. engages in the acquisition, exploration, and development of oil and gas properties in the United States. The company owns various properties, which are primarily located in the Rocky Mountain region of Wyoming, as well as Nebraska. Columbine Valley Resources, Inc. is headquartered in Broomfield, Colorado.",7,"{'maxAge': 1, 'name': 'Mr. Donald L. Walford', 'age': 76, 'title': 'Chairman & CEO', 'yearBorn': 1946, 'fiscalYear': 2016, 'totalPay': 199995, 'exercisedValue': 0, 'unexercisedValue': 0}",1483142400,86400,4,0.076,0.076,0.076,0.076,0.076,0.076,0.076,0.076,0.0,-51.884506,2,2,114,0,0,0.0,0.0,0,0,2163226,0.04,0.6,2.354201,0.0732,0.052395,0.0,0.0,USD,1303695,0.0,2528230,-0.903,1490918400,1522454400,1498780800,-3878549,-0.38,1:7,1582156800,1.419,-0.472,PNK,EQUITY,TRXO,TRXO,COLUMBINE VALLEY RESOURCES INC,"Columbine Valley Resources, Inc.",1414675800,America/New_York,EDT,-14400000,0.076,none,69662,0.028,-2760188,1181212,0.044,0.087,918879,0.374,-0.78255,146294,51918,-638181,-0.445,0.09518,0.0,-3.62604,USD,
1,520 Zang Street,Suite 250,Broomfield,CO,80021,United States,720-502-4483,https://www.t-rexoilinc.com,Diagnostics & Research,Healthcare,"Columbine Valley Resources, Inc. engages in the acquisition, exploration, and development of oil and gas properties in the United States. The company owns various properties, which are primarily located in the Rocky Mountain region of Wyoming, as well as Nebraska. Columbine Valley Resources, Inc. is headquartered in Broomfield, Colorado.",7,"{'maxAge': 1, 'name': 'Mr. Martin R. Gottlob', 'age': 71, 'title': 'VP of Geology & Director', 'yearBorn': 1951, 'fiscalYear': 2016, 'totalPay': 168696, 'exercisedValue': 0, 'unexercisedValue': 0}",1483142400,86400,4,0.076,0.076,0.076,0.076,0.076,0.076,0.076,0.076,0.0,-51.884506,2,2,114,0,0,0.0,0.0,0,0,2163226,0.04,0.6,2.354201,0.0732,0.052395,0.0,0.0,USD,1303695,0.0,2528230,-0.903,1490918400,1522454400,1498780800,-3878549,-0.38,1:7,1582156800,1.419,-0.472,PNK,EQUITY,TRXO,TRXO,COLUMBINE VALLEY RESOURCES INC,"Columbine Valley Resources, Inc.",1414675800,America/New_York,EDT,-14400000,0.076,none,69662,0.028,-2760188,1181212,0.044,0.087,918879,0.374,-0.78255,146294,51918,-638181,-0.445,0.09518,0.0,-3.62604,USD,
2,520 Zang Street,Suite 250,Broomfield,CO,80021,United States,720-502-4483,https://www.t-rexoilinc.com,Diagnostics & Research,Healthcare,"Columbine Valley Resources, Inc. engages in the acquisition, exploration, and development of oil and gas properties in the United States. The company owns various properties, which are primarily located in the Rocky Mountain region of Wyoming, as well as Nebraska. Columbine Valley Resources, Inc. is headquartered in Broomfield, Colorado.",7,"{'maxAge': 1, 'name': 'Ms. Rhonda A. White', 'title': 'VP of Fin.', 'exercisedValue': 0, 'unexercisedValue': 0}",1483142400,86400,4,0.076,0.076,0.076,0.076,0.076,0.076,0.076,0.076,0.0,-51.884506,2,2,114,0,0,0.0,0.0,0,0,2163226,0.04,0.6,2.354201,0.0732,0.052395,0.0,0.0,USD,1303695,0.0,2528230,-0.903,1490918400,1522454400,1498780800,-3878549,-0.38,1:7,1582156800,1.419,-0.472,PNK,EQUITY,TRXO,TRXO,COLUMBINE VALLEY RESOURCES INC,"Columbine Valley Resources, Inc.",1414675800,America/New_York,EDT,-14400000,0.076,none,69662,0.028,-2760188,1181212,0.044,0.087,918879,0.374,-0.78255,146294,51918,-638181,-0.445,0.09518,0.0,-3.62604,USD,
