,address1,city,state,zip,country,phone,industry,sector,longBusinessSummary,companyOfficers,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,beta,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,sharesOutstanding,heldPercentInsiders,heldPercentInstitutions,bookValue,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,netIncomeToCommon,trailingEps,enterpriseToEbitda,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,recommendationKey,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,returnOnAssets,freeCashflow,operatingCashflow,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,20-1033 Pattullo Avenue,Woodstock,ON,N4V 1C8,Canada,866-307-1331,Other Industrial Metals & Mining,Basic Materials,"Sarissa Resources Inc. engages in mineral exploration business in Canada. The company was formerly known as Michigan Mining Investment Inc. and changed its name to Sarissa Resources Inc. in December 2006. Sarissa Resources Inc. was incorporated in 2005 and is based in Woodstock, Canada.","{'maxAge': 1, 'name': 'Mr. Benedetto  Fuschino', 'age': 60, 'title': 'Pres, CEO, Sec. & Director', 'yearBorn': 1962, 'exercisedValue': 0, 'unexercisedValue': 0}",86400,4,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,10.598547,23000,23000,0,0,0,0.0,0.0,0,0,95465,1e-05,0.0001,0.0001,0.0001,0.0,0.0,USD,1825071,0.0,954652032,0.0,0.0,-0.003,1325289600,1356912000,1333152000,-1250080,-0.002,-1.401,PNK,EQUITY,SRSR,SRSR,SARISSA RESOURCES INC,Sarissa Resources Inc.,873293400,America/New_York,EDT,-14400000,0.0001,none,286,0.0,-1302701,1742150,0.04,0.04,-0.98565,-664897,-719438,0.0,0.0,0.0,USD,
1,20-1033 Pattullo Avenue,Woodstock,ON,N4V 1C8,Canada,866-307-1331,Other Industrial Metals & Mining,Basic Materials,"Sarissa Resources Inc. engages in mineral exploration business in Canada. The company was formerly known as Michigan Mining Investment Inc. and changed its name to Sarissa Resources Inc. in December 2006. Sarissa Resources Inc. was incorporated in 2005 and is based in Woodstock, Canada.","{'maxAge': 1, 'name': 'Mr. Dino  Micacchi C.A., CPA, CA', 'age': 67, 'title': 'CFO, Treasurer & Director', 'yearBorn': 1955, 'exercisedValue': 0, 'unexercisedValue': 0}",86400,4,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,10.598547,23000,23000,0,0,0,0.0,0.0,0,0,95465,1e-05,0.0001,0.0001,0.0001,0.0,0.0,USD,1825071,0.0,954652032,0.0,0.0,-0.003,1325289600,1356912000,1333152000,-1250080,-0.002,-1.401,PNK,EQUITY,SRSR,SRSR,SARISSA RESOURCES INC,Sarissa Resources Inc.,873293400,America/New_York,EDT,-14400000,0.0001,none,286,0.0,-1302701,1742150,0.04,0.04,-0.98565,-664897,-719438,0.0,0.0,0.0,USD,
2,20-1033 Pattullo Avenue,Woodstock,ON,N4V 1C8,Canada,866-307-1331,Other Industrial Metals & Mining,Basic Materials,"Sarissa Resources Inc. engages in mineral exploration business in Canada. The company was formerly known as Michigan Mining Investment Inc. and changed its name to Sarissa Resources Inc. in December 2006. Sarissa Resources Inc. was incorporated in 2005 and is based in Woodstock, Canada.","{'maxAge': 1, 'name': 'Mr. Benjamin Alan Ward', 'age': 42, 'title': 'Chief Operating Officer', 'yearBorn': 1980, 'exercisedValue': 0, 'unexercisedValue': 0}",86400,4,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,10.598547,23000,23000,0,0,0,0.0,0.0,0,0,95465,1e-05,0.0001,0.0001,0.0001,0.0,0.0,USD,1825071,0.0,954652032,0.0,0.0,-0.003,1325289600,1356912000,1333152000,-1250080,-0.002,-1.401,PNK,EQUITY,SRSR,SRSR,SARISSA RESOURCES INC,Sarissa Resources Inc.,873293400,America/New_York,EDT,-14400000,0.0001,none,286,0.0,-1302701,1742150,0.04,0.04,-0.98565,-664897,-719438,0.0,0.0,0.0,USD,
