,address1,address2,city,zip,country,phone,website,industry,sector,longBusinessSummary,fullTimeEmployees,companyOfficers,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,payoutRatio,beta,trailingPE,forwardPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,heldPercentInsiders,heldPercentInstitutions,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,earningsQuarterlyGrowth,netIncomeToCommon,trailingEps,forwardEps,pegRatio,enterpriseToRevenue,enterpriseToEbitda,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,recommendationMean,recommendationKey,numberOfAnalystOpinions,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,freeCashflow,operatingCashflow,earningsGrowth,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,"Avenue 77, A4",Triq in-Negozju Zone 3 Central Business District,Birkirkara,CBD 3010,Malta,356 2792 2100,https://www.kambi.com,Gambling,Consumer Cyclical,"Kambi Group plc operates as a business-to-business supplier of managed sports betting services to business-to-consumer gaming operators in Europe, the Americas, and internationally. The company's services include compliance, odds-compiling, customer intelligence, and risk management services built on an in-house developed software platform. Kambi Group plc was incroporated in 2010 and is based in Birkirkara, Malta.",1072,"{'maxAge': 1, 'name': 'Mr. Kristian  Nylen', 'age': 52, 'title': 'Chief Exec. Officer', 'yearBorn': 1970, 'fiscalYear': 2022, 'totalPay': 1363881, 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,2,180.1,180.1,177.4,183.0,180.1,180.1,177.4,183.0,0.0,0.852102,19.675325,16.174377,12622,12622,34868,18120,18120,181.0,183.0,0,0,5521866240,146.1,229.0,30.43927,188.752,194.1895,0.0,0.0,SEK,5476857856,0.1296,21350622,30373300,0.3039,0.16194001,5.364,33.89262,1672444800,1703980800,1688083200,-0.237,23510000,9.24,11.24,0.0,30.191,133.205,STO,EQUITY,KAMBI.ST,KAMBI.ST,Kambi Group Plc,Kambi Group plc,1401692400,Europe/Stockholm,CEST,7200000,181.8,248.68,218.93,234.4,234.4,1.7,buy,2,57074000,1.879,41116000,12062000,2.213,2.213,181406000,7.404,5.905,0.09667,0.15189,166006000,38485500,63076000,-0.231,0.237,0.98585,0.22665001,0.18531,EUR,
1,"Avenue 77, A4",Triq in-Negozju Zone 3 Central Business District,Birkirkara,CBD 3010,Malta,356 2792 2100,https://www.kambi.com,Gambling,Consumer Cyclical,"Kambi Group plc operates as a business-to-business supplier of managed sports betting services to business-to-consumer gaming operators in Europe, the Americas, and internationally. The company's services include compliance, odds-compiling, customer intelligence, and risk management services built on an in-house developed software platform. Kambi Group plc was incroporated in 2010 and is based in Birkirkara, Malta.",1072,"{'maxAge': 1, 'name': 'Mr. David  Kenyon', 'age': 47, 'title': 'Chief Financial Officer', 'yearBorn': 1975, 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,2,180.1,180.1,177.4,183.0,180.1,180.1,177.4,183.0,0.0,0.852102,19.675325,16.174377,12622,12622,34868,18120,18120,181.0,183.0,0,0,5521866240,146.1,229.0,30.43927,188.752,194.1895,0.0,0.0,SEK,5476857856,0.1296,21350622,30373300,0.3039,0.16194001,5.364,33.89262,1672444800,1703980800,1688083200,-0.237,23510000,9.24,11.24,0.0,30.191,133.205,STO,EQUITY,KAMBI.ST,KAMBI.ST,Kambi Group Plc,Kambi Group plc,1401692400,Europe/Stockholm,CEST,7200000,181.8,248.68,218.93,234.4,234.4,1.7,buy,2,57074000,1.879,41116000,12062000,2.213,2.213,181406000,7.404,5.905,0.09667,0.15189,166006000,38485500,63076000,-0.231,0.237,0.98585,0.22665001,0.18531,EUR,
2,"Avenue 77, A4",Triq in-Negozju Zone 3 Central Business District,Birkirkara,CBD 3010,Malta,356 2792 2100,https://www.kambi.com,Gambling,Consumer Cyclical,"Kambi Group plc operates as a business-to-business supplier of managed sports betting services to business-to-consumer gaming operators in Europe, the Americas, and internationally. The company's services include compliance, odds-compiling, customer intelligence, and risk management services built on an in-house developed software platform. Kambi Group plc was incroporated in 2010 and is based in Birkirkara, Malta.",1072,"{'maxAge': 1, 'name': 'Mr. Erik  Logdberg', 'age': 43, 'title': 'Chief Operating Officer', 'yearBorn': 1979, 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,2,180.1,180.1,177.4,183.0,180.1,180.1,177.4,183.0,0.0,0.852102,19.675325,16.174377,12622,12622,34868,18120,18120,181.0,183.0,0,0,5521866240,146.1,229.0,30.43927,188.752,194.1895,0.0,0.0,SEK,5476857856,0.1296,21350622,30373300,0.3039,0.16194001,5.364,33.89262,1672444800,1703980800,1688083200,-0.237,23510000,9.24,11.24,0.0,30.191,133.205,STO,EQUITY,KAMBI.ST,KAMBI.ST,Kambi Group Plc,Kambi Group plc,1401692400,Europe/Stockholm,CEST,7200000,181.8,248.68,218.93,234.4,234.4,1.7,buy,2,57074000,1.879,41116000,12062000,2.213,2.213,181406000,7.404,5.905,0.09667,0.15189,166006000,38485500,63076000,-0.231,0.237,0.98585,0.22665001,0.18531,EUR,
3,"Avenue 77, A4",Triq in-Negozju Zone 3 Central Business District,Birkirkara,CBD 3010,Malta,356 2792 2100,https://www.kambi.com,Gambling,Consumer Cyclical,"Kambi Group plc operates as a business-to-business supplier of managed sports betting services to business-to-consumer gaming operators in Europe, the Americas, and internationally. The company's services include compliance, odds-compiling, customer intelligence, and risk management services built on an in-house developed software platform. Kambi Group plc was incroporated in 2010 and is based in Birkirkara, Malta.",1072,"{'maxAge': 1, 'name': 'Mia  Nordlander', 'title': 'Sr. VP of Investor Relations', 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,2,180.1,180.1,177.4,183.0,180.1,180.1,177.4,183.0,0.0,0.852102,19.675325,16.174377,12622,12622,34868,18120,18120,181.0,183.0,0,0,5521866240,146.1,229.0,30.43927,188.752,194.1895,0.0,0.0,SEK,5476857856,0.1296,21350622,30373300,0.3039,0.16194001,5.364,33.89262,1672444800,1703980800,1688083200,-0.237,23510000,9.24,11.24,0.0,30.191,133.205,STO,EQUITY,KAMBI.ST,KAMBI.ST,Kambi Group Plc,Kambi Group plc,1401692400,Europe/Stockholm,CEST,7200000,181.8,248.68,218.93,234.4,234.4,1.7,buy,2,57074000,1.879,41116000,12062000,2.213,2.213,181406000,7.404,5.905,0.09667,0.15189,166006000,38485500,63076000,-0.231,0.237,0.98585,0.22665001,0.18531,EUR,
4,"Avenue 77, A4",Triq in-Negozju Zone 3 Central Business District,Birkirkara,CBD 3010,Malta,356 2792 2100,https://www.kambi.com,Gambling,Consumer Cyclical,"Kambi Group plc operates as a business-to-business supplier of managed sports betting services to business-to-consumer gaming operators in Europe, the Americas, and internationally. The company's services include compliance, odds-compiling, customer intelligence, and risk management services built on an in-house developed software platform. Kambi Group plc was incroporated in 2010 and is based in Birkirkara, Malta.",1072,"{'maxAge': 1, 'name': 'Mr. David  Carter', 'age': 43, 'title': 'Chief Legal Officer', 'yearBorn': 1979, 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,2,180.1,180.1,177.4,183.0,180.1,180.1,177.4,183.0,0.0,0.852102,19.675325,16.174377,12622,12622,34868,18120,18120,181.0,183.0,0,0,5521866240,146.1,229.0,30.43927,188.752,194.1895,0.0,0.0,SEK,5476857856,0.1296,21350622,30373300,0.3039,0.16194001,5.364,33.89262,1672444800,1703980800,1688083200,-0.237,23510000,9.24,11.24,0.0,30.191,133.205,STO,EQUITY,KAMBI.ST,KAMBI.ST,Kambi Group Plc,Kambi Group plc,1401692400,Europe/Stockholm,CEST,7200000,181.8,248.68,218.93,234.4,234.4,1.7,buy,2,57074000,1.879,41116000,12062000,2.213,2.213,181406000,7.404,5.905,0.09667,0.15189,166006000,38485500,63076000,-0.231,0.237,0.98585,0.22665001,0.18531,EUR,
5,"Avenue 77, A4",Triq in-Negozju Zone 3 Central Business District,Birkirkara,CBD 3010,Malta,356 2792 2100,https://www.kambi.com,Gambling,Consumer Cyclical,"Kambi Group plc operates as a business-to-business supplier of managed sports betting services to business-to-consumer gaming operators in Europe, the Americas, and internationally. The company's services include compliance, odds-compiling, customer intelligence, and risk management services built on an in-house developed software platform. Kambi Group plc was incroporated in 2010 and is based in Birkirkara, Malta.",1072,"{'maxAge': 1, 'name': 'Mr. Gerard  Starkey', 'title': 'SVP of Marketing', 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,2,180.1,180.1,177.4,183.0,180.1,180.1,177.4,183.0,0.0,0.852102,19.675325,16.174377,12622,12622,34868,18120,18120,181.0,183.0,0,0,5521866240,146.1,229.0,30.43927,188.752,194.1895,0.0,0.0,SEK,5476857856,0.1296,21350622,30373300,0.3039,0.16194001,5.364,33.89262,1672444800,1703980800,1688083200,-0.237,23510000,9.24,11.24,0.0,30.191,133.205,STO,EQUITY,KAMBI.ST,KAMBI.ST,Kambi Group Plc,Kambi Group plc,1401692400,Europe/Stockholm,CEST,7200000,181.8,248.68,218.93,234.4,234.4,1.7,buy,2,57074000,1.879,41116000,12062000,2.213,2.213,181406000,7.404,5.905,0.09667,0.15189,166006000,38485500,63076000,-0.231,0.237,0.98585,0.22665001,0.18531,EUR,
6,"Avenue 77, A4",Triq in-Negozju Zone 3 Central Business District,Birkirkara,CBD 3010,Malta,356 2792 2100,https://www.kambi.com,Gambling,Consumer Cyclical,"Kambi Group plc operates as a business-to-business supplier of managed sports betting services to business-to-consumer gaming operators in Europe, the Americas, and internationally. The company's services include compliance, odds-compiling, customer intelligence, and risk management services built on an in-house developed software platform. Kambi Group plc was incroporated in 2010 and is based in Birkirkara, Malta.",1072,"{'maxAge': 1, 'name': 'Ms. Cecilia  Wachtmeister', 'age': 56, 'title': 'Chief Commercial Officer', 'yearBorn': 1966, 'fiscalYear': 2020, 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,2,180.1,180.1,177.4,183.0,180.1,180.1,177.4,183.0,0.0,0.852102,19.675325,16.174377,12622,12622,34868,18120,18120,181.0,183.0,0,0,5521866240,146.1,229.0,30.43927,188.752,194.1895,0.0,0.0,SEK,5476857856,0.1296,21350622,30373300,0.3039,0.16194001,5.364,33.89262,1672444800,1703980800,1688083200,-0.237,23510000,9.24,11.24,0.0,30.191,133.205,STO,EQUITY,KAMBI.ST,KAMBI.ST,Kambi Group Plc,Kambi Group plc,1401692400,Europe/Stockholm,CEST,7200000,181.8,248.68,218.93,234.4,234.4,1.7,buy,2,57074000,1.879,41116000,12062000,2.213,2.213,181406000,7.404,5.905,0.09667,0.15189,166006000,38485500,63076000,-0.231,0.237,0.98585,0.22665001,0.18531,EUR,
7,"Avenue 77, A4",Triq in-Negozju Zone 3 Central Business District,Birkirkara,CBD 3010,Malta,356 2792 2100,https://www.kambi.com,Gambling,Consumer Cyclical,"Kambi Group plc operates as a business-to-business supplier of managed sports betting services to business-to-consumer gaming operators in Europe, the Americas, and internationally. The company's services include compliance, odds-compiling, customer intelligence, and risk management services built on an in-house developed software platform. Kambi Group plc was incroporated in 2010 and is based in Birkirkara, Malta.",1072,"{'maxAge': 1, 'name': 'Mr. Oliver  Lamb', 'title': 'Head of Sportsbook Control', 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,2,180.1,180.1,177.4,183.0,180.1,180.1,177.4,183.0,0.0,0.852102,19.675325,16.174377,12622,12622,34868,18120,18120,181.0,183.0,0,0,5521866240,146.1,229.0,30.43927,188.752,194.1895,0.0,0.0,SEK,5476857856,0.1296,21350622,30373300,0.3039,0.16194001,5.364,33.89262,1672444800,1703980800,1688083200,-0.237,23510000,9.24,11.24,0.0,30.191,133.205,STO,EQUITY,KAMBI.ST,KAMBI.ST,Kambi Group Plc,Kambi Group plc,1401692400,Europe/Stockholm,CEST,7200000,181.8,248.68,218.93,234.4,234.4,1.7,buy,2,57074000,1.879,41116000,12062000,2.213,2.213,181406000,7.404,5.905,0.09667,0.15189,166006000,38485500,63076000,-0.231,0.237,0.98585,0.22665001,0.18531,EUR,
8,"Avenue 77, A4",Triq in-Negozju Zone 3 Central Business District,Birkirkara,CBD 3010,Malta,356 2792 2100,https://www.kambi.com,Gambling,Consumer Cyclical,"Kambi Group plc operates as a business-to-business supplier of managed sports betting services to business-to-consumer gaming operators in Europe, the Americas, and internationally. The company's services include compliance, odds-compiling, customer intelligence, and risk management services built on an in-house developed software platform. Kambi Group plc was incroporated in 2010 and is based in Birkirkara, Malta.",1072,"{'maxAge': 1, 'name': 'Sarah  Grima', 'title': 'Company Sec.', 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,2,180.1,180.1,177.4,183.0,180.1,180.1,177.4,183.0,0.0,0.852102,19.675325,16.174377,12622,12622,34868,18120,18120,181.0,183.0,0,0,5521866240,146.1,229.0,30.43927,188.752,194.1895,0.0,0.0,SEK,5476857856,0.1296,21350622,30373300,0.3039,0.16194001,5.364,33.89262,1672444800,1703980800,1688083200,-0.237,23510000,9.24,11.24,0.0,30.191,133.205,STO,EQUITY,KAMBI.ST,KAMBI.ST,Kambi Group Plc,Kambi Group plc,1401692400,Europe/Stockholm,CEST,7200000,181.8,248.68,218.93,234.4,234.4,1.7,buy,2,57074000,1.879,41116000,12062000,2.213,2.213,181406000,7.404,5.905,0.09667,0.15189,166006000,38485500,63076000,-0.231,0.237,0.98585,0.22665001,0.18531,EUR,
9,"Avenue 77, A4",Triq in-Negozju Zone 3 Central Business District,Birkirkara,CBD 3010,Malta,356 2792 2100,https://www.kambi.com,Gambling,Consumer Cyclical,"Kambi Group plc operates as a business-to-business supplier of managed sports betting services to business-to-consumer gaming operators in Europe, the Americas, and internationally. The company's services include compliance, odds-compiling, customer intelligence, and risk management services built on an in-house developed software platform. Kambi Group plc was incroporated in 2010 and is based in Birkirkara, Malta.",1072,"{'maxAge': 1, 'name': 'Joseph  Ghio', 'title': 'Company Sec.', 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,2,180.1,180.1,177.4,183.0,180.1,180.1,177.4,183.0,0.0,0.852102,19.675325,16.174377,12622,12622,34868,18120,18120,181.0,183.0,0,0,5521866240,146.1,229.0,30.43927,188.752,194.1895,0.0,0.0,SEK,5476857856,0.1296,21350622,30373300,0.3039,0.16194001,5.364,33.89262,1672444800,1703980800,1688083200,-0.237,23510000,9.24,11.24,0.0,30.191,133.205,STO,EQUITY,KAMBI.ST,KAMBI.ST,Kambi Group Plc,Kambi Group plc,1401692400,Europe/Stockholm,CEST,7200000,181.8,248.68,218.93,234.4,234.4,1.7,buy,2,57074000,1.879,41116000,12062000,2.213,2.213,181406000,7.404,5.905,0.09667,0.15189,166006000,38485500,63076000,-0.231,0.237,0.98585,0.22665001,0.18531,EUR,
