,address1,address2,city,state,zip,country,phone,website,industry,sector,longBusinessSummary,companyOfficers,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,dividendRate,dividendYield,exDividendDate,payoutRatio,fiveYearAvgDividendYield,beta,trailingPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,sharesOutstanding,sharesShort,sharesShortPriorMonth,sharesShortPreviousMonthDate,dateShortInterest,sharesPercentSharesOut,heldPercentInsiders,heldPercentInstitutions,shortRatio,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,netIncomeToCommon,trailingEps,enterpriseToRevenue,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,recommendationKey,totalCash,totalCashPerShare,totalDebt,quickRatio,currentRatio,totalRevenue,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,120 East Liberty Drive,Suite 400,Wheaton,IL,60187,United States,630-765-8000,https://www.ftportfolios.com/retail/CEF/CEFsummary.aspx?Ticker=FMY,Asset Management,Financial Services,"First Trust Mortgage Income Fund is a closed-ended fixed income mutual fund launched and managed by First Trust Advisors L.P. It is co-managed by Brookfield Investment Management Inc. The fund invests in fixed income markets. It seeks to invest in fixed income securities including mortgage-backed securities, consisting of pass-through certificates, collateralized mortgage obligations, residential mortgage-backed securities, and commercial mortgage-backed securities. The fund was formerly known as the First Trust/FIDAC Mortgage Income Fund. First Trust Mortgage Income Fund was formed on May 25, 2005 and is domiciled in United States.","{'maxAge': 1, 'name': 'Mr. James  Snyder', 'title': 'Portfolio Mang.', 'exercisedValue': 0, 'unexercisedValue': 0}",86400,2,11.17,11.32,11.1818,11.32,11.17,11.32,11.1818,11.32,0.66,0.0586,1693526400,5.0769,5.46,0.259336,86.692314,897,897,4864,2500,2500,11.15,11.33,800,3000,47481864,10.52,12.11,14.652047,11.2766,11.3787,0.66,0.05908684,USD,45425608,0.16434999,4213120,593,846,1690761600,1693440000,0.0001,0.0,0.58861,0.18,12.489,0.9023941,1667174400,1698710400,1682812800,532587,0.13,14.018,NYQ,EQUITY,FMY,FMY,First Trust Motgage Income Fund,First Trust Mortgage Income Fund,1117114200,America/New_York,EDT,-14400000,11.27,none,2056200,0.488,0,0.519,0.54,3240630,0.769,0.02674,0.00991,2854601,0.29,1.0,0.0,0.78353,USD,
1,120 East Liberty Drive,Suite 400,Wheaton,IL,60187,United States,630-765-8000,https://www.ftportfolios.com/retail/CEF/CEFsummary.aspx?Ticker=FMY,Asset Management,Financial Services,"First Trust Mortgage Income Fund is a closed-ended fixed income mutual fund launched and managed by First Trust Advisors L.P. It is co-managed by Brookfield Investment Management Inc. The fund invests in fixed income markets. It seeks to invest in fixed income securities including mortgage-backed securities, consisting of pass-through certificates, collateralized mortgage obligations, residential mortgage-backed securities, and commercial mortgage-backed securities. The fund was formerly known as the First Trust/FIDAC Mortgage Income Fund. First Trust Mortgage Income Fund was formed on May 25, 2005 and is domiciled in United States.","{'maxAge': 1, 'name': 'Mr. Jeremiah  Charles', 'title': 'Portfolio Mang.', 'exercisedValue': 0, 'unexercisedValue': 0}",86400,2,11.17,11.32,11.1818,11.32,11.17,11.32,11.1818,11.32,0.66,0.0586,1693526400,5.0769,5.46,0.259336,86.692314,897,897,4864,2500,2500,11.15,11.33,800,3000,47481864,10.52,12.11,14.652047,11.2766,11.3787,0.66,0.05908684,USD,45425608,0.16434999,4213120,593,846,1690761600,1693440000,0.0001,0.0,0.58861,0.18,12.489,0.9023941,1667174400,1698710400,1682812800,532587,0.13,14.018,NYQ,EQUITY,FMY,FMY,First Trust Motgage Income Fund,First Trust Mortgage Income Fund,1117114200,America/New_York,EDT,-14400000,11.27,none,2056200,0.488,0,0.519,0.54,3240630,0.769,0.02674,0.00991,2854601,0.29,1.0,0.0,0.78353,USD,
