,address1,address2,city,zip,country,phone,fax,website,industry,sector,longBusinessSummary,fullTimeEmployees,companyOfficers,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,dividendRate,dividendYield,exDividendDate,payoutRatio,fiveYearAvgDividendYield,beta,trailingPE,forwardPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,heldPercentInsiders,heldPercentInstitutions,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,earningsQuarterlyGrowth,netIncomeToCommon,trailingEps,forwardEps,pegRatio,enterpriseToRevenue,enterpriseToEbitda,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,recommendationMean,recommendationKey,numberOfAnalystOpinions,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,freeCashflow,operatingCashflow,earningsGrowth,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,Lilang Industrial Park,200 Chang Xing Road,Jinjiang,362200,China,86 59 5856 22666,86 59 5856 22666,https://www.lilanz.com,Apparel Manufacturing,Consumer Cyclical,"China Lilang Limited, together with its subsidiaries, engages in the manufacture and sale of branded menswear and related accessories in the People's Republic of China and Hong Kong. The company designs, sources, manufactures, and sells business and casual apparel for men under the LILANZ brand through a distribution network covering provinces, autonomous regions, and municipalities. It also sells its products through online. The company also provides management services. The company was founded in 1987 and is headquartered in Jinjiang, the People's Republic of China. China Lilang Limited is a subsidiary of Xiao Sheng International Limited.",3549,"{'maxAge': 1, 'name': 'Mr. Dong Xing  Wang', 'age': 62, 'title': 'Founder & Chairman', 'yearBorn': 1960, 'fiscalYear': 2022, 'totalPay': 144724, 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,3,3.69,3.69,3.5,3.69,3.69,3.69,3.5,3.69,0.22,0.061100002,1693958400,0.5034,6.48,0.581831,8.780488,6.923077,258000,258000,304987,252000,252000,3.55,3.6,0,0,4310927872,3.18,4.3,1.3558505,3.9902,4.01815,0.204,0.055284552,HKD,4564052480,0.14515,374106264,1197479936,0.68759,0.056220002,3.263,1.1032791,1672444800,1703980800,1688083200,0.052,461519008,0.41,0.52,0.52,1.435,7.18,HKG,EQUITY,1234.HK,1234.HK,CHINA LILANG,China Lilang Limited,1253842200,Asia/Hong_Kong,HKT,28800000,3.6,5.38,4.78,5.0,4.91,1.8,buy,4,936257024,0.782,635667968,1189363968,0.966,1.841,3179501056,30.436,2.655,0.05604,0.12011,556415360,1005630976,0.052,0.067,0.47536,0.19993,0.16437,CNY,
1,Lilang Industrial Park,200 Chang Xing Road,Jinjiang,362200,China,86 59 5856 22666,86 59 5856 22666,https://www.lilanz.com,Apparel Manufacturing,Consumer Cyclical,"China Lilang Limited, together with its subsidiaries, engages in the manufacture and sale of branded menswear and related accessories in the People's Republic of China and Hong Kong. The company designs, sources, manufactures, and sells business and casual apparel for men under the LILANZ brand through a distribution network covering provinces, autonomous regions, and municipalities. It also sells its products through online. The company also provides management services. The company was founded in 1987 and is headquartered in Jinjiang, the People's Republic of China. China Lilang Limited is a subsidiary of Xiao Sheng International Limited.",3549,"{'maxAge': 1, 'name': 'Mr. Liang Xing  Wang', 'age': 60, 'title': 'Vice Chairman & CEO', 'yearBorn': 1962, 'fiscalYear': 2022, 'totalPay': 180458, 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,3,3.69,3.69,3.5,3.69,3.69,3.69,3.5,3.69,0.22,0.061100002,1693958400,0.5034,6.48,0.581831,8.780488,6.923077,258000,258000,304987,252000,252000,3.55,3.6,0,0,4310927872,3.18,4.3,1.3558505,3.9902,4.01815,0.204,0.055284552,HKD,4564052480,0.14515,374106264,1197479936,0.68759,0.056220002,3.263,1.1032791,1672444800,1703980800,1688083200,0.052,461519008,0.41,0.52,0.52,1.435,7.18,HKG,EQUITY,1234.HK,1234.HK,CHINA LILANG,China Lilang Limited,1253842200,Asia/Hong_Kong,HKT,28800000,3.6,5.38,4.78,5.0,4.91,1.8,buy,4,936257024,0.782,635667968,1189363968,0.966,1.841,3179501056,30.436,2.655,0.05604,0.12011,556415360,1005630976,0.052,0.067,0.47536,0.19993,0.16437,CNY,
2,Lilang Industrial Park,200 Chang Xing Road,Jinjiang,362200,China,86 59 5856 22666,86 59 5856 22666,https://www.lilanz.com,Apparel Manufacturing,Consumer Cyclical,"China Lilang Limited, together with its subsidiaries, engages in the manufacture and sale of branded menswear and related accessories in the People's Republic of China and Hong Kong. The company designs, sources, manufactures, and sells business and casual apparel for men under the LILANZ brand through a distribution network covering provinces, autonomous regions, and municipalities. It also sells its products through online. The company also provides management services. The company was founded in 1987 and is headquartered in Jinjiang, the People's Republic of China. China Lilang Limited is a subsidiary of Xiao Sheng International Limited.",3549,"{'maxAge': 1, 'name': 'Mr. Cong Xing  Wang', 'age': 53, 'title': 'Vice Chairman', 'yearBorn': 1969, 'fiscalYear': 2022, 'totalPay': 108989, 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,3,3.69,3.69,3.5,3.69,3.69,3.69,3.5,3.69,0.22,0.061100002,1693958400,0.5034,6.48,0.581831,8.780488,6.923077,258000,258000,304987,252000,252000,3.55,3.6,0,0,4310927872,3.18,4.3,1.3558505,3.9902,4.01815,0.204,0.055284552,HKD,4564052480,0.14515,374106264,1197479936,0.68759,0.056220002,3.263,1.1032791,1672444800,1703980800,1688083200,0.052,461519008,0.41,0.52,0.52,1.435,7.18,HKG,EQUITY,1234.HK,1234.HK,CHINA LILANG,China Lilang Limited,1253842200,Asia/Hong_Kong,HKT,28800000,3.6,5.38,4.78,5.0,4.91,1.8,buy,4,936257024,0.782,635667968,1189363968,0.966,1.841,3179501056,30.436,2.655,0.05604,0.12011,556415360,1005630976,0.052,0.067,0.47536,0.19993,0.16437,CNY,
3,Lilang Industrial Park,200 Chang Xing Road,Jinjiang,362200,China,86 59 5856 22666,86 59 5856 22666,https://www.lilanz.com,Apparel Manufacturing,Consumer Cyclical,"China Lilang Limited, together with its subsidiaries, engages in the manufacture and sale of branded menswear and related accessories in the People's Republic of China and Hong Kong. The company designs, sources, manufactures, and sells business and casual apparel for men under the LILANZ brand through a distribution network covering provinces, autonomous regions, and municipalities. It also sells its products through online. The company also provides management services. The company was founded in 1987 and is headquartered in Jinjiang, the People's Republic of China. China Lilang Limited is a subsidiary of Xiao Sheng International Limited.",3549,"{'maxAge': 1, 'name': 'Mr. Zhi Yong  Wang', 'title': 'VP of Sales & Marketing', 'fiscalYear': 2022, 'totalPay': 0, 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,3,3.69,3.69,3.5,3.69,3.69,3.69,3.5,3.69,0.22,0.061100002,1693958400,0.5034,6.48,0.581831,8.780488,6.923077,258000,258000,304987,252000,252000,3.55,3.6,0,0,4310927872,3.18,4.3,1.3558505,3.9902,4.01815,0.204,0.055284552,HKD,4564052480,0.14515,374106264,1197479936,0.68759,0.056220002,3.263,1.1032791,1672444800,1703980800,1688083200,0.052,461519008,0.41,0.52,0.52,1.435,7.18,HKG,EQUITY,1234.HK,1234.HK,CHINA LILANG,China Lilang Limited,1253842200,Asia/Hong_Kong,HKT,28800000,3.6,5.38,4.78,5.0,4.91,1.8,buy,4,936257024,0.782,635667968,1189363968,0.966,1.841,3179501056,30.436,2.655,0.05604,0.12011,556415360,1005630976,0.052,0.067,0.47536,0.19993,0.16437,CNY,
4,Lilang Industrial Park,200 Chang Xing Road,Jinjiang,362200,China,86 59 5856 22666,86 59 5856 22666,https://www.lilanz.com,Apparel Manufacturing,Consumer Cyclical,"China Lilang Limited, together with its subsidiaries, engages in the manufacture and sale of branded menswear and related accessories in the People's Republic of China and Hong Kong. The company designs, sources, manufactures, and sells business and casual apparel for men under the LILANZ brand through a distribution network covering provinces, autonomous regions, and municipalities. It also sells its products through online. The company also provides management services. The company was founded in 1987 and is headquartered in Jinjiang, the People's Republic of China. China Lilang Limited is a subsidiary of Xiao Sheng International Limited.",3549,"{'maxAge': 1, 'name': 'Mr. Cheng Chu  Hu', 'age': 77, 'title': 'Exec. Director', 'yearBorn': 1945, 'fiscalYear': 2022, 'totalPay': 80402, 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,3,3.69,3.69,3.5,3.69,3.69,3.69,3.5,3.69,0.22,0.061100002,1693958400,0.5034,6.48,0.581831,8.780488,6.923077,258000,258000,304987,252000,252000,3.55,3.6,0,0,4310927872,3.18,4.3,1.3558505,3.9902,4.01815,0.204,0.055284552,HKD,4564052480,0.14515,374106264,1197479936,0.68759,0.056220002,3.263,1.1032791,1672444800,1703980800,1688083200,0.052,461519008,0.41,0.52,0.52,1.435,7.18,HKG,EQUITY,1234.HK,1234.HK,CHINA LILANG,China Lilang Limited,1253842200,Asia/Hong_Kong,HKT,28800000,3.6,5.38,4.78,5.0,4.91,1.8,buy,4,936257024,0.782,635667968,1189363968,0.966,1.841,3179501056,30.436,2.655,0.05604,0.12011,556415360,1005630976,0.052,0.067,0.47536,0.19993,0.16437,CNY,
5,Lilang Industrial Park,200 Chang Xing Road,Jinjiang,362200,China,86 59 5856 22666,86 59 5856 22666,https://www.lilanz.com,Apparel Manufacturing,Consumer Cyclical,"China Lilang Limited, together with its subsidiaries, engages in the manufacture and sale of branded menswear and related accessories in the People's Republic of China and Hong Kong. The company designs, sources, manufactures, and sells business and casual apparel for men under the LILANZ brand through a distribution network covering provinces, autonomous regions, and municipalities. It also sells its products through online. The company also provides management services. The company was founded in 1987 and is headquartered in Jinjiang, the People's Republic of China. China Lilang Limited is a subsidiary of Xiao Sheng International Limited.",3549,"{'maxAge': 1, 'name': 'Mr. Rong Hua  Cai', 'age': 53, 'title': 'Exec. Director', 'yearBorn': 1969, 'fiscalYear': 2022, 'totalPay': 82189, 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,3,3.69,3.69,3.5,3.69,3.69,3.69,3.5,3.69,0.22,0.061100002,1693958400,0.5034,6.48,0.581831,8.780488,6.923077,258000,258000,304987,252000,252000,3.55,3.6,0,0,4310927872,3.18,4.3,1.3558505,3.9902,4.01815,0.204,0.055284552,HKD,4564052480,0.14515,374106264,1197479936,0.68759,0.056220002,3.263,1.1032791,1672444800,1703980800,1688083200,0.052,461519008,0.41,0.52,0.52,1.435,7.18,HKG,EQUITY,1234.HK,1234.HK,CHINA LILANG,China Lilang Limited,1253842200,Asia/Hong_Kong,HKT,28800000,3.6,5.38,4.78,5.0,4.91,1.8,buy,4,936257024,0.782,635667968,1189363968,0.966,1.841,3179501056,30.436,2.655,0.05604,0.12011,556415360,1005630976,0.052,0.067,0.47536,0.19993,0.16437,CNY,
6,Lilang Industrial Park,200 Chang Xing Road,Jinjiang,362200,China,86 59 5856 22666,86 59 5856 22666,https://www.lilanz.com,Apparel Manufacturing,Consumer Cyclical,"China Lilang Limited, together with its subsidiaries, engages in the manufacture and sale of branded menswear and related accessories in the People's Republic of China and Hong Kong. The company designs, sources, manufactures, and sells business and casual apparel for men under the LILANZ brand through a distribution network covering provinces, autonomous regions, and municipalities. It also sells its products through online. The company also provides management services. The company was founded in 1987 and is headquartered in Jinjiang, the People's Republic of China. China Lilang Limited is a subsidiary of Xiao Sheng International Limited.",3549,"{'maxAge': 1, 'name': 'Mr. Rong Bin  Pan', 'age': 49, 'title': 'Exec. Director', 'yearBorn': 1973, 'fiscalYear': 2022, 'totalPay': 144724, 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,3,3.69,3.69,3.5,3.69,3.69,3.69,3.5,3.69,0.22,0.061100002,1693958400,0.5034,6.48,0.581831,8.780488,6.923077,258000,258000,304987,252000,252000,3.55,3.6,0,0,4310927872,3.18,4.3,1.3558505,3.9902,4.01815,0.204,0.055284552,HKD,4564052480,0.14515,374106264,1197479936,0.68759,0.056220002,3.263,1.1032791,1672444800,1703980800,1688083200,0.052,461519008,0.41,0.52,0.52,1.435,7.18,HKG,EQUITY,1234.HK,1234.HK,CHINA LILANG,China Lilang Limited,1253842200,Asia/Hong_Kong,HKT,28800000,3.6,5.38,4.78,5.0,4.91,1.8,buy,4,936257024,0.782,635667968,1189363968,0.966,1.841,3179501056,30.436,2.655,0.05604,0.12011,556415360,1005630976,0.052,0.067,0.47536,0.19993,0.16437,CNY,
7,Lilang Industrial Park,200 Chang Xing Road,Jinjiang,362200,China,86 59 5856 22666,86 59 5856 22666,https://www.lilanz.com,Apparel Manufacturing,Consumer Cyclical,"China Lilang Limited, together with its subsidiaries, engages in the manufacture and sale of branded menswear and related accessories in the People's Republic of China and Hong Kong. The company designs, sources, manufactures, and sells business and casual apparel for men under the LILANZ brand through a distribution network covering provinces, autonomous regions, and municipalities. It also sells its products through online. The company also provides management services. The company was founded in 1987 and is headquartered in Jinjiang, the People's Republic of China. China Lilang Limited is a subsidiary of Xiao Sheng International Limited.",3549,"{'maxAge': 1, 'name': 'Mr. Wei Jin  Chen', 'age': 52, 'title': 'Head of Group Ordering Department', 'yearBorn': 1970, 'fiscalYear': 2022, 'totalPay': 0, 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,3,3.69,3.69,3.5,3.69,3.69,3.69,3.5,3.69,0.22,0.061100002,1693958400,0.5034,6.48,0.581831,8.780488,6.923077,258000,258000,304987,252000,252000,3.55,3.6,0,0,4310927872,3.18,4.3,1.3558505,3.9902,4.01815,0.204,0.055284552,HKD,4564052480,0.14515,374106264,1197479936,0.68759,0.056220002,3.263,1.1032791,1672444800,1703980800,1688083200,0.052,461519008,0.41,0.52,0.52,1.435,7.18,HKG,EQUITY,1234.HK,1234.HK,CHINA LILANG,China Lilang Limited,1253842200,Asia/Hong_Kong,HKT,28800000,3.6,5.38,4.78,5.0,4.91,1.8,buy,4,936257024,0.782,635667968,1189363968,0.966,1.841,3179501056,30.436,2.655,0.05604,0.12011,556415360,1005630976,0.052,0.067,0.47536,0.19993,0.16437,CNY,
8,Lilang Industrial Park,200 Chang Xing Road,Jinjiang,362200,China,86 59 5856 22666,86 59 5856 22666,https://www.lilanz.com,Apparel Manufacturing,Consumer Cyclical,"China Lilang Limited, together with its subsidiaries, engages in the manufacture and sale of branded menswear and related accessories in the People's Republic of China and Hong Kong. The company designs, sources, manufactures, and sells business and casual apparel for men under the LILANZ brand through a distribution network covering provinces, autonomous regions, and municipalities. It also sells its products through online. The company also provides management services. The company was founded in 1987 and is headquartered in Jinjiang, the People's Republic of China. China Lilang Limited is a subsidiary of Xiao Sheng International Limited.",3549,"{'maxAge': 1, 'name': 'Mr. Jun Hong  Wang', 'title': 'Pres of the Product Planning Department', 'fiscalYear': 2022, 'totalPay': 0, 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,3,3.69,3.69,3.5,3.69,3.69,3.69,3.5,3.69,0.22,0.061100002,1693958400,0.5034,6.48,0.581831,8.780488,6.923077,258000,258000,304987,252000,252000,3.55,3.6,0,0,4310927872,3.18,4.3,1.3558505,3.9902,4.01815,0.204,0.055284552,HKD,4564052480,0.14515,374106264,1197479936,0.68759,0.056220002,3.263,1.1032791,1672444800,1703980800,1688083200,0.052,461519008,0.41,0.52,0.52,1.435,7.18,HKG,EQUITY,1234.HK,1234.HK,CHINA LILANG,China Lilang Limited,1253842200,Asia/Hong_Kong,HKT,28800000,3.6,5.38,4.78,5.0,4.91,1.8,buy,4,936257024,0.782,635667968,1189363968,0.966,1.841,3179501056,30.436,2.655,0.05604,0.12011,556415360,1005630976,0.052,0.067,0.47536,0.19993,0.16437,CNY,
9,Lilang Industrial Park,200 Chang Xing Road,Jinjiang,362200,China,86 59 5856 22666,86 59 5856 22666,https://www.lilanz.com,Apparel Manufacturing,Consumer Cyclical,"China Lilang Limited, together with its subsidiaries, engages in the manufacture and sale of branded menswear and related accessories in the People's Republic of China and Hong Kong. The company designs, sources, manufactures, and sells business and casual apparel for men under the LILANZ brand through a distribution network covering provinces, autonomous regions, and municipalities. It also sells its products through online. The company also provides management services. The company was founded in 1987 and is headquartered in Jinjiang, the People's Republic of China. China Lilang Limited is a subsidiary of Xiao Sheng International Limited.",3549,"{'maxAge': 1, 'name': 'Mr. Chi Chung  Shum FCPA', 'age': 47, 'title': 'CFO & Company Sec.', 'yearBorn': 1975, 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,3,3.69,3.69,3.5,3.69,3.69,3.69,3.5,3.69,0.22,0.061100002,1693958400,0.5034,6.48,0.581831,8.780488,6.923077,258000,258000,304987,252000,252000,3.55,3.6,0,0,4310927872,3.18,4.3,1.3558505,3.9902,4.01815,0.204,0.055284552,HKD,4564052480,0.14515,374106264,1197479936,0.68759,0.056220002,3.263,1.1032791,1672444800,1703980800,1688083200,0.052,461519008,0.41,0.52,0.52,1.435,7.18,HKG,EQUITY,1234.HK,1234.HK,CHINA LILANG,China Lilang Limited,1253842200,Asia/Hong_Kong,HKT,28800000,3.6,5.38,4.78,5.0,4.91,1.8,buy,4,936257024,0.782,635667968,1189363968,0.966,1.841,3179501056,30.436,2.655,0.05604,0.12011,556415360,1005630976,0.052,0.067,0.47536,0.19993,0.16437,CNY,
