,address1,address2,city,state,zip,country,phone,website,industry,sector,longBusinessSummary,companyOfficers,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,payoutRatio,beta,trailingPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,forwardPE,profitMargins,floatShares,sharesOutstanding,heldPercentInsiders,heldPercentInstitutions,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,netIncomeToCommon,trailingEps,forwardEps,enterpriseToEbitda,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,recommendationMean,recommendationKey,numberOfAnalystOpinions,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,debtToEquity,returnOnAssets,returnOnEquity,freeCashflow,operatingCashflow,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,200 Burrard Street,Suite 250,Vancouver,BC,V6C 3L6,Canada,604 227 3161,https://www.sabre.gold,Gold,Basic Materials,"Sabre Gold Mines Corp. engages in the exploration and development of mineral properties. Its 100% owned flagship property is the Copperstone gold project, which covers approximately 12,258 acres of surface area and mineral rights located in La Paz County, Arizona. The company was formerly known as Arizona Gold Corp. and changed its name to Sabre Gold Mines Corp. in September 2021. Sabre Gold Mines Corp. was incorporated in 1984 and is headquartered in Vancouver, Canada.","{'maxAge': 1, 'name': 'Mr. Andrew L. Elinesky C.P.A., CGA, FCCA', 'age': 45, 'title': 'CEO, Pres & Director', 'yearBorn': 1977, 'fiscalYear': 2022, 'totalPay': 179732, 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,4,0.106,0.1035,0.1035,0.1035,0.106,0.1035,0.1035,0.1035,0.0,0.953743,2.07,2000,2000,11806,9020,9020,7402951,0.019,0.31,0.10386,0.1281,0.0,0.0,USD,18894706,Infinity,0.0,57433311,71526096,0.19691,0.0,0.398,0.26005027,1672444800,1703980800,1688083200,5394743,0.05,0.0,-12.403,PNK,EQUITY,SGLDF,SGLDF,SABRE GOLD MINES CORP,Sabre Gold Mines Corp.,1410183000,America/New_York,EDT,-14400000,0.1035,1.0,0.5,0.74,0.74,2.0,buy,2,1479090,0.021,-1523344,12792030,1.597,1.635,44.967,-0.02003,0.22349001,-8121409,7305645,0.0,0.0,0.0,CAD,
1,200 Burrard Street,Suite 250,Vancouver,BC,V6C 3L6,Canada,604 227 3161,https://www.sabre.gold,Gold,Basic Materials,"Sabre Gold Mines Corp. engages in the exploration and development of mineral properties. Its 100% owned flagship property is the Copperstone gold project, which covers approximately 12,258 acres of surface area and mineral rights located in La Paz County, Arizona. The company was formerly known as Arizona Gold Corp. and changed its name to Sabre Gold Mines Corp. in September 2021. Sabre Gold Mines Corp. was incorporated in 1984 and is headquartered in Vancouver, Canada.","{'maxAge': 1, 'name': 'Mr. Dale  Found C.A., CPA, F.C.A.', 'title': 'VP, CFO & Corp. Sec.', 'fiscalYear': 2022, 'totalPay': 110980, 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,4,0.106,0.1035,0.1035,0.1035,0.106,0.1035,0.1035,0.1035,0.0,0.953743,2.07,2000,2000,11806,9020,9020,7402951,0.019,0.31,0.10386,0.1281,0.0,0.0,USD,18894706,Infinity,0.0,57433311,71526096,0.19691,0.0,0.398,0.26005027,1672444800,1703980800,1688083200,5394743,0.05,0.0,-12.403,PNK,EQUITY,SGLDF,SGLDF,SABRE GOLD MINES CORP,Sabre Gold Mines Corp.,1410183000,America/New_York,EDT,-14400000,0.1035,1.0,0.5,0.74,0.74,2.0,buy,2,1479090,0.021,-1523344,12792030,1.597,1.635,44.967,-0.02003,0.22349001,-8121409,7305645,0.0,0.0,0.0,CAD,
2,200 Burrard Street,Suite 250,Vancouver,BC,V6C 3L6,Canada,604 227 3161,https://www.sabre.gold,Gold,Basic Materials,"Sabre Gold Mines Corp. engages in the exploration and development of mineral properties. Its 100% owned flagship property is the Copperstone gold project, which covers approximately 12,258 acres of surface area and mineral rights located in La Paz County, Arizona. The company was formerly known as Arizona Gold Corp. and changed its name to Sabre Gold Mines Corp. in September 2021. Sabre Gold Mines Corp. was incorporated in 1984 and is headquartered in Vancouver, Canada.","{'maxAge': 1, 'name': 'Mr. Michael G. Maslowski BSc, CPG, PGeo', 'age': 63, 'title': 'Exec. VP & COO', 'yearBorn': 1959, 'fiscalYear': 2022, 'totalPay': 219541, 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,4,0.106,0.1035,0.1035,0.1035,0.106,0.1035,0.1035,0.1035,0.0,0.953743,2.07,2000,2000,11806,9020,9020,7402951,0.019,0.31,0.10386,0.1281,0.0,0.0,USD,18894706,Infinity,0.0,57433311,71526096,0.19691,0.0,0.398,0.26005027,1672444800,1703980800,1688083200,5394743,0.05,0.0,-12.403,PNK,EQUITY,SGLDF,SGLDF,SABRE GOLD MINES CORP,Sabre Gold Mines Corp.,1410183000,America/New_York,EDT,-14400000,0.1035,1.0,0.5,0.74,0.74,2.0,buy,2,1479090,0.021,-1523344,12792030,1.597,1.635,44.967,-0.02003,0.22349001,-8121409,7305645,0.0,0.0,0.0,CAD,
