,address1,address2,city,state,zip,country,website,industry,sector,longBusinessSummary,companyOfficers,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,payoutRatio,beta,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,sharesShort,sharesShortPriorMonth,sharesShortPreviousMonthDate,dateShortInterest,sharesPercentSharesOut,heldPercentInsiders,heldPercentInstitutions,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,netIncomeToCommon,trailingEps,lastSplitFactor,lastSplitDate,enterpriseToEbitda,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,recommendationKey,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,returnOnAssets,returnOnEquity,freeCashflow,operatingCashflow,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,800 West Pender Street,Suite 615,Vancouver,BC,V6C 2V6,Canada,https://www.northernliongold.com,Other Industrial Metals & Mining,Basic Materials,"Northern Lion Gold Corp., a mineral exploration company, engages in the acquisition and exploration of gold-bearing mineral resource properties in Canada. It has an option to acquire an undivided 100% interest in the Riverside property, consisting of three non-surveyed contiguous mineral claims covering an area of 491.60 hectares located in Kamloops, British Columbia. The company was incorporated in 1980 and is based in Vancouver, Canada.","{'maxAge': 1, 'name': 'Mr. Luke Anthony Norman', 'age': 51, 'title': 'CEO, Pres & Director', 'yearBorn': 1971, 'fiscalYear': 2022, 'totalPay': 90000, 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,4,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.0,0.651406,3500,3500,250,1350,1350,0.16,0.175,0,0,2041890,0.12,0.32,0.221,0.2308,0.0,0.0,CAD,1285214,0.0,10452571,13612600,366,123,1690761600,1693440000,0.0,0.23214,0.0,0.032,4.6875,1672444800,1703980800,1688083200,-217616,-0.02,1:2,1474588800,-6.325,VAN,EQUITY,NL.V,NL.V,NORTHERN LION GOLD CORP,Northern Lion Gold Corp.,839511000,America/Toronto,EDT,-14400000,0.15,none,756676,0.056,-203181,0,1.123,1.137,-0.10762,-0.39968,-40605,-127684,0.0,0.0,0.0,CAD,
1,800 West Pender Street,Suite 615,Vancouver,BC,V6C 2V6,Canada,https://www.northernliongold.com,Other Industrial Metals & Mining,Basic Materials,"Northern Lion Gold Corp., a mineral exploration company, engages in the acquisition and exploration of gold-bearing mineral resource properties in Canada. It has an option to acquire an undivided 100% interest in the Riverside property, consisting of three non-surveyed contiguous mineral claims covering an area of 491.60 hectares located in Kamloops, British Columbia. The company was incorporated in 1980 and is based in Vancouver, Canada.","{'maxAge': 1, 'name': 'Mr. Richard Stephen Silas', 'age': 51, 'title': 'CFO, Corp. Sec. & Director', 'yearBorn': 1971, 'fiscalYear': 2022, 'totalPay': 30000, 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,4,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.0,0.651406,3500,3500,250,1350,1350,0.16,0.175,0,0,2041890,0.12,0.32,0.221,0.2308,0.0,0.0,CAD,1285214,0.0,10452571,13612600,366,123,1690761600,1693440000,0.0,0.23214,0.0,0.032,4.6875,1672444800,1703980800,1688083200,-217616,-0.02,1:2,1474588800,-6.325,VAN,EQUITY,NL.V,NL.V,NORTHERN LION GOLD CORP,Northern Lion Gold Corp.,839511000,America/Toronto,EDT,-14400000,0.15,none,756676,0.056,-203181,0,1.123,1.137,-0.10762,-0.39968,-40605,-127684,0.0,0.0,0.0,CAD,
