,address1,city,zip,country,website,industry,sector,longBusinessSummary,fullTimeEmployees,companyOfficers,auditRisk,boardRisk,compensationRisk,shareHolderRightsRisk,overallRisk,governanceEpochDate,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,dividendRate,dividendYield,exDividendDate,payoutRatio,beta,trailingPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,heldPercentInsiders,heldPercentInstitutions,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,earningsQuarterlyGrowth,netIncomeToCommon,trailingEps,enterpriseToRevenue,enterpriseToEbitda,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,recommendationMean,recommendationKey,numberOfAnalystOpinions,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,freeCashflow,operatingCashflow,earningsGrowth,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,rue Joseph Pataa,Cognac,16100,France,https://www.remy-cointreau.com,Beverages—Wineries & Distilleries,Consumer Defensive,"Rémy Cointreau SA, together with its subsidiaries, engages in the production, sale, and distribution of liqueurs and spirits. The company operates through Rémy Martin, Liqueurs & Spirits, and Partner Brands segments. It offers liqueurs, brandy, gin, single malt whisky, rum, wine, and champagne primarily under the Cointreau, Metaxa, St-Rémy, Mount Gay, Bruichladdich, Port Charlotte, Octomore, The Botanist, Westland, LOUIS XIII, and Domaine des Hautes Glaces brands. The company operates in Europe, the Middle East, Africa, the Americas, Asia, Australia, and New Zealand. Rémy Cointreau SA was founded in 1724 and is headquartered in Cognac, France.",2021,"{'maxAge': 1, 'name': 'Mr. Éric  Vallat', 'title': 'Chief Exec. Officer', 'fiscalYear': 2023, 'totalPay': 1946954, 'exercisedValue': 0, 'unexercisedValue': 0}",6,5,6,9,6,1693526400,1703980800,86400,2,146.8,146.8,146.8,146.8,146.8,146.8,146.8,146.8,2.15,0.0147,1695859200,0.32459998,0.335585,23.908796,20,20,69,210,210,0.0,0.0,0,0,7414662656,146.8,188.25,4.788287,161.4662,169.9715,2.0,0.013623978,USD,7941662720,0.18972999,20997238,50508600,0.57996,0.34835,34.783,4.2204523,1680220800,1711843200,1680220800,-0.108,293800000,6.14,5.129,17.216,PNK,EQUITY,REMYF,REMYF,REMY COINTREAU,Rémy Cointreau SA,1287149400,America/New_York,EDT,-14400000,146.8,29.5,26.0,27.75,27.75,2.0,buy,2,73700000,1.461,461300000,610400000,0.25,2.108,1548499968,34.779,30.53,0.0871,0.1718,1103800000,-4100000,124100000,-0.096,0.021,0.71282,0.29790002,0.27743,EUR,
1,rue Joseph Pataa,Cognac,16100,France,https://www.remy-cointreau.com,Beverages—Wineries & Distilleries,Consumer Defensive,"Rémy Cointreau SA, together with its subsidiaries, engages in the production, sale, and distribution of liqueurs and spirits. The company operates through Rémy Martin, Liqueurs & Spirits, and Partner Brands segments. It offers liqueurs, brandy, gin, single malt whisky, rum, wine, and champagne primarily under the Cointreau, Metaxa, St-Rémy, Mount Gay, Bruichladdich, Port Charlotte, Octomore, The Botanist, Westland, LOUIS XIII, and Domaine des Hautes Glaces brands. The company operates in Europe, the Middle East, Africa, the Americas, Asia, Australia, and New Zealand. Rémy Cointreau SA was founded in 1724 and is headquartered in Cognac, France.",2021,"{'maxAge': 1, 'name': 'Mr. Luca  Marotta', 'age': 56, 'title': 'Group Chief Financial Officer', 'yearBorn': 1966, 'exercisedValue': 0, 'unexercisedValue': 0}",6,5,6,9,6,1693526400,1703980800,86400,2,146.8,146.8,146.8,146.8,146.8,146.8,146.8,146.8,2.15,0.0147,1695859200,0.32459998,0.335585,23.908796,20,20,69,210,210,0.0,0.0,0,0,7414662656,146.8,188.25,4.788287,161.4662,169.9715,2.0,0.013623978,USD,7941662720,0.18972999,20997238,50508600,0.57996,0.34835,34.783,4.2204523,1680220800,1711843200,1680220800,-0.108,293800000,6.14,5.129,17.216,PNK,EQUITY,REMYF,REMYF,REMY COINTREAU,Rémy Cointreau SA,1287149400,America/New_York,EDT,-14400000,146.8,29.5,26.0,27.75,27.75,2.0,buy,2,73700000,1.461,461300000,610400000,0.25,2.108,1548499968,34.779,30.53,0.0871,0.1718,1103800000,-4100000,124100000,-0.096,0.021,0.71282,0.29790002,0.27743,EUR,
2,rue Joseph Pataa,Cognac,16100,France,https://www.remy-cointreau.com,Beverages—Wineries & Distilleries,Consumer Defensive,"Rémy Cointreau SA, together with its subsidiaries, engages in the production, sale, and distribution of liqueurs and spirits. The company operates through Rémy Martin, Liqueurs & Spirits, and Partner Brands segments. It offers liqueurs, brandy, gin, single malt whisky, rum, wine, and champagne primarily under the Cointreau, Metaxa, St-Rémy, Mount Gay, Bruichladdich, Port Charlotte, Octomore, The Botanist, Westland, LOUIS XIII, and Domaine des Hautes Glaces brands. The company operates in Europe, the Middle East, Africa, the Americas, Asia, Australia, and New Zealand. Rémy Cointreau SA was founded in 1724 and is headquartered in Cognac, France.",2021,"{'maxAge': 1, 'name': 'Mr. Patrick  Marchand', 'title': 'Exec. VP of Operations', 'exercisedValue': 0, 'unexercisedValue': 0}",6,5,6,9,6,1693526400,1703980800,86400,2,146.8,146.8,146.8,146.8,146.8,146.8,146.8,146.8,2.15,0.0147,1695859200,0.32459998,0.335585,23.908796,20,20,69,210,210,0.0,0.0,0,0,7414662656,146.8,188.25,4.788287,161.4662,169.9715,2.0,0.013623978,USD,7941662720,0.18972999,20997238,50508600,0.57996,0.34835,34.783,4.2204523,1680220800,1711843200,1680220800,-0.108,293800000,6.14,5.129,17.216,PNK,EQUITY,REMYF,REMYF,REMY COINTREAU,Rémy Cointreau SA,1287149400,America/New_York,EDT,-14400000,146.8,29.5,26.0,27.75,27.75,2.0,buy,2,73700000,1.461,461300000,610400000,0.25,2.108,1548499968,34.779,30.53,0.0871,0.1718,1103800000,-4100000,124100000,-0.096,0.021,0.71282,0.29790002,0.27743,EUR,
3,rue Joseph Pataa,Cognac,16100,France,https://www.remy-cointreau.com,Beverages—Wineries & Distilleries,Consumer Defensive,"Rémy Cointreau SA, together with its subsidiaries, engages in the production, sale, and distribution of liqueurs and spirits. The company operates through Rémy Martin, Liqueurs & Spirits, and Partner Brands segments. It offers liqueurs, brandy, gin, single malt whisky, rum, wine, and champagne primarily under the Cointreau, Metaxa, St-Rémy, Mount Gay, Bruichladdich, Port Charlotte, Octomore, The Botanist, Westland, LOUIS XIII, and Domaine des Hautes Glaces brands. The company operates in Europe, the Middle East, Africa, the Americas, Asia, Australia, and New Zealand. Rémy Cointreau SA was founded in 1724 and is headquartered in Cognac, France.",2021,"{'maxAge': 1, 'name': 'Carina Alfonso Martin', 'title': 'Group Communications Director', 'exercisedValue': 0, 'unexercisedValue': 0}",6,5,6,9,6,1693526400,1703980800,86400,2,146.8,146.8,146.8,146.8,146.8,146.8,146.8,146.8,2.15,0.0147,1695859200,0.32459998,0.335585,23.908796,20,20,69,210,210,0.0,0.0,0,0,7414662656,146.8,188.25,4.788287,161.4662,169.9715,2.0,0.013623978,USD,7941662720,0.18972999,20997238,50508600,0.57996,0.34835,34.783,4.2204523,1680220800,1711843200,1680220800,-0.108,293800000,6.14,5.129,17.216,PNK,EQUITY,REMYF,REMYF,REMY COINTREAU,Rémy Cointreau SA,1287149400,America/New_York,EDT,-14400000,146.8,29.5,26.0,27.75,27.75,2.0,buy,2,73700000,1.461,461300000,610400000,0.25,2.108,1548499968,34.779,30.53,0.0871,0.1718,1103800000,-4100000,124100000,-0.096,0.021,0.71282,0.29790002,0.27743,EUR,
4,rue Joseph Pataa,Cognac,16100,France,https://www.remy-cointreau.com,Beverages—Wineries & Distilleries,Consumer Defensive,"Rémy Cointreau SA, together with its subsidiaries, engages in the production, sale, and distribution of liqueurs and spirits. The company operates through Rémy Martin, Liqueurs & Spirits, and Partner Brands segments. It offers liqueurs, brandy, gin, single malt whisky, rum, wine, and champagne primarily under the Cointreau, Metaxa, St-Rémy, Mount Gay, Bruichladdich, Port Charlotte, Octomore, The Botanist, Westland, LOUIS XIII, and Domaine des Hautes Glaces brands. The company operates in Europe, the Middle East, Africa, the Americas, Asia, Australia, and New Zealand. Rémy Cointreau SA was founded in 1724 and is headquartered in Cognac, France.",2021,"{'maxAge': 1, 'name': 'Mr. Marc-Henri  Bernard', 'title': 'Group HR Director', 'exercisedValue': 0, 'unexercisedValue': 0}",6,5,6,9,6,1693526400,1703980800,86400,2,146.8,146.8,146.8,146.8,146.8,146.8,146.8,146.8,2.15,0.0147,1695859200,0.32459998,0.335585,23.908796,20,20,69,210,210,0.0,0.0,0,0,7414662656,146.8,188.25,4.788287,161.4662,169.9715,2.0,0.013623978,USD,7941662720,0.18972999,20997238,50508600,0.57996,0.34835,34.783,4.2204523,1680220800,1711843200,1680220800,-0.108,293800000,6.14,5.129,17.216,PNK,EQUITY,REMYF,REMYF,REMY COINTREAU,Rémy Cointreau SA,1287149400,America/New_York,EDT,-14400000,146.8,29.5,26.0,27.75,27.75,2.0,buy,2,73700000,1.461,461300000,610400000,0.25,2.108,1548499968,34.779,30.53,0.0871,0.1718,1103800000,-4100000,124100000,-0.096,0.021,0.71282,0.29790002,0.27743,EUR,
5,rue Joseph Pataa,Cognac,16100,France,https://www.remy-cointreau.com,Beverages—Wineries & Distilleries,Consumer Defensive,"Rémy Cointreau SA, together with its subsidiaries, engages in the production, sale, and distribution of liqueurs and spirits. The company operates through Rémy Martin, Liqueurs & Spirits, and Partner Brands segments. It offers liqueurs, brandy, gin, single malt whisky, rum, wine, and champagne primarily under the Cointreau, Metaxa, St-Rémy, Mount Gay, Bruichladdich, Port Charlotte, Octomore, The Botanist, Westland, LOUIS XIII, and Domaine des Hautes Glaces brands. The company operates in Europe, the Middle East, Africa, the Americas, Asia, Australia, and New Zealand. Rémy Cointreau SA was founded in 1724 and is headquartered in Cognac, France.",2021,"{'maxAge': 1, 'name': 'Christian  Lafage', 'title': 'Head of Corp. Social & Environmental Responsibility', 'exercisedValue': 0, 'unexercisedValue': 0}",6,5,6,9,6,1693526400,1703980800,86400,2,146.8,146.8,146.8,146.8,146.8,146.8,146.8,146.8,2.15,0.0147,1695859200,0.32459998,0.335585,23.908796,20,20,69,210,210,0.0,0.0,0,0,7414662656,146.8,188.25,4.788287,161.4662,169.9715,2.0,0.013623978,USD,7941662720,0.18972999,20997238,50508600,0.57996,0.34835,34.783,4.2204523,1680220800,1711843200,1680220800,-0.108,293800000,6.14,5.129,17.216,PNK,EQUITY,REMYF,REMYF,REMY COINTREAU,Rémy Cointreau SA,1287149400,America/New_York,EDT,-14400000,146.8,29.5,26.0,27.75,27.75,2.0,buy,2,73700000,1.461,461300000,610400000,0.25,2.108,1548499968,34.779,30.53,0.0871,0.1718,1103800000,-4100000,124100000,-0.096,0.021,0.71282,0.29790002,0.27743,EUR,
6,rue Joseph Pataa,Cognac,16100,France,https://www.remy-cointreau.com,Beverages—Wineries & Distilleries,Consumer Defensive,"Rémy Cointreau SA, together with its subsidiaries, engages in the production, sale, and distribution of liqueurs and spirits. The company operates through Rémy Martin, Liqueurs & Spirits, and Partner Brands segments. It offers liqueurs, brandy, gin, single malt whisky, rum, wine, and champagne primarily under the Cointreau, Metaxa, St-Rémy, Mount Gay, Bruichladdich, Port Charlotte, Octomore, The Botanist, Westland, LOUIS XIII, and Domaine des Hautes Glaces brands. The company operates in Europe, the Middle East, Africa, the Americas, Asia, Australia, and New Zealand. Rémy Cointreau SA was founded in 1724 and is headquartered in Cognac, France.",2021,"{'maxAge': 1, 'name': 'Mr. Ian  McLernon', 'title': 'Chief Exec. Officer of  EMEA, North, South Asia Pacific & Travel Retail', 'exercisedValue': 0, 'unexercisedValue': 0}",6,5,6,9,6,1693526400,1703980800,86400,2,146.8,146.8,146.8,146.8,146.8,146.8,146.8,146.8,2.15,0.0147,1695859200,0.32459998,0.335585,23.908796,20,20,69,210,210,0.0,0.0,0,0,7414662656,146.8,188.25,4.788287,161.4662,169.9715,2.0,0.013623978,USD,7941662720,0.18972999,20997238,50508600,0.57996,0.34835,34.783,4.2204523,1680220800,1711843200,1680220800,-0.108,293800000,6.14,5.129,17.216,PNK,EQUITY,REMYF,REMYF,REMY COINTREAU,Rémy Cointreau SA,1287149400,America/New_York,EDT,-14400000,146.8,29.5,26.0,27.75,27.75,2.0,buy,2,73700000,1.461,461300000,610400000,0.25,2.108,1548499968,34.779,30.53,0.0871,0.1718,1103800000,-4100000,124100000,-0.096,0.021,0.71282,0.29790002,0.27743,EUR,
7,rue Joseph Pataa,Cognac,16100,France,https://www.remy-cointreau.com,Beverages—Wineries & Distilleries,Consumer Defensive,"Rémy Cointreau SA, together with its subsidiaries, engages in the production, sale, and distribution of liqueurs and spirits. The company operates through Rémy Martin, Liqueurs & Spirits, and Partner Brands segments. It offers liqueurs, brandy, gin, single malt whisky, rum, wine, and champagne primarily under the Cointreau, Metaxa, St-Rémy, Mount Gay, Bruichladdich, Port Charlotte, Octomore, The Botanist, Westland, LOUIS XIII, and Domaine des Hautes Glaces brands. The company operates in Europe, the Middle East, Africa, the Americas, Asia, Australia, and New Zealand. Rémy Cointreau SA was founded in 1724 and is headquartered in Cognac, France.",2021,"{'maxAge': 1, 'name': 'Nicolas  Beckers', 'title': 'Chief Exec. Officer of Americas Region', 'exercisedValue': 0, 'unexercisedValue': 0}",6,5,6,9,6,1693526400,1703980800,86400,2,146.8,146.8,146.8,146.8,146.8,146.8,146.8,146.8,2.15,0.0147,1695859200,0.32459998,0.335585,23.908796,20,20,69,210,210,0.0,0.0,0,0,7414662656,146.8,188.25,4.788287,161.4662,169.9715,2.0,0.013623978,USD,7941662720,0.18972999,20997238,50508600,0.57996,0.34835,34.783,4.2204523,1680220800,1711843200,1680220800,-0.108,293800000,6.14,5.129,17.216,PNK,EQUITY,REMYF,REMYF,REMY COINTREAU,Rémy Cointreau SA,1287149400,America/New_York,EDT,-14400000,146.8,29.5,26.0,27.75,27.75,2.0,buy,2,73700000,1.461,461300000,610400000,0.25,2.108,1548499968,34.779,30.53,0.0871,0.1718,1103800000,-4100000,124100000,-0.096,0.021,0.71282,0.29790002,0.27743,EUR,
8,rue Joseph Pataa,Cognac,16100,France,https://www.remy-cointreau.com,Beverages—Wineries & Distilleries,Consumer Defensive,"Rémy Cointreau SA, together with its subsidiaries, engages in the production, sale, and distribution of liqueurs and spirits. The company operates through Rémy Martin, Liqueurs & Spirits, and Partner Brands segments. It offers liqueurs, brandy, gin, single malt whisky, rum, wine, and champagne primarily under the Cointreau, Metaxa, St-Rémy, Mount Gay, Bruichladdich, Port Charlotte, Octomore, The Botanist, Westland, LOUIS XIII, and Domaine des Hautes Glaces brands. The company operates in Europe, the Middle East, Africa, the Americas, Asia, Australia, and New Zealand. Rémy Cointreau SA was founded in 1724 and is headquartered in Cognac, France.",2021,"{'maxAge': 1, 'name': 'Jean-Philippe  Hecquet', 'title': 'Chief Exec. Officer of Cognac Division', 'exercisedValue': 0, 'unexercisedValue': 0}",6,5,6,9,6,1693526400,1703980800,86400,2,146.8,146.8,146.8,146.8,146.8,146.8,146.8,146.8,2.15,0.0147,1695859200,0.32459998,0.335585,23.908796,20,20,69,210,210,0.0,0.0,0,0,7414662656,146.8,188.25,4.788287,161.4662,169.9715,2.0,0.013623978,USD,7941662720,0.18972999,20997238,50508600,0.57996,0.34835,34.783,4.2204523,1680220800,1711843200,1680220800,-0.108,293800000,6.14,5.129,17.216,PNK,EQUITY,REMYF,REMYF,REMY COINTREAU,Rémy Cointreau SA,1287149400,America/New_York,EDT,-14400000,146.8,29.5,26.0,27.75,27.75,2.0,buy,2,73700000,1.461,461300000,610400000,0.25,2.108,1548499968,34.779,30.53,0.0871,0.1718,1103800000,-4100000,124100000,-0.096,0.021,0.71282,0.29790002,0.27743,EUR,
9,rue Joseph Pataa,Cognac,16100,France,https://www.remy-cointreau.com,Beverages—Wineries & Distilleries,Consumer Defensive,"Rémy Cointreau SA, together with its subsidiaries, engages in the production, sale, and distribution of liqueurs and spirits. The company operates through Rémy Martin, Liqueurs & Spirits, and Partner Brands segments. It offers liqueurs, brandy, gin, single malt whisky, rum, wine, and champagne primarily under the Cointreau, Metaxa, St-Rémy, Mount Gay, Bruichladdich, Port Charlotte, Octomore, The Botanist, Westland, LOUIS XIII, and Domaine des Hautes Glaces brands. The company operates in Europe, the Middle East, Africa, the Americas, Asia, Australia, and New Zealand. Rémy Cointreau SA was founded in 1724 and is headquartered in Cognac, France.",2021,"{'maxAge': 1, 'name': 'Elisabeth  Tona', 'title': 'CEO of Liqueurs & Spirits', 'exercisedValue': 0, 'unexercisedValue': 0}",6,5,6,9,6,1693526400,1703980800,86400,2,146.8,146.8,146.8,146.8,146.8,146.8,146.8,146.8,2.15,0.0147,1695859200,0.32459998,0.335585,23.908796,20,20,69,210,210,0.0,0.0,0,0,7414662656,146.8,188.25,4.788287,161.4662,169.9715,2.0,0.013623978,USD,7941662720,0.18972999,20997238,50508600,0.57996,0.34835,34.783,4.2204523,1680220800,1711843200,1680220800,-0.108,293800000,6.14,5.129,17.216,PNK,EQUITY,REMYF,REMYF,REMY COINTREAU,Rémy Cointreau SA,1287149400,America/New_York,EDT,-14400000,146.8,29.5,26.0,27.75,27.75,2.0,buy,2,73700000,1.461,461300000,610400000,0.25,2.108,1548499968,34.779,30.53,0.0871,0.1718,1103800000,-4100000,124100000,-0.096,0.021,0.71282,0.29790002,0.27743,EUR,
