,address1,address2,city,zip,country,website,industry,sector,longBusinessSummary,fullTimeEmployees,companyOfficers,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,payoutRatio,beta,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,forwardPE,profitMargins,floatShares,sharesOutstanding,sharesShort,sharesShortPriorMonth,sharesShortPreviousMonthDate,dateShortInterest,sharesPercentSharesOut,heldPercentInsiders,heldPercentInstitutions,shortRatio,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,netIncomeToCommon,trailingEps,forwardEps,enterpriseToEbitda,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,recommendationMean,recommendationKey,numberOfAnalystOpinions,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,returnOnAssets,returnOnEquity,freeCashflow,operatingCashflow,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,Craigmuir Chambers,PO Box 71,Road Town,VG1110,British Virgin Islands,https://talonmetals.com,Other Industrial Metals & Mining,Basic Materials,"Talon Metals Corp., a mineral exploration company, explores for and develops mineral properties. The company owns a 51% interest in the Tamarack nickel-copper-cobalt project located in Minnesota, the United States. It has an option to acquire 80% interest in the mineral rights over a land package covering an area of approximately 4,00,000 acres located in the Upper Peninsula of the State of Michigan. The company was founded in 2005 and is headquartered in Road Town, the British Virgin Islands.",77,"{'maxAge': 1, 'name': 'Mr. Warren E. Newfield', 'title': 'Exec. Chairman', 'fiscalYear': 2022, 'totalPay': 100000, 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,4,0.295,0.3,0.29,0.31,0.295,0.3,0.29,0.31,0.0,1.502622,155302,155302,257458,329870,329870,0.295,0.31,0,0,259598016,0.23,0.63,0.2748,0.3592,0.0,0.0,CAD,237147424,Infinity,0.0,539598125,851140992,132987,127110,1690761600,1693440000,0.0002,0.202,0.21246,0.54,0.247,1.2348179,1672444800,1703980800,1688083200,-1355912,-0.0,0.0,-86.105,TOR,EQUITY,TLO.TO,TLO.TO,TALON METALS CORP.,Talon Metals Corp.,1113399000,America/Toronto,EDT,-14400000,0.305,1.25,0.7,0.92,0.85,1.8,buy,7,22450708,0.026,-2754167,0,5.31,5.404,-0.00922,-0.00732,-42602872,-1844980,0.0,0.0,0.0,CAD,
1,Craigmuir Chambers,PO Box 71,Road Town,VG1110,British Virgin Islands,https://talonmetals.com,Other Industrial Metals & Mining,Basic Materials,"Talon Metals Corp., a mineral exploration company, explores for and develops mineral properties. The company owns a 51% interest in the Tamarack nickel-copper-cobalt project located in Minnesota, the United States. It has an option to acquire 80% interest in the mineral rights over a land package covering an area of approximately 4,00,000 acres located in the Upper Peninsula of the State of Michigan. The company was founded in 2005 and is headquartered in Road Town, the British Virgin Islands.",77,"{'maxAge': 1, 'name': 'Mr. Henri  van Rooyen B.Com, B.Com(Hons), C.A.', 'title': 'CEO & Director', 'fiscalYear': 2022, 'totalPay': 407303, 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,4,0.295,0.3,0.29,0.31,0.295,0.3,0.29,0.31,0.0,1.502622,155302,155302,257458,329870,329870,0.295,0.31,0,0,259598016,0.23,0.63,0.2748,0.3592,0.0,0.0,CAD,237147424,Infinity,0.0,539598125,851140992,132987,127110,1690761600,1693440000,0.0002,0.202,0.21246,0.54,0.247,1.2348179,1672444800,1703980800,1688083200,-1355912,-0.0,0.0,-86.105,TOR,EQUITY,TLO.TO,TLO.TO,TALON METALS CORP.,Talon Metals Corp.,1113399000,America/Toronto,EDT,-14400000,0.305,1.25,0.7,0.92,0.85,1.8,buy,7,22450708,0.026,-2754167,0,5.31,5.404,-0.00922,-0.00732,-42602872,-1844980,0.0,0.0,0.0,CAD,
2,Craigmuir Chambers,PO Box 71,Road Town,VG1110,British Virgin Islands,https://talonmetals.com,Other Industrial Metals & Mining,Basic Materials,"Talon Metals Corp., a mineral exploration company, explores for and develops mineral properties. The company owns a 51% interest in the Tamarack nickel-copper-cobalt project located in Minnesota, the United States. It has an option to acquire 80% interest in the mineral rights over a land package covering an area of approximately 4,00,000 acres located in the Upper Peninsula of the State of Michigan. The company was founded in 2005 and is headquartered in Road Town, the British Virgin Islands.",77,"{'maxAge': 1, 'name': 'Mr. Sean Neal Werger LL.B, MBA', 'title': 'Pres', 'fiscalYear': 2022, 'totalPay': 297303, 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,4,0.295,0.3,0.29,0.31,0.295,0.3,0.29,0.31,0.0,1.502622,155302,155302,257458,329870,329870,0.295,0.31,0,0,259598016,0.23,0.63,0.2748,0.3592,0.0,0.0,CAD,237147424,Infinity,0.0,539598125,851140992,132987,127110,1690761600,1693440000,0.0002,0.202,0.21246,0.54,0.247,1.2348179,1672444800,1703980800,1688083200,-1355912,-0.0,0.0,-86.105,TOR,EQUITY,TLO.TO,TLO.TO,TALON METALS CORP.,Talon Metals Corp.,1113399000,America/Toronto,EDT,-14400000,0.305,1.25,0.7,0.92,0.85,1.8,buy,7,22450708,0.026,-2754167,0,5.31,5.404,-0.00922,-0.00732,-42602872,-1844980,0.0,0.0,0.0,CAD,
3,Craigmuir Chambers,PO Box 71,Road Town,VG1110,British Virgin Islands,https://talonmetals.com,Other Industrial Metals & Mining,Basic Materials,"Talon Metals Corp., a mineral exploration company, explores for and develops mineral properties. The company owns a 51% interest in the Tamarack nickel-copper-cobalt project located in Minnesota, the United States. It has an option to acquire 80% interest in the mineral rights over a land package covering an area of approximately 4,00,000 acres located in the Upper Peninsula of the State of Michigan. The company was founded in 2005 and is headquartered in Road Town, the British Virgin Islands.",77,"{'maxAge': 1, 'name': 'Mr. Vincent Gregory Conte', 'title': 'Chief Financial Officer', 'fiscalYear': 2022, 'totalPay': 277303, 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,4,0.295,0.3,0.29,0.31,0.295,0.3,0.29,0.31,0.0,1.502622,155302,155302,257458,329870,329870,0.295,0.31,0,0,259598016,0.23,0.63,0.2748,0.3592,0.0,0.0,CAD,237147424,Infinity,0.0,539598125,851140992,132987,127110,1690761600,1693440000,0.0002,0.202,0.21246,0.54,0.247,1.2348179,1672444800,1703980800,1688083200,-1355912,-0.0,0.0,-86.105,TOR,EQUITY,TLO.TO,TLO.TO,TALON METALS CORP.,Talon Metals Corp.,1113399000,America/Toronto,EDT,-14400000,0.305,1.25,0.7,0.92,0.85,1.8,buy,7,22450708,0.026,-2754167,0,5.31,5.404,-0.00922,-0.00732,-42602872,-1844980,0.0,0.0,0.0,CAD,
4,Craigmuir Chambers,PO Box 71,Road Town,VG1110,British Virgin Islands,https://talonmetals.com,Other Industrial Metals & Mining,Basic Materials,"Talon Metals Corp., a mineral exploration company, explores for and develops mineral properties. The company owns a 51% interest in the Tamarack nickel-copper-cobalt project located in Minnesota, the United States. It has an option to acquire 80% interest in the mineral rights over a land package covering an area of approximately 4,00,000 acres located in the Upper Peninsula of the State of Michigan. The company was founded in 2005 and is headquartered in Road Town, the British Virgin Islands.",77,"{'maxAge': 1, 'name': 'Mr. Brian  Goldner', 'title': 'Chief Exploration & Operations Officer', 'fiscalYear': 2022, 'totalPay': 440377, 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,4,0.295,0.3,0.29,0.31,0.295,0.3,0.29,0.31,0.0,1.502622,155302,155302,257458,329870,329870,0.295,0.31,0,0,259598016,0.23,0.63,0.2748,0.3592,0.0,0.0,CAD,237147424,Infinity,0.0,539598125,851140992,132987,127110,1690761600,1693440000,0.0002,0.202,0.21246,0.54,0.247,1.2348179,1672444800,1703980800,1688083200,-1355912,-0.0,0.0,-86.105,TOR,EQUITY,TLO.TO,TLO.TO,TALON METALS CORP.,Talon Metals Corp.,1113399000,America/Toronto,EDT,-14400000,0.305,1.25,0.7,0.92,0.85,1.8,buy,7,22450708,0.026,-2754167,0,5.31,5.404,-0.00922,-0.00732,-42602872,-1844980,0.0,0.0,0.0,CAD,
5,Craigmuir Chambers,PO Box 71,Road Town,VG1110,British Virgin Islands,https://talonmetals.com,Other Industrial Metals & Mining,Basic Materials,"Talon Metals Corp., a mineral exploration company, explores for and develops mineral properties. The company owns a 51% interest in the Tamarack nickel-copper-cobalt project located in Minnesota, the United States. It has an option to acquire 80% interest in the mineral rights over a land package covering an area of approximately 4,00,000 acres located in the Upper Peninsula of the State of Michigan. The company was founded in 2005 and is headquartered in Road Town, the British Virgin Islands.",77,"{'maxAge': 1, 'name': 'Mr. Kyle  Mehalek', 'title': 'Chief Technical Officer', 'fiscalYear': 2022, 'totalPay': 331161, 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,4,0.295,0.3,0.29,0.31,0.295,0.3,0.29,0.31,0.0,1.502622,155302,155302,257458,329870,329870,0.295,0.31,0,0,259598016,0.23,0.63,0.2748,0.3592,0.0,0.0,CAD,237147424,Infinity,0.0,539598125,851140992,132987,127110,1690761600,1693440000,0.0002,0.202,0.21246,0.54,0.247,1.2348179,1672444800,1703980800,1688083200,-1355912,-0.0,0.0,-86.105,TOR,EQUITY,TLO.TO,TLO.TO,TALON METALS CORP.,Talon Metals Corp.,1113399000,America/Toronto,EDT,-14400000,0.305,1.25,0.7,0.92,0.85,1.8,buy,7,22450708,0.026,-2754167,0,5.31,5.404,-0.00922,-0.00732,-42602872,-1844980,0.0,0.0,0.0,CAD,
6,Craigmuir Chambers,PO Box 71,Road Town,VG1110,British Virgin Islands,https://talonmetals.com,Other Industrial Metals & Mining,Basic Materials,"Talon Metals Corp., a mineral exploration company, explores for and develops mineral properties. The company owns a 51% interest in the Tamarack nickel-copper-cobalt project located in Minnesota, the United States. It has an option to acquire 80% interest in the mineral rights over a land package covering an area of approximately 4,00,000 acres located in the Upper Peninsula of the State of Michigan. The company was founded in 2005 and is headquartered in Road Town, the British Virgin Islands.",77,"{'maxAge': 1, 'name': 'Mr. Todd  Malan', 'title': 'Chief External Affairs Officer & Head of Climate Strategy', 'fiscalYear': 2022, 'totalPay': 438684, 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,4,0.295,0.3,0.29,0.31,0.295,0.3,0.29,0.31,0.0,1.502622,155302,155302,257458,329870,329870,0.295,0.31,0,0,259598016,0.23,0.63,0.2748,0.3592,0.0,0.0,CAD,237147424,Infinity,0.0,539598125,851140992,132987,127110,1690761600,1693440000,0.0002,0.202,0.21246,0.54,0.247,1.2348179,1672444800,1703980800,1688083200,-1355912,-0.0,0.0,-86.105,TOR,EQUITY,TLO.TO,TLO.TO,TALON METALS CORP.,Talon Metals Corp.,1113399000,America/Toronto,EDT,-14400000,0.305,1.25,0.7,0.92,0.85,1.8,buy,7,22450708,0.026,-2754167,0,5.31,5.404,-0.00922,-0.00732,-42602872,-1844980,0.0,0.0,0.0,CAD,
7,Craigmuir Chambers,PO Box 71,Road Town,VG1110,British Virgin Islands,https://talonmetals.com,Other Industrial Metals & Mining,Basic Materials,"Talon Metals Corp., a mineral exploration company, explores for and develops mineral properties. The company owns a 51% interest in the Tamarack nickel-copper-cobalt project located in Minnesota, the United States. It has an option to acquire 80% interest in the mineral rights over a land package covering an area of approximately 4,00,000 acres located in the Upper Peninsula of the State of Michigan. The company was founded in 2005 and is headquartered in Road Town, the British Virgin Islands.",77,"{'maxAge': 1, 'name': 'Mr. Michael David Kicis', 'title': 'Chief Legal Officer & Corp. Sec.', 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,4,0.295,0.3,0.29,0.31,0.295,0.3,0.29,0.31,0.0,1.502622,155302,155302,257458,329870,329870,0.295,0.31,0,0,259598016,0.23,0.63,0.2748,0.3592,0.0,0.0,CAD,237147424,Infinity,0.0,539598125,851140992,132987,127110,1690761600,1693440000,0.0002,0.202,0.21246,0.54,0.247,1.2348179,1672444800,1703980800,1688083200,-1355912,-0.0,0.0,-86.105,TOR,EQUITY,TLO.TO,TLO.TO,TALON METALS CORP.,Talon Metals Corp.,1113399000,America/Toronto,EDT,-14400000,0.305,1.25,0.7,0.92,0.85,1.8,buy,7,22450708,0.026,-2754167,0,5.31,5.404,-0.00922,-0.00732,-42602872,-1844980,0.0,0.0,0.0,CAD,
8,Craigmuir Chambers,PO Box 71,Road Town,VG1110,British Virgin Islands,https://talonmetals.com,Other Industrial Metals & Mining,Basic Materials,"Talon Metals Corp., a mineral exploration company, explores for and develops mineral properties. The company owns a 51% interest in the Tamarack nickel-copper-cobalt project located in Minnesota, the United States. It has an option to acquire 80% interest in the mineral rights over a land package covering an area of approximately 4,00,000 acres located in the Upper Peninsula of the State of Michigan. The company was founded in 2005 and is headquartered in Road Town, the British Virgin Islands.",77,"{'maxAge': 1, 'name': 'Dr. Etienne  Dinel', 'title': 'VP of Geology', 'fiscalYear': 2020, 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,4,0.295,0.3,0.29,0.31,0.295,0.3,0.29,0.31,0.0,1.502622,155302,155302,257458,329870,329870,0.295,0.31,0,0,259598016,0.23,0.63,0.2748,0.3592,0.0,0.0,CAD,237147424,Infinity,0.0,539598125,851140992,132987,127110,1690761600,1693440000,0.0002,0.202,0.21246,0.54,0.247,1.2348179,1672444800,1703980800,1688083200,-1355912,-0.0,0.0,-86.105,TOR,EQUITY,TLO.TO,TLO.TO,TALON METALS CORP.,Talon Metals Corp.,1113399000,America/Toronto,EDT,-14400000,0.305,1.25,0.7,0.92,0.85,1.8,buy,7,22450708,0.026,-2754167,0,5.31,5.404,-0.00922,-0.00732,-42602872,-1844980,0.0,0.0,0.0,CAD,
9,Craigmuir Chambers,PO Box 71,Road Town,VG1110,British Virgin Islands,https://talonmetals.com,Other Industrial Metals & Mining,Basic Materials,"Talon Metals Corp., a mineral exploration company, explores for and develops mineral properties. The company owns a 51% interest in the Tamarack nickel-copper-cobalt project located in Minnesota, the United States. It has an option to acquire 80% interest in the mineral rights over a land package covering an area of approximately 4,00,000 acres located in the Upper Peninsula of the State of Michigan. The company was founded in 2005 and is headquartered in Road Town, the British Virgin Islands.",77,"{'maxAge': 1, 'name': 'Mr. Mark  Groulx', 'title': 'VP of Project Devel. & Innovation', 'fiscalYear': 2020, 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,4,0.295,0.3,0.29,0.31,0.295,0.3,0.29,0.31,0.0,1.502622,155302,155302,257458,329870,329870,0.295,0.31,0,0,259598016,0.23,0.63,0.2748,0.3592,0.0,0.0,CAD,237147424,Infinity,0.0,539598125,851140992,132987,127110,1690761600,1693440000,0.0002,0.202,0.21246,0.54,0.247,1.2348179,1672444800,1703980800,1688083200,-1355912,-0.0,0.0,-86.105,TOR,EQUITY,TLO.TO,TLO.TO,TALON METALS CORP.,Talon Metals Corp.,1113399000,America/Toronto,EDT,-14400000,0.305,1.25,0.7,0.92,0.85,1.8,buy,7,22450708,0.026,-2754167,0,5.31,5.404,-0.00922,-0.00732,-42602872,-1844980,0.0,0.0,0.0,CAD,
