,address1,address2,city,state,zip,country,phone,website,industry,sector,longBusinessSummary,companyOfficers,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,dividendRate,dividendYield,exDividendDate,payoutRatio,fiveYearAvgDividendYield,beta,trailingPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,heldPercentInsiders,heldPercentInstitutions,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,earningsQuarterlyGrowth,netIncomeToCommon,trailingEps,enterpriseToRevenue,enterpriseToEbitda,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,recommendationKey,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,freeCashflow,operatingCashflow,earningsGrowth,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,Administrative Building 1,"1st floor - room 6 Rua Olympia Semeraro, 675 Bairro Jardim Santa EmÃ­lia",São Paulo,SP,04183-090,Brazil,55 11 3566 1000,https://www.whirlpool.com.br,"Furnishings, Fixtures & Appliances",Consumer Cyclical,"Whirlpool S.A. manufactures and sells home appliances in Brazil. The company offers refrigerators, freezers, fridge-freezers, air conditioners, ice makers, stoves, washing machines of dishes, garbage disposals, garbage compactors, vacuum cleaners, washers, clothes dryers, and microwave ovens. It provides its products under the Brastemp, Consul, KitchenAind, across, Compra Certa, B.blend, Jenn-Air, KitchenAid, Eslabón de Lujo, Whirlpool, and Maytag brands. The company was founded in 1957 and is based in São Paulo, Brazil. Whirlpool S.A. operates as a subsidiary of Whirlpool Corporation.","{'maxAge': 1, 'name': 'Mr. Arthur Henrique de Aguiar Cançado Azevedo', 'title': 'Chief Investor Relations Officer', 'exercisedValue': 0, 'unexercisedValue': 0}",86400,4,4.58,0.0,0.0,0.0,4.58,0.0,0.0,0.0,0.64,0.1401,1670371200,0.8793,9.1,0.705784,19.826086,0,0,9343,7833,7833,4.51,4.56,6904159232,0.0,5.8,0.6393836,4.814,4.69755,0.0,0.0,BRL,6617394176,0.03859,28703213,474084992,0.95675004,0.00792,1.448,3.1491714,1672444800,1703980800,1672444800,-0.774,416713984,0.23,0.613,7.49,SAO,EQUITY,WHRL4.SA,WHRL4.SA,WHIRLPOOL   PN,Whirlpool S.A.,946900800,America/Sao_Paulo,BRT,-10800000,4.56,none,1518512000,1.01,883553024,1278320000,0.804,1.037,10798148608,58.602,7.185,0.05244,0.19511999,359362368,614476032,-0.774,-0.044,0.15652001,0.08182,0.06837,BRL,
1,Administrative Building 1,"1st floor - room 6 Rua Olympia Semeraro, 675 Bairro Jardim Santa EmÃ­lia",São Paulo,SP,04183-090,Brazil,55 11 3566 1000,https://www.whirlpool.com.br,"Furnishings, Fixtures & Appliances",Consumer Cyclical,"Whirlpool S.A. manufactures and sells home appliances in Brazil. The company offers refrigerators, freezers, fridge-freezers, air conditioners, ice makers, stoves, washing machines of dishes, garbage disposals, garbage compactors, vacuum cleaners, washers, clothes dryers, and microwave ovens. It provides its products under the Brastemp, Consul, KitchenAind, across, Compra Certa, B.blend, Jenn-Air, KitchenAid, Eslabón de Lujo, Whirlpool, and Maytag brands. The company was founded in 1957 and is based in São Paulo, Brazil. Whirlpool S.A. operates as a subsidiary of Whirlpool Corporation.","{'maxAge': 1, 'name': 'Fabio Henrique Faria Rodrigues Logli', 'title': 'Sec.', 'exercisedValue': 0, 'unexercisedValue': 0}",86400,4,4.58,0.0,0.0,0.0,4.58,0.0,0.0,0.0,0.64,0.1401,1670371200,0.8793,9.1,0.705784,19.826086,0,0,9343,7833,7833,4.51,4.56,6904159232,0.0,5.8,0.6393836,4.814,4.69755,0.0,0.0,BRL,6617394176,0.03859,28703213,474084992,0.95675004,0.00792,1.448,3.1491714,1672444800,1703980800,1672444800,-0.774,416713984,0.23,0.613,7.49,SAO,EQUITY,WHRL4.SA,WHRL4.SA,WHIRLPOOL   PN,Whirlpool S.A.,946900800,America/Sao_Paulo,BRT,-10800000,4.56,none,1518512000,1.01,883553024,1278320000,0.804,1.037,10798148608,58.602,7.185,0.05244,0.19511999,359362368,614476032,-0.774,-0.044,0.15652001,0.08182,0.06837,BRL,
