,address1,address2,city,zip,country,phone,fax,website,industry,sector,longBusinessSummary,companyOfficers,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,dividendRate,dividendYield,exDividendDate,payoutRatio,fiveYearAvgDividendYield,beta,trailingPE,forwardPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,heldPercentInsiders,heldPercentInstitutions,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,earningsQuarterlyGrowth,netIncomeToCommon,trailingEps,forwardEps,enterpriseToRevenue,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,recommendationMean,recommendationKey,numberOfAnalystOpinions,totalCash,totalCashPerShare,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,freeCashflow,operatingCashflow,earningsGrowth,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,80 Robinson Road,#02-00,Singapore,068898,Singapore,65 6236 3333,65 6236 4399,https://www.plifereit.com,REIT—Healthcare Facilities,Real Estate,"Parkway Life Real Estate Investment Trust (PLife REIT) is one of Asia's largest listed healthcare REITs by asset size. It invests in income-producing real estate and real estate related assets that are used primarily for healthcare and healthcare-related purposes (including but are not limited to, hospitals, healthcare facilities and real estate and/or real estate assets used in connection with healthcare research, education, and the manufacture or storage of drugs, medicine and other healthcare goods and devices). PLife REIT owns a well-diversified portfolio of 61 properties located in the Asia Pacific region, with a total portfolio size of approximately S$2.20 billion2 as at 31 December 2022. It owns the largest portfolio of strategically located private hospitals in Singapore comprising Mount Elizabeth Hospital, Gleneagles Hospital and Parkway East Hospital. In addition, it has 57 assets of high-quality nursing home and care facility properties in various prefectures of Japan. It also owns strata-titled units/lots in MOB Specialist Clinics Kuala Lumpur in Malaysia.","{'maxAge': 1, 'name': 'Mr. Yean Chau  Yong', 'age': 56, 'title': 'CEO & Exec. Director of Parkway Trust Management Limited', 'yearBorn': 1966, 'exercisedValue': 0, 'unexercisedValue': 0}",86400,4,3.76,3.75,3.72,3.76,3.76,3.75,3.72,3.76,0.15,0.038900003,1690934400,2.2021,3.54,0.319444,53.714287,25.066666,511900,511900,437095,252480,252480,3.75,3.74,0,0,2274807552,3.59,4.68,15.775473,3.7964,3.8608,0.146,0.03882979,SGD,3050057472,0.27375,390510641,605001984,0.36226,0.23016001,2.327,1.6158144,1672444800,1703980800,1688083200,-0.032,39474000,0.07,0.15,21.152,SES,EQUITY,C2PU.SI,C2PU.SI,ParkwayLife Reit,Parkway Life Real Estate Investment Trust,1194397200,Asia/Singapore,SGT,28800000,3.76,4.8,4.09,4.47,4.5,2.0,buy,4,32113000,0.053,807363008,0.232,0.497,144199008,57.338,0.238,0.032509997,0.02755,108090000,43097752,109148000,-0.032,0.257,0.84253997,0.0,0.82098,SGD,
1,80 Robinson Road,#02-00,Singapore,068898,Singapore,65 6236 3333,65 6236 4399,https://www.plifereit.com,REIT—Healthcare Facilities,Real Estate,"Parkway Life Real Estate Investment Trust (PLife REIT) is one of Asia's largest listed healthcare REITs by asset size. It invests in income-producing real estate and real estate related assets that are used primarily for healthcare and healthcare-related purposes (including but are not limited to, hospitals, healthcare facilities and real estate and/or real estate assets used in connection with healthcare research, education, and the manufacture or storage of drugs, medicine and other healthcare goods and devices). PLife REIT owns a well-diversified portfolio of 61 properties located in the Asia Pacific region, with a total portfolio size of approximately S$2.20 billion2 as at 31 December 2022. It owns the largest portfolio of strategically located private hospitals in Singapore comprising Mount Elizabeth Hospital, Gleneagles Hospital and Parkway East Hospital. In addition, it has 57 assets of high-quality nursing home and care facility properties in various prefectures of Japan. It also owns strata-titled units/lots in MOB Specialist Clinics Kuala Lumpur in Malaysia.","{'maxAge': 1, 'name': 'Mr. Hock Leong  Loo', 'age': 52, 'title': 'CFO and Head of Corp. Services & Investor Relations of Parkway Trust Management Limited', 'yearBorn': 1970, 'exercisedValue': 0, 'unexercisedValue': 0}",86400,4,3.76,3.75,3.72,3.76,3.76,3.75,3.72,3.76,0.15,0.038900003,1690934400,2.2021,3.54,0.319444,53.714287,25.066666,511900,511900,437095,252480,252480,3.75,3.74,0,0,2274807552,3.59,4.68,15.775473,3.7964,3.8608,0.146,0.03882979,SGD,3050057472,0.27375,390510641,605001984,0.36226,0.23016001,2.327,1.6158144,1672444800,1703980800,1688083200,-0.032,39474000,0.07,0.15,21.152,SES,EQUITY,C2PU.SI,C2PU.SI,ParkwayLife Reit,Parkway Life Real Estate Investment Trust,1194397200,Asia/Singapore,SGT,28800000,3.76,4.8,4.09,4.47,4.5,2.0,buy,4,32113000,0.053,807363008,0.232,0.497,144199008,57.338,0.238,0.032509997,0.02755,108090000,43097752,109148000,-0.032,0.257,0.84253997,0.0,0.82098,SGD,
2,80 Robinson Road,#02-00,Singapore,068898,Singapore,65 6236 3333,65 6236 4399,https://www.plifereit.com,REIT—Healthcare Facilities,Real Estate,"Parkway Life Real Estate Investment Trust (PLife REIT) is one of Asia's largest listed healthcare REITs by asset size. It invests in income-producing real estate and real estate related assets that are used primarily for healthcare and healthcare-related purposes (including but are not limited to, hospitals, healthcare facilities and real estate and/or real estate assets used in connection with healthcare research, education, and the manufacture or storage of drugs, medicine and other healthcare goods and devices). PLife REIT owns a well-diversified portfolio of 61 properties located in the Asia Pacific region, with a total portfolio size of approximately S$2.20 billion2 as at 31 December 2022. It owns the largest portfolio of strategically located private hospitals in Singapore comprising Mount Elizabeth Hospital, Gleneagles Hospital and Parkway East Hospital. In addition, it has 57 assets of high-quality nursing home and care facility properties in various prefectures of Japan. It also owns strata-titled units/lots in MOB Specialist Clinics Kuala Lumpur in Malaysia.","{'maxAge': 1, 'name': 'Mr. Seak Sze  Tan', 'age': 54, 'title': 'Chief Investment Officer of Parkway Trust Management Limited', 'yearBorn': 1968, 'exercisedValue': 0, 'unexercisedValue': 0}",86400,4,3.76,3.75,3.72,3.76,3.76,3.75,3.72,3.76,0.15,0.038900003,1690934400,2.2021,3.54,0.319444,53.714287,25.066666,511900,511900,437095,252480,252480,3.75,3.74,0,0,2274807552,3.59,4.68,15.775473,3.7964,3.8608,0.146,0.03882979,SGD,3050057472,0.27375,390510641,605001984,0.36226,0.23016001,2.327,1.6158144,1672444800,1703980800,1688083200,-0.032,39474000,0.07,0.15,21.152,SES,EQUITY,C2PU.SI,C2PU.SI,ParkwayLife Reit,Parkway Life Real Estate Investment Trust,1194397200,Asia/Singapore,SGT,28800000,3.76,4.8,4.09,4.47,4.5,2.0,buy,4,32113000,0.053,807363008,0.232,0.497,144199008,57.338,0.238,0.032509997,0.02755,108090000,43097752,109148000,-0.032,0.257,0.84253997,0.0,0.82098,SGD,
3,80 Robinson Road,#02-00,Singapore,068898,Singapore,65 6236 3333,65 6236 4399,https://www.plifereit.com,REIT—Healthcare Facilities,Real Estate,"Parkway Life Real Estate Investment Trust (PLife REIT) is one of Asia's largest listed healthcare REITs by asset size. It invests in income-producing real estate and real estate related assets that are used primarily for healthcare and healthcare-related purposes (including but are not limited to, hospitals, healthcare facilities and real estate and/or real estate assets used in connection with healthcare research, education, and the manufacture or storage of drugs, medicine and other healthcare goods and devices). PLife REIT owns a well-diversified portfolio of 61 properties located in the Asia Pacific region, with a total portfolio size of approximately S$2.20 billion2 as at 31 December 2022. It owns the largest portfolio of strategically located private hospitals in Singapore comprising Mount Elizabeth Hospital, Gleneagles Hospital and Parkway East Hospital. In addition, it has 57 assets of high-quality nursing home and care facility properties in various prefectures of Japan. It also owns strata-titled units/lots in MOB Specialist Clinics Kuala Lumpur in Malaysia.","{'maxAge': 1, 'name': 'Ms. Annie  Chen', 'title': 'VP & Head of Corp. Fin. of Parkway Trust Management Limited', 'exercisedValue': 0, 'unexercisedValue': 0}",86400,4,3.76,3.75,3.72,3.76,3.76,3.75,3.72,3.76,0.15,0.038900003,1690934400,2.2021,3.54,0.319444,53.714287,25.066666,511900,511900,437095,252480,252480,3.75,3.74,0,0,2274807552,3.59,4.68,15.775473,3.7964,3.8608,0.146,0.03882979,SGD,3050057472,0.27375,390510641,605001984,0.36226,0.23016001,2.327,1.6158144,1672444800,1703980800,1688083200,-0.032,39474000,0.07,0.15,21.152,SES,EQUITY,C2PU.SI,C2PU.SI,ParkwayLife Reit,Parkway Life Real Estate Investment Trust,1194397200,Asia/Singapore,SGT,28800000,3.76,4.8,4.09,4.47,4.5,2.0,buy,4,32113000,0.053,807363008,0.232,0.497,144199008,57.338,0.238,0.032509997,0.02755,108090000,43097752,109148000,-0.032,0.257,0.84253997,0.0,0.82098,SGD,
4,80 Robinson Road,#02-00,Singapore,068898,Singapore,65 6236 3333,65 6236 4399,https://www.plifereit.com,REIT—Healthcare Facilities,Real Estate,"Parkway Life Real Estate Investment Trust (PLife REIT) is one of Asia's largest listed healthcare REITs by asset size. It invests in income-producing real estate and real estate related assets that are used primarily for healthcare and healthcare-related purposes (including but are not limited to, hospitals, healthcare facilities and real estate and/or real estate assets used in connection with healthcare research, education, and the manufacture or storage of drugs, medicine and other healthcare goods and devices). PLife REIT owns a well-diversified portfolio of 61 properties located in the Asia Pacific region, with a total portfolio size of approximately S$2.20 billion2 as at 31 December 2022. It owns the largest portfolio of strategically located private hospitals in Singapore comprising Mount Elizabeth Hospital, Gleneagles Hospital and Parkway East Hospital. In addition, it has 57 assets of high-quality nursing home and care facility properties in various prefectures of Japan. It also owns strata-titled units/lots in MOB Specialist Clinics Kuala Lumpur in Malaysia.","{'maxAge': 1, 'name': 'Ms. Nicole  Chua', 'title': 'Assistant VP & Head of Legal, Compliance & Strategic Human Resource Management', 'exercisedValue': 0, 'unexercisedValue': 0}",86400,4,3.76,3.75,3.72,3.76,3.76,3.75,3.72,3.76,0.15,0.038900003,1690934400,2.2021,3.54,0.319444,53.714287,25.066666,511900,511900,437095,252480,252480,3.75,3.74,0,0,2274807552,3.59,4.68,15.775473,3.7964,3.8608,0.146,0.03882979,SGD,3050057472,0.27375,390510641,605001984,0.36226,0.23016001,2.327,1.6158144,1672444800,1703980800,1688083200,-0.032,39474000,0.07,0.15,21.152,SES,EQUITY,C2PU.SI,C2PU.SI,ParkwayLife Reit,Parkway Life Real Estate Investment Trust,1194397200,Asia/Singapore,SGT,28800000,3.76,4.8,4.09,4.47,4.5,2.0,buy,4,32113000,0.053,807363008,0.232,0.497,144199008,57.338,0.238,0.032509997,0.02755,108090000,43097752,109148000,-0.032,0.257,0.84253997,0.0,0.82098,SGD,
5,80 Robinson Road,#02-00,Singapore,068898,Singapore,65 6236 3333,65 6236 4399,https://www.plifereit.com,REIT—Healthcare Facilities,Real Estate,"Parkway Life Real Estate Investment Trust (PLife REIT) is one of Asia's largest listed healthcare REITs by asset size. It invests in income-producing real estate and real estate related assets that are used primarily for healthcare and healthcare-related purposes (including but are not limited to, hospitals, healthcare facilities and real estate and/or real estate assets used in connection with healthcare research, education, and the manufacture or storage of drugs, medicine and other healthcare goods and devices). PLife REIT owns a well-diversified portfolio of 61 properties located in the Asia Pacific region, with a total portfolio size of approximately S$2.20 billion2 as at 31 December 2022. It owns the largest portfolio of strategically located private hospitals in Singapore comprising Mount Elizabeth Hospital, Gleneagles Hospital and Parkway East Hospital. In addition, it has 57 assets of high-quality nursing home and care facility properties in various prefectures of Japan. It also owns strata-titled units/lots in MOB Specialist Clinics Kuala Lumpur in Malaysia.","{'maxAge': 1, 'name': 'Ms. Chin Ping  Teo', 'title': 'VP & Head of Projects of Parkway Trust Management Limited', 'exercisedValue': 0, 'unexercisedValue': 0}",86400,4,3.76,3.75,3.72,3.76,3.76,3.75,3.72,3.76,0.15,0.038900003,1690934400,2.2021,3.54,0.319444,53.714287,25.066666,511900,511900,437095,252480,252480,3.75,3.74,0,0,2274807552,3.59,4.68,15.775473,3.7964,3.8608,0.146,0.03882979,SGD,3050057472,0.27375,390510641,605001984,0.36226,0.23016001,2.327,1.6158144,1672444800,1703980800,1688083200,-0.032,39474000,0.07,0.15,21.152,SES,EQUITY,C2PU.SI,C2PU.SI,ParkwayLife Reit,Parkway Life Real Estate Investment Trust,1194397200,Asia/Singapore,SGT,28800000,3.76,4.8,4.09,4.47,4.5,2.0,buy,4,32113000,0.053,807363008,0.232,0.497,144199008,57.338,0.238,0.032509997,0.02755,108090000,43097752,109148000,-0.032,0.257,0.84253997,0.0,0.82098,SGD,
6,80 Robinson Road,#02-00,Singapore,068898,Singapore,65 6236 3333,65 6236 4399,https://www.plifereit.com,REIT—Healthcare Facilities,Real Estate,"Parkway Life Real Estate Investment Trust (PLife REIT) is one of Asia's largest listed healthcare REITs by asset size. It invests in income-producing real estate and real estate related assets that are used primarily for healthcare and healthcare-related purposes (including but are not limited to, hospitals, healthcare facilities and real estate and/or real estate assets used in connection with healthcare research, education, and the manufacture or storage of drugs, medicine and other healthcare goods and devices). PLife REIT owns a well-diversified portfolio of 61 properties located in the Asia Pacific region, with a total portfolio size of approximately S$2.20 billion2 as at 31 December 2022. It owns the largest portfolio of strategically located private hospitals in Singapore comprising Mount Elizabeth Hospital, Gleneagles Hospital and Parkway East Hospital. In addition, it has 57 assets of high-quality nursing home and care facility properties in various prefectures of Japan. It also owns strata-titled units/lots in MOB Specialist Clinics Kuala Lumpur in Malaysia.","{'maxAge': 1, 'name': 'Mr. Shawn  Yap', 'title': 'VP & Head of Special Projects', 'exercisedValue': 0, 'unexercisedValue': 0}",86400,4,3.76,3.75,3.72,3.76,3.76,3.75,3.72,3.76,0.15,0.038900003,1690934400,2.2021,3.54,0.319444,53.714287,25.066666,511900,511900,437095,252480,252480,3.75,3.74,0,0,2274807552,3.59,4.68,15.775473,3.7964,3.8608,0.146,0.03882979,SGD,3050057472,0.27375,390510641,605001984,0.36226,0.23016001,2.327,1.6158144,1672444800,1703980800,1688083200,-0.032,39474000,0.07,0.15,21.152,SES,EQUITY,C2PU.SI,C2PU.SI,ParkwayLife Reit,Parkway Life Real Estate Investment Trust,1194397200,Asia/Singapore,SGT,28800000,3.76,4.8,4.09,4.47,4.5,2.0,buy,4,32113000,0.053,807363008,0.232,0.497,144199008,57.338,0.238,0.032509997,0.02755,108090000,43097752,109148000,-0.032,0.257,0.84253997,0.0,0.82098,SGD,
7,80 Robinson Road,#02-00,Singapore,068898,Singapore,65 6236 3333,65 6236 4399,https://www.plifereit.com,REIT—Healthcare Facilities,Real Estate,"Parkway Life Real Estate Investment Trust (PLife REIT) is one of Asia's largest listed healthcare REITs by asset size. It invests in income-producing real estate and real estate related assets that are used primarily for healthcare and healthcare-related purposes (including but are not limited to, hospitals, healthcare facilities and real estate and/or real estate assets used in connection with healthcare research, education, and the manufacture or storage of drugs, medicine and other healthcare goods and devices). PLife REIT owns a well-diversified portfolio of 61 properties located in the Asia Pacific region, with a total portfolio size of approximately S$2.20 billion2 as at 31 December 2022. It owns the largest portfolio of strategically located private hospitals in Singapore comprising Mount Elizabeth Hospital, Gleneagles Hospital and Parkway East Hospital. In addition, it has 57 assets of high-quality nursing home and care facility properties in various prefectures of Japan. It also owns strata-titled units/lots in MOB Specialist Clinics Kuala Lumpur in Malaysia.","{'maxAge': 1, 'name': 'Ms. Patricia  Ng', 'title': 'VP & Head of Fin. of Parkway Trust Management Limited', 'exercisedValue': 0, 'unexercisedValue': 0}",86400,4,3.76,3.75,3.72,3.76,3.76,3.75,3.72,3.76,0.15,0.038900003,1690934400,2.2021,3.54,0.319444,53.714287,25.066666,511900,511900,437095,252480,252480,3.75,3.74,0,0,2274807552,3.59,4.68,15.775473,3.7964,3.8608,0.146,0.03882979,SGD,3050057472,0.27375,390510641,605001984,0.36226,0.23016001,2.327,1.6158144,1672444800,1703980800,1688083200,-0.032,39474000,0.07,0.15,21.152,SES,EQUITY,C2PU.SI,C2PU.SI,ParkwayLife Reit,Parkway Life Real Estate Investment Trust,1194397200,Asia/Singapore,SGT,28800000,3.76,4.8,4.09,4.47,4.5,2.0,buy,4,32113000,0.053,807363008,0.232,0.497,144199008,57.338,0.238,0.032509997,0.02755,108090000,43097752,109148000,-0.032,0.257,0.84253997,0.0,0.82098,SGD,
8,80 Robinson Road,#02-00,Singapore,068898,Singapore,65 6236 3333,65 6236 4399,https://www.plifereit.com,REIT—Healthcare Facilities,Real Estate,"Parkway Life Real Estate Investment Trust (PLife REIT) is one of Asia's largest listed healthcare REITs by asset size. It invests in income-producing real estate and real estate related assets that are used primarily for healthcare and healthcare-related purposes (including but are not limited to, hospitals, healthcare facilities and real estate and/or real estate assets used in connection with healthcare research, education, and the manufacture or storage of drugs, medicine and other healthcare goods and devices). PLife REIT owns a well-diversified portfolio of 61 properties located in the Asia Pacific region, with a total portfolio size of approximately S$2.20 billion2 as at 31 December 2022. It owns the largest portfolio of strategically located private hospitals in Singapore comprising Mount Elizabeth Hospital, Gleneagles Hospital and Parkway East Hospital. In addition, it has 57 assets of high-quality nursing home and care facility properties in various prefectures of Japan. It also owns strata-titled units/lots in MOB Specialist Clinics Kuala Lumpur in Malaysia.","{'maxAge': 1, 'name': 'Mr. Weng Bunn  Lee', 'title': 'VP & Head of Investment', 'exercisedValue': 0, 'unexercisedValue': 0}",86400,4,3.76,3.75,3.72,3.76,3.76,3.75,3.72,3.76,0.15,0.038900003,1690934400,2.2021,3.54,0.319444,53.714287,25.066666,511900,511900,437095,252480,252480,3.75,3.74,0,0,2274807552,3.59,4.68,15.775473,3.7964,3.8608,0.146,0.03882979,SGD,3050057472,0.27375,390510641,605001984,0.36226,0.23016001,2.327,1.6158144,1672444800,1703980800,1688083200,-0.032,39474000,0.07,0.15,21.152,SES,EQUITY,C2PU.SI,C2PU.SI,ParkwayLife Reit,Parkway Life Real Estate Investment Trust,1194397200,Asia/Singapore,SGT,28800000,3.76,4.8,4.09,4.47,4.5,2.0,buy,4,32113000,0.053,807363008,0.232,0.497,144199008,57.338,0.238,0.032509997,0.02755,108090000,43097752,109148000,-0.032,0.257,0.84253997,0.0,0.82098,SGD,
9,80 Robinson Road,#02-00,Singapore,068898,Singapore,65 6236 3333,65 6236 4399,https://www.plifereit.com,REIT—Healthcare Facilities,Real Estate,"Parkway Life Real Estate Investment Trust (PLife REIT) is one of Asia's largest listed healthcare REITs by asset size. It invests in income-producing real estate and real estate related assets that are used primarily for healthcare and healthcare-related purposes (including but are not limited to, hospitals, healthcare facilities and real estate and/or real estate assets used in connection with healthcare research, education, and the manufacture or storage of drugs, medicine and other healthcare goods and devices). PLife REIT owns a well-diversified portfolio of 61 properties located in the Asia Pacific region, with a total portfolio size of approximately S$2.20 billion2 as at 31 December 2022. It owns the largest portfolio of strategically located private hospitals in Singapore comprising Mount Elizabeth Hospital, Gleneagles Hospital and Parkway East Hospital. In addition, it has 57 assets of high-quality nursing home and care facility properties in various prefectures of Japan. It also owns strata-titled units/lots in MOB Specialist Clinics Kuala Lumpur in Malaysia.","{'maxAge': 1, 'name': 'Ms. Zhi Lei  Tan', 'title': 'Sr. Mang. & Head of Financial Accounting', 'exercisedValue': 0, 'unexercisedValue': 0}",86400,4,3.76,3.75,3.72,3.76,3.76,3.75,3.72,3.76,0.15,0.038900003,1690934400,2.2021,3.54,0.319444,53.714287,25.066666,511900,511900,437095,252480,252480,3.75,3.74,0,0,2274807552,3.59,4.68,15.775473,3.7964,3.8608,0.146,0.03882979,SGD,3050057472,0.27375,390510641,605001984,0.36226,0.23016001,2.327,1.6158144,1672444800,1703980800,1688083200,-0.032,39474000,0.07,0.15,21.152,SES,EQUITY,C2PU.SI,C2PU.SI,ParkwayLife Reit,Parkway Life Real Estate Investment Trust,1194397200,Asia/Singapore,SGT,28800000,3.76,4.8,4.09,4.47,4.5,2.0,buy,4,32113000,0.053,807363008,0.232,0.497,144199008,57.338,0.238,0.032509997,0.02755,108090000,43097752,109148000,-0.032,0.257,0.84253997,0.0,0.82098,SGD,
