,address1,address2,city,state,zip,country,fax,website,industry,sector,longBusinessSummary,companyOfficers,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,dividendRate,dividendYield,exDividendDate,fiveYearAvgDividendYield,beta,forwardPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,sharesShort,sharesShortPriorMonth,sharesShortPreviousMonthDate,dateShortInterest,sharesPercentSharesOut,heldPercentInsiders,heldPercentInstitutions,shortRatio,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,netIncomeToCommon,trailingEps,forwardEps,pegRatio,lastSplitFactor,lastSplitDate,enterpriseToRevenue,enterpriseToEbitda,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,recommendationMean,recommendationKey,numberOfAnalystOpinions,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,freeCashflow,operatingCashflow,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,Commerce Court West,Suite 2700 PO Box 201,Toronto,ON,M5L 1E8,Canada,416 364 2067,https://www.guardiancapital.com,Asset Management,Financial Services,"Guardian Capital Group Limited, together with its subsidiaries, operates as a diversified financial services company in Canada, the Untied States, the United Kingdom, and internationally. The company operates through Investment Management, Wealth Management, and Corporate Activities and Investment segments. It provides investment management and advisory services. The company also offers wealth management services to high-net-worth families, foundations, and charities. In addition, it manages institutional assets for pension plans, broker-dealer third-party platforms, insurance company segregated funds, exchange-traded funds, mutual funds, endowment funds, and foundations. Further, it provides private banking services. Guardian Capital Group Limited was incorporated in 1962 and is headquartered in Toronto, Canada.","{'maxAge': 1, 'name': 'Mr. George  Mavroudis CFP, CA, CFP, FCPA', 'title': 'Pres, CEO & Non-Independent Director', 'fiscalYear': 2022, 'totalPay': 2807151, 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,2,41.9,42.0,41.99,42.35,41.9,42.0,41.99,42.35,1.36,0.0325,1696896000,2.37,1.063423,16.79283,1830,1830,6732,5280,5280,41.95,42.6,1085202432,24.5,47.0,5.037051,41.1618,41.1839,1.26,0.030071598,CAD,1004641728,2.41875,16399473,22871000,6962,10134,1690761600,1693440000,0.00029999999,0.21903999,0.19920999,0.85,51.113,0.8246435,1672444800,1703980800,1688083200,-44058000,-1.89,2.51,5.22,2:1,1148860800,4.663,17.377,TOR,EQUITY,GCG-A.TO,GCG-A.TO,"GUARDIAN CAPITAL GROUP LTD., CL",Guardian Capital Group Limited,839943000,America/Toronto,EDT,-14400000,42.15,56.0,49.0,53.33,55.0,2.0,buy,3,144051008,6.072,57813000,153142000,0.494,0.646,215444000,12.613,8.971,0.022720002,0.05246,97279000,115938872,79316000,0.235,0.49642,0.26834,0.25305,CAD,
1,Commerce Court West,Suite 2700 PO Box 201,Toronto,ON,M5L 1E8,Canada,416 364 2067,https://www.guardiancapital.com,Asset Management,Financial Services,"Guardian Capital Group Limited, together with its subsidiaries, operates as a diversified financial services company in Canada, the Untied States, the United Kingdom, and internationally. The company operates through Investment Management, Wealth Management, and Corporate Activities and Investment segments. It provides investment management and advisory services. The company also offers wealth management services to high-net-worth families, foundations, and charities. In addition, it manages institutional assets for pension plans, broker-dealer third-party platforms, insurance company segregated funds, exchange-traded funds, mutual funds, endowment funds, and foundations. Further, it provides private banking services. Guardian Capital Group Limited was incorporated in 1962 and is headquartered in Toronto, Canada.","{'maxAge': 1, 'name': 'Mr. Donald  Yi C.A., CPA', 'title': 'Chief Financial Officer', 'fiscalYear': 2022, 'totalPay': 683358, 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,2,41.9,42.0,41.99,42.35,41.9,42.0,41.99,42.35,1.36,0.0325,1696896000,2.37,1.063423,16.79283,1830,1830,6732,5280,5280,41.95,42.6,1085202432,24.5,47.0,5.037051,41.1618,41.1839,1.26,0.030071598,CAD,1004641728,2.41875,16399473,22871000,6962,10134,1690761600,1693440000,0.00029999999,0.21903999,0.19920999,0.85,51.113,0.8246435,1672444800,1703980800,1688083200,-44058000,-1.89,2.51,5.22,2:1,1148860800,4.663,17.377,TOR,EQUITY,GCG-A.TO,GCG-A.TO,"GUARDIAN CAPITAL GROUP LTD., CL",Guardian Capital Group Limited,839943000,America/Toronto,EDT,-14400000,42.15,56.0,49.0,53.33,55.0,2.0,buy,3,144051008,6.072,57813000,153142000,0.494,0.646,215444000,12.613,8.971,0.022720002,0.05246,97279000,115938872,79316000,0.235,0.49642,0.26834,0.25305,CAD,
2,Commerce Court West,Suite 2700 PO Box 201,Toronto,ON,M5L 1E8,Canada,416 364 2067,https://www.guardiancapital.com,Asset Management,Financial Services,"Guardian Capital Group Limited, together with its subsidiaries, operates as a diversified financial services company in Canada, the Untied States, the United Kingdom, and internationally. The company operates through Investment Management, Wealth Management, and Corporate Activities and Investment segments. It provides investment management and advisory services. The company also offers wealth management services to high-net-worth families, foundations, and charities. In addition, it manages institutional assets for pension plans, broker-dealer third-party platforms, insurance company segregated funds, exchange-traded funds, mutual funds, endowment funds, and foundations. Further, it provides private banking services. Guardian Capital Group Limited was incorporated in 1962 and is headquartered in Toronto, Canada.","{'maxAge': 1, 'name': 'Mr. Matthew Dean Turner C.F.A., L.L.B., M.B.A.', 'title': 'Sr. VP & Chief Compliance Officer', 'fiscalYear': 2022, 'totalPay': 690411, 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,2,41.9,42.0,41.99,42.35,41.9,42.0,41.99,42.35,1.36,0.0325,1696896000,2.37,1.063423,16.79283,1830,1830,6732,5280,5280,41.95,42.6,1085202432,24.5,47.0,5.037051,41.1618,41.1839,1.26,0.030071598,CAD,1004641728,2.41875,16399473,22871000,6962,10134,1690761600,1693440000,0.00029999999,0.21903999,0.19920999,0.85,51.113,0.8246435,1672444800,1703980800,1688083200,-44058000,-1.89,2.51,5.22,2:1,1148860800,4.663,17.377,TOR,EQUITY,GCG-A.TO,GCG-A.TO,"GUARDIAN CAPITAL GROUP LTD., CL",Guardian Capital Group Limited,839943000,America/Toronto,EDT,-14400000,42.15,56.0,49.0,53.33,55.0,2.0,buy,3,144051008,6.072,57813000,153142000,0.494,0.646,215444000,12.613,8.971,0.022720002,0.05246,97279000,115938872,79316000,0.235,0.49642,0.26834,0.25305,CAD,
3,Commerce Court West,Suite 2700 PO Box 201,Toronto,ON,M5L 1E8,Canada,416 364 2067,https://www.guardiancapital.com,Asset Management,Financial Services,"Guardian Capital Group Limited, together with its subsidiaries, operates as a diversified financial services company in Canada, the Untied States, the United Kingdom, and internationally. The company operates through Investment Management, Wealth Management, and Corporate Activities and Investment segments. It provides investment management and advisory services. The company also offers wealth management services to high-net-worth families, foundations, and charities. In addition, it manages institutional assets for pension plans, broker-dealer third-party platforms, insurance company segregated funds, exchange-traded funds, mutual funds, endowment funds, and foundations. Further, it provides private banking services. Guardian Capital Group Limited was incorporated in 1962 and is headquartered in Toronto, Canada.","{'maxAge': 1, 'name': 'Mr. Denis R. Larose C.F.A., CFA, F.S.A.', 'title': 'Chief Investment Officer of Guardian Capital LP', 'fiscalYear': 2022, 'totalPay': 1108348, 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,2,41.9,42.0,41.99,42.35,41.9,42.0,41.99,42.35,1.36,0.0325,1696896000,2.37,1.063423,16.79283,1830,1830,6732,5280,5280,41.95,42.6,1085202432,24.5,47.0,5.037051,41.1618,41.1839,1.26,0.030071598,CAD,1004641728,2.41875,16399473,22871000,6962,10134,1690761600,1693440000,0.00029999999,0.21903999,0.19920999,0.85,51.113,0.8246435,1672444800,1703980800,1688083200,-44058000,-1.89,2.51,5.22,2:1,1148860800,4.663,17.377,TOR,EQUITY,GCG-A.TO,GCG-A.TO,"GUARDIAN CAPITAL GROUP LTD., CL",Guardian Capital Group Limited,839943000,America/Toronto,EDT,-14400000,42.15,56.0,49.0,53.33,55.0,2.0,buy,3,144051008,6.072,57813000,153142000,0.494,0.646,215444000,12.613,8.971,0.022720002,0.05246,97279000,115938872,79316000,0.235,0.49642,0.26834,0.25305,CAD,
4,Commerce Court West,Suite 2700 PO Box 201,Toronto,ON,M5L 1E8,Canada,416 364 2067,https://www.guardiancapital.com,Asset Management,Financial Services,"Guardian Capital Group Limited, together with its subsidiaries, operates as a diversified financial services company in Canada, the Untied States, the United Kingdom, and internationally. The company operates through Investment Management, Wealth Management, and Corporate Activities and Investment segments. It provides investment management and advisory services. The company also offers wealth management services to high-net-worth families, foundations, and charities. In addition, it manages institutional assets for pension plans, broker-dealer third-party platforms, insurance company segregated funds, exchange-traded funds, mutual funds, endowment funds, and foundations. Further, it provides private banking services. Guardian Capital Group Limited was incorporated in 1962 and is headquartered in Toronto, Canada.","{'maxAge': 1, 'name': 'Eddy  Fung', 'title': 'Vice-Pres of Retail Fin. & Admin.', 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,2,41.9,42.0,41.99,42.35,41.9,42.0,41.99,42.35,1.36,0.0325,1696896000,2.37,1.063423,16.79283,1830,1830,6732,5280,5280,41.95,42.6,1085202432,24.5,47.0,5.037051,41.1618,41.1839,1.26,0.030071598,CAD,1004641728,2.41875,16399473,22871000,6962,10134,1690761600,1693440000,0.00029999999,0.21903999,0.19920999,0.85,51.113,0.8246435,1672444800,1703980800,1688083200,-44058000,-1.89,2.51,5.22,2:1,1148860800,4.663,17.377,TOR,EQUITY,GCG-A.TO,GCG-A.TO,"GUARDIAN CAPITAL GROUP LTD., CL",Guardian Capital Group Limited,839943000,America/Toronto,EDT,-14400000,42.15,56.0,49.0,53.33,55.0,2.0,buy,3,144051008,6.072,57813000,153142000,0.494,0.646,215444000,12.613,8.971,0.022720002,0.05246,97279000,115938872,79316000,0.235,0.49642,0.26834,0.25305,CAD,
5,Commerce Court West,Suite 2700 PO Box 201,Toronto,ON,M5L 1E8,Canada,416 364 2067,https://www.guardiancapital.com,Asset Management,Financial Services,"Guardian Capital Group Limited, together with its subsidiaries, operates as a diversified financial services company in Canada, the Untied States, the United Kingdom, and internationally. The company operates through Investment Management, Wealth Management, and Corporate Activities and Investment segments. It provides investment management and advisory services. The company also offers wealth management services to high-net-worth families, foundations, and charities. In addition, it manages institutional assets for pension plans, broker-dealer third-party platforms, insurance company segregated funds, exchange-traded funds, mutual funds, endowment funds, and foundations. Further, it provides private banking services. Guardian Capital Group Limited was incorporated in 1962 and is headquartered in Toronto, Canada.","{'maxAge': 1, 'name': 'Rachel  Hindson', 'title': 'VP of Legal', 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,2,41.9,42.0,41.99,42.35,41.9,42.0,41.99,42.35,1.36,0.0325,1696896000,2.37,1.063423,16.79283,1830,1830,6732,5280,5280,41.95,42.6,1085202432,24.5,47.0,5.037051,41.1618,41.1839,1.26,0.030071598,CAD,1004641728,2.41875,16399473,22871000,6962,10134,1690761600,1693440000,0.00029999999,0.21903999,0.19920999,0.85,51.113,0.8246435,1672444800,1703980800,1688083200,-44058000,-1.89,2.51,5.22,2:1,1148860800,4.663,17.377,TOR,EQUITY,GCG-A.TO,GCG-A.TO,"GUARDIAN CAPITAL GROUP LTD., CL",Guardian Capital Group Limited,839943000,America/Toronto,EDT,-14400000,42.15,56.0,49.0,53.33,55.0,2.0,buy,3,144051008,6.072,57813000,153142000,0.494,0.646,215444000,12.613,8.971,0.022720002,0.05246,97279000,115938872,79316000,0.235,0.49642,0.26834,0.25305,CAD,
6,Commerce Court West,Suite 2700 PO Box 201,Toronto,ON,M5L 1E8,Canada,416 364 2067,https://www.guardiancapital.com,Asset Management,Financial Services,"Guardian Capital Group Limited, together with its subsidiaries, operates as a diversified financial services company in Canada, the Untied States, the United Kingdom, and internationally. The company operates through Investment Management, Wealth Management, and Corporate Activities and Investment segments. It provides investment management and advisory services. The company also offers wealth management services to high-net-worth families, foundations, and charities. In addition, it manages institutional assets for pension plans, broker-dealer third-party platforms, insurance company segregated funds, exchange-traded funds, mutual funds, endowment funds, and foundations. Further, it provides private banking services. Guardian Capital Group Limited was incorporated in 1962 and is headquartered in Toronto, Canada.","{'maxAge': 1, 'name': 'Angela  Shim', 'title': 'VP of Marketing & Corp. Initiatives', 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,2,41.9,42.0,41.99,42.35,41.9,42.0,41.99,42.35,1.36,0.0325,1696896000,2.37,1.063423,16.79283,1830,1830,6732,5280,5280,41.95,42.6,1085202432,24.5,47.0,5.037051,41.1618,41.1839,1.26,0.030071598,CAD,1004641728,2.41875,16399473,22871000,6962,10134,1690761600,1693440000,0.00029999999,0.21903999,0.19920999,0.85,51.113,0.8246435,1672444800,1703980800,1688083200,-44058000,-1.89,2.51,5.22,2:1,1148860800,4.663,17.377,TOR,EQUITY,GCG-A.TO,GCG-A.TO,"GUARDIAN CAPITAL GROUP LTD., CL",Guardian Capital Group Limited,839943000,America/Toronto,EDT,-14400000,42.15,56.0,49.0,53.33,55.0,2.0,buy,3,144051008,6.072,57813000,153142000,0.494,0.646,215444000,12.613,8.971,0.022720002,0.05246,97279000,115938872,79316000,0.235,0.49642,0.26834,0.25305,CAD,
7,Commerce Court West,Suite 2700 PO Box 201,Toronto,ON,M5L 1E8,Canada,416 364 2067,https://www.guardiancapital.com,Asset Management,Financial Services,"Guardian Capital Group Limited, together with its subsidiaries, operates as a diversified financial services company in Canada, the Untied States, the United Kingdom, and internationally. The company operates through Investment Management, Wealth Management, and Corporate Activities and Investment segments. It provides investment management and advisory services. The company also offers wealth management services to high-net-worth families, foundations, and charities. In addition, it manages institutional assets for pension plans, broker-dealer third-party platforms, insurance company segregated funds, exchange-traded funds, mutual funds, endowment funds, and foundations. Further, it provides private banking services. Guardian Capital Group Limited was incorporated in 1962 and is headquartered in Toronto, Canada.","{'maxAge': 1, 'name': 'Ms. Paula  Dunlop', 'title': 'Exec. VP of HR', 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,2,41.9,42.0,41.99,42.35,41.9,42.0,41.99,42.35,1.36,0.0325,1696896000,2.37,1.063423,16.79283,1830,1830,6732,5280,5280,41.95,42.6,1085202432,24.5,47.0,5.037051,41.1618,41.1839,1.26,0.030071598,CAD,1004641728,2.41875,16399473,22871000,6962,10134,1690761600,1693440000,0.00029999999,0.21903999,0.19920999,0.85,51.113,0.8246435,1672444800,1703980800,1688083200,-44058000,-1.89,2.51,5.22,2:1,1148860800,4.663,17.377,TOR,EQUITY,GCG-A.TO,GCG-A.TO,"GUARDIAN CAPITAL GROUP LTD., CL",Guardian Capital Group Limited,839943000,America/Toronto,EDT,-14400000,42.15,56.0,49.0,53.33,55.0,2.0,buy,3,144051008,6.072,57813000,153142000,0.494,0.646,215444000,12.613,8.971,0.022720002,0.05246,97279000,115938872,79316000,0.235,0.49642,0.26834,0.25305,CAD,
8,Commerce Court West,Suite 2700 PO Box 201,Toronto,ON,M5L 1E8,Canada,416 364 2067,https://www.guardiancapital.com,Asset Management,Financial Services,"Guardian Capital Group Limited, together with its subsidiaries, operates as a diversified financial services company in Canada, the Untied States, the United Kingdom, and internationally. The company operates through Investment Management, Wealth Management, and Corporate Activities and Investment segments. It provides investment management and advisory services. The company also offers wealth management services to high-net-worth families, foundations, and charities. In addition, it manages institutional assets for pension plans, broker-dealer third-party platforms, insurance company segregated funds, exchange-traded funds, mutual funds, endowment funds, and foundations. Further, it provides private banking services. Guardian Capital Group Limited was incorporated in 1962 and is headquartered in Toronto, Canada.","{'maxAge': 1, 'name': 'Mr. Srikanth G. Iyer M.B.A.', 'title': 'MD & Head of Systematic Strategies', 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,2,41.9,42.0,41.99,42.35,41.9,42.0,41.99,42.35,1.36,0.0325,1696896000,2.37,1.063423,16.79283,1830,1830,6732,5280,5280,41.95,42.6,1085202432,24.5,47.0,5.037051,41.1618,41.1839,1.26,0.030071598,CAD,1004641728,2.41875,16399473,22871000,6962,10134,1690761600,1693440000,0.00029999999,0.21903999,0.19920999,0.85,51.113,0.8246435,1672444800,1703980800,1688083200,-44058000,-1.89,2.51,5.22,2:1,1148860800,4.663,17.377,TOR,EQUITY,GCG-A.TO,GCG-A.TO,"GUARDIAN CAPITAL GROUP LTD., CL",Guardian Capital Group Limited,839943000,America/Toronto,EDT,-14400000,42.15,56.0,49.0,53.33,55.0,2.0,buy,3,144051008,6.072,57813000,153142000,0.494,0.646,215444000,12.613,8.971,0.022720002,0.05246,97279000,115938872,79316000,0.235,0.49642,0.26834,0.25305,CAD,
9,Commerce Court West,Suite 2700 PO Box 201,Toronto,ON,M5L 1E8,Canada,416 364 2067,https://www.guardiancapital.com,Asset Management,Financial Services,"Guardian Capital Group Limited, together with its subsidiaries, operates as a diversified financial services company in Canada, the Untied States, the United Kingdom, and internationally. The company operates through Investment Management, Wealth Management, and Corporate Activities and Investment segments. It provides investment management and advisory services. The company also offers wealth management services to high-net-worth families, foundations, and charities. In addition, it manages institutional assets for pension plans, broker-dealer third-party platforms, insurance company segregated funds, exchange-traded funds, mutual funds, endowment funds, and foundations. Further, it provides private banking services. Guardian Capital Group Limited was incorporated in 1962 and is headquartered in Toronto, Canada.","{'maxAge': 1, 'name': 'Mr. Andrew Michael Christodoulou CFA', 'title': 'Sr. VP of Strategic Planning & Devel. and Non-Independent Director', 'fiscalYear': 2021, 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,2,41.9,42.0,41.99,42.35,41.9,42.0,41.99,42.35,1.36,0.0325,1696896000,2.37,1.063423,16.79283,1830,1830,6732,5280,5280,41.95,42.6,1085202432,24.5,47.0,5.037051,41.1618,41.1839,1.26,0.030071598,CAD,1004641728,2.41875,16399473,22871000,6962,10134,1690761600,1693440000,0.00029999999,0.21903999,0.19920999,0.85,51.113,0.8246435,1672444800,1703980800,1688083200,-44058000,-1.89,2.51,5.22,2:1,1148860800,4.663,17.377,TOR,EQUITY,GCG-A.TO,GCG-A.TO,"GUARDIAN CAPITAL GROUP LTD., CL",Guardian Capital Group Limited,839943000,America/Toronto,EDT,-14400000,42.15,56.0,49.0,53.33,55.0,2.0,buy,3,144051008,6.072,57813000,153142000,0.494,0.646,215444000,12.613,8.971,0.022720002,0.05246,97279000,115938872,79316000,0.235,0.49642,0.26834,0.25305,CAD,
