,address1,city,zip,country,phone,fax,website,longBusinessSummary,fullTimeEmployees,companyOfficers,auditRisk,boardRisk,compensationRisk,shareHolderRightsRisk,overallRisk,governanceEpochDate,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,beta,trailingPE,forwardPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,heldPercentInsiders,heldPercentInstitutions,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,earningsQuarterlyGrowth,netIncomeToCommon,trailingEps,forwardEps,enterpriseToRevenue,enterpriseToEbitda,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,recommendationKey,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,freeCashflow,operatingCashflow,earningsGrowth,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,"Riverbank House, 2 Swan Lane",London,EC4R 3AD,United Kingdom,+44 20 71441000,+44 20 71441923,https://www.man.com,"Man Group Limited is a publicly owned investment manager. The firm provides long-only and alternative investment management services worldwide. It offers a range of liquid investment products and solutions, which include quantitative, multi-manager and discretionary investment styles, and span across various asset classes, like equity, real estate, currency, credit, volatility, and commodities. The firm distributes its products and solutions directly to institutions and to private investors through a global network of intermediaries. Man Group Limited was founded in 1783 and is based in St. Helier, Jersey with an additional office in London, United Kingdom.",1655,"{'maxAge': 1, 'name': 'Mr. Antoine Hubert Joseph Marie Forterre', 'age': 39, 'title': 'COO, CFO & Exec. Director', 'yearBorn': 1983, 'fiscalYear': 2022, 'totalPay': 3042283, 'exercisedValue': 0, 'unexercisedValue': 0}",5,2,6,1,3,1693526400,1672444800,86400,4,2.59,2.65,2.59,2.59,2.59,2.65,2.59,2.59,0.857732,7.6627216,8.931034,14625,14625,358,1660,1660,0.0,0.0,0,0,3891526912,2.46,3.42,2.8804786,2.8086,2.8421,0.157,0.060617764,USD,3122099968,0.28349,1180289600,1601139968,0.02069,0.70612,1.269,2.040977,1672444800,1703980800,1688083200,-0.731,383000000,0.338,0.29,2.311,6.385,PNK,EQUITY,MNGPF,MNGPF,MAN GROUP PLC (NEW),Man Group Plc,1366291800,America/New_York,EDT,-14400000,2.59,none,333000000,0.28,489000000,373000000,1.222,1.534,1351000064,24.702,1.105,0.087139994,0.24893999,965000000,434375008,693000000,-0.7,-0.43,0.49815,0.36195,0.32865003,USD,
1,"Riverbank House, 2 Swan Lane",London,EC4R 3AD,United Kingdom,+44 20 71441000,+44 20 71441923,https://www.man.com,"Man Group Limited is a publicly owned investment manager. The firm provides long-only and alternative investment management services worldwide. It offers a range of liquid investment products and solutions, which include quantitative, multi-manager and discretionary investment styles, and span across various asset classes, like equity, real estate, currency, credit, volatility, and commodities. The firm distributes its products and solutions directly to institutions and to private investors through a global network of intermediaries. Man Group Limited was founded in 1783 and is based in St. Helier, Jersey with an additional office in London, United Kingdom.",1655,"{'maxAge': 1, 'name': 'Ms. Robyn  Grew', 'title': 'CEO, Group Pres & Exec. Director', 'exercisedValue': 0, 'unexercisedValue': 0}",5,2,6,1,3,1693526400,1672444800,86400,4,2.59,2.65,2.59,2.59,2.59,2.65,2.59,2.59,0.857732,7.6627216,8.931034,14625,14625,358,1660,1660,0.0,0.0,0,0,3891526912,2.46,3.42,2.8804786,2.8086,2.8421,0.157,0.060617764,USD,3122099968,0.28349,1180289600,1601139968,0.02069,0.70612,1.269,2.040977,1672444800,1703980800,1688083200,-0.731,383000000,0.338,0.29,2.311,6.385,PNK,EQUITY,MNGPF,MNGPF,MAN GROUP PLC (NEW),Man Group Plc,1366291800,America/New_York,EDT,-14400000,2.59,none,333000000,0.28,489000000,373000000,1.222,1.534,1351000064,24.702,1.105,0.087139994,0.24893999,965000000,434375008,693000000,-0.7,-0.43,0.49815,0.36195,0.32865003,USD,
2,"Riverbank House, 2 Swan Lane",London,EC4R 3AD,United Kingdom,+44 20 71441000,+44 20 71441923,https://www.man.com,"Man Group Limited is a publicly owned investment manager. The firm provides long-only and alternative investment management services worldwide. It offers a range of liquid investment products and solutions, which include quantitative, multi-manager and discretionary investment styles, and span across various asset classes, like equity, real estate, currency, credit, volatility, and commodities. The firm distributes its products and solutions directly to institutions and to private investors through a global network of intermediaries. Man Group Limited was founded in 1783 and is based in St. Helier, Jersey with an additional office in London, United Kingdom.",1655,"{'maxAge': 1, 'name': 'Karan  Shirgaokar', 'title': 'Head of Investor Relations', 'exercisedValue': 0, 'unexercisedValue': 0}",5,2,6,1,3,1693526400,1672444800,86400,4,2.59,2.65,2.59,2.59,2.59,2.65,2.59,2.59,0.857732,7.6627216,8.931034,14625,14625,358,1660,1660,0.0,0.0,0,0,3891526912,2.46,3.42,2.8804786,2.8086,2.8421,0.157,0.060617764,USD,3122099968,0.28349,1180289600,1601139968,0.02069,0.70612,1.269,2.040977,1672444800,1703980800,1688083200,-0.731,383000000,0.338,0.29,2.311,6.385,PNK,EQUITY,MNGPF,MNGPF,MAN GROUP PLC (NEW),Man Group Plc,1366291800,America/New_York,EDT,-14400000,2.59,none,333000000,0.28,489000000,373000000,1.222,1.534,1351000064,24.702,1.105,0.087139994,0.24893999,965000000,434375008,693000000,-0.7,-0.43,0.49815,0.36195,0.32865003,USD,
3,"Riverbank House, 2 Swan Lane",London,EC4R 3AD,United Kingdom,+44 20 71441000,+44 20 71441923,https://www.man.com,"Man Group Limited is a publicly owned investment manager. The firm provides long-only and alternative investment management services worldwide. It offers a range of liquid investment products and solutions, which include quantitative, multi-manager and discretionary investment styles, and span across various asset classes, like equity, real estate, currency, credit, volatility, and commodities. The firm distributes its products and solutions directly to institutions and to private investors through a global network of intermediaries. Man Group Limited was founded in 1783 and is based in St. Helier, Jersey with an additional office in London, United Kingdom.",1655,"{'maxAge': 1, 'name': 'Ms. Kate  Squire', 'title': 'Global Head of Compliance & Regulatory', 'exercisedValue': 0, 'unexercisedValue': 0}",5,2,6,1,3,1693526400,1672444800,86400,4,2.59,2.65,2.59,2.59,2.59,2.65,2.59,2.59,0.857732,7.6627216,8.931034,14625,14625,358,1660,1660,0.0,0.0,0,0,3891526912,2.46,3.42,2.8804786,2.8086,2.8421,0.157,0.060617764,USD,3122099968,0.28349,1180289600,1601139968,0.02069,0.70612,1.269,2.040977,1672444800,1703980800,1688083200,-0.731,383000000,0.338,0.29,2.311,6.385,PNK,EQUITY,MNGPF,MNGPF,MAN GROUP PLC (NEW),Man Group Plc,1366291800,America/New_York,EDT,-14400000,2.59,none,333000000,0.28,489000000,373000000,1.222,1.534,1351000064,24.702,1.105,0.087139994,0.24893999,965000000,434375008,693000000,-0.7,-0.43,0.49815,0.36195,0.32865003,USD,
4,"Riverbank House, 2 Swan Lane",London,EC4R 3AD,United Kingdom,+44 20 71441000,+44 20 71441923,https://www.man.com,"Man Group Limited is a publicly owned investment manager. The firm provides long-only and alternative investment management services worldwide. It offers a range of liquid investment products and solutions, which include quantitative, multi-manager and discretionary investment styles, and span across various asset classes, like equity, real estate, currency, credit, volatility, and commodities. The firm distributes its products and solutions directly to institutions and to private investors through a global network of intermediaries. Man Group Limited was founded in 1783 and is based in St. Helier, Jersey with an additional office in London, United Kingdom.",1655,"{'maxAge': 1, 'name': 'Georgiana  Brunner', 'title': 'Head of Communications', 'exercisedValue': 0, 'unexercisedValue': 0}",5,2,6,1,3,1693526400,1672444800,86400,4,2.59,2.65,2.59,2.59,2.59,2.65,2.59,2.59,0.857732,7.6627216,8.931034,14625,14625,358,1660,1660,0.0,0.0,0,0,3891526912,2.46,3.42,2.8804786,2.8086,2.8421,0.157,0.060617764,USD,3122099968,0.28349,1180289600,1601139968,0.02069,0.70612,1.269,2.040977,1672444800,1703980800,1688083200,-0.731,383000000,0.338,0.29,2.311,6.385,PNK,EQUITY,MNGPF,MNGPF,MAN GROUP PLC (NEW),Man Group Plc,1366291800,America/New_York,EDT,-14400000,2.59,none,333000000,0.28,489000000,373000000,1.222,1.534,1351000064,24.702,1.105,0.087139994,0.24893999,965000000,434375008,693000000,-0.7,-0.43,0.49815,0.36195,0.32865003,USD,
5,"Riverbank House, 2 Swan Lane",London,EC4R 3AD,United Kingdom,+44 20 71441000,+44 20 71441923,https://www.man.com,"Man Group Limited is a publicly owned investment manager. The firm provides long-only and alternative investment management services worldwide. It offers a range of liquid investment products and solutions, which include quantitative, multi-manager and discretionary investment styles, and span across various asset classes, like equity, real estate, currency, credit, volatility, and commodities. The firm distributes its products and solutions directly to institutions and to private investors through a global network of intermediaries. Man Group Limited was founded in 1783 and is based in St. Helier, Jersey with an additional office in London, United Kingdom.",1655,"{'maxAge': 1, 'name': 'Mr. Steven Peter Desmyter', 'title': 'Chair of Man Charitable Trust and Global Head of Sales & Marketing', 'exercisedValue': 0, 'unexercisedValue': 0}",5,2,6,1,3,1693526400,1672444800,86400,4,2.59,2.65,2.59,2.59,2.59,2.65,2.59,2.59,0.857732,7.6627216,8.931034,14625,14625,358,1660,1660,0.0,0.0,0,0,3891526912,2.46,3.42,2.8804786,2.8086,2.8421,0.157,0.060617764,USD,3122099968,0.28349,1180289600,1601139968,0.02069,0.70612,1.269,2.040977,1672444800,1703980800,1688083200,-0.731,383000000,0.338,0.29,2.311,6.385,PNK,EQUITY,MNGPF,MNGPF,MAN GROUP PLC (NEW),Man Group Plc,1366291800,America/New_York,EDT,-14400000,2.59,none,333000000,0.28,489000000,373000000,1.222,1.534,1351000064,24.702,1.105,0.087139994,0.24893999,965000000,434375008,693000000,-0.7,-0.43,0.49815,0.36195,0.32865003,USD,
6,"Riverbank House, 2 Swan Lane",London,EC4R 3AD,United Kingdom,+44 20 71441000,+44 20 71441923,https://www.man.com,"Man Group Limited is a publicly owned investment manager. The firm provides long-only and alternative investment management services worldwide. It offers a range of liquid investment products and solutions, which include quantitative, multi-manager and discretionary investment styles, and span across various asset classes, like equity, real estate, currency, credit, volatility, and commodities. The firm distributes its products and solutions directly to institutions and to private investors through a global network of intermediaries. Man Group Limited was founded in 1783 and is based in St. Helier, Jersey with an additional office in London, United Kingdom.",1655,"{'maxAge': 1, 'name': 'Mr. Michael Alexander Kasper', 'title': 'Head of Corp. Devel. & Group Treasurer', 'exercisedValue': 0, 'unexercisedValue': 0}",5,2,6,1,3,1693526400,1672444800,86400,4,2.59,2.65,2.59,2.59,2.59,2.65,2.59,2.59,0.857732,7.6627216,8.931034,14625,14625,358,1660,1660,0.0,0.0,0,0,3891526912,2.46,3.42,2.8804786,2.8086,2.8421,0.157,0.060617764,USD,3122099968,0.28349,1180289600,1601139968,0.02069,0.70612,1.269,2.040977,1672444800,1703980800,1688083200,-0.731,383000000,0.338,0.29,2.311,6.385,PNK,EQUITY,MNGPF,MNGPF,MAN GROUP PLC (NEW),Man Group Plc,1366291800,America/New_York,EDT,-14400000,2.59,none,333000000,0.28,489000000,373000000,1.222,1.534,1351000064,24.702,1.105,0.087139994,0.24893999,965000000,434375008,693000000,-0.7,-0.43,0.49815,0.36195,0.32865003,USD,
7,"Riverbank House, 2 Swan Lane",London,EC4R 3AD,United Kingdom,+44 20 71441000,+44 20 71441923,https://www.man.com,"Man Group Limited is a publicly owned investment manager. The firm provides long-only and alternative investment management services worldwide. It offers a range of liquid investment products and solutions, which include quantitative, multi-manager and discretionary investment styles, and span across various asset classes, like equity, real estate, currency, credit, volatility, and commodities. The firm distributes its products and solutions directly to institutions and to private investors through a global network of intermediaries. Man Group Limited was founded in 1783 and is based in St. Helier, Jersey with an additional office in London, United Kingdom.",1655,"{'maxAge': 1, 'name': 'Mr. Rudolphus Gabriel Cornelis Hendriks', 'title': 'Chairman of Institutional Department', 'fiscalYear': 2012, 'exercisedValue': 0, 'unexercisedValue': 0}",5,2,6,1,3,1693526400,1672444800,86400,4,2.59,2.65,2.59,2.59,2.59,2.65,2.59,2.59,0.857732,7.6627216,8.931034,14625,14625,358,1660,1660,0.0,0.0,0,0,3891526912,2.46,3.42,2.8804786,2.8086,2.8421,0.157,0.060617764,USD,3122099968,0.28349,1180289600,1601139968,0.02069,0.70612,1.269,2.040977,1672444800,1703980800,1688083200,-0.731,383000000,0.338,0.29,2.311,6.385,PNK,EQUITY,MNGPF,MNGPF,MAN GROUP PLC (NEW),Man Group Plc,1366291800,America/New_York,EDT,-14400000,2.59,none,333000000,0.28,489000000,373000000,1.222,1.534,1351000064,24.702,1.105,0.087139994,0.24893999,965000000,434375008,693000000,-0.7,-0.43,0.49815,0.36195,0.32865003,USD,
8,"Riverbank House, 2 Swan Lane",London,EC4R 3AD,United Kingdom,+44 20 71441000,+44 20 71441923,https://www.man.com,"Man Group Limited is a publicly owned investment manager. The firm provides long-only and alternative investment management services worldwide. It offers a range of liquid investment products and solutions, which include quantitative, multi-manager and discretionary investment styles, and span across various asset classes, like equity, real estate, currency, credit, volatility, and commodities. The firm distributes its products and solutions directly to institutions and to private investors through a global network of intermediaries. Man Group Limited was founded in 1783 and is based in St. Helier, Jersey with an additional office in London, United Kingdom.",1655,"{'maxAge': 1, 'name': 'Mr. Richard John Wells Phillips', 'title': 'Managing Director of UK Retail', 'exercisedValue': 0, 'unexercisedValue': 0}",5,2,6,1,3,1693526400,1672444800,86400,4,2.59,2.65,2.59,2.59,2.59,2.65,2.59,2.59,0.857732,7.6627216,8.931034,14625,14625,358,1660,1660,0.0,0.0,0,0,3891526912,2.46,3.42,2.8804786,2.8086,2.8421,0.157,0.060617764,USD,3122099968,0.28349,1180289600,1601139968,0.02069,0.70612,1.269,2.040977,1672444800,1703980800,1688083200,-0.731,383000000,0.338,0.29,2.311,6.385,PNK,EQUITY,MNGPF,MNGPF,MAN GROUP PLC (NEW),Man Group Plc,1366291800,America/New_York,EDT,-14400000,2.59,none,333000000,0.28,489000000,373000000,1.222,1.534,1351000064,24.702,1.105,0.087139994,0.24893999,965000000,434375008,693000000,-0.7,-0.43,0.49815,0.36195,0.32865003,USD,
9,"Riverbank House, 2 Swan Lane",London,EC4R 3AD,United Kingdom,+44 20 71441000,+44 20 71441923,https://www.man.com,"Man Group Limited is a publicly owned investment manager. The firm provides long-only and alternative investment management services worldwide. It offers a range of liquid investment products and solutions, which include quantitative, multi-manager and discretionary investment styles, and span across various asset classes, like equity, real estate, currency, credit, volatility, and commodities. The firm distributes its products and solutions directly to institutions and to private investors through a global network of intermediaries. Man Group Limited was founded in 1783 and is based in St. Helier, Jersey with an additional office in London, United Kingdom.",1655,"{'maxAge': 1, 'name': 'Mr. Tim  Peach', 'title': 'MD & Head of Operations - Asia Pacific', 'exercisedValue': 0, 'unexercisedValue': 0}",5,2,6,1,3,1693526400,1672444800,86400,4,2.59,2.65,2.59,2.59,2.59,2.65,2.59,2.59,0.857732,7.6627216,8.931034,14625,14625,358,1660,1660,0.0,0.0,0,0,3891526912,2.46,3.42,2.8804786,2.8086,2.8421,0.157,0.060617764,USD,3122099968,0.28349,1180289600,1601139968,0.02069,0.70612,1.269,2.040977,1672444800,1703980800,1688083200,-0.731,383000000,0.338,0.29,2.311,6.385,PNK,EQUITY,MNGPF,MNGPF,MAN GROUP PLC (NEW),Man Group Plc,1366291800,America/New_York,EDT,-14400000,2.59,none,333000000,0.28,489000000,373000000,1.222,1.534,1351000064,24.702,1.105,0.087139994,0.24893999,965000000,434375008,693000000,-0.7,-0.43,0.49815,0.36195,0.32865003,USD,
