,address1,city,state,zip,country,phone,fax,website,industry,sector,longBusinessSummary,companyOfficers,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,exDividendDate,payoutRatio,beta,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,heldPercentInsiders,heldPercentInstitutions,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,netIncomeToCommon,trailingEps,lastSplitFactor,lastSplitDate,enterpriseToRevenue,enterpriseToEbitda,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,recommendationKey,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,freeCashflow,operatingCashflow,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,8 Farrow Road,Campbelltown,NSW,2560,Australia,61 2 4645 0700,61 2 4627 0999,https://www.oldfields.com.au,Building Products & Equipment,Industrials,"Oldfields Holdings Limited provides scaffolding and painting accessories in Australia. It operates through Consumer Products and Scaffolding segments. The Consumer Products segment manufactures, imports, and distributes paint brushes, paint rollers, and painter tools. The Scaffolding segment manufactures and distributes scaffolding and related equipment, as well as engages in hiring scaffold and access solutions to the building maintenance and construction industries. Oldfields Holdings Limited was founded in 1916 and is based in Campbelltown, Australia.","{'maxAge': 1, 'name': 'Mr. Michael  Micallef', 'title': 'CEO & MD', 'fiscalYear': 2023, 'totalPay': 694210, 'exercisedValue': 0, 'unexercisedValue': 0}",1703980800,86400,4,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,1242000000,0.0,0.443693,40000,40000,32102,4875,4875,0.034,0.06,0,0,9987800,0.039,0.076,0.26534364,0.04962,0.066075,0.0,0.0,AUD,16652797,-0.038680002,19260468,199756000,0.86480004,0.0,0.007,7.142857,1688083200,1719705600,1688083200,-1456000,-0.01,120:100,628214400,0.442,-20.161,ASX,EQUITY,OLH.AX,OLH.AX,OLDFIELD H FPO,Oldfields Holdings Limited,570668400,Australia/Sydney,AEST,36000000,0.05,none,1427000,0.007,-826000,7185000,0.576,0.97,37641000,325.113,0.209,-0.03674,-0.53894,16545000,-4391875,1377000,0.402,0.43955,-0.02194,-0.03127,AUD,
1,8 Farrow Road,Campbelltown,NSW,2560,Australia,61 2 4645 0700,61 2 4627 0999,https://www.oldfields.com.au,Building Products & Equipment,Industrials,"Oldfields Holdings Limited provides scaffolding and painting accessories in Australia. It operates through Consumer Products and Scaffolding segments. The Consumer Products segment manufactures, imports, and distributes paint brushes, paint rollers, and painter tools. The Scaffolding segment manufactures and distributes scaffolding and related equipment, as well as engages in hiring scaffold and access solutions to the building maintenance and construction industries. Oldfields Holdings Limited was founded in 1916 and is based in Campbelltown, Australia.","{'maxAge': 1, 'name': 'Mr. Ka Lung Lee CPA', 'title': 'CFO & Company Sec.', 'fiscalYear': 2023, 'totalPay': 223806, 'exercisedValue': 0, 'unexercisedValue': 0}",1703980800,86400,4,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,1242000000,0.0,0.443693,40000,40000,32102,4875,4875,0.034,0.06,0,0,9987800,0.039,0.076,0.26534364,0.04962,0.066075,0.0,0.0,AUD,16652797,-0.038680002,19260468,199756000,0.86480004,0.0,0.007,7.142857,1688083200,1719705600,1688083200,-1456000,-0.01,120:100,628214400,0.442,-20.161,ASX,EQUITY,OLH.AX,OLH.AX,OLDFIELD H FPO,Oldfields Holdings Limited,570668400,Australia/Sydney,AEST,36000000,0.05,none,1427000,0.007,-826000,7185000,0.576,0.97,37641000,325.113,0.209,-0.03674,-0.53894,16545000,-4391875,1377000,0.402,0.43955,-0.02194,-0.03127,AUD,
2,8 Farrow Road,Campbelltown,NSW,2560,Australia,61 2 4645 0700,61 2 4627 0999,https://www.oldfields.com.au,Building Products & Equipment,Industrials,"Oldfields Holdings Limited provides scaffolding and painting accessories in Australia. It operates through Consumer Products and Scaffolding segments. The Consumer Products segment manufactures, imports, and distributes paint brushes, paint rollers, and painter tools. The Scaffolding segment manufactures and distributes scaffolding and related equipment, as well as engages in hiring scaffold and access solutions to the building maintenance and construction industries. Oldfields Holdings Limited was founded in 1916 and is based in Campbelltown, Australia.","{'maxAge': 1, 'name': 'Ms. Stephanie  Levy', 'title': 'Chief Transformation Officer', 'fiscalYear': 2023, 'totalPay': 226028, 'exercisedValue': 0, 'unexercisedValue': 0}",1703980800,86400,4,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,1242000000,0.0,0.443693,40000,40000,32102,4875,4875,0.034,0.06,0,0,9987800,0.039,0.076,0.26534364,0.04962,0.066075,0.0,0.0,AUD,16652797,-0.038680002,19260468,199756000,0.86480004,0.0,0.007,7.142857,1688083200,1719705600,1688083200,-1456000,-0.01,120:100,628214400,0.442,-20.161,ASX,EQUITY,OLH.AX,OLH.AX,OLDFIELD H FPO,Oldfields Holdings Limited,570668400,Australia/Sydney,AEST,36000000,0.05,none,1427000,0.007,-826000,7185000,0.576,0.97,37641000,325.113,0.209,-0.03674,-0.53894,16545000,-4391875,1377000,0.402,0.43955,-0.02194,-0.03127,AUD,
