,address1,address2,city,state,zip,country,phone,fax,website,industry,sector,longBusinessSummary,companyOfficers,auditRisk,boardRisk,compensationRisk,shareHolderRightsRisk,overallRisk,governanceEpochDate,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,exDividendDate,payoutRatio,beta,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,heldPercentInsiders,heldPercentInstitutions,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,netIncomeToCommon,trailingEps,enterpriseToRevenue,enterpriseToEbitda,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,recommendationKey,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,freeCashflow,operatingCashflow,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,159 William Street,Level 3,Brisbane,QLD,4000,Australia,61 7 3228 0000,61 7 3228 0099,https://www.starentertainmentgroup.com.au,Resorts & Casinos,Consumer Cyclical,"The Star Entertainment Group Limited operates and manages integrated resorts in Australia. It operates through three segments: Sydney, Gold Coast, and Brisbane. The company owns and operates The Star Sydney, The Star Gold Coast, and Treasury Brisbane casinos, which include hotels, restaurants, bars, theatres, and other entertainment facilities. It also manages the Gold Coast Convention and Exhibition Centre. The company was formerly known as Echo Entertainment Group Limited and changed its name to The Star Entertainment Group Limited in November 2015. The Star Entertainment Group Limited was incorporated in 2011 and is based in Brisbane, Australia.","{'maxAge': 1, 'name': 'Mr. Robert Michael Sean Cooke', 'age': 56, 'title': 'CEO, MD & Director', 'yearBorn': 1966, 'fiscalYear': 2023, 'totalPay': 788663, 'exercisedValue': 0, 'unexercisedValue': 0}",5,6,9,10,7,1693526400,1703980800,86400,4,0.617,0.617,0.617,0.617,0.617,0.617,0.617,0.617,1582588800,0.0,1.060435,187,187,569,3450,3450,998725568,0.59,1.9,0.5347928,0.6834,0.9721,0.0,0.0,USD,1665692800,-1.30399,1293296077,1618680064,0.16498,0.42776,1.096,0.5629562,1688083200,1719705600,1688083200,-2435200000,-1.36,0.892,6.684,PNK,EQUITY,EHGRF,EHGRF,THE STAR ENTERTAINMENT GROUP LT,The Star Entertainment Group Limited,1328625000,America/New_York,EDT,-14400000,0.617,none,88700000,0.055,249200000,757200000,0.195,0.35,1867500032,42.755,1.624,0.0129700005,-0.93638,962800000,396712512,43800000,-0.101,0.51556,0.13344,0.04739,AUD,
1,159 William Street,Level 3,Brisbane,QLD,4000,Australia,61 7 3228 0000,61 7 3228 0099,https://www.starentertainmentgroup.com.au,Resorts & Casinos,Consumer Cyclical,"The Star Entertainment Group Limited operates and manages integrated resorts in Australia. It operates through three segments: Sydney, Gold Coast, and Brisbane. The company owns and operates The Star Sydney, The Star Gold Coast, and Treasury Brisbane casinos, which include hotels, restaurants, bars, theatres, and other entertainment facilities. It also manages the Gold Coast Convention and Exhibition Centre. The company was formerly known as Echo Entertainment Group Limited and changed its name to The Star Entertainment Group Limited in November 2015. The Star Entertainment Group Limited was incorporated in 2011 and is based in Brisbane, Australia.","{'maxAge': 1, 'name': 'Ms. Christina  Katsibouba', 'title': 'Chief Financial Officer', 'fiscalYear': 2023, 'totalPay': 552908, 'exercisedValue': 0, 'unexercisedValue': 0}",5,6,9,10,7,1693526400,1703980800,86400,4,0.617,0.617,0.617,0.617,0.617,0.617,0.617,0.617,1582588800,0.0,1.060435,187,187,569,3450,3450,998725568,0.59,1.9,0.5347928,0.6834,0.9721,0.0,0.0,USD,1665692800,-1.30399,1293296077,1618680064,0.16498,0.42776,1.096,0.5629562,1688083200,1719705600,1688083200,-2435200000,-1.36,0.892,6.684,PNK,EQUITY,EHGRF,EHGRF,THE STAR ENTERTAINMENT GROUP LT,The Star Entertainment Group Limited,1328625000,America/New_York,EDT,-14400000,0.617,none,88700000,0.055,249200000,757200000,0.195,0.35,1867500032,42.755,1.624,0.0129700005,-0.93638,962800000,396712512,43800000,-0.101,0.51556,0.13344,0.04739,AUD,
2,159 William Street,Level 3,Brisbane,QLD,4000,Australia,61 7 3228 0000,61 7 3228 0099,https://www.starentertainmentgroup.com.au,Resorts & Casinos,Consumer Cyclical,"The Star Entertainment Group Limited operates and manages integrated resorts in Australia. It operates through three segments: Sydney, Gold Coast, and Brisbane. The company owns and operates The Star Sydney, The Star Gold Coast, and Treasury Brisbane casinos, which include hotels, restaurants, bars, theatres, and other entertainment facilities. It also manages the Gold Coast Convention and Exhibition Centre. The company was formerly known as Echo Entertainment Group Limited and changed its name to The Star Entertainment Group Limited in November 2015. The Star Entertainment Group Limited was incorporated in 2011 and is based in Brisbane, Australia.","{'maxAge': 1, 'name': 'Mr. Scott  Saunders', 'title': 'Chief Risk Officer', 'fiscalYear': 2023, 'totalPay': 1161128, 'exercisedValue': 0, 'unexercisedValue': 0}",5,6,9,10,7,1693526400,1703980800,86400,4,0.617,0.617,0.617,0.617,0.617,0.617,0.617,0.617,1582588800,0.0,1.060435,187,187,569,3450,3450,998725568,0.59,1.9,0.5347928,0.6834,0.9721,0.0,0.0,USD,1665692800,-1.30399,1293296077,1618680064,0.16498,0.42776,1.096,0.5629562,1688083200,1719705600,1688083200,-2435200000,-1.36,0.892,6.684,PNK,EQUITY,EHGRF,EHGRF,THE STAR ENTERTAINMENT GROUP LT,The Star Entertainment Group Limited,1328625000,America/New_York,EDT,-14400000,0.617,none,88700000,0.055,249200000,757200000,0.195,0.35,1867500032,42.755,1.624,0.0129700005,-0.93638,962800000,396712512,43800000,-0.101,0.51556,0.13344,0.04739,AUD,
3,159 William Street,Level 3,Brisbane,QLD,4000,Australia,61 7 3228 0000,61 7 3228 0099,https://www.starentertainmentgroup.com.au,Resorts & Casinos,Consumer Cyclical,"The Star Entertainment Group Limited operates and manages integrated resorts in Australia. It operates through three segments: Sydney, Gold Coast, and Brisbane. The company owns and operates The Star Sydney, The Star Gold Coast, and Treasury Brisbane casinos, which include hotels, restaurants, bars, theatres, and other entertainment facilities. It also manages the Gold Coast Convention and Exhibition Centre. The company was formerly known as Echo Entertainment Group Limited and changed its name to The Star Entertainment Group Limited in November 2015. The Star Entertainment Group Limited was incorporated in 2011 and is based in Brisbane, Australia.","{'maxAge': 1, 'name': 'Mr. Mark  Wilson C.F.A.', 'title': 'Gen. Mang. of Bus. Devel. & Investor Relations', 'exercisedValue': 0, 'unexercisedValue': 0}",5,6,9,10,7,1693526400,1703980800,86400,4,0.617,0.617,0.617,0.617,0.617,0.617,0.617,0.617,1582588800,0.0,1.060435,187,187,569,3450,3450,998725568,0.59,1.9,0.5347928,0.6834,0.9721,0.0,0.0,USD,1665692800,-1.30399,1293296077,1618680064,0.16498,0.42776,1.096,0.5629562,1688083200,1719705600,1688083200,-2435200000,-1.36,0.892,6.684,PNK,EQUITY,EHGRF,EHGRF,THE STAR ENTERTAINMENT GROUP LT,The Star Entertainment Group Limited,1328625000,America/New_York,EDT,-14400000,0.617,none,88700000,0.055,249200000,757200000,0.195,0.35,1867500032,42.755,1.624,0.0129700005,-0.93638,962800000,396712512,43800000,-0.101,0.51556,0.13344,0.04739,AUD,
4,159 William Street,Level 3,Brisbane,QLD,4000,Australia,61 7 3228 0000,61 7 3228 0099,https://www.starentertainmentgroup.com.au,Resorts & Casinos,Consumer Cyclical,"The Star Entertainment Group Limited operates and manages integrated resorts in Australia. It operates through three segments: Sydney, Gold Coast, and Brisbane. The company owns and operates The Star Sydney, The Star Gold Coast, and Treasury Brisbane casinos, which include hotels, restaurants, bars, theatres, and other entertainment facilities. It also manages the Gold Coast Convention and Exhibition Centre. The company was formerly known as Echo Entertainment Group Limited and changed its name to The Star Entertainment Group Limited in November 2015. The Star Entertainment Group Limited was incorporated in 2011 and is based in Brisbane, Australia.","{'maxAge': 1, 'name': 'Ms. Betty S. M. Ivanoff Grad Dip Leg, L.L.B., Legal Prac, LLB, MAICD', 'title': 'Chief Legal Officer', 'exercisedValue': 0, 'unexercisedValue': 0}",5,6,9,10,7,1693526400,1703980800,86400,4,0.617,0.617,0.617,0.617,0.617,0.617,0.617,0.617,1582588800,0.0,1.060435,187,187,569,3450,3450,998725568,0.59,1.9,0.5347928,0.6834,0.9721,0.0,0.0,USD,1665692800,-1.30399,1293296077,1618680064,0.16498,0.42776,1.096,0.5629562,1688083200,1719705600,1688083200,-2435200000,-1.36,0.892,6.684,PNK,EQUITY,EHGRF,EHGRF,THE STAR ENTERTAINMENT GROUP LT,The Star Entertainment Group Limited,1328625000,America/New_York,EDT,-14400000,0.617,none,88700000,0.055,249200000,757200000,0.195,0.35,1867500032,42.755,1.624,0.0129700005,-0.93638,962800000,396712512,43800000,-0.101,0.51556,0.13344,0.04739,AUD,
5,159 William Street,Level 3,Brisbane,QLD,4000,Australia,61 7 3228 0000,61 7 3228 0099,https://www.starentertainmentgroup.com.au,Resorts & Casinos,Consumer Cyclical,"The Star Entertainment Group Limited operates and manages integrated resorts in Australia. It operates through three segments: Sydney, Gold Coast, and Brisbane. The company owns and operates The Star Sydney, The Star Gold Coast, and Treasury Brisbane casinos, which include hotels, restaurants, bars, theatres, and other entertainment facilities. It also manages the Gold Coast Convention and Exhibition Centre. The company was formerly known as Echo Entertainment Group Limited and changed its name to The Star Entertainment Group Limited in November 2015. The Star Entertainment Group Limited was incorporated in 2011 and is based in Brisbane, Australia.","{'maxAge': 1, 'name': 'Mr. George  Hughes', 'title': 'Chief Marketing Officer', 'exercisedValue': 0, 'unexercisedValue': 0}",5,6,9,10,7,1693526400,1703980800,86400,4,0.617,0.617,0.617,0.617,0.617,0.617,0.617,0.617,1582588800,0.0,1.060435,187,187,569,3450,3450,998725568,0.59,1.9,0.5347928,0.6834,0.9721,0.0,0.0,USD,1665692800,-1.30399,1293296077,1618680064,0.16498,0.42776,1.096,0.5629562,1688083200,1719705600,1688083200,-2435200000,-1.36,0.892,6.684,PNK,EQUITY,EHGRF,EHGRF,THE STAR ENTERTAINMENT GROUP LT,The Star Entertainment Group Limited,1328625000,America/New_York,EDT,-14400000,0.617,none,88700000,0.055,249200000,757200000,0.195,0.35,1867500032,42.755,1.624,0.0129700005,-0.93638,962800000,396712512,43800000,-0.101,0.51556,0.13344,0.04739,AUD,
6,159 William Street,Level 3,Brisbane,QLD,4000,Australia,61 7 3228 0000,61 7 3228 0099,https://www.starentertainmentgroup.com.au,Resorts & Casinos,Consumer Cyclical,"The Star Entertainment Group Limited operates and manages integrated resorts in Australia. It operates through three segments: Sydney, Gold Coast, and Brisbane. The company owns and operates The Star Sydney, The Star Gold Coast, and Treasury Brisbane casinos, which include hotels, restaurants, bars, theatres, and other entertainment facilities. It also manages the Gold Coast Convention and Exhibition Centre. The company was formerly known as Echo Entertainment Group Limited and changed its name to The Star Entertainment Group Limited in November 2015. The Star Entertainment Group Limited was incorporated in 2011 and is based in Brisbane, Australia.","{'maxAge': 1, 'name': 'Ms. Paula  Hammond', 'title': 'Chief People & Performance Officer', 'exercisedValue': 0, 'unexercisedValue': 0}",5,6,9,10,7,1693526400,1703980800,86400,4,0.617,0.617,0.617,0.617,0.617,0.617,0.617,0.617,1582588800,0.0,1.060435,187,187,569,3450,3450,998725568,0.59,1.9,0.5347928,0.6834,0.9721,0.0,0.0,USD,1665692800,-1.30399,1293296077,1618680064,0.16498,0.42776,1.096,0.5629562,1688083200,1719705600,1688083200,-2435200000,-1.36,0.892,6.684,PNK,EQUITY,EHGRF,EHGRF,THE STAR ENTERTAINMENT GROUP LT,The Star Entertainment Group Limited,1328625000,America/New_York,EDT,-14400000,0.617,none,88700000,0.055,249200000,757200000,0.195,0.35,1867500032,42.755,1.624,0.0129700005,-0.93638,962800000,396712512,43800000,-0.101,0.51556,0.13344,0.04739,AUD,
7,159 William Street,Level 3,Brisbane,QLD,4000,Australia,61 7 3228 0000,61 7 3228 0099,https://www.starentertainmentgroup.com.au,Resorts & Casinos,Consumer Cyclical,"The Star Entertainment Group Limited operates and manages integrated resorts in Australia. It operates through three segments: Sydney, Gold Coast, and Brisbane. The company owns and operates The Star Sydney, The Star Gold Coast, and Treasury Brisbane casinos, which include hotels, restaurants, bars, theatres, and other entertainment facilities. It also manages the Gold Coast Convention and Exhibition Centre. The company was formerly known as Echo Entertainment Group Limited and changed its name to The Star Entertainment Group Limited in November 2015. The Star Entertainment Group Limited was incorporated in 2011 and is based in Brisbane, Australia.","{'maxAge': 1, 'name': 'Peter  Jenkins', 'title': 'Chief of Staff', 'exercisedValue': 0, 'unexercisedValue': 0}",5,6,9,10,7,1693526400,1703980800,86400,4,0.617,0.617,0.617,0.617,0.617,0.617,0.617,0.617,1582588800,0.0,1.060435,187,187,569,3450,3450,998725568,0.59,1.9,0.5347928,0.6834,0.9721,0.0,0.0,USD,1665692800,-1.30399,1293296077,1618680064,0.16498,0.42776,1.096,0.5629562,1688083200,1719705600,1688083200,-2435200000,-1.36,0.892,6.684,PNK,EQUITY,EHGRF,EHGRF,THE STAR ENTERTAINMENT GROUP LT,The Star Entertainment Group Limited,1328625000,America/New_York,EDT,-14400000,0.617,none,88700000,0.055,249200000,757200000,0.195,0.35,1867500032,42.755,1.624,0.0129700005,-0.93638,962800000,396712512,43800000,-0.101,0.51556,0.13344,0.04739,AUD,
8,159 William Street,Level 3,Brisbane,QLD,4000,Australia,61 7 3228 0000,61 7 3228 0099,https://www.starentertainmentgroup.com.au,Resorts & Casinos,Consumer Cyclical,"The Star Entertainment Group Limited operates and manages integrated resorts in Australia. It operates through three segments: Sydney, Gold Coast, and Brisbane. The company owns and operates The Star Sydney, The Star Gold Coast, and Treasury Brisbane casinos, which include hotels, restaurants, bars, theatres, and other entertainment facilities. It also manages the Gold Coast Convention and Exhibition Centre. The company was formerly known as Echo Entertainment Group Limited and changed its name to The Star Entertainment Group Limited in November 2015. The Star Entertainment Group Limited was incorporated in 2011 and is based in Brisbane, Australia.","{'maxAge': 1, 'name': 'Ms. Jessica  Mellor', 'title': 'Chief Operating Officer - The Star Gold Coast', 'exercisedValue': 0, 'unexercisedValue': 0}",5,6,9,10,7,1693526400,1703980800,86400,4,0.617,0.617,0.617,0.617,0.617,0.617,0.617,0.617,1582588800,0.0,1.060435,187,187,569,3450,3450,998725568,0.59,1.9,0.5347928,0.6834,0.9721,0.0,0.0,USD,1665692800,-1.30399,1293296077,1618680064,0.16498,0.42776,1.096,0.5629562,1688083200,1719705600,1688083200,-2435200000,-1.36,0.892,6.684,PNK,EQUITY,EHGRF,EHGRF,THE STAR ENTERTAINMENT GROUP LT,The Star Entertainment Group Limited,1328625000,America/New_York,EDT,-14400000,0.617,none,88700000,0.055,249200000,757200000,0.195,0.35,1867500032,42.755,1.624,0.0129700005,-0.93638,962800000,396712512,43800000,-0.101,0.51556,0.13344,0.04739,AUD,
9,159 William Street,Level 3,Brisbane,QLD,4000,Australia,61 7 3228 0000,61 7 3228 0099,https://www.starentertainmentgroup.com.au,Resorts & Casinos,Consumer Cyclical,"The Star Entertainment Group Limited operates and manages integrated resorts in Australia. It operates through three segments: Sydney, Gold Coast, and Brisbane. The company owns and operates The Star Sydney, The Star Gold Coast, and Treasury Brisbane casinos, which include hotels, restaurants, bars, theatres, and other entertainment facilities. It also manages the Gold Coast Convention and Exhibition Centre. The company was formerly known as Echo Entertainment Group Limited and changed its name to The Star Entertainment Group Limited in November 2015. The Star Entertainment Group Limited was incorporated in 2011 and is based in Brisbane, Australia.","{'maxAge': 1, 'name': 'Ms. Nicola  Burke', 'title': 'Chief Transformation Officer', 'exercisedValue': 0, 'unexercisedValue': 0}",5,6,9,10,7,1693526400,1703980800,86400,4,0.617,0.617,0.617,0.617,0.617,0.617,0.617,0.617,1582588800,0.0,1.060435,187,187,569,3450,3450,998725568,0.59,1.9,0.5347928,0.6834,0.9721,0.0,0.0,USD,1665692800,-1.30399,1293296077,1618680064,0.16498,0.42776,1.096,0.5629562,1688083200,1719705600,1688083200,-2435200000,-1.36,0.892,6.684,PNK,EQUITY,EHGRF,EHGRF,THE STAR ENTERTAINMENT GROUP LT,The Star Entertainment Group Limited,1328625000,America/New_York,EDT,-14400000,0.617,none,88700000,0.055,249200000,757200000,0.195,0.35,1867500032,42.755,1.624,0.0129700005,-0.93638,962800000,396712512,43800000,-0.101,0.51556,0.13344,0.04739,AUD,
