,address1,address2,city,zip,country,phone,fax,website,industry,sector,longBusinessSummary,companyOfficers,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,exDividendDate,payoutRatio,beta,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,heldPercentInsiders,heldPercentInstitutions,bookValue,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,netIncomeToCommon,trailingEps,enterpriseToRevenue,enterpriseToEbitda,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,recommendationKey,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,revenuePerShare,operatingCashflow,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,14 KM Stone,Aurangabad- Paithan Road Village Chittegaon Taluka Paithan,Aurangabad,431105,India,91 24 3125 1501,91 24 3125 1551,https://videoconindustriesltd.com,"Furnishings, Fixtures & Appliances",Consumer Cyclical,"Videocon Industries Limited manufactures, assembles, markets, and distributes consumer electronic products and home appliances. It offers air conditioners, refrigerators, televisions, washing machines, and mobile phones and tablets, as well as various small home appliances, such as microwave ovens, fryers, induction cooktops, toaster, sandwich maker, rice cooker, iron, and heaters. The company also engages in the oil and gas business. Videocon Industries Limited was incorporated in 1986 and is based in Aurangabad, India.","{'maxAge': 1, 'name': 'Mr. Chandrakant Sidram Jyoti', 'age': 59, 'title': 'Chief Operating Officer', 'yearBorn': 1963, 'fiscalYear': 2019, 'totalPay': 0, 'exercisedValue': 0, 'unexercisedValue': 0}",1577750400,86400,2,7.35,7.6,6.9,7.6,7.35,7.6,6.9,7.6,1433980800,0.0,1.751662,5589620,5589620,0,0,0,0.0,0.0,0,0,2307767296,6.9,7.6,0.30537334,7.35,7.35,0.0,0.0,INR,446143299584,0.0,193521835,334459008,0.46479,0.045619998,-558.481,1648684800,1680220800,1648684800,-61114920960,-222.68,59.036,1116.978,NSI,EQUITY,VIDEOIND.NS,VIDEOIND.NS,VIDEOCON INDUST,Videocon Industries Limited,1025495100,Asia/Kolkata,IST,19800000,6.9,none,3206070016,9.585,399420000,446890868736,0.054,0.139,7557199872,22.596,-1462680064,0.565,0.94434,0.052849997,-0.60218,INR,
1,14 KM Stone,Aurangabad- Paithan Road Village Chittegaon Taluka Paithan,Aurangabad,431105,India,91 24 3125 1501,91 24 3125 1551,https://videoconindustriesltd.com,"Furnishings, Fixtures & Appliances",Consumer Cyclical,"Videocon Industries Limited manufactures, assembles, markets, and distributes consumer electronic products and home appliances. It offers air conditioners, refrigerators, televisions, washing machines, and mobile phones and tablets, as well as various small home appliances, such as microwave ovens, fryers, induction cooktops, toaster, sandwich maker, rice cooker, iron, and heaters. The company also engages in the oil and gas business. Videocon Industries Limited was incorporated in 1986 and is based in Aurangabad, India.","{'maxAge': 1, 'name': 'Mr. Venugopal Nandlal Dhoot B.E.', 'age': 71, 'title': 'Chairman, MD & CEO', 'yearBorn': 1951, 'fiscalYear': 2018, 'exercisedValue': 0, 'unexercisedValue': 0}",1577750400,86400,2,7.35,7.6,6.9,7.6,7.35,7.6,6.9,7.6,1433980800,0.0,1.751662,5589620,5589620,0,0,0,0.0,0.0,0,0,2307767296,6.9,7.6,0.30537334,7.35,7.35,0.0,0.0,INR,446143299584,0.0,193521835,334459008,0.46479,0.045619998,-558.481,1648684800,1680220800,1648684800,-61114920960,-222.68,59.036,1116.978,NSI,EQUITY,VIDEOIND.NS,VIDEOIND.NS,VIDEOCON INDUST,Videocon Industries Limited,1025495100,Asia/Kolkata,IST,19800000,6.9,none,3206070016,9.585,399420000,446890868736,0.054,0.139,7557199872,22.596,-1462680064,0.565,0.94434,0.052849997,-0.60218,INR,
2,14 KM Stone,Aurangabad- Paithan Road Village Chittegaon Taluka Paithan,Aurangabad,431105,India,91 24 3125 1501,91 24 3125 1551,https://videoconindustriesltd.com,"Furnishings, Fixtures & Appliances",Consumer Cyclical,"Videocon Industries Limited manufactures, assembles, markets, and distributes consumer electronic products and home appliances. It offers air conditioners, refrigerators, televisions, washing machines, and mobile phones and tablets, as well as various small home appliances, such as microwave ovens, fryers, induction cooktops, toaster, sandwich maker, rice cooker, iron, and heaters. The company also engages in the oil and gas business. Videocon Industries Limited was incorporated in 1986 and is based in Aurangabad, India.","{'maxAge': 1, 'name': 'Mr. Anil Kumar Modani B.Com., C.A., C.S.', 'age': 58, 'title': 'Pres', 'yearBorn': 1964, 'fiscalYear': 2015, 'exercisedValue': 0, 'unexercisedValue': 0}",1577750400,86400,2,7.35,7.6,6.9,7.6,7.35,7.6,6.9,7.6,1433980800,0.0,1.751662,5589620,5589620,0,0,0,0.0,0.0,0,0,2307767296,6.9,7.6,0.30537334,7.35,7.35,0.0,0.0,INR,446143299584,0.0,193521835,334459008,0.46479,0.045619998,-558.481,1648684800,1680220800,1648684800,-61114920960,-222.68,59.036,1116.978,NSI,EQUITY,VIDEOIND.NS,VIDEOIND.NS,VIDEOCON INDUST,Videocon Industries Limited,1025495100,Asia/Kolkata,IST,19800000,6.9,none,3206070016,9.585,399420000,446890868736,0.054,0.139,7557199872,22.596,-1462680064,0.565,0.94434,0.052849997,-0.60218,INR,
3,14 KM Stone,Aurangabad- Paithan Road Village Chittegaon Taluka Paithan,Aurangabad,431105,India,91 24 3125 1501,91 24 3125 1551,https://videoconindustriesltd.com,"Furnishings, Fixtures & Appliances",Consumer Cyclical,"Videocon Industries Limited manufactures, assembles, markets, and distributes consumer electronic products and home appliances. It offers air conditioners, refrigerators, televisions, washing machines, and mobile phones and tablets, as well as various small home appliances, such as microwave ovens, fryers, induction cooktops, toaster, sandwich maker, rice cooker, iron, and heaters. The company also engages in the oil and gas business. Videocon Industries Limited was incorporated in 1986 and is based in Aurangabad, India.","{'maxAge': 1, 'name': 'Mr. Akshay R. Dhoot', 'title': 'Head of Technology and Innovation', 'exercisedValue': 0, 'unexercisedValue': 0}",1577750400,86400,2,7.35,7.6,6.9,7.6,7.35,7.6,6.9,7.6,1433980800,0.0,1.751662,5589620,5589620,0,0,0,0.0,0.0,0,0,2307767296,6.9,7.6,0.30537334,7.35,7.35,0.0,0.0,INR,446143299584,0.0,193521835,334459008,0.46479,0.045619998,-558.481,1648684800,1680220800,1648684800,-61114920960,-222.68,59.036,1116.978,NSI,EQUITY,VIDEOIND.NS,VIDEOIND.NS,VIDEOCON INDUST,Videocon Industries Limited,1025495100,Asia/Kolkata,IST,19800000,6.9,none,3206070016,9.585,399420000,446890868736,0.054,0.139,7557199872,22.596,-1462680064,0.565,0.94434,0.052849997,-0.60218,INR,
4,14 KM Stone,Aurangabad- Paithan Road Village Chittegaon Taluka Paithan,Aurangabad,431105,India,91 24 3125 1501,91 24 3125 1551,https://videoconindustriesltd.com,"Furnishings, Fixtures & Appliances",Consumer Cyclical,"Videocon Industries Limited manufactures, assembles, markets, and distributes consumer electronic products and home appliances. It offers air conditioners, refrigerators, televisions, washing machines, and mobile phones and tablets, as well as various small home appliances, such as microwave ovens, fryers, induction cooktops, toaster, sandwich maker, rice cooker, iron, and heaters. The company also engages in the oil and gas business. Videocon Industries Limited was incorporated in 1986 and is based in Aurangabad, India.","{'maxAge': 1, 'name': 'Mr. Sunil  Tandon I.C.S.E., I.SC, M.Sc, D.B.M.', 'age': 61, 'title': 'Chief Marketing Officer', 'yearBorn': 1961, 'fiscalYear': 2015, 'exercisedValue': 0, 'unexercisedValue': 0}",1577750400,86400,2,7.35,7.6,6.9,7.6,7.35,7.6,6.9,7.6,1433980800,0.0,1.751662,5589620,5589620,0,0,0,0.0,0.0,0,0,2307767296,6.9,7.6,0.30537334,7.35,7.35,0.0,0.0,INR,446143299584,0.0,193521835,334459008,0.46479,0.045619998,-558.481,1648684800,1680220800,1648684800,-61114920960,-222.68,59.036,1116.978,NSI,EQUITY,VIDEOIND.NS,VIDEOIND.NS,VIDEOCON INDUST,Videocon Industries Limited,1025495100,Asia/Kolkata,IST,19800000,6.9,none,3206070016,9.585,399420000,446890868736,0.054,0.139,7557199872,22.596,-1462680064,0.565,0.94434,0.052849997,-0.60218,INR,
5,14 KM Stone,Aurangabad- Paithan Road Village Chittegaon Taluka Paithan,Aurangabad,431105,India,91 24 3125 1501,91 24 3125 1551,https://videoconindustriesltd.com,"Furnishings, Fixtures & Appliances",Consumer Cyclical,"Videocon Industries Limited manufactures, assembles, markets, and distributes consumer electronic products and home appliances. It offers air conditioners, refrigerators, televisions, washing machines, and mobile phones and tablets, as well as various small home appliances, such as microwave ovens, fryers, induction cooktops, toaster, sandwich maker, rice cooker, iron, and heaters. The company also engages in the oil and gas business. Videocon Industries Limited was incorporated in 1986 and is based in Aurangabad, India.","{'maxAge': 1, 'name': 'Mr. Chandramani M. Singh', 'age': 52, 'title': 'Chief Operating Officer of Sales', 'yearBorn': 1970, 'fiscalYear': 2013, 'exercisedValue': 0, 'unexercisedValue': 0}",1577750400,86400,2,7.35,7.6,6.9,7.6,7.35,7.6,6.9,7.6,1433980800,0.0,1.751662,5589620,5589620,0,0,0,0.0,0.0,0,0,2307767296,6.9,7.6,0.30537334,7.35,7.35,0.0,0.0,INR,446143299584,0.0,193521835,334459008,0.46479,0.045619998,-558.481,1648684800,1680220800,1648684800,-61114920960,-222.68,59.036,1116.978,NSI,EQUITY,VIDEOIND.NS,VIDEOIND.NS,VIDEOCON INDUST,Videocon Industries Limited,1025495100,Asia/Kolkata,IST,19800000,6.9,none,3206070016,9.585,399420000,446890868736,0.054,0.139,7557199872,22.596,-1462680064,0.565,0.94434,0.052849997,-0.60218,INR,
6,14 KM Stone,Aurangabad- Paithan Road Village Chittegaon Taluka Paithan,Aurangabad,431105,India,91 24 3125 1501,91 24 3125 1551,https://videoconindustriesltd.com,"Furnishings, Fixtures & Appliances",Consumer Cyclical,"Videocon Industries Limited manufactures, assembles, markets, and distributes consumer electronic products and home appliances. It offers air conditioners, refrigerators, televisions, washing machines, and mobile phones and tablets, as well as various small home appliances, such as microwave ovens, fryers, induction cooktops, toaster, sandwich maker, rice cooker, iron, and heaters. The company also engages in the oil and gas business. Videocon Industries Limited was incorporated in 1986 and is based in Aurangabad, India.","{'maxAge': 1, 'name': 'Mr. Arvind  Bali', 'age': 62, 'title': 'Chief Exec. Officer of Videocon Telecommunications Limited', 'yearBorn': 1960, 'fiscalYear': 2008, 'exercisedValue': 0, 'unexercisedValue': 0}",1577750400,86400,2,7.35,7.6,6.9,7.6,7.35,7.6,6.9,7.6,1433980800,0.0,1.751662,5589620,5589620,0,0,0,0.0,0.0,0,0,2307767296,6.9,7.6,0.30537334,7.35,7.35,0.0,0.0,INR,446143299584,0.0,193521835,334459008,0.46479,0.045619998,-558.481,1648684800,1680220800,1648684800,-61114920960,-222.68,59.036,1116.978,NSI,EQUITY,VIDEOIND.NS,VIDEOIND.NS,VIDEOCON INDUST,Videocon Industries Limited,1025495100,Asia/Kolkata,IST,19800000,6.9,none,3206070016,9.585,399420000,446890868736,0.054,0.139,7557199872,22.596,-1462680064,0.565,0.94434,0.052849997,-0.60218,INR,
7,14 KM Stone,Aurangabad- Paithan Road Village Chittegaon Taluka Paithan,Aurangabad,431105,India,91 24 3125 1501,91 24 3125 1551,https://videoconindustriesltd.com,"Furnishings, Fixtures & Appliances",Consumer Cyclical,"Videocon Industries Limited manufactures, assembles, markets, and distributes consumer electronic products and home appliances. It offers air conditioners, refrigerators, televisions, washing machines, and mobile phones and tablets, as well as various small home appliances, such as microwave ovens, fryers, induction cooktops, toaster, sandwich maker, rice cooker, iron, and heaters. The company also engages in the oil and gas business. Videocon Industries Limited was incorporated in 1986 and is based in Aurangabad, India.","{'maxAge': 1, 'name': 'T.  Shankar', 'age': 60, 'title': 'VP of Geophysics - IIWS', 'yearBorn': 1962, 'exercisedValue': 0, 'unexercisedValue': 0}",1577750400,86400,2,7.35,7.6,6.9,7.6,7.35,7.6,6.9,7.6,1433980800,0.0,1.751662,5589620,5589620,0,0,0,0.0,0.0,0,0,2307767296,6.9,7.6,0.30537334,7.35,7.35,0.0,0.0,INR,446143299584,0.0,193521835,334459008,0.46479,0.045619998,-558.481,1648684800,1680220800,1648684800,-61114920960,-222.68,59.036,1116.978,NSI,EQUITY,VIDEOIND.NS,VIDEOIND.NS,VIDEOCON INDUST,Videocon Industries Limited,1025495100,Asia/Kolkata,IST,19800000,6.9,none,3206070016,9.585,399420000,446890868736,0.054,0.139,7557199872,22.596,-1462680064,0.565,0.94434,0.052849997,-0.60218,INR,
8,14 KM Stone,Aurangabad- Paithan Road Village Chittegaon Taluka Paithan,Aurangabad,431105,India,91 24 3125 1501,91 24 3125 1551,https://videoconindustriesltd.com,"Furnishings, Fixtures & Appliances",Consumer Cyclical,"Videocon Industries Limited manufactures, assembles, markets, and distributes consumer electronic products and home appliances. It offers air conditioners, refrigerators, televisions, washing machines, and mobile phones and tablets, as well as various small home appliances, such as microwave ovens, fryers, induction cooktops, toaster, sandwich maker, rice cooker, iron, and heaters. The company also engages in the oil and gas business. Videocon Industries Limited was incorporated in 1986 and is based in Aurangabad, India.","{'maxAge': 1, 'name': 'K. S. Harikumar', 'age': 51, 'title': 'VP', 'yearBorn': 1971, 'exercisedValue': 0, 'unexercisedValue': 0}",1577750400,86400,2,7.35,7.6,6.9,7.6,7.35,7.6,6.9,7.6,1433980800,0.0,1.751662,5589620,5589620,0,0,0,0.0,0.0,0,0,2307767296,6.9,7.6,0.30537334,7.35,7.35,0.0,0.0,INR,446143299584,0.0,193521835,334459008,0.46479,0.045619998,-558.481,1648684800,1680220800,1648684800,-61114920960,-222.68,59.036,1116.978,NSI,EQUITY,VIDEOIND.NS,VIDEOIND.NS,VIDEOCON INDUST,Videocon Industries Limited,1025495100,Asia/Kolkata,IST,19800000,6.9,none,3206070016,9.585,399420000,446890868736,0.054,0.139,7557199872,22.596,-1462680064,0.565,0.94434,0.052849997,-0.60218,INR,
9,14 KM Stone,Aurangabad- Paithan Road Village Chittegaon Taluka Paithan,Aurangabad,431105,India,91 24 3125 1501,91 24 3125 1551,https://videoconindustriesltd.com,"Furnishings, Fixtures & Appliances",Consumer Cyclical,"Videocon Industries Limited manufactures, assembles, markets, and distributes consumer electronic products and home appliances. It offers air conditioners, refrigerators, televisions, washing machines, and mobile phones and tablets, as well as various small home appliances, such as microwave ovens, fryers, induction cooktops, toaster, sandwich maker, rice cooker, iron, and heaters. The company also engages in the oil and gas business. Videocon Industries Limited was incorporated in 1986 and is based in Aurangabad, India.","{'maxAge': 1, 'name': 'Sanjay  Matha', 'age': 55, 'title': 'Gen. Mang.', 'yearBorn': 1967, 'exercisedValue': 0, 'unexercisedValue': 0}",1577750400,86400,2,7.35,7.6,6.9,7.6,7.35,7.6,6.9,7.6,1433980800,0.0,1.751662,5589620,5589620,0,0,0,0.0,0.0,0,0,2307767296,6.9,7.6,0.30537334,7.35,7.35,0.0,0.0,INR,446143299584,0.0,193521835,334459008,0.46479,0.045619998,-558.481,1648684800,1680220800,1648684800,-61114920960,-222.68,59.036,1116.978,NSI,EQUITY,VIDEOIND.NS,VIDEOIND.NS,VIDEOCON INDUST,Videocon Industries Limited,1025495100,Asia/Kolkata,IST,19800000,6.9,none,3206070016,9.585,399420000,446890868736,0.054,0.139,7557199872,22.596,-1462680064,0.565,0.94434,0.052849997,-0.60218,INR,
