,address1,address2,city,country,website,industry,sector,longBusinessSummary,companyOfficers,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,payoutRatio,beta,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,heldPercentInsiders,heldPercentInstitutions,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,netIncomeToCommon,trailingEps,enterpriseToRevenue,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,recommendationKey,totalCash,totalCashPerShare,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,freeCashflow,operatingCashflow,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,FWD Financial Centre,6th Floor Unit 607 308 Des Voeux Road Central,Sheung Wan,Hong Kong,https://www.worldsec.com,Asset Management,Financial Services,"Worldsec Limited, a closed-ended investment company, invests in small to medium sized trading companies in the Greater China and South East Asian regions. The company was founded in 1991 and is based in Sheung Wan, Hong Kong.","{'maxAge': 1, 'name': 'Mr. Ying-Chew  Cheong B.Sc., CPA, MSc.', 'age': 75, 'title': 'Deputy Chairman', 'yearBorn': 1947, 'fiscalYear': 2022, 'totalPay': 12000, 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,4,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.20045,0,0,398,0,0,0.5,1.0,0,0,638264,0.0,2.0,-2.6483984,0.30655,0.5316875,0.0,0.0,GBp,44264,0.0,43541521,85101904,0.49554002,0.0,0.064,11.718749,1672444800,1703980800,1672444800,-843000,-0.01,-0.184,LSE,EQUITY,WSL.L,WSL.L,WORLDSEC LD ORD USD0.001,Worldsec Limited,978422400,Europe/London,BST,3600000,0.75,none,649000,0.008,55000,5.251,5.251,-241000,1.011,-0.003,-0.052849997,-0.14344,-375250,-443000,0.0,0.0,2.14938,USD,
1,FWD Financial Centre,6th Floor Unit 607 308 Des Voeux Road Central,Sheung Wan,Hong Kong,https://www.worldsec.com,Asset Management,Financial Services,"Worldsec Limited, a closed-ended investment company, invests in small to medium sized trading companies in the Greater China and South East Asian regions. The company was founded in 1991 and is based in Sheung Wan, Hong Kong.","{'maxAge': 1, 'name': 'Mr. Chiu Shun  She', 'age': 62, 'title': 'Exec. Director', 'yearBorn': 1960, 'fiscalYear': 2022, 'totalPay': 12000, 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,4,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.20045,0,0,398,0,0,0.5,1.0,0,0,638264,0.0,2.0,-2.6483984,0.30655,0.5316875,0.0,0.0,GBp,44264,0.0,43541521,85101904,0.49554002,0.0,0.064,11.718749,1672444800,1703980800,1672444800,-843000,-0.01,-0.184,LSE,EQUITY,WSL.L,WSL.L,WORLDSEC LD ORD USD0.001,Worldsec Limited,978422400,Europe/London,BST,3600000,0.75,none,649000,0.008,55000,5.251,5.251,-241000,1.011,-0.003,-0.052849997,-0.14344,-375250,-443000,0.0,0.0,2.14938,USD,
