,address1,address2,city,state,zip,country,phone,fax,website,industry,industryDisp,sector,sectorDisp,longBusinessSummary,companyOfficers,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,exDividendDate,payoutRatio,beta,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,profitMargins,sharesOutstanding,heldPercentInsiders,heldPercentInstitutions,impliedSharesOutstanding,bookValue,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,netIncomeToCommon,trailingEps,lastSplitFactor,lastSplitDate,52WeekChange,SandP52WeekChange,lastDividendValue,lastDividendDate,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,uuid,messageBoardId,gmtOffSetMilliseconds,currentPrice,recommendationKey,totalCash,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,returnOnAssets,grossProfits,freeCashflow,operatingCashflow,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,Angel Place,: Level 17 123 Pitt St,Sydney,NSW,2000,Australia,61 2 9467 9980,61 2  8920 0085,https://www.marinercorporation.com.au,Asset Management,Asset Management,Financial Services,Financial Services,"Mariner Corporation Limited operates as a diversified investment company in Australia and China. It invests in properties, loan books, agricultural assets, aged care, office buildings, plant and equipment, subdivision developments, and others, as well as operates as a lessor of plant and equipment. The company was incorporated in 1985 and is based in Sydney, Australia.","{'maxAge': 1, 'name': 'Mr. Kaiman  Wong', 'age': 55, 'title': 'MD, Company Sec. & Exec. Director', 'yearBorn': 1967, 'fiscalYear': 2022, 'totalPay': 177306, 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,4,0.031,0.031,0.031,0.031,0.031,0.031,0.031,0.031,1347235200,0.0,0.031531,230,230,0,0,0,0.036,0.055,0,0,1489649,0.031,0.031,57294.19,0.031,0.031,0.0,0.0,AUD,0.0,48053200,0.96343005,0.0,48053200,-0.019,1688083200,1719705600,1688083200,-392516,-0.01,1:100,1321833600,0.0,0.14113986,0.01,1347235200,ASX,EQUITY,MCX.AX,MCX.AX,MARINERCOR FPO,Mariner Corporation Limited,570668400,Australia/Sydney,AEST,17c54937-5f0b-3f4a-9077-2b3b46963ed1,finmb_877054,36000000,0.031,none,10189,-318041,1041807,0.009,0.022,26,-2.15855,26,-226039,-343645,-0.954,1.0,0.0,-13392.308,AUD,
1,Angel Place,: Level 17 123 Pitt St,Sydney,NSW,2000,Australia,61 2 9467 9980,61 2  8920 0085,https://www.marinercorporation.com.au,Asset Management,Asset Management,Financial Services,Financial Services,"Mariner Corporation Limited operates as a diversified investment company in Australia and China. It invests in properties, loan books, agricultural assets, aged care, office buildings, plant and equipment, subdivision developments, and others, as well as operates as a lessor of plant and equipment. The company was incorporated in 1985 and is based in Sydney, Australia.","{'maxAge': 1, 'name': 'Ms. Janet  Robertson', 'title': 'Head of Marketing and Communication', 'fiscalYear': 2009, 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,4,0.031,0.031,0.031,0.031,0.031,0.031,0.031,0.031,1347235200,0.0,0.031531,230,230,0,0,0,0.036,0.055,0,0,1489649,0.031,0.031,57294.19,0.031,0.031,0.0,0.0,AUD,0.0,48053200,0.96343005,0.0,48053200,-0.019,1688083200,1719705600,1688083200,-392516,-0.01,1:100,1321833600,0.0,0.14113986,0.01,1347235200,ASX,EQUITY,MCX.AX,MCX.AX,MARINERCOR FPO,Mariner Corporation Limited,570668400,Australia/Sydney,AEST,17c54937-5f0b-3f4a-9077-2b3b46963ed1,finmb_877054,36000000,0.031,none,10189,-318041,1041807,0.009,0.022,26,-2.15855,26,-226039,-343645,-0.954,1.0,0.0,-13392.308,AUD,
