,address1,city,state,zip,country,phone,website,industry,sector,longBusinessSummary,fullTimeEmployees,companyOfficers,auditRisk,boardRisk,compensationRisk,shareHolderRightsRisk,overallRisk,governanceEpochDate,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,payoutRatio,beta,trailingPE,forwardPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,sharesShort,sharesShortPriorMonth,sharesShortPreviousMonthDate,dateShortInterest,sharesPercentSharesOut,heldPercentInsiders,heldPercentInstitutions,shortRatio,shortPercentOfFloat,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,netIncomeToCommon,trailingEps,forwardEps,pegRatio,enterpriseToRevenue,enterpriseToEbitda,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,recommendationMean,recommendationKey,numberOfAnalystOpinions,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,freeCashflow,operatingCashflow,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,2211 North First Street,San Jose,CA,95131,United States,408 967 1000,https://www.paypal.com,Credit Services,Financial Services,"PayPal Holdings, Inc. operates a technology platform that enables digital payments on behalf of merchants and consumers worldwide. The company provides payment solutions under the PayPal, PayPal Credit, Braintree, Venmo, Xoom, PayPal Zettle, Hyperwallet, PayPal Honey, and Paidy names. Its payments platform allows consumers to send and receive payments in approximately 200 markets and in approximately 150 currencies, withdraw funds to their bank accounts in 56 currencies, and hold balances in their PayPal accounts in 25 currencies. The company was founded in 1998 and is headquartered in San Jose, California.",29900,"{'maxAge': 1, 'name': 'Mr. Daniel H. Schulman', 'age': 64, 'title': 'Pres, CEO & Director', 'yearBorn': 1958, 'fiscalYear': 2022, 'totalPay': 1775192, 'exercisedValue': 0, 'unexercisedValue': 0}",4,3,9,5,6,1693526400,1672444800,86400,2,64.44,64.66,63.91,65.73,64.44,64.66,63.91,65.73,0.0,1.339557,17.543715,11.384752,20011149,20011149,16168879,13646450,13646450,64.11,64.39,1000,1000,70505152512,57.29,95.64,2.4690137,66.101,70.844124,0.0,0.0,USD,72065531904,0.1427,1095819435,1098040064,19523809,18911543,1690761600,1693440000,0.0178,0.00205,0.75814,1.07,0.0178,17.841,3.5990136,1672444800,1703980800,1688083200,4075000064,3.66,5.64,0.75,2.524,13.12,NMS,EQUITY,PYPL,PYPL,"PayPal Holdings, Inc.","PayPal Holdings, Inc.",1436189400,America/New_York,EDT,-14400000,64.21,126.0,58.0,86.38,85.5,2.1,buy,38,9902000128,9.018,5493000192,11210000384,0.261,1.296,28555999232,57.016,25.193,0.03875,0.20671,11653000000,3354749952,4316000256,0.071,0.41305,0.19236,0.16543,USD,0.5078
1,2211 North First Street,San Jose,CA,95131,United States,408 967 1000,https://www.paypal.com,Credit Services,Financial Services,"PayPal Holdings, Inc. operates a technology platform that enables digital payments on behalf of merchants and consumers worldwide. The company provides payment solutions under the PayPal, PayPal Credit, Braintree, Venmo, Xoom, PayPal Zettle, Hyperwallet, PayPal Honey, and Paidy names. Its payments platform allows consumers to send and receive payments in approximately 200 markets and in approximately 150 currencies, withdraw funds to their bank accounts in 56 currencies, and hold balances in their PayPal accounts in 25 currencies. The company was founded in 1998 and is headquartered in San Jose, California.",29900,"{'maxAge': 1, 'name': 'Ms. Gabrielle  Rabinovitch J.D.', 'age': 42, 'title': 'Principal Accounting Officer, Sr. VP of Investor Relations & Treasurer and Acting CFO', 'yearBorn': 1980, 'fiscalYear': 2022, 'totalPay': 1780169, 'exercisedValue': 0, 'unexercisedValue': 0}",4,3,9,5,6,1693526400,1672444800,86400,2,64.44,64.66,63.91,65.73,64.44,64.66,63.91,65.73,0.0,1.339557,17.543715,11.384752,20011149,20011149,16168879,13646450,13646450,64.11,64.39,1000,1000,70505152512,57.29,95.64,2.4690137,66.101,70.844124,0.0,0.0,USD,72065531904,0.1427,1095819435,1098040064,19523809,18911543,1690761600,1693440000,0.0178,0.00205,0.75814,1.07,0.0178,17.841,3.5990136,1672444800,1703980800,1688083200,4075000064,3.66,5.64,0.75,2.524,13.12,NMS,EQUITY,PYPL,PYPL,"PayPal Holdings, Inc.","PayPal Holdings, Inc.",1436189400,America/New_York,EDT,-14400000,64.21,126.0,58.0,86.38,85.5,2.1,buy,38,9902000128,9.018,5493000192,11210000384,0.261,1.296,28555999232,57.016,25.193,0.03875,0.20671,11653000000,3354749952,4316000256,0.071,0.41305,0.19236,0.16543,USD,0.5078
2,2211 North First Street,San Jose,CA,95131,United States,408 967 1000,https://www.paypal.com,Credit Services,Financial Services,"PayPal Holdings, Inc. operates a technology platform that enables digital payments on behalf of merchants and consumers worldwide. The company provides payment solutions under the PayPal, PayPal Credit, Braintree, Venmo, Xoom, PayPal Zettle, Hyperwallet, PayPal Honey, and Paidy names. Its payments platform allows consumers to send and receive payments in approximately 200 markets and in approximately 150 currencies, withdraw funds to their bank accounts in 56 currencies, and hold balances in their PayPal accounts in 25 currencies. The company was founded in 1998 and is headquartered in San Jose, California.",29900,"{'maxAge': 1, 'name': 'Ms. Peggy M. Alford', 'age': 50, 'title': 'Exec. VP of Global Sales & Merchant Services', 'yearBorn': 1972, 'fiscalYear': 2022, 'totalPay': 948150, 'exercisedValue': 0, 'unexercisedValue': 0}",4,3,9,5,6,1693526400,1672444800,86400,2,64.44,64.66,63.91,65.73,64.44,64.66,63.91,65.73,0.0,1.339557,17.543715,11.384752,20011149,20011149,16168879,13646450,13646450,64.11,64.39,1000,1000,70505152512,57.29,95.64,2.4690137,66.101,70.844124,0.0,0.0,USD,72065531904,0.1427,1095819435,1098040064,19523809,18911543,1690761600,1693440000,0.0178,0.00205,0.75814,1.07,0.0178,17.841,3.5990136,1672444800,1703980800,1688083200,4075000064,3.66,5.64,0.75,2.524,13.12,NMS,EQUITY,PYPL,PYPL,"PayPal Holdings, Inc.","PayPal Holdings, Inc.",1436189400,America/New_York,EDT,-14400000,64.21,126.0,58.0,86.38,85.5,2.1,buy,38,9902000128,9.018,5493000192,11210000384,0.261,1.296,28555999232,57.016,25.193,0.03875,0.20671,11653000000,3354749952,4316000256,0.071,0.41305,0.19236,0.16543,USD,0.5078
3,2211 North First Street,San Jose,CA,95131,United States,408 967 1000,https://www.paypal.com,Credit Services,Financial Services,"PayPal Holdings, Inc. operates a technology platform that enables digital payments on behalf of merchants and consumers worldwide. The company provides payment solutions under the PayPal, PayPal Credit, Braintree, Venmo, Xoom, PayPal Zettle, Hyperwallet, PayPal Honey, and Paidy names. Its payments platform allows consumers to send and receive payments in approximately 200 markets and in approximately 150 currencies, withdraw funds to their bank accounts in 56 currencies, and hold balances in their PayPal accounts in 25 currencies. The company was founded in 1998 and is headquartered in San Jose, California.",29900,"{'maxAge': 1, 'name': 'Mr. Jonathan Saul Auerbach', 'age': 59, 'title': 'Exec. VP and Chief Strategy, Growth & Data Officer', 'yearBorn': 1963, 'fiscalYear': 2022, 'totalPay': 914063, 'exercisedValue': 2579668, 'unexercisedValue': 0}",4,3,9,5,6,1693526400,1672444800,86400,2,64.44,64.66,63.91,65.73,64.44,64.66,63.91,65.73,0.0,1.339557,17.543715,11.384752,20011149,20011149,16168879,13646450,13646450,64.11,64.39,1000,1000,70505152512,57.29,95.64,2.4690137,66.101,70.844124,0.0,0.0,USD,72065531904,0.1427,1095819435,1098040064,19523809,18911543,1690761600,1693440000,0.0178,0.00205,0.75814,1.07,0.0178,17.841,3.5990136,1672444800,1703980800,1688083200,4075000064,3.66,5.64,0.75,2.524,13.12,NMS,EQUITY,PYPL,PYPL,"PayPal Holdings, Inc.","PayPal Holdings, Inc.",1436189400,America/New_York,EDT,-14400000,64.21,126.0,58.0,86.38,85.5,2.1,buy,38,9902000128,9.018,5493000192,11210000384,0.261,1.296,28555999232,57.016,25.193,0.03875,0.20671,11653000000,3354749952,4316000256,0.071,0.41305,0.19236,0.16543,USD,0.5078
4,2211 North First Street,San Jose,CA,95131,United States,408 967 1000,https://www.paypal.com,Credit Services,Financial Services,"PayPal Holdings, Inc. operates a technology platform that enables digital payments on behalf of merchants and consumers worldwide. The company provides payment solutions under the PayPal, PayPal Credit, Braintree, Venmo, Xoom, PayPal Zettle, Hyperwallet, PayPal Honey, and Paidy names. Its payments platform allows consumers to send and receive payments in approximately 200 markets and in approximately 150 currencies, withdraw funds to their bank accounts in 56 currencies, and hold balances in their PayPal accounts in 25 currencies. The company was founded in 1998 and is headquartered in San Jose, California.",29900,"{'maxAge': 1, 'name': 'Mr. Aaron  Karczmer', 'age': 50, 'title': 'Exec. VP & Chief Enterprise Services Officer', 'yearBorn': 1972, 'fiscalYear': 2022, 'totalPay': 936431, 'exercisedValue': 0, 'unexercisedValue': 0}",4,3,9,5,6,1693526400,1672444800,86400,2,64.44,64.66,63.91,65.73,64.44,64.66,63.91,65.73,0.0,1.339557,17.543715,11.384752,20011149,20011149,16168879,13646450,13646450,64.11,64.39,1000,1000,70505152512,57.29,95.64,2.4690137,66.101,70.844124,0.0,0.0,USD,72065531904,0.1427,1095819435,1098040064,19523809,18911543,1690761600,1693440000,0.0178,0.00205,0.75814,1.07,0.0178,17.841,3.5990136,1672444800,1703980800,1688083200,4075000064,3.66,5.64,0.75,2.524,13.12,NMS,EQUITY,PYPL,PYPL,"PayPal Holdings, Inc.","PayPal Holdings, Inc.",1436189400,America/New_York,EDT,-14400000,64.21,126.0,58.0,86.38,85.5,2.1,buy,38,9902000128,9.018,5493000192,11210000384,0.261,1.296,28555999232,57.016,25.193,0.03875,0.20671,11653000000,3354749952,4316000256,0.071,0.41305,0.19236,0.16543,USD,0.5078
5,2211 North First Street,San Jose,CA,95131,United States,408 967 1000,https://www.paypal.com,Credit Services,Financial Services,"PayPal Holdings, Inc. operates a technology platform that enables digital payments on behalf of merchants and consumers worldwide. The company provides payment solutions under the PayPal, PayPal Credit, Braintree, Venmo, Xoom, PayPal Zettle, Hyperwallet, PayPal Honey, and Paidy names. Its payments platform allows consumers to send and receive payments in approximately 200 markets and in approximately 150 currencies, withdraw funds to their bank accounts in 56 currencies, and hold balances in their PayPal accounts in 25 currencies. The company was founded in 1998 and is headquartered in San Jose, California.",29900,"{'maxAge': 1, 'name': 'Mr. Blake J. Jorgensen', 'age': 62, 'title': 'Sr. Advisor', 'yearBorn': 1960, 'fiscalYear': 2022, 'totalPay': 4376569, 'exercisedValue': 0, 'unexercisedValue': 0}",4,3,9,5,6,1693526400,1672444800,86400,2,64.44,64.66,63.91,65.73,64.44,64.66,63.91,65.73,0.0,1.339557,17.543715,11.384752,20011149,20011149,16168879,13646450,13646450,64.11,64.39,1000,1000,70505152512,57.29,95.64,2.4690137,66.101,70.844124,0.0,0.0,USD,72065531904,0.1427,1095819435,1098040064,19523809,18911543,1690761600,1693440000,0.0178,0.00205,0.75814,1.07,0.0178,17.841,3.5990136,1672444800,1703980800,1688083200,4075000064,3.66,5.64,0.75,2.524,13.12,NMS,EQUITY,PYPL,PYPL,"PayPal Holdings, Inc.","PayPal Holdings, Inc.",1436189400,America/New_York,EDT,-14400000,64.21,126.0,58.0,86.38,85.5,2.1,buy,38,9902000128,9.018,5493000192,11210000384,0.261,1.296,28555999232,57.016,25.193,0.03875,0.20671,11653000000,3354749952,4316000256,0.071,0.41305,0.19236,0.16543,USD,0.5078
6,2211 North First Street,San Jose,CA,95131,United States,408 967 1000,https://www.paypal.com,Credit Services,Financial Services,"PayPal Holdings, Inc. operates a technology platform that enables digital payments on behalf of merchants and consumers worldwide. The company provides payment solutions under the PayPal, PayPal Credit, Braintree, Venmo, Xoom, PayPal Zettle, Hyperwallet, PayPal Honey, and Paidy names. Its payments platform allows consumers to send and receive payments in approximately 200 markets and in approximately 150 currencies, withdraw funds to their bank accounts in 56 currencies, and hold balances in their PayPal accounts in 25 currencies. The company was founded in 1998 and is headquartered in San Jose, California.",29900,"{'maxAge': 1, 'name': 'Mr. Sripada  Shivananda', 'age': 49, 'title': 'Exec. VP & CTO', 'yearBorn': 1973, 'exercisedValue': 0, 'unexercisedValue': 0}",4,3,9,5,6,1693526400,1672444800,86400,2,64.44,64.66,63.91,65.73,64.44,64.66,63.91,65.73,0.0,1.339557,17.543715,11.384752,20011149,20011149,16168879,13646450,13646450,64.11,64.39,1000,1000,70505152512,57.29,95.64,2.4690137,66.101,70.844124,0.0,0.0,USD,72065531904,0.1427,1095819435,1098040064,19523809,18911543,1690761600,1693440000,0.0178,0.00205,0.75814,1.07,0.0178,17.841,3.5990136,1672444800,1703980800,1688083200,4075000064,3.66,5.64,0.75,2.524,13.12,NMS,EQUITY,PYPL,PYPL,"PayPal Holdings, Inc.","PayPal Holdings, Inc.",1436189400,America/New_York,EDT,-14400000,64.21,126.0,58.0,86.38,85.5,2.1,buy,38,9902000128,9.018,5493000192,11210000384,0.261,1.296,28555999232,57.016,25.193,0.03875,0.20671,11653000000,3354749952,4316000256,0.071,0.41305,0.19236,0.16543,USD,0.5078
7,2211 North First Street,San Jose,CA,95131,United States,408 967 1000,https://www.paypal.com,Credit Services,Financial Services,"PayPal Holdings, Inc. operates a technology platform that enables digital payments on behalf of merchants and consumers worldwide. The company provides payment solutions under the PayPal, PayPal Credit, Braintree, Venmo, Xoom, PayPal Zettle, Hyperwallet, PayPal Honey, and Paidy names. Its payments platform allows consumers to send and receive payments in approximately 200 markets and in approximately 150 currencies, withdraw funds to their bank accounts in 56 currencies, and hold balances in their PayPal accounts in 25 currencies. The company was founded in 1998 and is headquartered in San Jose, California.",29900,"{'maxAge': 1, 'name': 'Ms. Archana  Deskus', 'age': 56, 'title': 'Exec. VP & Chief Information Officer', 'yearBorn': 1966, 'exercisedValue': 0, 'unexercisedValue': 0}",4,3,9,5,6,1693526400,1672444800,86400,2,64.44,64.66,63.91,65.73,64.44,64.66,63.91,65.73,0.0,1.339557,17.543715,11.384752,20011149,20011149,16168879,13646450,13646450,64.11,64.39,1000,1000,70505152512,57.29,95.64,2.4690137,66.101,70.844124,0.0,0.0,USD,72065531904,0.1427,1095819435,1098040064,19523809,18911543,1690761600,1693440000,0.0178,0.00205,0.75814,1.07,0.0178,17.841,3.5990136,1672444800,1703980800,1688083200,4075000064,3.66,5.64,0.75,2.524,13.12,NMS,EQUITY,PYPL,PYPL,"PayPal Holdings, Inc.","PayPal Holdings, Inc.",1436189400,America/New_York,EDT,-14400000,64.21,126.0,58.0,86.38,85.5,2.1,buy,38,9902000128,9.018,5493000192,11210000384,0.261,1.296,28555999232,57.016,25.193,0.03875,0.20671,11653000000,3354749952,4316000256,0.071,0.41305,0.19236,0.16543,USD,0.5078
8,2211 North First Street,San Jose,CA,95131,United States,408 967 1000,https://www.paypal.com,Credit Services,Financial Services,"PayPal Holdings, Inc. operates a technology platform that enables digital payments on behalf of merchants and consumers worldwide. The company provides payment solutions under the PayPal, PayPal Credit, Braintree, Venmo, Xoom, PayPal Zettle, Hyperwallet, PayPal Honey, and Paidy names. Its payments platform allows consumers to send and receive payments in approximately 200 markets and in approximately 150 currencies, withdraw funds to their bank accounts in 56 currencies, and hold balances in their PayPal accounts in 25 currencies. The company was founded in 1998 and is headquartered in San Jose, California.",29900,"{'maxAge': 1, 'name': 'Mr. Bimal  Patel', 'title': 'Sr. VP & Gen. Counsel', 'exercisedValue': 0, 'unexercisedValue': 0}",4,3,9,5,6,1693526400,1672444800,86400,2,64.44,64.66,63.91,65.73,64.44,64.66,63.91,65.73,0.0,1.339557,17.543715,11.384752,20011149,20011149,16168879,13646450,13646450,64.11,64.39,1000,1000,70505152512,57.29,95.64,2.4690137,66.101,70.844124,0.0,0.0,USD,72065531904,0.1427,1095819435,1098040064,19523809,18911543,1690761600,1693440000,0.0178,0.00205,0.75814,1.07,0.0178,17.841,3.5990136,1672444800,1703980800,1688083200,4075000064,3.66,5.64,0.75,2.524,13.12,NMS,EQUITY,PYPL,PYPL,"PayPal Holdings, Inc.","PayPal Holdings, Inc.",1436189400,America/New_York,EDT,-14400000,64.21,126.0,58.0,86.38,85.5,2.1,buy,38,9902000128,9.018,5493000192,11210000384,0.261,1.296,28555999232,57.016,25.193,0.03875,0.20671,11653000000,3354749952,4316000256,0.071,0.41305,0.19236,0.16543,USD,0.5078
9,2211 North First Street,San Jose,CA,95131,United States,408 967 1000,https://www.paypal.com,Credit Services,Financial Services,"PayPal Holdings, Inc. operates a technology platform that enables digital payments on behalf of merchants and consumers worldwide. The company provides payment solutions under the PayPal, PayPal Credit, Braintree, Venmo, Xoom, PayPal Zettle, Hyperwallet, PayPal Honey, and Paidy names. Its payments platform allows consumers to send and receive payments in approximately 200 markets and in approximately 150 currencies, withdraw funds to their bank accounts in 56 currencies, and hold balances in their PayPal accounts in 25 currencies. The company was founded in 1998 and is headquartered in San Jose, California.",29900,"{'maxAge': 1, 'name': 'Mr. Alfonso  Villanueva', 'title': 'Exec. VP of Strategy, Corp. Devel. & Ventures', 'exercisedValue': 0, 'unexercisedValue': 0}",4,3,9,5,6,1693526400,1672444800,86400,2,64.44,64.66,63.91,65.73,64.44,64.66,63.91,65.73,0.0,1.339557,17.543715,11.384752,20011149,20011149,16168879,13646450,13646450,64.11,64.39,1000,1000,70505152512,57.29,95.64,2.4690137,66.101,70.844124,0.0,0.0,USD,72065531904,0.1427,1095819435,1098040064,19523809,18911543,1690761600,1693440000,0.0178,0.00205,0.75814,1.07,0.0178,17.841,3.5990136,1672444800,1703980800,1688083200,4075000064,3.66,5.64,0.75,2.524,13.12,NMS,EQUITY,PYPL,PYPL,"PayPal Holdings, Inc.","PayPal Holdings, Inc.",1436189400,America/New_York,EDT,-14400000,64.21,126.0,58.0,86.38,85.5,2.1,buy,38,9902000128,9.018,5493000192,11210000384,0.261,1.296,28555999232,57.016,25.193,0.03875,0.20671,11653000000,3354749952,4316000256,0.071,0.41305,0.19236,0.16543,USD,0.5078
