,address1,address2,city,state,zip,country,phone,fax,website,industry,sector,longBusinessSummary,companyOfficers,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,dividendRate,dividendYield,exDividendDate,payoutRatio,beta,trailingPE,forwardPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,sharesOutstanding,heldPercentInsiders,heldPercentInstitutions,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,netIncomeToCommon,trailingEps,forwardEps,enterpriseToRevenue,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,recommendationKey,totalCash,totalCashPerShare,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,freeCashflow,operatingCashflow,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,399 Park Avenue,22nd Floor,New York,NY,10022,United States,212 359 7300,212 359 7301,https://www.tetragoninv.com,Asset Management,Financial Services,"Tetragon Financial Group Limited is a close ended feeder fund launched and managed by Tetragon Financial Management LP. The fund invests its entire corpus in Tetragon Financial Group Master Fund Limited. It was formerly known as Tetragon Credit Income Fund Limited. Tetragon Financial Group Limited was formed on June 23, 2005 and is domiciled in the Guernsey, Channel Islands.","{'maxAge': 1, 'name': 'Mr. Olivier  Blechner', 'title': 'Portfolio Mang.', 'exercisedValue': 0, 'unexercisedValue': 0}",86400,2,9.77,9.65,9.65,9.65,9.77,9.65,9.65,9.65,0.67,0.0633,1690934400,0.3199,0.490615,5.0260415,5.1604276,3800,3800,638,540,540,0.0,0.0,0,0,811564992,8.45,10.5,3.1023126,9.8748,9.90545,0.44,0.04503582,USD,1080065024,0.60627,84100000,0.20167999,0.03305,32.925,0.29309034,1672444800,1703980800,1688083200,158600000,1.92,1.87,4.129,PNK,EQUITY,TGONF,TGONF,TETRAGON FINANCIAL GROUP LIMITE,Tetragon Financial Group Limited,1194010200,America/New_York,EDT,-14400000,9.65,none,31500000,0.375,300000000,3.17,3.451,261600000,10.834,2.905,0.0364,0.05827,61700000,130212496,-53000000,1.0,0.0,0.67164004,USD,
1,399 Park Avenue,22nd Floor,New York,NY,10022,United States,212 359 7300,212 359 7301,https://www.tetragoninv.com,Asset Management,Financial Services,"Tetragon Financial Group Limited is a close ended feeder fund launched and managed by Tetragon Financial Management LP. The fund invests its entire corpus in Tetragon Financial Group Master Fund Limited. It was formerly known as Tetragon Credit Income Fund Limited. Tetragon Financial Group Limited was formed on June 23, 2005 and is domiciled in the Guernsey, Channel Islands.","{'maxAge': 1, 'name': 'Mr. Michael  Pang', 'title': 'Portfolio Mang.', 'exercisedValue': 0, 'unexercisedValue': 0}",86400,2,9.77,9.65,9.65,9.65,9.77,9.65,9.65,9.65,0.67,0.0633,1690934400,0.3199,0.490615,5.0260415,5.1604276,3800,3800,638,540,540,0.0,0.0,0,0,811564992,8.45,10.5,3.1023126,9.8748,9.90545,0.44,0.04503582,USD,1080065024,0.60627,84100000,0.20167999,0.03305,32.925,0.29309034,1672444800,1703980800,1688083200,158600000,1.92,1.87,4.129,PNK,EQUITY,TGONF,TGONF,TETRAGON FINANCIAL GROUP LIMITE,Tetragon Financial Group Limited,1194010200,America/New_York,EDT,-14400000,9.65,none,31500000,0.375,300000000,3.17,3.451,261600000,10.834,2.905,0.0364,0.05827,61700000,130212496,-53000000,1.0,0.0,0.67164004,USD,
