,address1,city,state,zip,country,phone,fax,website,industry,sector,longBusinessSummary,fullTimeEmployees,companyOfficers,auditRisk,boardRisk,compensationRisk,shareHolderRightsRisk,overallRisk,governanceEpochDate,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,dividendRate,dividendYield,exDividendDate,payoutRatio,beta,trailingPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,heldPercentInsiders,heldPercentInstitutions,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,earningsQuarterlyGrowth,netIncomeToCommon,trailingEps,enterpriseToRevenue,enterpriseToEbitda,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,recommendationKey,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,freeCashflow,operatingCashflow,earningsGrowth,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,14903-137 Avenue NW,Edmonton,AB,T5V 1R9,Canada,780 453 5218,780 455 6676,https://www.k-brolinen.com,Specialty Business Services,Industrials,"K-Bro Linen Inc., together with its subsidiaries, provides laundry and linen services to healthcare institutions, hotels, and other commercial organizations in Canada and the United Kingdom. Its services include processing, management, and distribution of general and operating room linens, such as sheets, blankets, towels, surgical gowns, tablecloths, and drapes and other linens. The company also offers other services, including bulk dock-to-dock, exchange cart preparation, cart delivery, surgical linen, distribution and control of employee uniforms, personal clothing, customer reporting, customer service visiting, and textile procurement services. In addition, it provides linen rental, workwear hire, and cleanroom garment services. K-Bro Linen Inc. was founded in 1954 and is headquartered in Edmonton, Canada.",2820,"{'maxAge': 1, 'name': 'Ms. Linda Jane McCurdy M.B.A., MBA', 'age': 54, 'title': 'Pres, CEO & Director', 'yearBorn': 1968, 'fiscalYear': 2022, 'totalPay': 969491, 'exercisedValue': 0, 'unexercisedValue': 0}",4,2,4,5,4,1693526400,1672444800,86400,2,24.84,24.8383,24.8383,24.84,24.84,24.8383,24.8383,24.84,0.89,0.0358,1693353600,1.3792999,1.097281,38.8125,300,300,13,33,33,267444832,19.7729,25.5,0.9040582,24.8722,21.7905,1.2,0.04830918,USD,379116192,0.03187,8762994,10766700,0.01061,0.29225,16.458,1.5092964,1672444800,1703980800,1688083200,1.903,9427000,0.64,1.282,8.451,PNK,EQUITY,KBRLF,KBRLF,K BRO LINEN INC,K-Bro Linen Inc.,1364909400,America/New_York,EDT,-14400000,24.84,none,1623000,0.152,44858000,115982000,1.057,1.929,295827008,66.024,27.678,0.034679998,0.053400002,89220000,12064000,23009000,1.887,0.139,0.33698002,0.15164,0.06343,CAD,
1,14903-137 Avenue NW,Edmonton,AB,T5V 1R9,Canada,780 453 5218,780 455 6676,https://www.k-brolinen.com,Specialty Business Services,Industrials,"K-Bro Linen Inc., together with its subsidiaries, provides laundry and linen services to healthcare institutions, hotels, and other commercial organizations in Canada and the United Kingdom. Its services include processing, management, and distribution of general and operating room linens, such as sheets, blankets, towels, surgical gowns, tablecloths, and drapes and other linens. The company also offers other services, including bulk dock-to-dock, exchange cart preparation, cart delivery, surgical linen, distribution and control of employee uniforms, personal clothing, customer reporting, customer service visiting, and textile procurement services. In addition, it provides linen rental, workwear hire, and cleanroom garment services. K-Bro Linen Inc. was founded in 1954 and is headquartered in Edmonton, Canada.",2820,"{'maxAge': 1, 'name': 'Ms. Kristie L. Plaquin C.A., CPA, CPA, CA', 'title': 'Chief Financial Officer', 'fiscalYear': 2022, 'totalPay': 284636, 'exercisedValue': 0, 'unexercisedValue': 0}",4,2,4,5,4,1693526400,1672444800,86400,2,24.84,24.8383,24.8383,24.84,24.84,24.8383,24.8383,24.84,0.89,0.0358,1693353600,1.3792999,1.097281,38.8125,300,300,13,33,33,267444832,19.7729,25.5,0.9040582,24.8722,21.7905,1.2,0.04830918,USD,379116192,0.03187,8762994,10766700,0.01061,0.29225,16.458,1.5092964,1672444800,1703980800,1688083200,1.903,9427000,0.64,1.282,8.451,PNK,EQUITY,KBRLF,KBRLF,K BRO LINEN INC,K-Bro Linen Inc.,1364909400,America/New_York,EDT,-14400000,24.84,none,1623000,0.152,44858000,115982000,1.057,1.929,295827008,66.024,27.678,0.034679998,0.053400002,89220000,12064000,23009000,1.887,0.139,0.33698002,0.15164,0.06343,CAD,
2,14903-137 Avenue NW,Edmonton,AB,T5V 1R9,Canada,780 453 5218,780 455 6676,https://www.k-brolinen.com,Specialty Business Services,Industrials,"K-Bro Linen Inc., together with its subsidiaries, provides laundry and linen services to healthcare institutions, hotels, and other commercial organizations in Canada and the United Kingdom. Its services include processing, management, and distribution of general and operating room linens, such as sheets, blankets, towels, surgical gowns, tablecloths, and drapes and other linens. The company also offers other services, including bulk dock-to-dock, exchange cart preparation, cart delivery, surgical linen, distribution and control of employee uniforms, personal clothing, customer reporting, customer service visiting, and textile procurement services. In addition, it provides linen rental, workwear hire, and cleanroom garment services. K-Bro Linen Inc. was founded in 1954 and is headquartered in Edmonton, Canada.",2820,"{'maxAge': 1, 'name': 'Mr. Sean P. Curtis', 'title': 'Sr. VP, COO & GM', 'fiscalYear': 2022, 'totalPay': 454061, 'exercisedValue': 0, 'unexercisedValue': 0}",4,2,4,5,4,1693526400,1672444800,86400,2,24.84,24.8383,24.8383,24.84,24.84,24.8383,24.8383,24.84,0.89,0.0358,1693353600,1.3792999,1.097281,38.8125,300,300,13,33,33,267444832,19.7729,25.5,0.9040582,24.8722,21.7905,1.2,0.04830918,USD,379116192,0.03187,8762994,10766700,0.01061,0.29225,16.458,1.5092964,1672444800,1703980800,1688083200,1.903,9427000,0.64,1.282,8.451,PNK,EQUITY,KBRLF,KBRLF,K BRO LINEN INC,K-Bro Linen Inc.,1364909400,America/New_York,EDT,-14400000,24.84,none,1623000,0.152,44858000,115982000,1.057,1.929,295827008,66.024,27.678,0.034679998,0.053400002,89220000,12064000,23009000,1.887,0.139,0.33698002,0.15164,0.06343,CAD,
3,14903-137 Avenue NW,Edmonton,AB,T5V 1R9,Canada,780 453 5218,780 455 6676,https://www.k-brolinen.com,Specialty Business Services,Industrials,"K-Bro Linen Inc., together with its subsidiaries, provides laundry and linen services to healthcare institutions, hotels, and other commercial organizations in Canada and the United Kingdom. Its services include processing, management, and distribution of general and operating room linens, such as sheets, blankets, towels, surgical gowns, tablecloths, and drapes and other linens. The company also offers other services, including bulk dock-to-dock, exchange cart preparation, cart delivery, surgical linen, distribution and control of employee uniforms, personal clothing, customer reporting, customer service visiting, and textile procurement services. In addition, it provides linen rental, workwear hire, and cleanroom garment services. K-Bro Linen Inc. was founded in 1954 and is headquartered in Edmonton, Canada.",2820,"{'maxAge': 1, 'name': 'Mr. Ryo  Utahara', 'title': 'Exec. Director', 'fiscalYear': 2022, 'totalPay': 202847, 'exercisedValue': 0, 'unexercisedValue': 0}",4,2,4,5,4,1693526400,1672444800,86400,2,24.84,24.8383,24.8383,24.84,24.84,24.8383,24.8383,24.84,0.89,0.0358,1693353600,1.3792999,1.097281,38.8125,300,300,13,33,33,267444832,19.7729,25.5,0.9040582,24.8722,21.7905,1.2,0.04830918,USD,379116192,0.03187,8762994,10766700,0.01061,0.29225,16.458,1.5092964,1672444800,1703980800,1688083200,1.903,9427000,0.64,1.282,8.451,PNK,EQUITY,KBRLF,KBRLF,K BRO LINEN INC,K-Bro Linen Inc.,1364909400,America/New_York,EDT,-14400000,24.84,none,1623000,0.152,44858000,115982000,1.057,1.929,295827008,66.024,27.678,0.034679998,0.053400002,89220000,12064000,23009000,1.887,0.139,0.33698002,0.15164,0.06343,CAD,
4,14903-137 Avenue NW,Edmonton,AB,T5V 1R9,Canada,780 453 5218,780 455 6676,https://www.k-brolinen.com,Specialty Business Services,Industrials,"K-Bro Linen Inc., together with its subsidiaries, provides laundry and linen services to healthcare institutions, hotels, and other commercial organizations in Canada and the United Kingdom. Its services include processing, management, and distribution of general and operating room linens, such as sheets, blankets, towels, surgical gowns, tablecloths, and drapes and other linens. The company also offers other services, including bulk dock-to-dock, exchange cart preparation, cart delivery, surgical linen, distribution and control of employee uniforms, personal clothing, customer reporting, customer service visiting, and textile procurement services. In addition, it provides linen rental, workwear hire, and cleanroom garment services. K-Bro Linen Inc. was founded in 1954 and is headquartered in Edmonton, Canada.",2820,"{'maxAge': 1, 'name': 'Mr. Michael W. Jones', 'title': 'Managing Director of Fishers Services Limited', 'fiscalYear': 2022, 'totalPay': 278672, 'exercisedValue': 0, 'unexercisedValue': 0}",4,2,4,5,4,1693526400,1672444800,86400,2,24.84,24.8383,24.8383,24.84,24.84,24.8383,24.8383,24.84,0.89,0.0358,1693353600,1.3792999,1.097281,38.8125,300,300,13,33,33,267444832,19.7729,25.5,0.9040582,24.8722,21.7905,1.2,0.04830918,USD,379116192,0.03187,8762994,10766700,0.01061,0.29225,16.458,1.5092964,1672444800,1703980800,1688083200,1.903,9427000,0.64,1.282,8.451,PNK,EQUITY,KBRLF,KBRLF,K BRO LINEN INC,K-Bro Linen Inc.,1364909400,America/New_York,EDT,-14400000,24.84,none,1623000,0.152,44858000,115982000,1.057,1.929,295827008,66.024,27.678,0.034679998,0.053400002,89220000,12064000,23009000,1.887,0.139,0.33698002,0.15164,0.06343,CAD,
5,14903-137 Avenue NW,Edmonton,AB,T5V 1R9,Canada,780 453 5218,780 455 6676,https://www.k-brolinen.com,Specialty Business Services,Industrials,"K-Bro Linen Inc., together with its subsidiaries, provides laundry and linen services to healthcare institutions, hotels, and other commercial organizations in Canada and the United Kingdom. Its services include processing, management, and distribution of general and operating room linens, such as sheets, blankets, towels, surgical gowns, tablecloths, and drapes and other linens. The company also offers other services, including bulk dock-to-dock, exchange cart preparation, cart delivery, surgical linen, distribution and control of employee uniforms, personal clothing, customer reporting, customer service visiting, and textile procurement services. In addition, it provides linen rental, workwear hire, and cleanroom garment services. K-Bro Linen Inc. was founded in 1954 and is headquartered in Edmonton, Canada.",2820,"{'maxAge': 1, 'name': 'Mr. Timothy Douglas Bruns', 'title': 'Pres of Unitrin Specialty', 'exercisedValue': 0, 'unexercisedValue': 0}",4,2,4,5,4,1693526400,1672444800,86400,2,24.84,24.8383,24.8383,24.84,24.84,24.8383,24.8383,24.84,0.89,0.0358,1693353600,1.3792999,1.097281,38.8125,300,300,13,33,33,267444832,19.7729,25.5,0.9040582,24.8722,21.7905,1.2,0.04830918,USD,379116192,0.03187,8762994,10766700,0.01061,0.29225,16.458,1.5092964,1672444800,1703980800,1688083200,1.903,9427000,0.64,1.282,8.451,PNK,EQUITY,KBRLF,KBRLF,K BRO LINEN INC,K-Bro Linen Inc.,1364909400,America/New_York,EDT,-14400000,24.84,none,1623000,0.152,44858000,115982000,1.057,1.929,295827008,66.024,27.678,0.034679998,0.053400002,89220000,12064000,23009000,1.887,0.139,0.33698002,0.15164,0.06343,CAD,
6,14903-137 Avenue NW,Edmonton,AB,T5V 1R9,Canada,780 453 5218,780 455 6676,https://www.k-brolinen.com,Specialty Business Services,Industrials,"K-Bro Linen Inc., together with its subsidiaries, provides laundry and linen services to healthcare institutions, hotels, and other commercial organizations in Canada and the United Kingdom. Its services include processing, management, and distribution of general and operating room linens, such as sheets, blankets, towels, surgical gowns, tablecloths, and drapes and other linens. The company also offers other services, including bulk dock-to-dock, exchange cart preparation, cart delivery, surgical linen, distribution and control of employee uniforms, personal clothing, customer reporting, customer service visiting, and textile procurement services. In addition, it provides linen rental, workwear hire, and cleanroom garment services. K-Bro Linen Inc. was founded in 1954 and is headquartered in Edmonton, Canada.",2820,"{'maxAge': 1, 'name': 'Mr. Ronald J. Graham', 'title': 'Gen. Mang. of Vancouver Plant', 'fiscalYear': 2016, 'exercisedValue': 0, 'unexercisedValue': 0}",4,2,4,5,4,1693526400,1672444800,86400,2,24.84,24.8383,24.8383,24.84,24.84,24.8383,24.8383,24.84,0.89,0.0358,1693353600,1.3792999,1.097281,38.8125,300,300,13,33,33,267444832,19.7729,25.5,0.9040582,24.8722,21.7905,1.2,0.04830918,USD,379116192,0.03187,8762994,10766700,0.01061,0.29225,16.458,1.5092964,1672444800,1703980800,1688083200,1.903,9427000,0.64,1.282,8.451,PNK,EQUITY,KBRLF,KBRLF,K BRO LINEN INC,K-Bro Linen Inc.,1364909400,America/New_York,EDT,-14400000,24.84,none,1623000,0.152,44858000,115982000,1.057,1.929,295827008,66.024,27.678,0.034679998,0.053400002,89220000,12064000,23009000,1.887,0.139,0.33698002,0.15164,0.06343,CAD,
7,14903-137 Avenue NW,Edmonton,AB,T5V 1R9,Canada,780 453 5218,780 455 6676,https://www.k-brolinen.com,Specialty Business Services,Industrials,"K-Bro Linen Inc., together with its subsidiaries, provides laundry and linen services to healthcare institutions, hotels, and other commercial organizations in Canada and the United Kingdom. Its services include processing, management, and distribution of general and operating room linens, such as sheets, blankets, towels, surgical gowns, tablecloths, and drapes and other linens. The company also offers other services, including bulk dock-to-dock, exchange cart preparation, cart delivery, surgical linen, distribution and control of employee uniforms, personal clothing, customer reporting, customer service visiting, and textile procurement services. In addition, it provides linen rental, workwear hire, and cleanroom garment services. K-Bro Linen Inc. was founded in 1954 and is headquartered in Edmonton, Canada.",2820,"{'maxAge': 1, 'name': 'Mr. Jeffrey R. Gannon', 'title': 'Gen. Mang. of Calgary Plant', 'fiscalYear': 2015, 'exercisedValue': 0, 'unexercisedValue': 0}",4,2,4,5,4,1693526400,1672444800,86400,2,24.84,24.8383,24.8383,24.84,24.84,24.8383,24.8383,24.84,0.89,0.0358,1693353600,1.3792999,1.097281,38.8125,300,300,13,33,33,267444832,19.7729,25.5,0.9040582,24.8722,21.7905,1.2,0.04830918,USD,379116192,0.03187,8762994,10766700,0.01061,0.29225,16.458,1.5092964,1672444800,1703980800,1688083200,1.903,9427000,0.64,1.282,8.451,PNK,EQUITY,KBRLF,KBRLF,K BRO LINEN INC,K-Bro Linen Inc.,1364909400,America/New_York,EDT,-14400000,24.84,none,1623000,0.152,44858000,115982000,1.057,1.929,295827008,66.024,27.678,0.034679998,0.053400002,89220000,12064000,23009000,1.887,0.139,0.33698002,0.15164,0.06343,CAD,
8,14903-137 Avenue NW,Edmonton,AB,T5V 1R9,Canada,780 453 5218,780 455 6676,https://www.k-brolinen.com,Specialty Business Services,Industrials,"K-Bro Linen Inc., together with its subsidiaries, provides laundry and linen services to healthcare institutions, hotels, and other commercial organizations in Canada and the United Kingdom. Its services include processing, management, and distribution of general and operating room linens, such as sheets, blankets, towels, surgical gowns, tablecloths, and drapes and other linens. The company also offers other services, including bulk dock-to-dock, exchange cart preparation, cart delivery, surgical linen, distribution and control of employee uniforms, personal clothing, customer reporting, customer service visiting, and textile procurement services. In addition, it provides linen rental, workwear hire, and cleanroom garment services. K-Bro Linen Inc. was founded in 1954 and is headquartered in Edmonton, Canada.",2820,"{'maxAge': 1, 'name': 'Mr. Kevin J. Stephenson', 'title': 'Gen. Mang. of Toronto', 'fiscalYear': 2019, 'exercisedValue': 0, 'unexercisedValue': 0}",4,2,4,5,4,1693526400,1672444800,86400,2,24.84,24.8383,24.8383,24.84,24.84,24.8383,24.8383,24.84,0.89,0.0358,1693353600,1.3792999,1.097281,38.8125,300,300,13,33,33,267444832,19.7729,25.5,0.9040582,24.8722,21.7905,1.2,0.04830918,USD,379116192,0.03187,8762994,10766700,0.01061,0.29225,16.458,1.5092964,1672444800,1703980800,1688083200,1.903,9427000,0.64,1.282,8.451,PNK,EQUITY,KBRLF,KBRLF,K BRO LINEN INC,K-Bro Linen Inc.,1364909400,America/New_York,EDT,-14400000,24.84,none,1623000,0.152,44858000,115982000,1.057,1.929,295827008,66.024,27.678,0.034679998,0.053400002,89220000,12064000,23009000,1.887,0.139,0.33698002,0.15164,0.06343,CAD,
9,14903-137 Avenue NW,Edmonton,AB,T5V 1R9,Canada,780 453 5218,780 455 6676,https://www.k-brolinen.com,Specialty Business Services,Industrials,"K-Bro Linen Inc., together with its subsidiaries, provides laundry and linen services to healthcare institutions, hotels, and other commercial organizations in Canada and the United Kingdom. Its services include processing, management, and distribution of general and operating room linens, such as sheets, blankets, towels, surgical gowns, tablecloths, and drapes and other linens. The company also offers other services, including bulk dock-to-dock, exchange cart preparation, cart delivery, surgical linen, distribution and control of employee uniforms, personal clothing, customer reporting, customer service visiting, and textile procurement services. In addition, it provides linen rental, workwear hire, and cleanroom garment services. K-Bro Linen Inc. was founded in 1954 and is headquartered in Edmonton, Canada.",2820,"{'maxAge': 1, 'name': 'Mr. Ronald Edward Greco FCAS, MAAA', 'title': 'VP & Corp. Actuary of Unitrin Services Company', 'exercisedValue': 0, 'unexercisedValue': 0}",4,2,4,5,4,1693526400,1672444800,86400,2,24.84,24.8383,24.8383,24.84,24.84,24.8383,24.8383,24.84,0.89,0.0358,1693353600,1.3792999,1.097281,38.8125,300,300,13,33,33,267444832,19.7729,25.5,0.9040582,24.8722,21.7905,1.2,0.04830918,USD,379116192,0.03187,8762994,10766700,0.01061,0.29225,16.458,1.5092964,1672444800,1703980800,1688083200,1.903,9427000,0.64,1.282,8.451,PNK,EQUITY,KBRLF,KBRLF,K BRO LINEN INC,K-Bro Linen Inc.,1364909400,America/New_York,EDT,-14400000,24.84,none,1623000,0.152,44858000,115982000,1.057,1.929,295827008,66.024,27.678,0.034679998,0.053400002,89220000,12064000,23009000,1.887,0.139,0.33698002,0.15164,0.06343,CAD,
