,address1,city,state,zip,country,phone,website,industry,sector,longBusinessSummary,companyOfficers,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,dividendRate,dividendYield,exDividendDate,payoutRatio,fiveYearAvgDividendYield,beta,trailingPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,sharesOutstanding,sharesShort,sharesShortPriorMonth,sharesShortPreviousMonthDate,dateShortInterest,sharesPercentSharesOut,heldPercentInsiders,heldPercentInstitutions,shortRatio,shortPercentOfFloat,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,netIncomeToCommon,trailingEps,enterpriseToRevenue,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,recommendationKey,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,333 West Wacker Drive,Chicago,IL,60606-1220,United States,312 917 7700,https://www.nuveen.com/CEF/Product/Overview.aspx?FundCode=NMI&refsrc=vu_nuveen.com/nmi,Asset Management,Financial Services,"Nuveen Municipal Income Fund, Inc. is a closed ended fixed income mutual fund launched by Nuveen Investments Inc. The fund is co-managed by Nuveen Fund Advisors LLC and Nuveen Asset Management, LLC. It invests in the fixed income markets of the United States. The fund primarily invests in municipal obligations issued by state and local government authorities. Its investment portfolio comprises investment in companies operating in various industries, including healthcare, materials, education and civic organizations, and consumer staples. Nuveen Municipal Income Fund was formed on April 20, 1988 and is based in the United States.","{'maxAge': 1, 'name': 'Mr. Johnathan N. Wilhelm J.D.', 'title': 'Portfolio Mang.', 'exercisedValue': 0, 'unexercisedValue': 0}",86400,2,9.08,9.09,9.03,9.1099,9.08,9.09,9.03,9.1099,0.38,0.0419,1694649600,6.96,3.68,0.169778,180.59999,8142,8142,16411,14950,14950,9.03,9.11,1800,900,90761432,8.45,10.61,20.60185,9.3714,9.42545,0.344,0.037885465,USD,90901648,0.13904001,10051100,6787,39702,1690761600,1693440000,0.0007,0.0,0.16791001,0.36,0.0007,9.843,0.91740316,1667174400,1698710400,1682812800,612551,0.05,20.634,NYQ,EQUITY,NMI,NMI,"Nuveen Municipal Income Fund, I","Nuveen Municipal Income Fund, Inc.",578755800,America/New_York,EDT,-14400000,9.03,none,140258,3.103,3.103,4405499,0.142,0.438,0.02273,0.00611,4195840,0.103,1.0,0.0,0.83698,USD,
1,333 West Wacker Drive,Chicago,IL,60606-1220,United States,312 917 7700,https://www.nuveen.com/CEF/Product/Overview.aspx?FundCode=NMI&refsrc=vu_nuveen.com/nmi,Asset Management,Financial Services,"Nuveen Municipal Income Fund, Inc. is a closed ended fixed income mutual fund launched by Nuveen Investments Inc. The fund is co-managed by Nuveen Fund Advisors LLC and Nuveen Asset Management, LLC. It invests in the fixed income markets of the United States. The fund primarily invests in municipal obligations issued by state and local government authorities. Its investment portfolio comprises investment in companies operating in various industries, including healthcare, materials, education and civic organizations, and consumer staples. Nuveen Municipal Income Fund was formed on April 20, 1988 and is based in the United States.","{'maxAge': 1, 'name': 'Mr. Christopher L. Drahn C.F.A., CFA', 'title': 'Portfolio Mang.', 'exercisedValue': 0, 'unexercisedValue': 0}",86400,2,9.08,9.09,9.03,9.1099,9.08,9.09,9.03,9.1099,0.38,0.0419,1694649600,6.96,3.68,0.169778,180.59999,8142,8142,16411,14950,14950,9.03,9.11,1800,900,90761432,8.45,10.61,20.60185,9.3714,9.42545,0.344,0.037885465,USD,90901648,0.13904001,10051100,6787,39702,1690761600,1693440000,0.0007,0.0,0.16791001,0.36,0.0007,9.843,0.91740316,1667174400,1698710400,1682812800,612551,0.05,20.634,NYQ,EQUITY,NMI,NMI,"Nuveen Municipal Income Fund, I","Nuveen Municipal Income Fund, Inc.",578755800,America/New_York,EDT,-14400000,9.03,none,140258,3.103,3.103,4405499,0.142,0.438,0.02273,0.00611,4195840,0.103,1.0,0.0,0.83698,USD,
