,address1,address2,city,state,zip,country,phone,fax,website,industry,sector,longBusinessSummary,fullTimeEmployees,companyOfficers,auditRisk,boardRisk,compensationRisk,shareHolderRightsRisk,overallRisk,governanceEpochDate,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,exDividendDate,payoutRatio,beta,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,sharesShort,sharesShortPriorMonth,sharesShortPreviousMonthDate,dateShortInterest,sharesPercentSharesOut,heldPercentInsiders,heldPercentInstitutions,shortRatio,shortPercentOfFloat,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,netIncomeToCommon,trailingEps,lastSplitFactor,lastSplitDate,enterpriseToRevenue,enterpriseToEbitda,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,recommendationKey,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,freeCashflow,operatingCashflow,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,212 Lavaca Street,Suite 300,Austin,TX,78701,United States,512 478 5788,512 478 6340,https://www.stratusproperties.com,Real Estate—Diversified,Real Estate,"Stratus Properties Inc., a real estate company, engages in the acquisition, entitlement, development, management, and sale of commercial, and multi-and single-family residential real estate properties in Texas. The company operates through two segments, Real Estate Operations and Leasing Operations. Its leasing operations cover lease of space at retail and mixed-use, and multi-family properties. Stratus Properties Inc. was incorporated in 1992 and is headquartered in Austin, Texas.",31,"{'maxAge': 1, 'name': 'Mr. William H. Armstrong III', 'age': 57, 'title': 'Chairman, Pres & CEO', 'yearBorn': 1965, 'fiscalYear': 2022, 'totalPay': 3237054, 'exercisedValue': 0, 'unexercisedValue': 0}",3,6,10,8,8,1693526400,1672444800,86400,2,27.75,27.59,27.59,28.56,27.75,27.59,27.59,28.56,1663286400,0.0,1.178769,11514,11514,9833,11580,11580,11.1,44.4,1000,1300,228400592,18.51,30.57,7.0048637,27.46,23.17845,0.0,0.0,USD,442329472,-0.60016996,5473134,7997220,89828,116564,1690761600,1693440000,0.0112,0.1851,0.53845,12.35,0.02,24.322,1.1742455,1672444800,1703980800,1688083200,-20089000,-2.51,1:2,991094400,13.566,-27.175,NMS,EQUITY,STRS,STRS,Stratus Properties Inc.,Stratus Properties Inc.,709997400,America/New_York,EDT,-14400000,28.56,none,44145000,5.52,-16277000,153728992,0.64,5.301,32606000,51.387,3.972,-0.02577,-0.06866,-118248496,-38373000,-0.683,0.10639,-0.4992,-0.61351,USD,
1,212 Lavaca Street,Suite 300,Austin,TX,78701,United States,512 478 5788,512 478 6340,https://www.stratusproperties.com,Real Estate—Diversified,Real Estate,"Stratus Properties Inc., a real estate company, engages in the acquisition, entitlement, development, management, and sale of commercial, and multi-and single-family residential real estate properties in Texas. The company operates through two segments, Real Estate Operations and Leasing Operations. Its leasing operations cover lease of space at retail and mixed-use, and multi-family properties. Stratus Properties Inc. was incorporated in 1992 and is headquartered in Austin, Texas.",31,"{'maxAge': 1, 'name': 'Ms. Erin Davis Pickens', 'age': 60, 'title': 'Sr. VP & CFO', 'yearBorn': 1962, 'fiscalYear': 2022, 'totalPay': 943045, 'exercisedValue': 0, 'unexercisedValue': 0}",3,6,10,8,8,1693526400,1672444800,86400,2,27.75,27.59,27.59,28.56,27.75,27.59,27.59,28.56,1663286400,0.0,1.178769,11514,11514,9833,11580,11580,11.1,44.4,1000,1300,228400592,18.51,30.57,7.0048637,27.46,23.17845,0.0,0.0,USD,442329472,-0.60016996,5473134,7997220,89828,116564,1690761600,1693440000,0.0112,0.1851,0.53845,12.35,0.02,24.322,1.1742455,1672444800,1703980800,1688083200,-20089000,-2.51,1:2,991094400,13.566,-27.175,NMS,EQUITY,STRS,STRS,Stratus Properties Inc.,Stratus Properties Inc.,709997400,America/New_York,EDT,-14400000,28.56,none,44145000,5.52,-16277000,153728992,0.64,5.301,32606000,51.387,3.972,-0.02577,-0.06866,-118248496,-38373000,-0.683,0.10639,-0.4992,-0.61351,USD,
2,212 Lavaca Street,Suite 300,Austin,TX,78701,United States,512 478 5788,512 478 6340,https://www.stratusproperties.com,Real Estate—Diversified,Real Estate,"Stratus Properties Inc., a real estate company, engages in the acquisition, entitlement, development, management, and sale of commercial, and multi-and single-family residential real estate properties in Texas. The company operates through two segments, Real Estate Operations and Leasing Operations. Its leasing operations cover lease of space at retail and mixed-use, and multi-family properties. Stratus Properties Inc. was incorporated in 1992 and is headquartered in Austin, Texas.",31,"{'maxAge': 1, 'name': 'Mr. Kenneth N. Jones', 'age': 62, 'title': 'Gen. Counsel & Sec.', 'yearBorn': 1960, 'exercisedValue': 0, 'unexercisedValue': 0}",3,6,10,8,8,1693526400,1672444800,86400,2,27.75,27.59,27.59,28.56,27.75,27.59,27.59,28.56,1663286400,0.0,1.178769,11514,11514,9833,11580,11580,11.1,44.4,1000,1300,228400592,18.51,30.57,7.0048637,27.46,23.17845,0.0,0.0,USD,442329472,-0.60016996,5473134,7997220,89828,116564,1690761600,1693440000,0.0112,0.1851,0.53845,12.35,0.02,24.322,1.1742455,1672444800,1703980800,1688083200,-20089000,-2.51,1:2,991094400,13.566,-27.175,NMS,EQUITY,STRS,STRS,Stratus Properties Inc.,Stratus Properties Inc.,709997400,America/New_York,EDT,-14400000,28.56,none,44145000,5.52,-16277000,153728992,0.64,5.301,32606000,51.387,3.972,-0.02577,-0.06866,-118248496,-38373000,-0.683,0.10639,-0.4992,-0.61351,USD,
