,address1,address2,city,state,zip,country,phone,website,industry,sector,longBusinessSummary,companyOfficers,auditRisk,boardRisk,compensationRisk,shareHolderRightsRisk,overallRisk,governanceEpochDate,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,dividendRate,dividendYield,exDividendDate,payoutRatio,fiveYearAvgDividendYield,beta,trailingPE,forwardPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,sharesShort,sharesShortPriorMonth,sharesShortPreviousMonthDate,dateShortInterest,sharesPercentSharesOut,heldPercentInsiders,heldPercentInstitutions,shortRatio,shortPercentOfFloat,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,earningsQuarterlyGrowth,netIncomeToCommon,trailingEps,forwardEps,pegRatio,lastSplitFactor,lastSplitDate,enterpriseToRevenue,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,recommendationMean,recommendationKey,numberOfAnalystOpinions,totalCash,totalCashPerShare,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,operatingCashflow,earningsGrowth,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,345 Park Avenue,24th Floor,New York,NY,10154,United States,212 655 0220,https://www.blackstonemortgagetrust.com,REIT—Mortgage,Real Estate,"Blackstone Mortgage Trust, Inc., a real estate finance company, originates senior loans collateralized by commercial properties in North America, Europe, and Australia. The company, together with its subsidiaries, originates and acquires commercial mortgage loans and related investments. It operates as a real estate investment trust for federal income tax purposes. The company was formerly known as Capital Trust, Inc. and changed its name to Blackstone Mortgage Trust, Inc. in May 2013. Blackstone Mortgage Trust, Inc. was incorporated in 1998 and is headquartered in New York, New York.","{'maxAge': 1, 'name': 'Mr. Michael B. Nash', 'age': 61, 'title': 'Exec. Chairman', 'yearBorn': 1961, 'fiscalYear': 2022, 'totalPay': 0, 'exercisedValue': 0, 'unexercisedValue': 0}",6,7,6,6,6,1693526400,1672444800,86400,2,23.0,23.0,22.86,23.67,23.0,23.0,22.86,23.67,2.48,0.1078,1687996800,1.5597,8.9,1.403526,14.735849,9.22441,28507698,28507698,2818261,6815720,6815720,23.46,23.58,900,2200,4037270272,16.61,29.13,8.774672,22.2194,20.8368,2.48,0.10782609,USD,23557560320,0.59793997,172457666,172312000,20625910,22984062,1690761600,1693440000,0.1197,0.01163,0.54754,12.67,0.120699994,26.075,0.89856184,1672444800,1703980800,1688083200,0.09,275112992,1.59,2.54,3.62,1:10,1367884800,51.2,NYQ,EQUITY,BXMT,BXMT,"Blackstone Mortgage Trust, Inc.","Blackstone Mortgage Trust, Inc.",346948200,America/New_York,EDT,-14400000,23.43,25.0,21.0,23.07,23.0,2.4,buy,7,495544992,2.846,20022401024,103.159,103.199,460104992,438.493,2.676,0.01105,0.06024,416545000,451296000,0.085,0.115,1.0,0.0,0.61549,USD,
1,345 Park Avenue,24th Floor,New York,NY,10154,United States,212 655 0220,https://www.blackstonemortgagetrust.com,REIT—Mortgage,Real Estate,"Blackstone Mortgage Trust, Inc., a real estate finance company, originates senior loans collateralized by commercial properties in North America, Europe, and Australia. The company, together with its subsidiaries, originates and acquires commercial mortgage loans and related investments. It operates as a real estate investment trust for federal income tax purposes. The company was formerly known as Capital Trust, Inc. and changed its name to Blackstone Mortgage Trust, Inc. in May 2013. Blackstone Mortgage Trust, Inc. was incorporated in 1998 and is headquartered in New York, New York.","{'maxAge': 1, 'name': 'Ms. Katharine A. Keenan', 'age': 37, 'title': 'CEO, Pres & Director', 'yearBorn': 1985, 'fiscalYear': 2022, 'totalPay': 0, 'exercisedValue': 0, 'unexercisedValue': 0}",6,7,6,6,6,1693526400,1672444800,86400,2,23.0,23.0,22.86,23.67,23.0,23.0,22.86,23.67,2.48,0.1078,1687996800,1.5597,8.9,1.403526,14.735849,9.22441,28507698,28507698,2818261,6815720,6815720,23.46,23.58,900,2200,4037270272,16.61,29.13,8.774672,22.2194,20.8368,2.48,0.10782609,USD,23557560320,0.59793997,172457666,172312000,20625910,22984062,1690761600,1693440000,0.1197,0.01163,0.54754,12.67,0.120699994,26.075,0.89856184,1672444800,1703980800,1688083200,0.09,275112992,1.59,2.54,3.62,1:10,1367884800,51.2,NYQ,EQUITY,BXMT,BXMT,"Blackstone Mortgage Trust, Inc.","Blackstone Mortgage Trust, Inc.",346948200,America/New_York,EDT,-14400000,23.43,25.0,21.0,23.07,23.0,2.4,buy,7,495544992,2.846,20022401024,103.159,103.199,460104992,438.493,2.676,0.01105,0.06024,416545000,451296000,0.085,0.115,1.0,0.0,0.61549,USD,
2,345 Park Avenue,24th Floor,New York,NY,10154,United States,212 655 0220,https://www.blackstonemortgagetrust.com,REIT—Mortgage,Real Estate,"Blackstone Mortgage Trust, Inc., a real estate finance company, originates senior loans collateralized by commercial properties in North America, Europe, and Australia. The company, together with its subsidiaries, originates and acquires commercial mortgage loans and related investments. It operates as a real estate investment trust for federal income tax purposes. The company was formerly known as Capital Trust, Inc. and changed its name to Blackstone Mortgage Trust, Inc. in May 2013. Blackstone Mortgage Trust, Inc. was incorporated in 1998 and is headquartered in New York, New York.","{'maxAge': 1, 'name': 'Mr. Anthony Francis Marone Jr., CPA', 'age': 39, 'title': 'CFO, Treasurer & Assistant Sec.', 'yearBorn': 1983, 'exercisedValue': 0, 'unexercisedValue': 0}",6,7,6,6,6,1693526400,1672444800,86400,2,23.0,23.0,22.86,23.67,23.0,23.0,22.86,23.67,2.48,0.1078,1687996800,1.5597,8.9,1.403526,14.735849,9.22441,28507698,28507698,2818261,6815720,6815720,23.46,23.58,900,2200,4037270272,16.61,29.13,8.774672,22.2194,20.8368,2.48,0.10782609,USD,23557560320,0.59793997,172457666,172312000,20625910,22984062,1690761600,1693440000,0.1197,0.01163,0.54754,12.67,0.120699994,26.075,0.89856184,1672444800,1703980800,1688083200,0.09,275112992,1.59,2.54,3.62,1:10,1367884800,51.2,NYQ,EQUITY,BXMT,BXMT,"Blackstone Mortgage Trust, Inc.","Blackstone Mortgage Trust, Inc.",346948200,America/New_York,EDT,-14400000,23.43,25.0,21.0,23.07,23.0,2.4,buy,7,495544992,2.846,20022401024,103.159,103.199,460104992,438.493,2.676,0.01105,0.06024,416545000,451296000,0.085,0.115,1.0,0.0,0.61549,USD,
3,345 Park Avenue,24th Floor,New York,NY,10154,United States,212 655 0220,https://www.blackstonemortgagetrust.com,REIT—Mortgage,Real Estate,"Blackstone Mortgage Trust, Inc., a real estate finance company, originates senior loans collateralized by commercial properties in North America, Europe, and Australia. The company, together with its subsidiaries, originates and acquires commercial mortgage loans and related investments. It operates as a real estate investment trust for federal income tax purposes. The company was formerly known as Capital Trust, Inc. and changed its name to Blackstone Mortgage Trust, Inc. in May 2013. Blackstone Mortgage Trust, Inc. was incorporated in 1998 and is headquartered in New York, New York.","{'maxAge': 1, 'name': 'Mr. Jonathan Lee Pollack', 'age': 45, 'title': 'Sr. MD, Global Head of Blackstone Structured Fin. & Director', 'yearBorn': 1977, 'fiscalYear': 2022, 'totalPay': 0, 'exercisedValue': 0, 'unexercisedValue': 0}",6,7,6,6,6,1693526400,1672444800,86400,2,23.0,23.0,22.86,23.67,23.0,23.0,22.86,23.67,2.48,0.1078,1687996800,1.5597,8.9,1.403526,14.735849,9.22441,28507698,28507698,2818261,6815720,6815720,23.46,23.58,900,2200,4037270272,16.61,29.13,8.774672,22.2194,20.8368,2.48,0.10782609,USD,23557560320,0.59793997,172457666,172312000,20625910,22984062,1690761600,1693440000,0.1197,0.01163,0.54754,12.67,0.120699994,26.075,0.89856184,1672444800,1703980800,1688083200,0.09,275112992,1.59,2.54,3.62,1:10,1367884800,51.2,NYQ,EQUITY,BXMT,BXMT,"Blackstone Mortgage Trust, Inc.","Blackstone Mortgage Trust, Inc.",346948200,America/New_York,EDT,-14400000,23.43,25.0,21.0,23.07,23.0,2.4,buy,7,495544992,2.846,20022401024,103.159,103.199,460104992,438.493,2.676,0.01105,0.06024,416545000,451296000,0.085,0.115,1.0,0.0,0.61549,USD,
4,345 Park Avenue,24th Floor,New York,NY,10154,United States,212 655 0220,https://www.blackstonemortgagetrust.com,REIT—Mortgage,Real Estate,"Blackstone Mortgage Trust, Inc., a real estate finance company, originates senior loans collateralized by commercial properties in North America, Europe, and Australia. The company, together with its subsidiaries, originates and acquires commercial mortgage loans and related investments. It operates as a real estate investment trust for federal income tax purposes. The company was formerly known as Capital Trust, Inc. and changed its name to Blackstone Mortgage Trust, Inc. in May 2013. Blackstone Mortgage Trust, Inc. was incorporated in 1998 and is headquartered in New York, New York.","{'maxAge': 1, 'name': 'Mr. Jonathan D. Gray CIMA', 'age': 53, 'title': 'BX Pres, COO & Sr. MD', 'yearBorn': 1969, 'exercisedValue': 0, 'unexercisedValue': 0}",6,7,6,6,6,1693526400,1672444800,86400,2,23.0,23.0,22.86,23.67,23.0,23.0,22.86,23.67,2.48,0.1078,1687996800,1.5597,8.9,1.403526,14.735849,9.22441,28507698,28507698,2818261,6815720,6815720,23.46,23.58,900,2200,4037270272,16.61,29.13,8.774672,22.2194,20.8368,2.48,0.10782609,USD,23557560320,0.59793997,172457666,172312000,20625910,22984062,1690761600,1693440000,0.1197,0.01163,0.54754,12.67,0.120699994,26.075,0.89856184,1672444800,1703980800,1688083200,0.09,275112992,1.59,2.54,3.62,1:10,1367884800,51.2,NYQ,EQUITY,BXMT,BXMT,"Blackstone Mortgage Trust, Inc.","Blackstone Mortgage Trust, Inc.",346948200,America/New_York,EDT,-14400000,23.43,25.0,21.0,23.07,23.0,2.4,buy,7,495544992,2.846,20022401024,103.159,103.199,460104992,438.493,2.676,0.01105,0.06024,416545000,451296000,0.085,0.115,1.0,0.0,0.61549,USD,
5,345 Park Avenue,24th Floor,New York,NY,10154,United States,212 655 0220,https://www.blackstonemortgagetrust.com,REIT—Mortgage,Real Estate,"Blackstone Mortgage Trust, Inc., a real estate finance company, originates senior loans collateralized by commercial properties in North America, Europe, and Australia. The company, together with its subsidiaries, originates and acquires commercial mortgage loans and related investments. It operates as a real estate investment trust for federal income tax purposes. The company was formerly known as Capital Trust, Inc. and changed its name to Blackstone Mortgage Trust, Inc. in May 2013. Blackstone Mortgage Trust, Inc. was incorporated in 1998 and is headquartered in New York, New York.","{'maxAge': 1, 'name': 'Mr. Austin  Pena', 'age': 36, 'title': 'Exec. VP of Investments & MD', 'yearBorn': 1986, 'exercisedValue': 0, 'unexercisedValue': 0}",6,7,6,6,6,1693526400,1672444800,86400,2,23.0,23.0,22.86,23.67,23.0,23.0,22.86,23.67,2.48,0.1078,1687996800,1.5597,8.9,1.403526,14.735849,9.22441,28507698,28507698,2818261,6815720,6815720,23.46,23.58,900,2200,4037270272,16.61,29.13,8.774672,22.2194,20.8368,2.48,0.10782609,USD,23557560320,0.59793997,172457666,172312000,20625910,22984062,1690761600,1693440000,0.1197,0.01163,0.54754,12.67,0.120699994,26.075,0.89856184,1672444800,1703980800,1688083200,0.09,275112992,1.59,2.54,3.62,1:10,1367884800,51.2,NYQ,EQUITY,BXMT,BXMT,"Blackstone Mortgage Trust, Inc.","Blackstone Mortgage Trust, Inc.",346948200,America/New_York,EDT,-14400000,23.43,25.0,21.0,23.07,23.0,2.4,buy,7,495544992,2.846,20022401024,103.159,103.199,460104992,438.493,2.676,0.01105,0.06024,416545000,451296000,0.085,0.115,1.0,0.0,0.61549,USD,
6,345 Park Avenue,24th Floor,New York,NY,10154,United States,212 655 0220,https://www.blackstonemortgagetrust.com,REIT—Mortgage,Real Estate,"Blackstone Mortgage Trust, Inc., a real estate finance company, originates senior loans collateralized by commercial properties in North America, Europe, and Australia. The company, together with its subsidiaries, originates and acquires commercial mortgage loans and related investments. It operates as a real estate investment trust for federal income tax purposes. The company was formerly known as Capital Trust, Inc. and changed its name to Blackstone Mortgage Trust, Inc. in May 2013. Blackstone Mortgage Trust, Inc. was incorporated in 1998 and is headquartered in New York, New York.","{'maxAge': 1, 'name': 'Mr. Paul  Kolodziej', 'age': 42, 'title': 'Head of Accounting', 'yearBorn': 1980, 'exercisedValue': 0, 'unexercisedValue': 0}",6,7,6,6,6,1693526400,1672444800,86400,2,23.0,23.0,22.86,23.67,23.0,23.0,22.86,23.67,2.48,0.1078,1687996800,1.5597,8.9,1.403526,14.735849,9.22441,28507698,28507698,2818261,6815720,6815720,23.46,23.58,900,2200,4037270272,16.61,29.13,8.774672,22.2194,20.8368,2.48,0.10782609,USD,23557560320,0.59793997,172457666,172312000,20625910,22984062,1690761600,1693440000,0.1197,0.01163,0.54754,12.67,0.120699994,26.075,0.89856184,1672444800,1703980800,1688083200,0.09,275112992,1.59,2.54,3.62,1:10,1367884800,51.2,NYQ,EQUITY,BXMT,BXMT,"Blackstone Mortgage Trust, Inc.","Blackstone Mortgage Trust, Inc.",346948200,America/New_York,EDT,-14400000,23.43,25.0,21.0,23.07,23.0,2.4,buy,7,495544992,2.846,20022401024,103.159,103.199,460104992,438.493,2.676,0.01105,0.06024,416545000,451296000,0.085,0.115,1.0,0.0,0.61549,USD,
7,345 Park Avenue,24th Floor,New York,NY,10154,United States,212 655 0220,https://www.blackstonemortgagetrust.com,REIT—Mortgage,Real Estate,"Blackstone Mortgage Trust, Inc., a real estate finance company, originates senior loans collateralized by commercial properties in North America, Europe, and Australia. The company, together with its subsidiaries, originates and acquires commercial mortgage loans and related investments. It operates as a real estate investment trust for federal income tax purposes. The company was formerly known as Capital Trust, Inc. and changed its name to Blackstone Mortgage Trust, Inc. in May 2013. Blackstone Mortgage Trust, Inc. was incorporated in 1998 and is headquartered in New York, New York.","{'maxAge': 1, 'name': 'Mr. Timothy Paul Hayes Jr.', 'age': 31, 'title': 'VP of Shareholder Relations', 'yearBorn': 1991, 'exercisedValue': 0, 'unexercisedValue': 0}",6,7,6,6,6,1693526400,1672444800,86400,2,23.0,23.0,22.86,23.67,23.0,23.0,22.86,23.67,2.48,0.1078,1687996800,1.5597,8.9,1.403526,14.735849,9.22441,28507698,28507698,2818261,6815720,6815720,23.46,23.58,900,2200,4037270272,16.61,29.13,8.774672,22.2194,20.8368,2.48,0.10782609,USD,23557560320,0.59793997,172457666,172312000,20625910,22984062,1690761600,1693440000,0.1197,0.01163,0.54754,12.67,0.120699994,26.075,0.89856184,1672444800,1703980800,1688083200,0.09,275112992,1.59,2.54,3.62,1:10,1367884800,51.2,NYQ,EQUITY,BXMT,BXMT,"Blackstone Mortgage Trust, Inc.","Blackstone Mortgage Trust, Inc.",346948200,America/New_York,EDT,-14400000,23.43,25.0,21.0,23.07,23.0,2.4,buy,7,495544992,2.846,20022401024,103.159,103.199,460104992,438.493,2.676,0.01105,0.06024,416545000,451296000,0.085,0.115,1.0,0.0,0.61549,USD,
8,345 Park Avenue,24th Floor,New York,NY,10154,United States,212 655 0220,https://www.blackstonemortgagetrust.com,REIT—Mortgage,Real Estate,"Blackstone Mortgage Trust, Inc., a real estate finance company, originates senior loans collateralized by commercial properties in North America, Europe, and Australia. The company, together with its subsidiaries, originates and acquires commercial mortgage loans and related investments. It operates as a real estate investment trust for federal income tax purposes. The company was formerly known as Capital Trust, Inc. and changed its name to Blackstone Mortgage Trust, Inc. in May 2013. Blackstone Mortgage Trust, Inc. was incorporated in 1998 and is headquartered in New York, New York.","{'maxAge': 1, 'name': 'Mr. Leon  Volchyok', 'age': 38, 'title': 'Chief Legal Officer & Sec.', 'yearBorn': 1984, 'exercisedValue': 0, 'unexercisedValue': 0}",6,7,6,6,6,1693526400,1672444800,86400,2,23.0,23.0,22.86,23.67,23.0,23.0,22.86,23.67,2.48,0.1078,1687996800,1.5597,8.9,1.403526,14.735849,9.22441,28507698,28507698,2818261,6815720,6815720,23.46,23.58,900,2200,4037270272,16.61,29.13,8.774672,22.2194,20.8368,2.48,0.10782609,USD,23557560320,0.59793997,172457666,172312000,20625910,22984062,1690761600,1693440000,0.1197,0.01163,0.54754,12.67,0.120699994,26.075,0.89856184,1672444800,1703980800,1688083200,0.09,275112992,1.59,2.54,3.62,1:10,1367884800,51.2,NYQ,EQUITY,BXMT,BXMT,"Blackstone Mortgage Trust, Inc.","Blackstone Mortgage Trust, Inc.",346948200,America/New_York,EDT,-14400000,23.43,25.0,21.0,23.07,23.0,2.4,buy,7,495544992,2.846,20022401024,103.159,103.199,460104992,438.493,2.676,0.01105,0.06024,416545000,451296000,0.085,0.115,1.0,0.0,0.61549,USD,
9,345 Park Avenue,24th Floor,New York,NY,10154,United States,212 655 0220,https://www.blackstonemortgagetrust.com,REIT—Mortgage,Real Estate,"Blackstone Mortgage Trust, Inc., a real estate finance company, originates senior loans collateralized by commercial properties in North America, Europe, and Australia. The company, together with its subsidiaries, originates and acquires commercial mortgage loans and related investments. It operates as a real estate investment trust for federal income tax purposes. The company was formerly known as Capital Trust, Inc. and changed its name to Blackstone Mortgage Trust, Inc. in May 2013. Blackstone Mortgage Trust, Inc. was incorporated in 1998 and is headquartered in New York, New York.","{'maxAge': 1, 'name': 'Mr. Stephen D. Plavin', 'age': 63, 'title': 'Sr. Managing Director', 'yearBorn': 1959, 'fiscalYear': 2021, 'exercisedValue': 0, 'unexercisedValue': 0}",6,7,6,6,6,1693526400,1672444800,86400,2,23.0,23.0,22.86,23.67,23.0,23.0,22.86,23.67,2.48,0.1078,1687996800,1.5597,8.9,1.403526,14.735849,9.22441,28507698,28507698,2818261,6815720,6815720,23.46,23.58,900,2200,4037270272,16.61,29.13,8.774672,22.2194,20.8368,2.48,0.10782609,USD,23557560320,0.59793997,172457666,172312000,20625910,22984062,1690761600,1693440000,0.1197,0.01163,0.54754,12.67,0.120699994,26.075,0.89856184,1672444800,1703980800,1688083200,0.09,275112992,1.59,2.54,3.62,1:10,1367884800,51.2,NYQ,EQUITY,BXMT,BXMT,"Blackstone Mortgage Trust, Inc.","Blackstone Mortgage Trust, Inc.",346948200,America/New_York,EDT,-14400000,23.43,25.0,21.0,23.07,23.0,2.4,buy,7,495544992,2.846,20022401024,103.159,103.199,460104992,438.493,2.676,0.01105,0.06024,416545000,451296000,0.085,0.115,1.0,0.0,0.61549,USD,
