,address1,address2,city,state,zip,country,phone,website,industry,sector,longBusinessSummary,companyOfficers,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,payoutRatio,beta,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,heldPercentInsiders,heldPercentInstitutions,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,netIncomeToCommon,trailingEps,enterpriseToRevenue,enterpriseToEbitda,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,recommendationKey,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,freeCashflow,operatingCashflow,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,"Level 1, 25-29 Berry Street",Suite 107,North Sydney,NSW,2060,Australia,61 2 8488 3270,https://www.zeusresources.com,Uranium,Energy,"Zeus Resources Limited engages in the exploration of uranium, gold, and other base metal resources primarily in Australia. The company has interests in the Lake Way, Narnoo South, and Mortimer Hills projects located in Western Australia. Zeus Resources Limited was incorporated in 2009 and is based in North Sydney, Australia.","{'maxAge': 1, 'name': 'Mr. Jian Jun Liu B.Sc., M.Sc.', 'title': 'Exec. Director, GM of Geology & Exploration and Company Sec.', 'fiscalYear': 2022, 'totalPay': 251890, 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,4,0.018,0.019,0.018,0.019,0.018,0.019,0.018,0.019,0.0,-0.547672,436663,436663,4272181,4976597,4976597,0.018,0.02,8267057,0.012,0.089,629.1999,0.01567,0.028184975,0.0,0.0,AUD,5884195,0.0,118641555,459280992,0.60778,0.01319,0.007,2.5714283,1688083200,1719705600,1688083200,-888383,-0.0,447.842,-16.009,ASX,EQUITY,ZEU.AX,ZEU.AX,ZEUSRESOUR FPO,Zeus Resources Limited,1358722800,Australia/Sydney,AEST,36000000,0.018,none,2346863,0.005,-367563,0,13.256,13.29,13139,0.0,-0.20197001,-0.35790002,13139,-569983,-276344,20.114,1.0,0.0,-64.716805,AUD,
1,"Level 1, 25-29 Berry Street",Suite 107,North Sydney,NSW,2060,Australia,61 2 8488 3270,https://www.zeusresources.com,Uranium,Energy,"Zeus Resources Limited engages in the exploration of uranium, gold, and other base metal resources primarily in Australia. The company has interests in the Lake Way, Narnoo South, and Mortimer Hills projects located in Western Australia. Zeus Resources Limited was incorporated in 2009 and is based in North Sydney, Australia.","{'maxAge': 1, 'name': 'Mr. Sitong  Wu', 'title': 'Acting CEO & Exec. Director', 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,4,0.018,0.019,0.018,0.019,0.018,0.019,0.018,0.019,0.0,-0.547672,436663,436663,4272181,4976597,4976597,0.018,0.02,8267057,0.012,0.089,629.1999,0.01567,0.028184975,0.0,0.0,AUD,5884195,0.0,118641555,459280992,0.60778,0.01319,0.007,2.5714283,1688083200,1719705600,1688083200,-888383,-0.0,447.842,-16.009,ASX,EQUITY,ZEU.AX,ZEU.AX,ZEUSRESOUR FPO,Zeus Resources Limited,1358722800,Australia/Sydney,AEST,36000000,0.018,none,2346863,0.005,-367563,0,13.256,13.29,13139,0.0,-0.20197001,-0.35790002,13139,-569983,-276344,20.114,1.0,0.0,-64.716805,AUD,
