,address1,address2,city,state,zip,country,phone,website,industry,sector,longBusinessSummary,fullTimeEmployees,companyOfficers,auditRisk,boardRisk,compensationRisk,shareHolderRightsRisk,overallRisk,governanceEpochDate,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,payoutRatio,forwardPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,sharesShort,sharesShortPriorMonth,sharesShortPreviousMonthDate,dateShortInterest,sharesPercentSharesOut,heldPercentInsiders,heldPercentInstitutions,shortRatio,shortPercentOfFloat,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,netIncomeToCommon,trailingEps,forwardEps,enterpriseToRevenue,enterpriseToEbitda,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,recommendationMean,recommendationKey,numberOfAnalystOpinions,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,freeCashflow,operatingCashflow,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,111 Third Avenue,Suite 2100,Seattle,WA,98101,United States,888 736 4859,https://www.remitly.com,Software—Infrastructure,Technology,"Remitly Global, Inc. provides digital financial services for immigrants and their families. It primarily offers cross-border remittance services in approximately 170 countries. The company was incorporated in 2011 and is headquartered in Seattle, Washington.",2700,"{'maxAge': 1, 'name': 'Mr. Matthew B. Oppenheimer', 'age': 38, 'title': 'Co-Founder, CEO, Pres & Director', 'yearBorn': 1984, 'fiscalYear': 2022, 'totalPay': 293125, 'exercisedValue': 0, 'unexercisedValue': 18442012}",9,8,8,8,8,1693526400,1672444800,86400,2,25.25,25.25,25.19,26.025,25.25,25.25,25.19,26.025,0.0,-52.0,7144112,7144112,1280517,2160420,2160420,26.05,26.75,1100,800,4711174144,8.94,26.025,5.902329,22.2884,16.85935,0.0,0.0,USD,4532965888,-0.12482,131041049,181199008,1841936,2926434,1690761600,1693440000,0.010199999,0.071729995,0.71786004,1.13,0.0139,2.847,9.132421,1672444800,1703980800,1688083200,-99628000,-0.6,-0.5,5.679,-47.76,NMS,EQUITY,RELY,RELY,"Remitly Global, Inc.","Remitly Global, Inc.",1632403800,America/New_York,EDT,-14400000,26.0,34.0,25.0,28.14,28.0,1.6,buy,7,227507008,1.256,-94912000,49308000,1.616,2.996,798188992,9.561,4.598,-0.08249,-0.20271,326627000,-151533376,-182636992,0.488,0.53045,-0.11891,-0.12505999,USD,
1,111 Third Avenue,Suite 2100,Seattle,WA,98101,United States,888 736 4859,https://www.remitly.com,Software—Infrastructure,Technology,"Remitly Global, Inc. provides digital financial services for immigrants and their families. It primarily offers cross-border remittance services in approximately 170 countries. The company was incorporated in 2011 and is headquartered in Seattle, Washington.",2700,"{'maxAge': 1, 'name': 'Mr. Joshua  Hug', 'age': 42, 'title': 'Co-Founder, COO & Director', 'yearBorn': 1980, 'fiscalYear': 2022, 'totalPay': 297814, 'exercisedValue': 0, 'unexercisedValue': 1445500}",9,8,8,8,8,1693526400,1672444800,86400,2,25.25,25.25,25.19,26.025,25.25,25.25,25.19,26.025,0.0,-52.0,7144112,7144112,1280517,2160420,2160420,26.05,26.75,1100,800,4711174144,8.94,26.025,5.902329,22.2884,16.85935,0.0,0.0,USD,4532965888,-0.12482,131041049,181199008,1841936,2926434,1690761600,1693440000,0.010199999,0.071729995,0.71786004,1.13,0.0139,2.847,9.132421,1672444800,1703980800,1688083200,-99628000,-0.6,-0.5,5.679,-47.76,NMS,EQUITY,RELY,RELY,"Remitly Global, Inc.","Remitly Global, Inc.",1632403800,America/New_York,EDT,-14400000,26.0,34.0,25.0,28.14,28.0,1.6,buy,7,227507008,1.256,-94912000,49308000,1.616,2.996,798188992,9.561,4.598,-0.08249,-0.20271,326627000,-151533376,-182636992,0.488,0.53045,-0.11891,-0.12505999,USD,
2,111 Third Avenue,Suite 2100,Seattle,WA,98101,United States,888 736 4859,https://www.remitly.com,Software—Infrastructure,Technology,"Remitly Global, Inc. provides digital financial services for immigrants and their families. It primarily offers cross-border remittance services in approximately 170 countries. The company was incorporated in 2011 and is headquartered in Seattle, Washington.",2700,"{'maxAge': 1, 'name': 'Mr. Hemanth  Munipalli', 'title': 'Chief Financial Officer', 'fiscalYear': 2022, 'totalPay': 282579, 'exercisedValue': 0, 'unexercisedValue': 0}",9,8,8,8,8,1693526400,1672444800,86400,2,25.25,25.25,25.19,26.025,25.25,25.25,25.19,26.025,0.0,-52.0,7144112,7144112,1280517,2160420,2160420,26.05,26.75,1100,800,4711174144,8.94,26.025,5.902329,22.2884,16.85935,0.0,0.0,USD,4532965888,-0.12482,131041049,181199008,1841936,2926434,1690761600,1693440000,0.010199999,0.071729995,0.71786004,1.13,0.0139,2.847,9.132421,1672444800,1703980800,1688083200,-99628000,-0.6,-0.5,5.679,-47.76,NMS,EQUITY,RELY,RELY,"Remitly Global, Inc.","Remitly Global, Inc.",1632403800,America/New_York,EDT,-14400000,26.0,34.0,25.0,28.14,28.0,1.6,buy,7,227507008,1.256,-94912000,49308000,1.616,2.996,798188992,9.561,4.598,-0.08249,-0.20271,326627000,-151533376,-182636992,0.488,0.53045,-0.11891,-0.12505999,USD,
3,111 Third Avenue,Suite 2100,Seattle,WA,98101,United States,888 736 4859,https://www.remitly.com,Software—Infrastructure,Technology,"Remitly Global, Inc. provides digital financial services for immigrants and their families. It primarily offers cross-border remittance services in approximately 170 countries. The company was incorporated in 2011 and is headquartered in Seattle, Washington.",2700,"{'maxAge': 1, 'name': 'Mr. Ankur  Sinha', 'title': 'Chief Technology Officer', 'fiscalYear': 2022, 'totalPay': 472101, 'exercisedValue': 0, 'unexercisedValue': 0}",9,8,8,8,8,1693526400,1672444800,86400,2,25.25,25.25,25.19,26.025,25.25,25.25,25.19,26.025,0.0,-52.0,7144112,7144112,1280517,2160420,2160420,26.05,26.75,1100,800,4711174144,8.94,26.025,5.902329,22.2884,16.85935,0.0,0.0,USD,4532965888,-0.12482,131041049,181199008,1841936,2926434,1690761600,1693440000,0.010199999,0.071729995,0.71786004,1.13,0.0139,2.847,9.132421,1672444800,1703980800,1688083200,-99628000,-0.6,-0.5,5.679,-47.76,NMS,EQUITY,RELY,RELY,"Remitly Global, Inc.","Remitly Global, Inc.",1632403800,America/New_York,EDT,-14400000,26.0,34.0,25.0,28.14,28.0,1.6,buy,7,227507008,1.256,-94912000,49308000,1.616,2.996,798188992,9.561,4.598,-0.08249,-0.20271,326627000,-151533376,-182636992,0.488,0.53045,-0.11891,-0.12505999,USD,
4,111 Third Avenue,Suite 2100,Seattle,WA,98101,United States,888 736 4859,https://www.remitly.com,Software—Infrastructure,Technology,"Remitly Global, Inc. provides digital financial services for immigrants and their families. It primarily offers cross-border remittance services in approximately 170 countries. The company was incorporated in 2011 and is headquartered in Seattle, Washington.",2700,"{'maxAge': 1, 'name': 'Ms. Rene  Yoakum', 'age': 62, 'title': 'EVP of Customer & Culture', 'yearBorn': 1960, 'fiscalYear': 2022, 'totalPay': 291560, 'exercisedValue': 0, 'unexercisedValue': 5044976}",9,8,8,8,8,1693526400,1672444800,86400,2,25.25,25.25,25.19,26.025,25.25,25.25,25.19,26.025,0.0,-52.0,7144112,7144112,1280517,2160420,2160420,26.05,26.75,1100,800,4711174144,8.94,26.025,5.902329,22.2884,16.85935,0.0,0.0,USD,4532965888,-0.12482,131041049,181199008,1841936,2926434,1690761600,1693440000,0.010199999,0.071729995,0.71786004,1.13,0.0139,2.847,9.132421,1672444800,1703980800,1688083200,-99628000,-0.6,-0.5,5.679,-47.76,NMS,EQUITY,RELY,RELY,"Remitly Global, Inc.","Remitly Global, Inc.",1632403800,America/New_York,EDT,-14400000,26.0,34.0,25.0,28.14,28.0,1.6,buy,7,227507008,1.256,-94912000,49308000,1.616,2.996,798188992,9.561,4.598,-0.08249,-0.20271,326627000,-151533376,-182636992,0.488,0.53045,-0.11891,-0.12505999,USD,
5,111 Third Avenue,Suite 2100,Seattle,WA,98101,United States,888 736 4859,https://www.remitly.com,Software—Infrastructure,Technology,"Remitly Global, Inc. provides digital financial services for immigrants and their families. It primarily offers cross-border remittance services in approximately 170 countries. The company was incorporated in 2011 and is headquartered in Seattle, Washington.",2700,"{'maxAge': 1, 'name': 'Ms. Gail A. Miller', 'title': 'Chief Accounting Officer', 'exercisedValue': 0, 'unexercisedValue': 0}",9,8,8,8,8,1693526400,1672444800,86400,2,25.25,25.25,25.19,26.025,25.25,25.25,25.19,26.025,0.0,-52.0,7144112,7144112,1280517,2160420,2160420,26.05,26.75,1100,800,4711174144,8.94,26.025,5.902329,22.2884,16.85935,0.0,0.0,USD,4532965888,-0.12482,131041049,181199008,1841936,2926434,1690761600,1693440000,0.010199999,0.071729995,0.71786004,1.13,0.0139,2.847,9.132421,1672444800,1703980800,1688083200,-99628000,-0.6,-0.5,5.679,-47.76,NMS,EQUITY,RELY,RELY,"Remitly Global, Inc.","Remitly Global, Inc.",1632403800,America/New_York,EDT,-14400000,26.0,34.0,25.0,28.14,28.0,1.6,buy,7,227507008,1.256,-94912000,49308000,1.616,2.996,798188992,9.561,4.598,-0.08249,-0.20271,326627000,-151533376,-182636992,0.488,0.53045,-0.11891,-0.12505999,USD,
6,111 Third Avenue,Suite 2100,Seattle,WA,98101,United States,888 736 4859,https://www.remitly.com,Software—Infrastructure,Technology,"Remitly Global, Inc. provides digital financial services for immigrants and their families. It primarily offers cross-border remittance services in approximately 170 countries. The company was incorporated in 2011 and is headquartered in Seattle, Washington.",2700,"{'maxAge': 1, 'name': 'Mr. Stephen M. Shulstein', 'title': 'VP of Investor Relations', 'exercisedValue': 0, 'unexercisedValue': 0}",9,8,8,8,8,1693526400,1672444800,86400,2,25.25,25.25,25.19,26.025,25.25,25.25,25.19,26.025,0.0,-52.0,7144112,7144112,1280517,2160420,2160420,26.05,26.75,1100,800,4711174144,8.94,26.025,5.902329,22.2884,16.85935,0.0,0.0,USD,4532965888,-0.12482,131041049,181199008,1841936,2926434,1690761600,1693440000,0.010199999,0.071729995,0.71786004,1.13,0.0139,2.847,9.132421,1672444800,1703980800,1688083200,-99628000,-0.6,-0.5,5.679,-47.76,NMS,EQUITY,RELY,RELY,"Remitly Global, Inc.","Remitly Global, Inc.",1632403800,America/New_York,EDT,-14400000,26.0,34.0,25.0,28.14,28.0,1.6,buy,7,227507008,1.256,-94912000,49308000,1.616,2.996,798188992,9.561,4.598,-0.08249,-0.20271,326627000,-151533376,-182636992,0.488,0.53045,-0.11891,-0.12505999,USD,
7,111 Third Avenue,Suite 2100,Seattle,WA,98101,United States,888 736 4859,https://www.remitly.com,Software—Infrastructure,Technology,"Remitly Global, Inc. provides digital financial services for immigrants and their families. It primarily offers cross-border remittance services in approximately 170 countries. The company was incorporated in 2011 and is headquartered in Seattle, Washington.",2700,"{'maxAge': 1, 'name': 'Ms. Saema  Somalya', 'age': 45, 'title': 'Exec. VP of Legal & Risk and Sec.', 'yearBorn': 1977, 'exercisedValue': 0, 'unexercisedValue': 0}",9,8,8,8,8,1693526400,1672444800,86400,2,25.25,25.25,25.19,26.025,25.25,25.25,25.19,26.025,0.0,-52.0,7144112,7144112,1280517,2160420,2160420,26.05,26.75,1100,800,4711174144,8.94,26.025,5.902329,22.2884,16.85935,0.0,0.0,USD,4532965888,-0.12482,131041049,181199008,1841936,2926434,1690761600,1693440000,0.010199999,0.071729995,0.71786004,1.13,0.0139,2.847,9.132421,1672444800,1703980800,1688083200,-99628000,-0.6,-0.5,5.679,-47.76,NMS,EQUITY,RELY,RELY,"Remitly Global, Inc.","Remitly Global, Inc.",1632403800,America/New_York,EDT,-14400000,26.0,34.0,25.0,28.14,28.0,1.6,buy,7,227507008,1.256,-94912000,49308000,1.616,2.996,798188992,9.561,4.598,-0.08249,-0.20271,326627000,-151533376,-182636992,0.488,0.53045,-0.11891,-0.12505999,USD,
8,111 Third Avenue,Suite 2100,Seattle,WA,98101,United States,888 736 4859,https://www.remitly.com,Software—Infrastructure,Technology,"Remitly Global, Inc. provides digital financial services for immigrants and their families. It primarily offers cross-border remittance services in approximately 170 countries. The company was incorporated in 2011 and is headquartered in Seattle, Washington.",2700,"{'maxAge': 1, 'name': 'Ms. Rina  Hahn', 'title': 'Chief Marketing Officer', 'exercisedValue': 0, 'unexercisedValue': 0}",9,8,8,8,8,1693526400,1672444800,86400,2,25.25,25.25,25.19,26.025,25.25,25.25,25.19,26.025,0.0,-52.0,7144112,7144112,1280517,2160420,2160420,26.05,26.75,1100,800,4711174144,8.94,26.025,5.902329,22.2884,16.85935,0.0,0.0,USD,4532965888,-0.12482,131041049,181199008,1841936,2926434,1690761600,1693440000,0.010199999,0.071729995,0.71786004,1.13,0.0139,2.847,9.132421,1672444800,1703980800,1688083200,-99628000,-0.6,-0.5,5.679,-47.76,NMS,EQUITY,RELY,RELY,"Remitly Global, Inc.","Remitly Global, Inc.",1632403800,America/New_York,EDT,-14400000,26.0,34.0,25.0,28.14,28.0,1.6,buy,7,227507008,1.256,-94912000,49308000,1.616,2.996,798188992,9.561,4.598,-0.08249,-0.20271,326627000,-151533376,-182636992,0.488,0.53045,-0.11891,-0.12505999,USD,
9,111 Third Avenue,Suite 2100,Seattle,WA,98101,United States,888 736 4859,https://www.remitly.com,Software—Infrastructure,Technology,"Remitly Global, Inc. provides digital financial services for immigrants and their families. It primarily offers cross-border remittance services in approximately 170 countries. The company was incorporated in 2011 and is headquartered in Seattle, Washington.",2700,"{'maxAge': 1, 'name': 'Mr. Karim  Meghji', 'age': 53, 'title': 'Exec. Advisor', 'yearBorn': 1969, 'exercisedValue': 0, 'unexercisedValue': 0}",9,8,8,8,8,1693526400,1672444800,86400,2,25.25,25.25,25.19,26.025,25.25,25.25,25.19,26.025,0.0,-52.0,7144112,7144112,1280517,2160420,2160420,26.05,26.75,1100,800,4711174144,8.94,26.025,5.902329,22.2884,16.85935,0.0,0.0,USD,4532965888,-0.12482,131041049,181199008,1841936,2926434,1690761600,1693440000,0.010199999,0.071729995,0.71786004,1.13,0.0139,2.847,9.132421,1672444800,1703980800,1688083200,-99628000,-0.6,-0.5,5.679,-47.76,NMS,EQUITY,RELY,RELY,"Remitly Global, Inc.","Remitly Global, Inc.",1632403800,America/New_York,EDT,-14400000,26.0,34.0,25.0,28.14,28.0,1.6,buy,7,227507008,1.256,-94912000,49308000,1.616,2.996,798188992,9.561,4.598,-0.08249,-0.20271,326627000,-151533376,-182636992,0.488,0.53045,-0.11891,-0.12505999,USD,
