,address1,city,state,zip,country,phone,website,industry,sector,longBusinessSummary,fullTimeEmployees,companyOfficers,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,payoutRatio,beta,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,sharesOutstanding,heldPercentInsiders,heldPercentInstitutions,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,netIncomeToCommon,trailingEps,lastSplitFactor,lastSplitDate,enterpriseToRevenue,enterpriseToEbitda,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,recommendationKey,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,freeCashflow,operatingCashflow,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,411 Washington Avenue North,Kent,WA,98032,United States,800 988 7735,https://www.baristas.tv,Packaged Foods,Consumer Defensive,"Barista Coffee Company, Inc., doing business as Baristas, operates as a specialty drive-through beverage retailer in the United States. The company offers hot and cold beverages, including specialty coffees, blended teas, and other custom drinks, as well as smoothies, fresh-baked pastries, and other confections. It also provides beverages, such as hot apple cider, hot chocolate, frozen coffees, and other products. In addition, the company promotes and sells Baristas merchandise, calendars, mugs, T-shirts, and hats. Barista Coffee Company, Inc. also sells its merchandise and other novelties through its baristas.tv Website. The company was formerly known as Innovative Communications, Inc. and changed its name to Barista Coffee Company, Inc. in May 2010. Barista Coffee Company, Inc. was founded in 1996 and is headquartered in Kent, Washington.",30,"{'maxAge': 1, 'name': 'Mr. Barry Brian Henthorn', 'age': 55, 'title': 'Chairman, CEO, CTO, CFO, Principal Accounting Officer & Sec.', 'yearBorn': 1967, 'fiscalYear': 2014, 'exercisedValue': 0, 'unexercisedValue': 0}",1451520000,86400,4,0.0016,0.001925,0.0017,0.001925,0.0016,0.001925,0.0017,0.001925,0.0,4.223029,3228,3228,112059,32510,32510,0.0,0.0,0,0,996303,0.001,0.01,1.2534809,0.00238,0.003465,0.0,0.0,USD,829943,-1.94881,96728496,0.0,0.0,0.018,0.094444446,1451520000,1483142400,1475193600,-1548975,-0.0,1:10,1456444800,1.044,-1.167,PNK,EQUITY,BCCI,BCCI,BARISTAS COFFEE COMPANY INC,"Baristas Coffee Company, Inc.",1328279400,America/New_York,EDT,-14400000,0.0017,none,17914,0.0,-711288,676667,0.009,0.019,794829,50.325,0.016,-0.13928,-1.17287,189975,-45521,182803,-0.609,0.20251,-0.89489,-0.98251,USD,
1,411 Washington Avenue North,Kent,WA,98032,United States,800 988 7735,https://www.baristas.tv,Packaged Foods,Consumer Defensive,"Barista Coffee Company, Inc., doing business as Baristas, operates as a specialty drive-through beverage retailer in the United States. The company offers hot and cold beverages, including specialty coffees, blended teas, and other custom drinks, as well as smoothies, fresh-baked pastries, and other confections. It also provides beverages, such as hot apple cider, hot chocolate, frozen coffees, and other products. In addition, the company promotes and sells Baristas merchandise, calendars, mugs, T-shirts, and hats. Barista Coffee Company, Inc. also sells its merchandise and other novelties through its baristas.tv Website. The company was formerly known as Innovative Communications, Inc. and changed its name to Barista Coffee Company, Inc. in May 2010. Barista Coffee Company, Inc. was founded in 1996 and is headquartered in Kent, Washington.",30,"{'maxAge': 1, 'name': 'Mr. Alexander Michael Adams', 'age': 79, 'title': 'Head of Compliance Board', 'yearBorn': 1943, 'exercisedValue': 0, 'unexercisedValue': 0}",1451520000,86400,4,0.0016,0.001925,0.0017,0.001925,0.0016,0.001925,0.0017,0.001925,0.0,4.223029,3228,3228,112059,32510,32510,0.0,0.0,0,0,996303,0.001,0.01,1.2534809,0.00238,0.003465,0.0,0.0,USD,829943,-1.94881,96728496,0.0,0.0,0.018,0.094444446,1451520000,1483142400,1475193600,-1548975,-0.0,1:10,1456444800,1.044,-1.167,PNK,EQUITY,BCCI,BCCI,BARISTAS COFFEE COMPANY INC,"Baristas Coffee Company, Inc.",1328279400,America/New_York,EDT,-14400000,0.0017,none,17914,0.0,-711288,676667,0.009,0.019,794829,50.325,0.016,-0.13928,-1.17287,189975,-45521,182803,-0.609,0.20251,-0.89489,-0.98251,USD,
