,address1,address2,city,state,zip,country,phone,website,industry,sector,longBusinessSummary,fullTimeEmployees,companyOfficers,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,payoutRatio,beta,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,profitMargins,sharesOutstanding,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,netIncomeToCommon,trailingEps,lastSplitFactor,lastSplitDate,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,recommendationKey,totalCash,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,returnOnAssets,grossProfits,freeCashflow,operatingCashflow,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,1199 South Federal Highway,Suite 111 1200 Smith Street,Boca Raton,FL,33432,United States,561-908-3333,https://www.umediagroupinc.com,Entertainment,Communication Services,"Universal Media Group Inc., a media company, produces and distributes media content worldwide. It produces On The Mike, a TV show that primarily include celebrity interviews, music concerts, and other events. The company was formerly known as Dalton Industries Inc. and changed its name to Universal Media Group Inc. in January 2016. Universal Media Group Inc. was founded in 1971 and is based in Boca Raton, Florida.",24,"{'maxAge': 1, 'name': 'Mr. Michael  Sherman', 'title': 'Pres & CEO', 'exercisedValue': 0, 'unexercisedValue': 0}",86400,4,0.2799,0.263825,0.2799,0.2799,0.2799,0.263825,0.2799,0.2799,0.0,-1.675311,7221,7221,25253,10690,10690,0.0,0.0,0,0,7362098,0.165,1.12,74.666306,0.25312,0.36178,0.0,0.0,USD,0.0,26302600,1177891200,1209513600,1201737600,-15656757,-224.87,1:1000,1439164800,PNK,EQUITY,UMGP,UMGP,UNIVERSAL MEDIA GROUP INC,Universal Media Group Inc.,1471613400,America/New_York,EDT,-14400000,0.2799,none,4034086,-12610030,9987048,2.414,2.532,98600,-1.55634,29610,-6095375,-10834864,1.33,0.94936997,0.0,-129.37517,USD,
1,1199 South Federal Highway,Suite 111 1200 Smith Street,Boca Raton,FL,33432,United States,561-908-3333,https://www.umediagroupinc.com,Entertainment,Communication Services,"Universal Media Group Inc., a media company, produces and distributes media content worldwide. It produces On The Mike, a TV show that primarily include celebrity interviews, music concerts, and other events. The company was formerly known as Dalton Industries Inc. and changed its name to Universal Media Group Inc. in January 2016. Universal Media Group Inc. was founded in 1971 and is based in Boca Raton, Florida.",24,"{'maxAge': 1, 'name': 'Ms. Sheryl  Winter', 'title': 'Operations Mang.', 'exercisedValue': 0, 'unexercisedValue': 0}",86400,4,0.2799,0.263825,0.2799,0.2799,0.2799,0.263825,0.2799,0.2799,0.0,-1.675311,7221,7221,25253,10690,10690,0.0,0.0,0,0,7362098,0.165,1.12,74.666306,0.25312,0.36178,0.0,0.0,USD,0.0,26302600,1177891200,1209513600,1201737600,-15656757,-224.87,1:1000,1439164800,PNK,EQUITY,UMGP,UMGP,UNIVERSAL MEDIA GROUP INC,Universal Media Group Inc.,1471613400,America/New_York,EDT,-14400000,0.2799,none,4034086,-12610030,9987048,2.414,2.532,98600,-1.55634,29610,-6095375,-10834864,1.33,0.94936997,0.0,-129.37517,USD,
