,address1,address2,city,state,zip,country,phone,website,industry,sector,longBusinessSummary,fullTimeEmployees,companyOfficers,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,beta,trailingPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,sharesOutstanding,bookValue,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,netIncomeToCommon,trailingEps,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,recommendationKey,totalCash,totalCashPerShare,totalDebt,quickRatio,currentRatio,returnOnAssets,freeCashflow,operatingCashflow,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,6040 Upshaw,Suite #105,Humble,TX,77396,United States,281-441-2538,https://www.globalcleanenergy.net,Waste Management,Industrials,"Global Clean Energy, Inc. operates as a waste-to-energy alternative fuels company in North America. It focuses on developing build-own-operate waste-to-energy conversion sites that converts waste into energy in the end-of-life plastic, tires, and platinum group metal recover verticals. The company is headquartered in Humble, Texas.",8,"{'maxAge': 1, 'name': 'Mr. Steven R. Mann', 'age': 64, 'title': 'Pres & CEO', 'yearBorn': 1958, 'fiscalYear': 2013, 'totalPay': 120000, 'exercisedValue': 0, 'unexercisedValue': 0}",1388448000,86400,4,0.0426,0.0401,0.0397,0.047,0.0426,0.0401,0.0397,0.047,1.412171,Infinity,209016,209016,324823,114525,114525,0.0,0.0,0,0,12143342,0.0356,0.1599,0.059554,0.0741544,0.0,0.0,USD,11545840,0.0,258368992,-0.013,1388448000,1419984000,1412035200,-2270565,0.0,PNK,EQUITY,GCEI,GCEI,GLOBAL CLEAN ENERGY INC,"Global Clean Energy, Inc.",1222954200,America/New_York,EDT,-14400000,0.047,none,34833,0.0,574157,0.009,0.009,-71.9674,-465631,-503800,0.0,0.0,0.0,USD,
1,6040 Upshaw,Suite #105,Humble,TX,77396,United States,281-441-2538,https://www.globalcleanenergy.net,Waste Management,Industrials,"Global Clean Energy, Inc. operates as a waste-to-energy alternative fuels company in North America. It focuses on developing build-own-operate waste-to-energy conversion sites that converts waste into energy in the end-of-life plastic, tires, and platinum group metal recover verticals. The company is headquartered in Humble, Texas.",8,"{'maxAge': 1, 'name': 'Mr. Hakim  Zahar P.Eng. MSc.', 'title': 'Chief Technology Officer', 'exercisedValue': 0, 'unexercisedValue': 0}",1388448000,86400,4,0.0426,0.0401,0.0397,0.047,0.0426,0.0401,0.0397,0.047,1.412171,Infinity,209016,209016,324823,114525,114525,0.0,0.0,0,0,12143342,0.0356,0.1599,0.059554,0.0741544,0.0,0.0,USD,11545840,0.0,258368992,-0.013,1388448000,1419984000,1412035200,-2270565,0.0,PNK,EQUITY,GCEI,GCEI,GLOBAL CLEAN ENERGY INC,"Global Clean Energy, Inc.",1222954200,America/New_York,EDT,-14400000,0.047,none,34833,0.0,574157,0.009,0.009,-71.9674,-465631,-503800,0.0,0.0,0.0,USD,
