,address1,address2,city,state,zip,country,phone,fax,website,industry,sector,longBusinessSummary,fullTimeEmployees,companyOfficers,auditRisk,boardRisk,compensationRisk,shareHolderRightsRisk,overallRisk,governanceEpochDate,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,dividendRate,exDividendDate,fiveYearAvgDividendYield,beta,forwardPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,sharesShort,sharesShortPriorMonth,sharesShortPreviousMonthDate,dateShortInterest,sharesPercentSharesOut,heldPercentInsiders,heldPercentInstitutions,shortRatio,shortPercentOfFloat,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,netIncomeToCommon,trailingEps,forwardEps,pegRatio,enterpriseToRevenue,enterpriseToEbitda,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,recommendationMean,recommendationKey,numberOfAnalystOpinions,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,freeCashflow,operatingCashflow,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,11601 Wilshire Boulevard,Ninth Floor,Los Angeles,CA,90025-1745,United States,310 445 5700,310 445 5710,https://www.HudsonPacificProperties.com,REIT—Office,Real Estate,"Hudson Pacific Properties (NYSE: HPP) is a real estate investment trust serving dynamic tech and media tenants in global epicenters for these synergistic, converging and secular growth industries. Hudson Pacific's unique and high-barrier tech and media focus leverages a full-service, end-to-end value creation platform forged through deep strategic relationships and niche expertise across identifying, acquiring, transforming and developing properties into world-class amenitized, collaborative and sustainable office and studio space.",885,"{'maxAge': 1, 'name': 'Mr. Victor J. Coleman', 'age': 60, 'title': 'Chairman & CEO', 'yearBorn': 1962, 'fiscalYear': 2022, 'totalPay': 1967382, 'exercisedValue': 0, 'unexercisedValue': 0}",9,4,1,5,4,1693526400,1672444800,86400,2,7.0,6.82,6.79,7.05,7.0,6.82,6.79,7.05,0.5,1686873600,5.72,1.09336,-8.75,7193491,7193491,4582608,4590040,4590040,6.97,7.0,2900,4000,1004192000,4.05,12.74,0.9795925,6.1272,7.2044,0.875,0.125,USD,6777228800,-0.06205,137022822,140938000,16392995,16160574,1690761600,1693440000,0.1163,0.02873,1.07783,5.71,0.1838,19.834,0.35292932,1672444800,1703980800,1688083200,-85860000,-0.6,-0.8,-0.19,6.611,14.738,NYQ,EQUITY,HPP,HPP,"Hudson Pacific Properties, Inc.","Hudson Pacific Properties, Inc.",1277386200,America/New_York,EDT,-14400000,7.0,10.0,4.0,6.45,6.0,3.1,hold,10,126926000,0.902,459848000,4936287232,1.278,1.412,1025112000,130.787,7.272,0.00806,-0.015140001,607693000,542112000,331041984,-0.035,0.56333,0.44858003,0.11417,USD,
1,11601 Wilshire Boulevard,Ninth Floor,Los Angeles,CA,90025-1745,United States,310 445 5700,310 445 5710,https://www.HudsonPacificProperties.com,REIT—Office,Real Estate,"Hudson Pacific Properties (NYSE: HPP) is a real estate investment trust serving dynamic tech and media tenants in global epicenters for these synergistic, converging and secular growth industries. Hudson Pacific's unique and high-barrier tech and media focus leverages a full-service, end-to-end value creation platform forged through deep strategic relationships and niche expertise across identifying, acquiring, transforming and developing properties into world-class amenitized, collaborative and sustainable office and studio space.",885,"{'maxAge': 1, 'name': 'Mr. Mark T. Lammas', 'age': 55, 'title': 'Pres & Treasurer', 'yearBorn': 1967, 'fiscalYear': 2022, 'totalPay': 1236647, 'exercisedValue': 0, 'unexercisedValue': 0}",9,4,1,5,4,1693526400,1672444800,86400,2,7.0,6.82,6.79,7.05,7.0,6.82,6.79,7.05,0.5,1686873600,5.72,1.09336,-8.75,7193491,7193491,4582608,4590040,4590040,6.97,7.0,2900,4000,1004192000,4.05,12.74,0.9795925,6.1272,7.2044,0.875,0.125,USD,6777228800,-0.06205,137022822,140938000,16392995,16160574,1690761600,1693440000,0.1163,0.02873,1.07783,5.71,0.1838,19.834,0.35292932,1672444800,1703980800,1688083200,-85860000,-0.6,-0.8,-0.19,6.611,14.738,NYQ,EQUITY,HPP,HPP,"Hudson Pacific Properties, Inc.","Hudson Pacific Properties, Inc.",1277386200,America/New_York,EDT,-14400000,7.0,10.0,4.0,6.45,6.0,3.1,hold,10,126926000,0.902,459848000,4936287232,1.278,1.412,1025112000,130.787,7.272,0.00806,-0.015140001,607693000,542112000,331041984,-0.035,0.56333,0.44858003,0.11417,USD,
2,11601 Wilshire Boulevard,Ninth Floor,Los Angeles,CA,90025-1745,United States,310 445 5700,310 445 5710,https://www.HudsonPacificProperties.com,REIT—Office,Real Estate,"Hudson Pacific Properties (NYSE: HPP) is a real estate investment trust serving dynamic tech and media tenants in global epicenters for these synergistic, converging and secular growth industries. Hudson Pacific's unique and high-barrier tech and media focus leverages a full-service, end-to-end value creation platform forged through deep strategic relationships and niche expertise across identifying, acquiring, transforming and developing properties into world-class amenitized, collaborative and sustainable office and studio space.",885,"{'maxAge': 1, 'name': 'Mr. Harout Krikor Diramerian', 'age': 47, 'title': 'Chief Financial Officer', 'yearBorn': 1975, 'fiscalYear': 2022, 'totalPay': 865511, 'exercisedValue': 0, 'unexercisedValue': 0}",9,4,1,5,4,1693526400,1672444800,86400,2,7.0,6.82,6.79,7.05,7.0,6.82,6.79,7.05,0.5,1686873600,5.72,1.09336,-8.75,7193491,7193491,4582608,4590040,4590040,6.97,7.0,2900,4000,1004192000,4.05,12.74,0.9795925,6.1272,7.2044,0.875,0.125,USD,6777228800,-0.06205,137022822,140938000,16392995,16160574,1690761600,1693440000,0.1163,0.02873,1.07783,5.71,0.1838,19.834,0.35292932,1672444800,1703980800,1688083200,-85860000,-0.6,-0.8,-0.19,6.611,14.738,NYQ,EQUITY,HPP,HPP,"Hudson Pacific Properties, Inc.","Hudson Pacific Properties, Inc.",1277386200,America/New_York,EDT,-14400000,7.0,10.0,4.0,6.45,6.0,3.1,hold,10,126926000,0.902,459848000,4936287232,1.278,1.412,1025112000,130.787,7.272,0.00806,-0.015140001,607693000,542112000,331041984,-0.035,0.56333,0.44858003,0.11417,USD,
3,11601 Wilshire Boulevard,Ninth Floor,Los Angeles,CA,90025-1745,United States,310 445 5700,310 445 5710,https://www.HudsonPacificProperties.com,REIT—Office,Real Estate,"Hudson Pacific Properties (NYSE: HPP) is a real estate investment trust serving dynamic tech and media tenants in global epicenters for these synergistic, converging and secular growth industries. Hudson Pacific's unique and high-barrier tech and media focus leverages a full-service, end-to-end value creation platform forged through deep strategic relationships and niche expertise across identifying, acquiring, transforming and developing properties into world-class amenitized, collaborative and sustainable office and studio space.",885,"{'maxAge': 1, 'name': 'Ms. Kay Lee Tidwell', 'age': 45, 'title': 'Exec. VP, Gen. Counsel, Sec. & Chief Risk Officer', 'yearBorn': 1977, 'fiscalYear': 2022, 'totalPay': 959694, 'exercisedValue': 0, 'unexercisedValue': 0}",9,4,1,5,4,1693526400,1672444800,86400,2,7.0,6.82,6.79,7.05,7.0,6.82,6.79,7.05,0.5,1686873600,5.72,1.09336,-8.75,7193491,7193491,4582608,4590040,4590040,6.97,7.0,2900,4000,1004192000,4.05,12.74,0.9795925,6.1272,7.2044,0.875,0.125,USD,6777228800,-0.06205,137022822,140938000,16392995,16160574,1690761600,1693440000,0.1163,0.02873,1.07783,5.71,0.1838,19.834,0.35292932,1672444800,1703980800,1688083200,-85860000,-0.6,-0.8,-0.19,6.611,14.738,NYQ,EQUITY,HPP,HPP,"Hudson Pacific Properties, Inc.","Hudson Pacific Properties, Inc.",1277386200,America/New_York,EDT,-14400000,7.0,10.0,4.0,6.45,6.0,3.1,hold,10,126926000,0.902,459848000,4936287232,1.278,1.412,1025112000,130.787,7.272,0.00806,-0.015140001,607693000,542112000,331041984,-0.035,0.56333,0.44858003,0.11417,USD,
4,11601 Wilshire Boulevard,Ninth Floor,Los Angeles,CA,90025-1745,United States,310 445 5700,310 445 5710,https://www.HudsonPacificProperties.com,REIT—Office,Real Estate,"Hudson Pacific Properties (NYSE: HPP) is a real estate investment trust serving dynamic tech and media tenants in global epicenters for these synergistic, converging and secular growth industries. Hudson Pacific's unique and high-barrier tech and media focus leverages a full-service, end-to-end value creation platform forged through deep strategic relationships and niche expertise across identifying, acquiring, transforming and developing properties into world-class amenitized, collaborative and sustainable office and studio space.",885,"{'maxAge': 1, 'name': 'Mr. Arthur X. Suazo', 'age': 57, 'title': 'Exec. VP of Leasing', 'yearBorn': 1965, 'fiscalYear': 2022, 'totalPay': 899395, 'exercisedValue': 0, 'unexercisedValue': 0}",9,4,1,5,4,1693526400,1672444800,86400,2,7.0,6.82,6.79,7.05,7.0,6.82,6.79,7.05,0.5,1686873600,5.72,1.09336,-8.75,7193491,7193491,4582608,4590040,4590040,6.97,7.0,2900,4000,1004192000,4.05,12.74,0.9795925,6.1272,7.2044,0.875,0.125,USD,6777228800,-0.06205,137022822,140938000,16392995,16160574,1690761600,1693440000,0.1163,0.02873,1.07783,5.71,0.1838,19.834,0.35292932,1672444800,1703980800,1688083200,-85860000,-0.6,-0.8,-0.19,6.611,14.738,NYQ,EQUITY,HPP,HPP,"Hudson Pacific Properties, Inc.","Hudson Pacific Properties, Inc.",1277386200,America/New_York,EDT,-14400000,7.0,10.0,4.0,6.45,6.0,3.1,hold,10,126926000,0.902,459848000,4936287232,1.278,1.412,1025112000,130.787,7.272,0.00806,-0.015140001,607693000,542112000,331041984,-0.035,0.56333,0.44858003,0.11417,USD,
5,11601 Wilshire Boulevard,Ninth Floor,Los Angeles,CA,90025-1745,United States,310 445 5700,310 445 5710,https://www.HudsonPacificProperties.com,REIT—Office,Real Estate,"Hudson Pacific Properties (NYSE: HPP) is a real estate investment trust serving dynamic tech and media tenants in global epicenters for these synergistic, converging and secular growth industries. Hudson Pacific's unique and high-barrier tech and media focus leverages a full-service, end-to-end value creation platform forged through deep strategic relationships and niche expertise across identifying, acquiring, transforming and developing properties into world-class amenitized, collaborative and sustainable office and studio space.",885,"{'maxAge': 1, 'name': 'Mr. Steven M. Jaffe J.D.', 'age': 60, 'title': 'Exec. VP of Bus. Affairs', 'yearBorn': 1962, 'fiscalYear': 2022, 'totalPay': 988080, 'exercisedValue': 0, 'unexercisedValue': 0}",9,4,1,5,4,1693526400,1672444800,86400,2,7.0,6.82,6.79,7.05,7.0,6.82,6.79,7.05,0.5,1686873600,5.72,1.09336,-8.75,7193491,7193491,4582608,4590040,4590040,6.97,7.0,2900,4000,1004192000,4.05,12.74,0.9795925,6.1272,7.2044,0.875,0.125,USD,6777228800,-0.06205,137022822,140938000,16392995,16160574,1690761600,1693440000,0.1163,0.02873,1.07783,5.71,0.1838,19.834,0.35292932,1672444800,1703980800,1688083200,-85860000,-0.6,-0.8,-0.19,6.611,14.738,NYQ,EQUITY,HPP,HPP,"Hudson Pacific Properties, Inc.","Hudson Pacific Properties, Inc.",1277386200,America/New_York,EDT,-14400000,7.0,10.0,4.0,6.45,6.0,3.1,hold,10,126926000,0.902,459848000,4936287232,1.278,1.412,1025112000,130.787,7.272,0.00806,-0.015140001,607693000,542112000,331041984,-0.035,0.56333,0.44858003,0.11417,USD,
6,11601 Wilshire Boulevard,Ninth Floor,Los Angeles,CA,90025-1745,United States,310 445 5700,310 445 5710,https://www.HudsonPacificProperties.com,REIT—Office,Real Estate,"Hudson Pacific Properties (NYSE: HPP) is a real estate investment trust serving dynamic tech and media tenants in global epicenters for these synergistic, converging and secular growth industries. Hudson Pacific's unique and high-barrier tech and media focus leverages a full-service, end-to-end value creation platform forged through deep strategic relationships and niche expertise across identifying, acquiring, transforming and developing properties into world-class amenitized, collaborative and sustainable office and studio space.",885,"{'maxAge': 1, 'name': 'Mr. Andy  Wattula', 'age': 46, 'title': 'Chief Operating Officer', 'yearBorn': 1976, 'exercisedValue': 0, 'unexercisedValue': 0}",9,4,1,5,4,1693526400,1672444800,86400,2,7.0,6.82,6.79,7.05,7.0,6.82,6.79,7.05,0.5,1686873600,5.72,1.09336,-8.75,7193491,7193491,4582608,4590040,4590040,6.97,7.0,2900,4000,1004192000,4.05,12.74,0.9795925,6.1272,7.2044,0.875,0.125,USD,6777228800,-0.06205,137022822,140938000,16392995,16160574,1690761600,1693440000,0.1163,0.02873,1.07783,5.71,0.1838,19.834,0.35292932,1672444800,1703980800,1688083200,-85860000,-0.6,-0.8,-0.19,6.611,14.738,NYQ,EQUITY,HPP,HPP,"Hudson Pacific Properties, Inc.","Hudson Pacific Properties, Inc.",1277386200,America/New_York,EDT,-14400000,7.0,10.0,4.0,6.45,6.0,3.1,hold,10,126926000,0.902,459848000,4936287232,1.278,1.412,1025112000,130.787,7.272,0.00806,-0.015140001,607693000,542112000,331041984,-0.035,0.56333,0.44858003,0.11417,USD,
7,11601 Wilshire Boulevard,Ninth Floor,Los Angeles,CA,90025-1745,United States,310 445 5700,310 445 5710,https://www.HudsonPacificProperties.com,REIT—Office,Real Estate,"Hudson Pacific Properties (NYSE: HPP) is a real estate investment trust serving dynamic tech and media tenants in global epicenters for these synergistic, converging and secular growth industries. Hudson Pacific's unique and high-barrier tech and media focus leverages a full-service, end-to-end value creation platform forged through deep strategic relationships and niche expertise across identifying, acquiring, transforming and developing properties into world-class amenitized, collaborative and sustainable office and studio space.",885,"{'maxAge': 1, 'name': 'Mr. Drew B. Gordon', 'age': 55, 'title': 'Chief Investment Officer', 'yearBorn': 1967, 'exercisedValue': 0, 'unexercisedValue': 0}",9,4,1,5,4,1693526400,1672444800,86400,2,7.0,6.82,6.79,7.05,7.0,6.82,6.79,7.05,0.5,1686873600,5.72,1.09336,-8.75,7193491,7193491,4582608,4590040,4590040,6.97,7.0,2900,4000,1004192000,4.05,12.74,0.9795925,6.1272,7.2044,0.875,0.125,USD,6777228800,-0.06205,137022822,140938000,16392995,16160574,1690761600,1693440000,0.1163,0.02873,1.07783,5.71,0.1838,19.834,0.35292932,1672444800,1703980800,1688083200,-85860000,-0.6,-0.8,-0.19,6.611,14.738,NYQ,EQUITY,HPP,HPP,"Hudson Pacific Properties, Inc.","Hudson Pacific Properties, Inc.",1277386200,America/New_York,EDT,-14400000,7.0,10.0,4.0,6.45,6.0,3.1,hold,10,126926000,0.902,459848000,4936287232,1.278,1.412,1025112000,130.787,7.272,0.00806,-0.015140001,607693000,542112000,331041984,-0.035,0.56333,0.44858003,0.11417,USD,
8,11601 Wilshire Boulevard,Ninth Floor,Los Angeles,CA,90025-1745,United States,310 445 5700,310 445 5710,https://www.HudsonPacificProperties.com,REIT—Office,Real Estate,"Hudson Pacific Properties (NYSE: HPP) is a real estate investment trust serving dynamic tech and media tenants in global epicenters for these synergistic, converging and secular growth industries. Hudson Pacific's unique and high-barrier tech and media focus leverages a full-service, end-to-end value creation platform forged through deep strategic relationships and niche expertise across identifying, acquiring, transforming and developing properties into world-class amenitized, collaborative and sustainable office and studio space.",885,"{'maxAge': 1, 'name': 'Ms. Eunice  Wong', 'title': 'Sr. VP of Accounting', 'exercisedValue': 0, 'unexercisedValue': 0}",9,4,1,5,4,1693526400,1672444800,86400,2,7.0,6.82,6.79,7.05,7.0,6.82,6.79,7.05,0.5,1686873600,5.72,1.09336,-8.75,7193491,7193491,4582608,4590040,4590040,6.97,7.0,2900,4000,1004192000,4.05,12.74,0.9795925,6.1272,7.2044,0.875,0.125,USD,6777228800,-0.06205,137022822,140938000,16392995,16160574,1690761600,1693440000,0.1163,0.02873,1.07783,5.71,0.1838,19.834,0.35292932,1672444800,1703980800,1688083200,-85860000,-0.6,-0.8,-0.19,6.611,14.738,NYQ,EQUITY,HPP,HPP,"Hudson Pacific Properties, Inc.","Hudson Pacific Properties, Inc.",1277386200,America/New_York,EDT,-14400000,7.0,10.0,4.0,6.45,6.0,3.1,hold,10,126926000,0.902,459848000,4936287232,1.278,1.412,1025112000,130.787,7.272,0.00806,-0.015140001,607693000,542112000,331041984,-0.035,0.56333,0.44858003,0.11417,USD,
9,11601 Wilshire Boulevard,Ninth Floor,Los Angeles,CA,90025-1745,United States,310 445 5700,310 445 5710,https://www.HudsonPacificProperties.com,REIT—Office,Real Estate,"Hudson Pacific Properties (NYSE: HPP) is a real estate investment trust serving dynamic tech and media tenants in global epicenters for these synergistic, converging and secular growth industries. Hudson Pacific's unique and high-barrier tech and media focus leverages a full-service, end-to-end value creation platform forged through deep strategic relationships and niche expertise across identifying, acquiring, transforming and developing properties into world-class amenitized, collaborative and sustainable office and studio space.",885,"{'maxAge': 1, 'name': 'Ms. Laura  Campbell', 'title': 'Exec. VP of Investor Relations & Marketing', 'exercisedValue': 0, 'unexercisedValue': 0}",9,4,1,5,4,1693526400,1672444800,86400,2,7.0,6.82,6.79,7.05,7.0,6.82,6.79,7.05,0.5,1686873600,5.72,1.09336,-8.75,7193491,7193491,4582608,4590040,4590040,6.97,7.0,2900,4000,1004192000,4.05,12.74,0.9795925,6.1272,7.2044,0.875,0.125,USD,6777228800,-0.06205,137022822,140938000,16392995,16160574,1690761600,1693440000,0.1163,0.02873,1.07783,5.71,0.1838,19.834,0.35292932,1672444800,1703980800,1688083200,-85860000,-0.6,-0.8,-0.19,6.611,14.738,NYQ,EQUITY,HPP,HPP,"Hudson Pacific Properties, Inc.","Hudson Pacific Properties, Inc.",1277386200,America/New_York,EDT,-14400000,7.0,10.0,4.0,6.45,6.0,3.1,hold,10,126926000,0.902,459848000,4936287232,1.278,1.412,1025112000,130.787,7.272,0.00806,-0.015140001,607693000,542112000,331041984,-0.035,0.56333,0.44858003,0.11417,USD,
