,address1,address2,city,state,zip,country,phone,fax,website,industry,industryDisp,sector,sectorDisp,longBusinessSummary,fullTimeEmployees,companyOfficers,auditRisk,boardRisk,compensationRisk,shareHolderRightsRisk,overallRisk,governanceEpochDate,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,dividendRate,dividendYield,exDividendDate,payoutRatio,fiveYearAvgDividendYield,beta,trailingPE,forwardPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,sharesShort,sharesShortPriorMonth,sharesShortPreviousMonthDate,dateShortInterest,sharesPercentSharesOut,heldPercentInsiders,heldPercentInstitutions,shortRatio,shortPercentOfFloat,impliedSharesOutstanding,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,earningsQuarterlyGrowth,netIncomeToCommon,trailingEps,forwardEps,pegRatio,enterpriseToRevenue,enterpriseToEbitda,52WeekChange,SandP52WeekChange,lastDividendValue,lastDividendDate,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,uuid,messageBoardId,gmtOffSetMilliseconds,currentPrice,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,recommendationMean,recommendationKey,numberOfAnalystOpinions,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,freeCashflow,operatingCashflow,earningsGrowth,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,145 King Street East,Suite 400,Toronto,ON,M5C 2Y7,Canada,416 947 1212,416 367 4681,https://www.agnicoeagle.com,Gold,Gold,Basic Materials,Basic Materials,"Agnico Eagle Mines Limited, a gold mining company, exploration, development, and production of precious metals. The company's mines are located in Canada, Australia, Finland and Mexico, with exploration and development activities in Canada, Australia, Europe, Latin America, and the United States. Agnico Eagle Mines Limited was incorporated in 1953 and is headquartered in Toronto, Canada.",10125,"{'maxAge': 1, 'name': 'Mr. Sean  Boyd C.A., CPA, F.C.A., FCPA', 'age': 63, 'title': 'Exec. Chairman', 'yearBorn': 1959, 'fiscalYear': 2022, 'totalPay': 9985105, 'exercisedValue': 0, 'unexercisedValue': 0}",5,9,10,1,10,1693526400,1672444800,86400,2,65.01,65.52,65.52,66.67,65.01,65.52,65.52,66.67,2.14,0.033,1701302400,0.3206,1.96,0.839903,9.823965,21.422583,3801903,3801903,1209690,1634560,1634560,66.33,66.33,32863920128,50.51,82.9,5.421055,65.988,69.5869,1.6,0.024611598,CAD,33844711424,0.39663,494121912,494864000,1684600,3840825,1690761600,1693440000,0.0034,0.00113,0.67278,1.32,0.0036000002,494864000,40.321,1.6470327,1672444800,1703980800,1688083200,0.125,2404495872,6.76,3.1,-1.86,5.583,12.538,0.19614553,0.14113986,0.541,1693440000,TOR,EQUITY,AEM.TO,AEM.TO,AGNICO EAGLE MINES LIMITED,Agnico Eagle Mines Limited,789921000,America/Toronto,EDT,7f4a14ac-de29-311a-99a8-cc64aae423e8,finmb_248095,-14400000,66.41,97.31,48.18,87.56,90.79,1.8,buy,14,441854016,0.893,2699461632,2115442944,0.611,2.097,6062274048,10.602,12.941,0.03507,0.13276,618043072,2327550976,0.044,0.087,0.54014,0.44529,0.24298,USD,
1,145 King Street East,Suite 400,Toronto,ON,M5C 2Y7,Canada,416 947 1212,416 367 4681,https://www.agnicoeagle.com,Gold,Gold,Basic Materials,Basic Materials,"Agnico Eagle Mines Limited, a gold mining company, exploration, development, and production of precious metals. The company's mines are located in Canada, Australia, Finland and Mexico, with exploration and development activities in Canada, Australia, Europe, Latin America, and the United States. Agnico Eagle Mines Limited was incorporated in 1953 and is headquartered in Toronto, Canada.",10125,"{'maxAge': 1, 'name': 'Mr. Ammar  Al-Joundi M.B.A.', 'age': 58, 'title': 'CEO, Pres & Director', 'yearBorn': 1964, 'fiscalYear': 2022, 'totalPay': 3928516, 'exercisedValue': 0, 'unexercisedValue': 0}",5,9,10,1,10,1693526400,1672444800,86400,2,65.01,65.52,65.52,66.67,65.01,65.52,65.52,66.67,2.14,0.033,1701302400,0.3206,1.96,0.839903,9.823965,21.422583,3801903,3801903,1209690,1634560,1634560,66.33,66.33,32863920128,50.51,82.9,5.421055,65.988,69.5869,1.6,0.024611598,CAD,33844711424,0.39663,494121912,494864000,1684600,3840825,1690761600,1693440000,0.0034,0.00113,0.67278,1.32,0.0036000002,494864000,40.321,1.6470327,1672444800,1703980800,1688083200,0.125,2404495872,6.76,3.1,-1.86,5.583,12.538,0.19614553,0.14113986,0.541,1693440000,TOR,EQUITY,AEM.TO,AEM.TO,AGNICO EAGLE MINES LIMITED,Agnico Eagle Mines Limited,789921000,America/Toronto,EDT,7f4a14ac-de29-311a-99a8-cc64aae423e8,finmb_248095,-14400000,66.41,97.31,48.18,87.56,90.79,1.8,buy,14,441854016,0.893,2699461632,2115442944,0.611,2.097,6062274048,10.602,12.941,0.03507,0.13276,618043072,2327550976,0.044,0.087,0.54014,0.44529,0.24298,USD,
2,145 King Street East,Suite 400,Toronto,ON,M5C 2Y7,Canada,416 947 1212,416 367 4681,https://www.agnicoeagle.com,Gold,Gold,Basic Materials,Basic Materials,"Agnico Eagle Mines Limited, a gold mining company, exploration, development, and production of precious metals. The company's mines are located in Canada, Australia, Finland and Mexico, with exploration and development activities in Canada, Australia, Europe, Latin America, and the United States. Agnico Eagle Mines Limited was incorporated in 1953 and is headquartered in Toronto, Canada.",10125,"{'maxAge': 1, 'name': 'Mr. Jean  Robitaille', 'age': 59, 'title': 'Exec. VP and Chief Strategy & Technology Officer', 'yearBorn': 1963, 'fiscalYear': 2022, 'totalPay': 1388442, 'exercisedValue': 573141, 'unexercisedValue': 0}",5,9,10,1,10,1693526400,1672444800,86400,2,65.01,65.52,65.52,66.67,65.01,65.52,65.52,66.67,2.14,0.033,1701302400,0.3206,1.96,0.839903,9.823965,21.422583,3801903,3801903,1209690,1634560,1634560,66.33,66.33,32863920128,50.51,82.9,5.421055,65.988,69.5869,1.6,0.024611598,CAD,33844711424,0.39663,494121912,494864000,1684600,3840825,1690761600,1693440000,0.0034,0.00113,0.67278,1.32,0.0036000002,494864000,40.321,1.6470327,1672444800,1703980800,1688083200,0.125,2404495872,6.76,3.1,-1.86,5.583,12.538,0.19614553,0.14113986,0.541,1693440000,TOR,EQUITY,AEM.TO,AEM.TO,AGNICO EAGLE MINES LIMITED,Agnico Eagle Mines Limited,789921000,America/Toronto,EDT,7f4a14ac-de29-311a-99a8-cc64aae423e8,finmb_248095,-14400000,66.41,97.31,48.18,87.56,90.79,1.8,buy,14,441854016,0.893,2699461632,2115442944,0.611,2.097,6062274048,10.602,12.941,0.03507,0.13276,618043072,2327550976,0.044,0.087,0.54014,0.44529,0.24298,USD,
3,145 King Street East,Suite 400,Toronto,ON,M5C 2Y7,Canada,416 947 1212,416 367 4681,https://www.agnicoeagle.com,Gold,Gold,Basic Materials,Basic Materials,"Agnico Eagle Mines Limited, a gold mining company, exploration, development, and production of precious metals. The company's mines are located in Canada, Australia, Finland and Mexico, with exploration and development activities in Canada, Australia, Europe, Latin America, and the United States. Agnico Eagle Mines Limited was incorporated in 1953 and is headquartered in Toronto, Canada.",10125,"{'maxAge': 1, 'name': 'Mr. Dominique  Girard B.Sc., ENG., P.Eng.', 'title': 'Exec. VP and COO of Nunavut, Quebec & Europe', 'fiscalYear': 2022, 'totalPay': 1056498, 'exercisedValue': 61234, 'unexercisedValue': 0}",5,9,10,1,10,1693526400,1672444800,86400,2,65.01,65.52,65.52,66.67,65.01,65.52,65.52,66.67,2.14,0.033,1701302400,0.3206,1.96,0.839903,9.823965,21.422583,3801903,3801903,1209690,1634560,1634560,66.33,66.33,32863920128,50.51,82.9,5.421055,65.988,69.5869,1.6,0.024611598,CAD,33844711424,0.39663,494121912,494864000,1684600,3840825,1690761600,1693440000,0.0034,0.00113,0.67278,1.32,0.0036000002,494864000,40.321,1.6470327,1672444800,1703980800,1688083200,0.125,2404495872,6.76,3.1,-1.86,5.583,12.538,0.19614553,0.14113986,0.541,1693440000,TOR,EQUITY,AEM.TO,AEM.TO,AGNICO EAGLE MINES LIMITED,Agnico Eagle Mines Limited,789921000,America/Toronto,EDT,7f4a14ac-de29-311a-99a8-cc64aae423e8,finmb_248095,-14400000,66.41,97.31,48.18,87.56,90.79,1.8,buy,14,441854016,0.893,2699461632,2115442944,0.611,2.097,6062274048,10.602,12.941,0.03507,0.13276,618043072,2327550976,0.044,0.087,0.54014,0.44529,0.24298,USD,
4,145 King Street East,Suite 400,Toronto,ON,M5C 2Y7,Canada,416 947 1212,416 367 4681,https://www.agnicoeagle.com,Gold,Gold,Basic Materials,Basic Materials,"Agnico Eagle Mines Limited, a gold mining company, exploration, development, and production of precious metals. The company's mines are located in Canada, Australia, Finland and Mexico, with exploration and development activities in Canada, Australia, Europe, Latin America, and the United States. Agnico Eagle Mines Limited was incorporated in 1953 and is headquartered in Toronto, Canada.",10125,"{'maxAge': 1, 'name': 'Mr. James R. Porter B.A.Sc., CPA, CA, CPA, (Illinois)', 'title': 'Exec. VP of Fin. & Chief Financial Officer', 'exercisedValue': 0, 'unexercisedValue': 0}",5,9,10,1,10,1693526400,1672444800,86400,2,65.01,65.52,65.52,66.67,65.01,65.52,65.52,66.67,2.14,0.033,1701302400,0.3206,1.96,0.839903,9.823965,21.422583,3801903,3801903,1209690,1634560,1634560,66.33,66.33,32863920128,50.51,82.9,5.421055,65.988,69.5869,1.6,0.024611598,CAD,33844711424,0.39663,494121912,494864000,1684600,3840825,1690761600,1693440000,0.0034,0.00113,0.67278,1.32,0.0036000002,494864000,40.321,1.6470327,1672444800,1703980800,1688083200,0.125,2404495872,6.76,3.1,-1.86,5.583,12.538,0.19614553,0.14113986,0.541,1693440000,TOR,EQUITY,AEM.TO,AEM.TO,AGNICO EAGLE MINES LIMITED,Agnico Eagle Mines Limited,789921000,America/Toronto,EDT,7f4a14ac-de29-311a-99a8-cc64aae423e8,finmb_248095,-14400000,66.41,97.31,48.18,87.56,90.79,1.8,buy,14,441854016,0.893,2699461632,2115442944,0.611,2.097,6062274048,10.602,12.941,0.03507,0.13276,618043072,2327550976,0.044,0.087,0.54014,0.44529,0.24298,USD,
5,145 King Street East,Suite 400,Toronto,ON,M5C 2Y7,Canada,416 947 1212,416 367 4681,https://www.agnicoeagle.com,Gold,Gold,Basic Materials,Basic Materials,"Agnico Eagle Mines Limited, a gold mining company, exploration, development, and production of precious metals. The company's mines are located in Canada, Australia, Finland and Mexico, with exploration and development activities in Canada, Australia, Europe, Latin America, and the United States. Agnico Eagle Mines Limited was incorporated in 1953 and is headquartered in Toronto, Canada.",10125,"{'maxAge': 1, 'name': 'Mr. Christopher  Vollmershausen L.L.B.', 'title': 'Exec. VP of Legal, Gen. Counsel & Corp. Sec.', 'exercisedValue': 0, 'unexercisedValue': 0}",5,9,10,1,10,1693526400,1672444800,86400,2,65.01,65.52,65.52,66.67,65.01,65.52,65.52,66.67,2.14,0.033,1701302400,0.3206,1.96,0.839903,9.823965,21.422583,3801903,3801903,1209690,1634560,1634560,66.33,66.33,32863920128,50.51,82.9,5.421055,65.988,69.5869,1.6,0.024611598,CAD,33844711424,0.39663,494121912,494864000,1684600,3840825,1690761600,1693440000,0.0034,0.00113,0.67278,1.32,0.0036000002,494864000,40.321,1.6470327,1672444800,1703980800,1688083200,0.125,2404495872,6.76,3.1,-1.86,5.583,12.538,0.19614553,0.14113986,0.541,1693440000,TOR,EQUITY,AEM.TO,AEM.TO,AGNICO EAGLE MINES LIMITED,Agnico Eagle Mines Limited,789921000,America/Toronto,EDT,7f4a14ac-de29-311a-99a8-cc64aae423e8,finmb_248095,-14400000,66.41,97.31,48.18,87.56,90.79,1.8,buy,14,441854016,0.893,2699461632,2115442944,0.611,2.097,6062274048,10.602,12.941,0.03507,0.13276,618043072,2327550976,0.044,0.087,0.54014,0.44529,0.24298,USD,
6,145 King Street East,Suite 400,Toronto,ON,M5C 2Y7,Canada,416 947 1212,416 367 4681,https://www.agnicoeagle.com,Gold,Gold,Basic Materials,Basic Materials,"Agnico Eagle Mines Limited, a gold mining company, exploration, development, and production of precious metals. The company's mines are located in Canada, Australia, Finland and Mexico, with exploration and development activities in Canada, Australia, Europe, Latin America, and the United States. Agnico Eagle Mines Limited was incorporated in 1953 and is headquartered in Toronto, Canada.",10125,"{'maxAge': 1, 'name': 'Mr. Peter J. Netupsky C.A., C.F.A., CPA', 'age': 41, 'title': 'VP of Corp. Devel.', 'yearBorn': 1981, 'exercisedValue': 0, 'unexercisedValue': 0}",5,9,10,1,10,1693526400,1672444800,86400,2,65.01,65.52,65.52,66.67,65.01,65.52,65.52,66.67,2.14,0.033,1701302400,0.3206,1.96,0.839903,9.823965,21.422583,3801903,3801903,1209690,1634560,1634560,66.33,66.33,32863920128,50.51,82.9,5.421055,65.988,69.5869,1.6,0.024611598,CAD,33844711424,0.39663,494121912,494864000,1684600,3840825,1690761600,1693440000,0.0034,0.00113,0.67278,1.32,0.0036000002,494864000,40.321,1.6470327,1672444800,1703980800,1688083200,0.125,2404495872,6.76,3.1,-1.86,5.583,12.538,0.19614553,0.14113986,0.541,1693440000,TOR,EQUITY,AEM.TO,AEM.TO,AGNICO EAGLE MINES LIMITED,Agnico Eagle Mines Limited,789921000,America/Toronto,EDT,7f4a14ac-de29-311a-99a8-cc64aae423e8,finmb_248095,-14400000,66.41,97.31,48.18,87.56,90.79,1.8,buy,14,441854016,0.893,2699461632,2115442944,0.611,2.097,6062274048,10.602,12.941,0.03507,0.13276,618043072,2327550976,0.044,0.087,0.54014,0.44529,0.24298,USD,
7,145 King Street East,Suite 400,Toronto,ON,M5C 2Y7,Canada,416 947 1212,416 367 4681,https://www.agnicoeagle.com,Gold,Gold,Basic Materials,Basic Materials,"Agnico Eagle Mines Limited, a gold mining company, exploration, development, and production of precious metals. The company's mines are located in Canada, Australia, Finland and Mexico, with exploration and development activities in Canada, Australia, Europe, Latin America, and the United States. Agnico Eagle Mines Limited was incorporated in 1953 and is headquartered in Toronto, Canada.",10125,"{'maxAge': 1, 'name': 'Mr. Jason  Allaire', 'title': 'VP of Health, Safety, Social Affairs & People', 'exercisedValue': 0, 'unexercisedValue': 0}",5,9,10,1,10,1693526400,1672444800,86400,2,65.01,65.52,65.52,66.67,65.01,65.52,65.52,66.67,2.14,0.033,1701302400,0.3206,1.96,0.839903,9.823965,21.422583,3801903,3801903,1209690,1634560,1634560,66.33,66.33,32863920128,50.51,82.9,5.421055,65.988,69.5869,1.6,0.024611598,CAD,33844711424,0.39663,494121912,494864000,1684600,3840825,1690761600,1693440000,0.0034,0.00113,0.67278,1.32,0.0036000002,494864000,40.321,1.6470327,1672444800,1703980800,1688083200,0.125,2404495872,6.76,3.1,-1.86,5.583,12.538,0.19614553,0.14113986,0.541,1693440000,TOR,EQUITY,AEM.TO,AEM.TO,AGNICO EAGLE MINES LIMITED,Agnico Eagle Mines Limited,789921000,America/Toronto,EDT,7f4a14ac-de29-311a-99a8-cc64aae423e8,finmb_248095,-14400000,66.41,97.31,48.18,87.56,90.79,1.8,buy,14,441854016,0.893,2699461632,2115442944,0.611,2.097,6062274048,10.602,12.941,0.03507,0.13276,618043072,2327550976,0.044,0.087,0.54014,0.44529,0.24298,USD,
8,145 King Street East,Suite 400,Toronto,ON,M5C 2Y7,Canada,416 947 1212,416 367 4681,https://www.agnicoeagle.com,Gold,Gold,Basic Materials,Basic Materials,"Agnico Eagle Mines Limited, a gold mining company, exploration, development, and production of precious metals. The company's mines are located in Canada, Australia, Finland and Mexico, with exploration and development activities in Canada, Australia, Europe, Latin America, and the United States. Agnico Eagle Mines Limited was incorporated in 1953 and is headquartered in Toronto, Canada.",10125,"{'maxAge': 1, 'name': 'Mr. Guy  Gosselin Eng., Ing, M.Sc., P.Eng., P.Geo.', 'title': 'Exec. VP of Exploration', 'exercisedValue': 0, 'unexercisedValue': 0}",5,9,10,1,10,1693526400,1672444800,86400,2,65.01,65.52,65.52,66.67,65.01,65.52,65.52,66.67,2.14,0.033,1701302400,0.3206,1.96,0.839903,9.823965,21.422583,3801903,3801903,1209690,1634560,1634560,66.33,66.33,32863920128,50.51,82.9,5.421055,65.988,69.5869,1.6,0.024611598,CAD,33844711424,0.39663,494121912,494864000,1684600,3840825,1690761600,1693440000,0.0034,0.00113,0.67278,1.32,0.0036000002,494864000,40.321,1.6470327,1672444800,1703980800,1688083200,0.125,2404495872,6.76,3.1,-1.86,5.583,12.538,0.19614553,0.14113986,0.541,1693440000,TOR,EQUITY,AEM.TO,AEM.TO,AGNICO EAGLE MINES LIMITED,Agnico Eagle Mines Limited,789921000,America/Toronto,EDT,7f4a14ac-de29-311a-99a8-cc64aae423e8,finmb_248095,-14400000,66.41,97.31,48.18,87.56,90.79,1.8,buy,14,441854016,0.893,2699461632,2115442944,0.611,2.097,6062274048,10.602,12.941,0.03507,0.13276,618043072,2327550976,0.044,0.087,0.54014,0.44529,0.24298,USD,
9,145 King Street East,Suite 400,Toronto,ON,M5C 2Y7,Canada,416 947 1212,416 367 4681,https://www.agnicoeagle.com,Gold,Gold,Basic Materials,Basic Materials,"Agnico Eagle Mines Limited, a gold mining company, exploration, development, and production of precious metals. The company's mines are located in Canada, Australia, Finland and Mexico, with exploration and development activities in Canada, Australia, Europe, Latin America, and the United States. Agnico Eagle Mines Limited was incorporated in 1953 and is headquartered in Toronto, Canada.",10125,"{'maxAge': 1, 'name': 'Ms. Natasha Nella Dominica Vaz MBA, P. Eng.', 'age': 42, 'title': 'Exec. VP and COO of Ontario, Australia & Mexico', 'yearBorn': 1980, 'exercisedValue': 0, 'unexercisedValue': 0}",5,9,10,1,10,1693526400,1672444800,86400,2,65.01,65.52,65.52,66.67,65.01,65.52,65.52,66.67,2.14,0.033,1701302400,0.3206,1.96,0.839903,9.823965,21.422583,3801903,3801903,1209690,1634560,1634560,66.33,66.33,32863920128,50.51,82.9,5.421055,65.988,69.5869,1.6,0.024611598,CAD,33844711424,0.39663,494121912,494864000,1684600,3840825,1690761600,1693440000,0.0034,0.00113,0.67278,1.32,0.0036000002,494864000,40.321,1.6470327,1672444800,1703980800,1688083200,0.125,2404495872,6.76,3.1,-1.86,5.583,12.538,0.19614553,0.14113986,0.541,1693440000,TOR,EQUITY,AEM.TO,AEM.TO,AGNICO EAGLE MINES LIMITED,Agnico Eagle Mines Limited,789921000,America/Toronto,EDT,7f4a14ac-de29-311a-99a8-cc64aae423e8,finmb_248095,-14400000,66.41,97.31,48.18,87.56,90.79,1.8,buy,14,441854016,0.893,2699461632,2115442944,0.611,2.097,6062274048,10.602,12.941,0.03507,0.13276,618043072,2327550976,0.044,0.087,0.54014,0.44529,0.24298,USD,
