,address1,address2,city,zip,country,phone,website,industry,industryDisp,sector,sectorDisp,longBusinessSummary,fullTimeEmployees,companyOfficers,auditRisk,boardRisk,compensationRisk,shareHolderRightsRisk,overallRisk,governanceEpochDate,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,dividendRate,dividendYield,exDividendDate,payoutRatio,beta,trailingPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,heldPercentInsiders,heldPercentInstitutions,impliedSharesOutstanding,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,earningsQuarterlyGrowth,netIncomeToCommon,trailingEps,enterpriseToRevenue,enterpriseToEbitda,52WeekChange,SandP52WeekChange,lastDividendValue,lastDividendDate,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,uuid,messageBoardId,gmtOffSetMilliseconds,currentPrice,recommendationKey,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,freeCashflow,operatingCashflow,earningsGrowth,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,"1-1, Minatojima-Nakamachi 7-chome",Chuo-ku,Kobe,650-8555,Japan,81 50 1745 2248,https://corp.asics.com/jp,Footwear & Accessories,Footwear & Accessories,Consumer Cyclical,Consumer Cyclical,"ASICS Corporation manufactures and sells sporting goods in Japan, North America, Europe, China, Oceania, Southeast and South Asia, and internationally. It offers running shoes, apparel, and sports accessories and equipment. The company sells its products under the ASICS, ASICSTIGER, and Onitsuka Tiger brands through retail stores, as well as online. ASICS Corporation was incorporated in 1943 and is headquartered in Kobe, Japan.",8886,"{'maxAge': 1, 'name': 'Mr. Yasuhito  Hirota', 'age': 66, 'title': 'Pres, CEO, COO & Representative Director', 'yearBorn': 1956, 'fiscalYear': 2021, 'totalPay': 852642, 'exercisedValue': 0, 'unexercisedValue': 0}",1,2,1,5,2,1693526400,1640908800,86400,2,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,0.46,0.012999999,1703721600,0.2887,1.385885,30.172415,1,1,70,0,0,0.0,0.0,0,0,7001189888,15.75,36.07,0.012738701,33.1734,26.5268,49.0,1.4,USD,68693180416,0.05662,179129321,183160000,0.026800001,0.54307,200034000,1141.269,0.030667616,1672444800,1703980800,1688083200,0.754,31121000448,1.16,0.125,1.036,0.9146608,0.14113986,0.152,1687996800,PNK,EQUITY,ASCCF,ASCCF,ASICS CORP,ASICS Corporation,1331731800,America/New_York,EDT,78996118-08bd-3314-9bbc-4a5e65e5d812,finmb_875663,-14400000,35.0,none,70315999232,383.75,66282000384,130788999168,0.931,1.934,549600002048,62.007,3000.434,0.07022,0.15819,240707000000,16567124992,24739999744,0.754,0.151,0.5044,0.12060001,0.087919995,JPY,
1,"1-1, Minatojima-Nakamachi 7-chome",Chuo-ku,Kobe,650-8555,Japan,81 50 1745 2248,https://corp.asics.com/jp,Footwear & Accessories,Footwear & Accessories,Consumer Cyclical,Consumer Cyclical,"ASICS Corporation manufactures and sells sporting goods in Japan, North America, Europe, China, Oceania, Southeast and South Asia, and internationally. It offers running shoes, apparel, and sports accessories and equipment. The company sells its products under the ASICS, ASICSTIGER, and Onitsuka Tiger brands through retail stores, as well as online. ASICS Corporation was incorporated in 1943 and is headquartered in Kobe, Japan.",8886,"{'maxAge': 1, 'name': 'Koji  Hayashi', 'title': 'Sr. GM of Acc.& Fin. Division, Exec. Officer and Director in Charge of Corp. Strategy', 'exercisedValue': 0, 'unexercisedValue': 0}",1,2,1,5,2,1693526400,1640908800,86400,2,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,0.46,0.012999999,1703721600,0.2887,1.385885,30.172415,1,1,70,0,0,0.0,0.0,0,0,7001189888,15.75,36.07,0.012738701,33.1734,26.5268,49.0,1.4,USD,68693180416,0.05662,179129321,183160000,0.026800001,0.54307,200034000,1141.269,0.030667616,1672444800,1703980800,1688083200,0.754,31121000448,1.16,0.125,1.036,0.9146608,0.14113986,0.152,1687996800,PNK,EQUITY,ASCCF,ASCCF,ASICS CORP,ASICS Corporation,1331731800,America/New_York,EDT,78996118-08bd-3314-9bbc-4a5e65e5d812,finmb_875663,-14400000,35.0,none,70315999232,383.75,66282000384,130788999168,0.931,1.934,549600002048,62.007,3000.434,0.07022,0.15819,240707000000,16567124992,24739999744,0.754,0.151,0.5044,0.12060001,0.087919995,JPY,
2,"1-1, Minatojima-Nakamachi 7-chome",Chuo-ku,Kobe,650-8555,Japan,81 50 1745 2248,https://corp.asics.com/jp,Footwear & Accessories,Footwear & Accessories,Consumer Cyclical,Consumer Cyclical,"ASICS Corporation manufactures and sells sporting goods in Japan, North America, Europe, China, Oceania, Southeast and South Asia, and internationally. It offers running shoes, apparel, and sports accessories and equipment. The company sells its products under the ASICS, ASICSTIGER, and Onitsuka Tiger brands through retail stores, as well as online. ASICS Corporation was incorporated in 1943 and is headquartered in Kobe, Japan.",8886,"{'maxAge': 1, 'name': 'Takeshi  Horikomi', 'title': 'Sr. GM of Legal & IP Div, Dty. Director in Charge of Risk Mgt. & Sustainability Div. and Ex. Off.', 'exercisedValue': 0, 'unexercisedValue': 0}",1,2,1,5,2,1693526400,1640908800,86400,2,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,0.46,0.012999999,1703721600,0.2887,1.385885,30.172415,1,1,70,0,0,0.0,0.0,0,0,7001189888,15.75,36.07,0.012738701,33.1734,26.5268,49.0,1.4,USD,68693180416,0.05662,179129321,183160000,0.026800001,0.54307,200034000,1141.269,0.030667616,1672444800,1703980800,1688083200,0.754,31121000448,1.16,0.125,1.036,0.9146608,0.14113986,0.152,1687996800,PNK,EQUITY,ASCCF,ASCCF,ASICS CORP,ASICS Corporation,1331731800,America/New_York,EDT,78996118-08bd-3314-9bbc-4a5e65e5d812,finmb_875663,-14400000,35.0,none,70315999232,383.75,66282000384,130788999168,0.931,1.934,549600002048,62.007,3000.434,0.07022,0.15819,240707000000,16567124992,24739999744,0.754,0.151,0.5044,0.12060001,0.087919995,JPY,
3,"1-1, Minatojima-Nakamachi 7-chome",Chuo-ku,Kobe,650-8555,Japan,81 50 1745 2248,https://corp.asics.com/jp,Footwear & Accessories,Footwear & Accessories,Consumer Cyclical,Consumer Cyclical,"ASICS Corporation manufactures and sells sporting goods in Japan, North America, Europe, China, Oceania, Southeast and South Asia, and internationally. It offers running shoes, apparel, and sports accessories and equipment. The company sells its products under the ASICS, ASICSTIGER, and Onitsuka Tiger brands through retail stores, as well as online. ASICS Corporation was incorporated in 1943 and is headquartered in Kobe, Japan.",8886,"{'maxAge': 1, 'name': 'Takaaki  Kondo', 'title': 'Exec. Officer & Sr. GM of Marketing Division', 'exercisedValue': 0, 'unexercisedValue': 0}",1,2,1,5,2,1693526400,1640908800,86400,2,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,0.46,0.012999999,1703721600,0.2887,1.385885,30.172415,1,1,70,0,0,0.0,0.0,0,0,7001189888,15.75,36.07,0.012738701,33.1734,26.5268,49.0,1.4,USD,68693180416,0.05662,179129321,183160000,0.026800001,0.54307,200034000,1141.269,0.030667616,1672444800,1703980800,1688083200,0.754,31121000448,1.16,0.125,1.036,0.9146608,0.14113986,0.152,1687996800,PNK,EQUITY,ASCCF,ASCCF,ASICS CORP,ASICS Corporation,1331731800,America/New_York,EDT,78996118-08bd-3314-9bbc-4a5e65e5d812,finmb_875663,-14400000,35.0,none,70315999232,383.75,66282000384,130788999168,0.931,1.934,549600002048,62.007,3000.434,0.07022,0.15819,240707000000,16567124992,24739999744,0.754,0.151,0.5044,0.12060001,0.087919995,JPY,
4,"1-1, Minatojima-Nakamachi 7-chome",Chuo-ku,Kobe,650-8555,Japan,81 50 1745 2248,https://corp.asics.com/jp,Footwear & Accessories,Footwear & Accessories,Consumer Cyclical,Consumer Cyclical,"ASICS Corporation manufactures and sells sporting goods in Japan, North America, Europe, China, Oceania, Southeast and South Asia, and internationally. It offers running shoes, apparel, and sports accessories and equipment. The company sells its products under the ASICS, ASICSTIGER, and Onitsuka Tiger brands through retail stores, as well as online. ASICS Corporation was incorporated in 1943 and is headquartered in Kobe, Japan.",8886,"{'maxAge': 1, 'name': 'Akihiko  Sadaka', 'title': 'Sr. GM of HR & Gen. Affairs Division and Exec. Officer', 'exercisedValue': 0, 'unexercisedValue': 0}",1,2,1,5,2,1693526400,1640908800,86400,2,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,0.46,0.012999999,1703721600,0.2887,1.385885,30.172415,1,1,70,0,0,0.0,0.0,0,0,7001189888,15.75,36.07,0.012738701,33.1734,26.5268,49.0,1.4,USD,68693180416,0.05662,179129321,183160000,0.026800001,0.54307,200034000,1141.269,0.030667616,1672444800,1703980800,1688083200,0.754,31121000448,1.16,0.125,1.036,0.9146608,0.14113986,0.152,1687996800,PNK,EQUITY,ASCCF,ASCCF,ASICS CORP,ASICS Corporation,1331731800,America/New_York,EDT,78996118-08bd-3314-9bbc-4a5e65e5d812,finmb_875663,-14400000,35.0,none,70315999232,383.75,66282000384,130788999168,0.931,1.934,549600002048,62.007,3000.434,0.07022,0.15819,240707000000,16567124992,24739999744,0.754,0.151,0.5044,0.12060001,0.087919995,JPY,
5,"1-1, Minatojima-Nakamachi 7-chome",Chuo-ku,Kobe,650-8555,Japan,81 50 1745 2248,https://corp.asics.com/jp,Footwear & Accessories,Footwear & Accessories,Consumer Cyclical,Consumer Cyclical,"ASICS Corporation manufactures and sells sporting goods in Japan, North America, Europe, China, Oceania, Southeast and South Asia, and internationally. It offers running shoes, apparel, and sports accessories and equipment. The company sells its products under the ASICS, ASICSTIGER, and Onitsuka Tiger brands through retail stores, as well as online. ASICS Corporation was incorporated in 1943 and is headquartered in Kobe, Japan.",8886,"{'maxAge': 1, 'name': 'Tsuyoshi  Nishiwaki', 'title': 'Managing Exec. Officer & Sr. MD of China', 'exercisedValue': 0, 'unexercisedValue': 0}",1,2,1,5,2,1693526400,1640908800,86400,2,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,0.46,0.012999999,1703721600,0.2887,1.385885,30.172415,1,1,70,0,0,0.0,0.0,0,0,7001189888,15.75,36.07,0.012738701,33.1734,26.5268,49.0,1.4,USD,68693180416,0.05662,179129321,183160000,0.026800001,0.54307,200034000,1141.269,0.030667616,1672444800,1703980800,1688083200,0.754,31121000448,1.16,0.125,1.036,0.9146608,0.14113986,0.152,1687996800,PNK,EQUITY,ASCCF,ASCCF,ASICS CORP,ASICS Corporation,1331731800,America/New_York,EDT,78996118-08bd-3314-9bbc-4a5e65e5d812,finmb_875663,-14400000,35.0,none,70315999232,383.75,66282000384,130788999168,0.931,1.934,549600002048,62.007,3000.434,0.07022,0.15819,240707000000,16567124992,24739999744,0.754,0.151,0.5044,0.12060001,0.087919995,JPY,
6,"1-1, Minatojima-Nakamachi 7-chome",Chuo-ku,Kobe,650-8555,Japan,81 50 1745 2248,https://corp.asics.com/jp,Footwear & Accessories,Footwear & Accessories,Consumer Cyclical,Consumer Cyclical,"ASICS Corporation manufactures and sells sporting goods in Japan, North America, Europe, China, Oceania, Southeast and South Asia, and internationally. It offers running shoes, apparel, and sports accessories and equipment. The company sells its products under the ASICS, ASICSTIGER, and Onitsuka Tiger brands through retail stores, as well as online. ASICS Corporation was incorporated in 1943 and is headquartered in Kobe, Japan.",8886,"{'maxAge': 1, 'name': 'Shinji  Senda', 'title': 'Managing Exec. Officer', 'exercisedValue': 0, 'unexercisedValue': 0}",1,2,1,5,2,1693526400,1640908800,86400,2,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,0.46,0.012999999,1703721600,0.2887,1.385885,30.172415,1,1,70,0,0,0.0,0.0,0,0,7001189888,15.75,36.07,0.012738701,33.1734,26.5268,49.0,1.4,USD,68693180416,0.05662,179129321,183160000,0.026800001,0.54307,200034000,1141.269,0.030667616,1672444800,1703980800,1688083200,0.754,31121000448,1.16,0.125,1.036,0.9146608,0.14113986,0.152,1687996800,PNK,EQUITY,ASCCF,ASCCF,ASICS CORP,ASICS Corporation,1331731800,America/New_York,EDT,78996118-08bd-3314-9bbc-4a5e65e5d812,finmb_875663,-14400000,35.0,none,70315999232,383.75,66282000384,130788999168,0.931,1.934,549600002048,62.007,3000.434,0.07022,0.15819,240707000000,16567124992,24739999744,0.754,0.151,0.5044,0.12060001,0.087919995,JPY,
7,"1-1, Minatojima-Nakamachi 7-chome",Chuo-ku,Kobe,650-8555,Japan,81 50 1745 2248,https://corp.asics.com/jp,Footwear & Accessories,Footwear & Accessories,Consumer Cyclical,Consumer Cyclical,"ASICS Corporation manufactures and sells sporting goods in Japan, North America, Europe, China, Oceania, Southeast and South Asia, and internationally. It offers running shoes, apparel, and sports accessories and equipment. The company sells its products under the ASICS, ASICSTIGER, and Onitsuka Tiger brands through retail stores, as well as online. ASICS Corporation was incorporated in 1943 and is headquartered in Kobe, Japan.",8886,"{'maxAge': 1, 'name': 'Ryoji  Shoda', 'title': 'Managing Exec. Officer & Head of Onitsuka Tiger Company', 'exercisedValue': 0, 'unexercisedValue': 0}",1,2,1,5,2,1693526400,1640908800,86400,2,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,0.46,0.012999999,1703721600,0.2887,1.385885,30.172415,1,1,70,0,0,0.0,0.0,0,0,7001189888,15.75,36.07,0.012738701,33.1734,26.5268,49.0,1.4,USD,68693180416,0.05662,179129321,183160000,0.026800001,0.54307,200034000,1141.269,0.030667616,1672444800,1703980800,1688083200,0.754,31121000448,1.16,0.125,1.036,0.9146608,0.14113986,0.152,1687996800,PNK,EQUITY,ASCCF,ASCCF,ASICS CORP,ASICS Corporation,1331731800,America/New_York,EDT,78996118-08bd-3314-9bbc-4a5e65e5d812,finmb_875663,-14400000,35.0,none,70315999232,383.75,66282000384,130788999168,0.931,1.934,549600002048,62.007,3000.434,0.07022,0.15819,240707000000,16567124992,24739999744,0.754,0.151,0.5044,0.12060001,0.087919995,JPY,
8,"1-1, Minatojima-Nakamachi 7-chome",Chuo-ku,Kobe,650-8555,Japan,81 50 1745 2248,https://corp.asics.com/jp,Footwear & Accessories,Footwear & Accessories,Consumer Cyclical,Consumer Cyclical,"ASICS Corporation manufactures and sells sporting goods in Japan, North America, Europe, China, Oceania, Southeast and South Asia, and internationally. It offers running shoes, apparel, and sports accessories and equipment. The company sells its products under the ASICS, ASICSTIGER, and Onitsuka Tiger brands through retail stores, as well as online. ASICS Corporation was incorporated in 1943 and is headquartered in Kobe, Japan.",8886,"{'maxAge': 1, 'name': 'Mitsuyuki  Tominaga', 'title': 'Managing Exec. Officer, CDO, CIO & CEO of ASICS Digital Inc.', 'exercisedValue': 0, 'unexercisedValue': 0}",1,2,1,5,2,1693526400,1640908800,86400,2,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,0.46,0.012999999,1703721600,0.2887,1.385885,30.172415,1,1,70,0,0,0.0,0.0,0,0,7001189888,15.75,36.07,0.012738701,33.1734,26.5268,49.0,1.4,USD,68693180416,0.05662,179129321,183160000,0.026800001,0.54307,200034000,1141.269,0.030667616,1672444800,1703980800,1688083200,0.754,31121000448,1.16,0.125,1.036,0.9146608,0.14113986,0.152,1687996800,PNK,EQUITY,ASCCF,ASCCF,ASICS CORP,ASICS Corporation,1331731800,America/New_York,EDT,78996118-08bd-3314-9bbc-4a5e65e5d812,finmb_875663,-14400000,35.0,none,70315999232,383.75,66282000384,130788999168,0.931,1.934,549600002048,62.007,3000.434,0.07022,0.15819,240707000000,16567124992,24739999744,0.754,0.151,0.5044,0.12060001,0.087919995,JPY,
9,"1-1, Minatojima-Nakamachi 7-chome",Chuo-ku,Kobe,650-8555,Japan,81 50 1745 2248,https://corp.asics.com/jp,Footwear & Accessories,Footwear & Accessories,Consumer Cyclical,Consumer Cyclical,"ASICS Corporation manufactures and sells sporting goods in Japan, North America, Europe, China, Oceania, Southeast and South Asia, and internationally. It offers running shoes, apparel, and sports accessories and equipment. The company sells its products under the ASICS, ASICSTIGER, and Onitsuka Tiger brands through retail stores, as well as online. ASICS Corporation was incorporated in 1943 and is headquartered in Kobe, Japan.",8886,"{'maxAge': 1, 'name': 'Koichiro  Kodama', 'title': 'Managing Exec. Officer', 'exercisedValue': 0, 'unexercisedValue': 0}",1,2,1,5,2,1693526400,1640908800,86400,2,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,0.46,0.012999999,1703721600,0.2887,1.385885,30.172415,1,1,70,0,0,0.0,0.0,0,0,7001189888,15.75,36.07,0.012738701,33.1734,26.5268,49.0,1.4,USD,68693180416,0.05662,179129321,183160000,0.026800001,0.54307,200034000,1141.269,0.030667616,1672444800,1703980800,1688083200,0.754,31121000448,1.16,0.125,1.036,0.9146608,0.14113986,0.152,1687996800,PNK,EQUITY,ASCCF,ASCCF,ASICS CORP,ASICS Corporation,1331731800,America/New_York,EDT,78996118-08bd-3314-9bbc-4a5e65e5d812,finmb_875663,-14400000,35.0,none,70315999232,383.75,66282000384,130788999168,0.931,1.934,549600002048,62.007,3000.434,0.07022,0.15819,240707000000,16567124992,24739999744,0.754,0.151,0.5044,0.12060001,0.087919995,JPY,
