,address1,city,state,zip,country,phone,website,industry,sector,longBusinessSummary,fullTimeEmployees,companyOfficers,auditRisk,boardRisk,compensationRisk,shareHolderRightsRisk,overallRisk,governanceEpochDate,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,dividendRate,dividendYield,exDividendDate,payoutRatio,beta,trailingPE,forwardPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,sharesShort,sharesShortPriorMonth,sharesShortPreviousMonthDate,dateShortInterest,sharesPercentSharesOut,heldPercentInsiders,heldPercentInstitutions,shortRatio,shortPercentOfFloat,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,earningsQuarterlyGrowth,netIncomeToCommon,trailingEps,forwardEps,pegRatio,enterpriseToRevenue,enterpriseToEbitda,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,recommendationMean,recommendationKey,numberOfAnalystOpinions,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,freeCashflow,operatingCashflow,earningsGrowth,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,200 Peach Street,El Dorado,AR,71730-5836,United States,870 875 7600,https://www.murphyusa.com,Specialty Retail,Consumer Cyclical,"Murphy USA Inc. engages in marketing of retail motor fuel products and convenience merchandise. The company operates retail stores under the Murphy USA, Murphy Express, and QuickChek brands. It operates retail gasoline stores principally in the Southeast, Southwest, and Midwest United States. The company was founded in 1996 and is headquartered in El Dorado, Arkansas.",6000,"{'maxAge': 1, 'name': 'Mr. R. Andrew Clyde', 'age': 58, 'title': 'Pres, CEO & Director', 'yearBorn': 1964, 'fiscalYear': 2022, 'totalPay': 4487392, 'exercisedValue': 8829310, 'unexercisedValue': 20155326}",2,2,2,4,2,1693526400,1672444800,86400,2,336.84,335.21,331.46,335.935,336.84,335.21,331.46,335.935,1.56,0.0047,1692921600,0.0561,0.80325,13.2955,14.433637,422704,422704,268109,272580,272580,328.56,533.03,900,800,7162084352,231.65,337.07,0.35858652,313.3208,283.4761,1.42,0.004215651,USD,9324589056,0.02885,19565363,21453000,1695537,1939735,1690761600,1693440000,0.079,0.08585,0.88688004,8.1,0.1074,34.997,9.539389,1672444800,1703980800,1688083200,-0.276,576300032,25.11,23.13,0.72,0.467,8.621,NYQ,EQUITY,MUSA,MUSA,Murphy USA Inc.,Murphy USA Inc.,1376919000,America/New_York,EDT,-14400000,333.85,390.0,252.0,332.67,340.0,2.6,hold,6,105900000,4.936,1081600000,2268400128,0.462,0.936,19973099520,302.131,899.244,0.12679,0.76155,1482600000,360412512,799100032,-0.201,-0.197,0.069510005,0.05415,0.04277,USD,5.2668
1,200 Peach Street,El Dorado,AR,71730-5836,United States,870 875 7600,https://www.murphyusa.com,Specialty Retail,Consumer Cyclical,"Murphy USA Inc. engages in marketing of retail motor fuel products and convenience merchandise. The company operates retail stores under the Murphy USA, Murphy Express, and QuickChek brands. It operates retail gasoline stores principally in the Southeast, Southwest, and Midwest United States. The company was founded in 1996 and is headquartered in El Dorado, Arkansas.",6000,"{'maxAge': 1, 'name': 'Ms. Malynda K. West', 'age': 52, 'title': 'Exec. VP of Fuels, CFO & Treasurer', 'yearBorn': 1970, 'fiscalYear': 2022, 'totalPay': 1868301, 'exercisedValue': 2244375, 'unexercisedValue': 3255991}",2,2,2,4,2,1693526400,1672444800,86400,2,336.84,335.21,331.46,335.935,336.84,335.21,331.46,335.935,1.56,0.0047,1692921600,0.0561,0.80325,13.2955,14.433637,422704,422704,268109,272580,272580,328.56,533.03,900,800,7162084352,231.65,337.07,0.35858652,313.3208,283.4761,1.42,0.004215651,USD,9324589056,0.02885,19565363,21453000,1695537,1939735,1690761600,1693440000,0.079,0.08585,0.88688004,8.1,0.1074,34.997,9.539389,1672444800,1703980800,1688083200,-0.276,576300032,25.11,23.13,0.72,0.467,8.621,NYQ,EQUITY,MUSA,MUSA,Murphy USA Inc.,Murphy USA Inc.,1376919000,America/New_York,EDT,-14400000,333.85,390.0,252.0,332.67,340.0,2.6,hold,6,105900000,4.936,1081600000,2268400128,0.462,0.936,19973099520,302.131,899.244,0.12679,0.76155,1482600000,360412512,799100032,-0.201,-0.197,0.069510005,0.05415,0.04277,USD,5.2668
2,200 Peach Street,El Dorado,AR,71730-5836,United States,870 875 7600,https://www.murphyusa.com,Specialty Retail,Consumer Cyclical,"Murphy USA Inc. engages in marketing of retail motor fuel products and convenience merchandise. The company operates retail stores under the Murphy USA, Murphy Express, and QuickChek brands. It operates retail gasoline stores principally in the Southeast, Southwest, and Midwest United States. The company was founded in 1996 and is headquartered in El Dorado, Arkansas.",6000,"{'maxAge': 1, 'name': 'Ms. Renee M. Bacon', 'age': 52, 'title': 'Sr. VP of Sales & Operations and Chief Merchandising Officer', 'yearBorn': 1970, 'fiscalYear': 2022, 'totalPay': 1063731, 'exercisedValue': 778080, 'unexercisedValue': 354281}",2,2,2,4,2,1693526400,1672444800,86400,2,336.84,335.21,331.46,335.935,336.84,335.21,331.46,335.935,1.56,0.0047,1692921600,0.0561,0.80325,13.2955,14.433637,422704,422704,268109,272580,272580,328.56,533.03,900,800,7162084352,231.65,337.07,0.35858652,313.3208,283.4761,1.42,0.004215651,USD,9324589056,0.02885,19565363,21453000,1695537,1939735,1690761600,1693440000,0.079,0.08585,0.88688004,8.1,0.1074,34.997,9.539389,1672444800,1703980800,1688083200,-0.276,576300032,25.11,23.13,0.72,0.467,8.621,NYQ,EQUITY,MUSA,MUSA,Murphy USA Inc.,Murphy USA Inc.,1376919000,America/New_York,EDT,-14400000,333.85,390.0,252.0,332.67,340.0,2.6,hold,6,105900000,4.936,1081600000,2268400128,0.462,0.936,19973099520,302.131,899.244,0.12679,0.76155,1482600000,360412512,799100032,-0.201,-0.197,0.069510005,0.05415,0.04277,USD,5.2668
3,200 Peach Street,El Dorado,AR,71730-5836,United States,870 875 7600,https://www.murphyusa.com,Specialty Retail,Consumer Cyclical,"Murphy USA Inc. engages in marketing of retail motor fuel products and convenience merchandise. The company operates retail stores under the Murphy USA, Murphy Express, and QuickChek brands. It operates retail gasoline stores principally in the Southeast, Southwest, and Midwest United States. The company was founded in 1996 and is headquartered in El Dorado, Arkansas.",6000,"{'maxAge': 1, 'name': 'Mr. Robert J. Chumley', 'age': 57, 'title': 'Sr. VP & Chief Digital Officer', 'yearBorn': 1965, 'fiscalYear': 2022, 'totalPay': 1046076, 'exercisedValue': 423759, 'unexercisedValue': 3070558}",2,2,2,4,2,1693526400,1672444800,86400,2,336.84,335.21,331.46,335.935,336.84,335.21,331.46,335.935,1.56,0.0047,1692921600,0.0561,0.80325,13.2955,14.433637,422704,422704,268109,272580,272580,328.56,533.03,900,800,7162084352,231.65,337.07,0.35858652,313.3208,283.4761,1.42,0.004215651,USD,9324589056,0.02885,19565363,21453000,1695537,1939735,1690761600,1693440000,0.079,0.08585,0.88688004,8.1,0.1074,34.997,9.539389,1672444800,1703980800,1688083200,-0.276,576300032,25.11,23.13,0.72,0.467,8.621,NYQ,EQUITY,MUSA,MUSA,Murphy USA Inc.,Murphy USA Inc.,1376919000,America/New_York,EDT,-14400000,333.85,390.0,252.0,332.67,340.0,2.6,hold,6,105900000,4.936,1081600000,2268400128,0.462,0.936,19973099520,302.131,899.244,0.12679,0.76155,1482600000,360412512,799100032,-0.201,-0.197,0.069510005,0.05415,0.04277,USD,5.2668
4,200 Peach Street,El Dorado,AR,71730-5836,United States,870 875 7600,https://www.murphyusa.com,Specialty Retail,Consumer Cyclical,"Murphy USA Inc. engages in marketing of retail motor fuel products and convenience merchandise. The company operates retail stores under the Murphy USA, Murphy Express, and QuickChek brands. It operates retail gasoline stores principally in the Southeast, Southwest, and Midwest United States. The company was founded in 1996 and is headquartered in El Dorado, Arkansas.",6000,"{'maxAge': 1, 'name': 'Mr. Blake  Segal', 'age': 41, 'title': 'Sr. VP of QuickChek', 'yearBorn': 1981, 'fiscalYear': 2022, 'totalPay': 1097577, 'exercisedValue': 0, 'unexercisedValue': 0}",2,2,2,4,2,1693526400,1672444800,86400,2,336.84,335.21,331.46,335.935,336.84,335.21,331.46,335.935,1.56,0.0047,1692921600,0.0561,0.80325,13.2955,14.433637,422704,422704,268109,272580,272580,328.56,533.03,900,800,7162084352,231.65,337.07,0.35858652,313.3208,283.4761,1.42,0.004215651,USD,9324589056,0.02885,19565363,21453000,1695537,1939735,1690761600,1693440000,0.079,0.08585,0.88688004,8.1,0.1074,34.997,9.539389,1672444800,1703980800,1688083200,-0.276,576300032,25.11,23.13,0.72,0.467,8.621,NYQ,EQUITY,MUSA,MUSA,Murphy USA Inc.,Murphy USA Inc.,1376919000,America/New_York,EDT,-14400000,333.85,390.0,252.0,332.67,340.0,2.6,hold,6,105900000,4.936,1081600000,2268400128,0.462,0.936,19973099520,302.131,899.244,0.12679,0.76155,1482600000,360412512,799100032,-0.201,-0.197,0.069510005,0.05415,0.04277,USD,5.2668
5,200 Peach Street,El Dorado,AR,71730-5836,United States,870 875 7600,https://www.murphyusa.com,Specialty Retail,Consumer Cyclical,"Murphy USA Inc. engages in marketing of retail motor fuel products and convenience merchandise. The company operates retail stores under the Murphy USA, Murphy Express, and QuickChek brands. It operates retail gasoline stores principally in the Southeast, Southwest, and Midwest United States. The company was founded in 1996 and is headquartered in El Dorado, Arkansas.",6000,"{'maxAge': 1, 'name': 'Mr. Christian  Pikul', 'title': 'VP of Investor Relations & FP&A', 'exercisedValue': 0, 'unexercisedValue': 0}",2,2,2,4,2,1693526400,1672444800,86400,2,336.84,335.21,331.46,335.935,336.84,335.21,331.46,335.935,1.56,0.0047,1692921600,0.0561,0.80325,13.2955,14.433637,422704,422704,268109,272580,272580,328.56,533.03,900,800,7162084352,231.65,337.07,0.35858652,313.3208,283.4761,1.42,0.004215651,USD,9324589056,0.02885,19565363,21453000,1695537,1939735,1690761600,1693440000,0.079,0.08585,0.88688004,8.1,0.1074,34.997,9.539389,1672444800,1703980800,1688083200,-0.276,576300032,25.11,23.13,0.72,0.467,8.621,NYQ,EQUITY,MUSA,MUSA,Murphy USA Inc.,Murphy USA Inc.,1376919000,America/New_York,EDT,-14400000,333.85,390.0,252.0,332.67,340.0,2.6,hold,6,105900000,4.936,1081600000,2268400128,0.462,0.936,19973099520,302.131,899.244,0.12679,0.76155,1482600000,360412512,799100032,-0.201,-0.197,0.069510005,0.05415,0.04277,USD,5.2668
6,200 Peach Street,El Dorado,AR,71730-5836,United States,870 875 7600,https://www.murphyusa.com,Specialty Retail,Consumer Cyclical,"Murphy USA Inc. engages in marketing of retail motor fuel products and convenience merchandise. The company operates retail stores under the Murphy USA, Murphy Express, and QuickChek brands. It operates retail gasoline stores principally in the Southeast, Southwest, and Midwest United States. The company was founded in 1996 and is headquartered in El Dorado, Arkansas.",6000,"{'maxAge': 1, 'name': 'Gregory L. Smith', 'title': 'VP, Gen. Counsel & Corp. Sec.', 'exercisedValue': 0, 'unexercisedValue': 0}",2,2,2,4,2,1693526400,1672444800,86400,2,336.84,335.21,331.46,335.935,336.84,335.21,331.46,335.935,1.56,0.0047,1692921600,0.0561,0.80325,13.2955,14.433637,422704,422704,268109,272580,272580,328.56,533.03,900,800,7162084352,231.65,337.07,0.35858652,313.3208,283.4761,1.42,0.004215651,USD,9324589056,0.02885,19565363,21453000,1695537,1939735,1690761600,1693440000,0.079,0.08585,0.88688004,8.1,0.1074,34.997,9.539389,1672444800,1703980800,1688083200,-0.276,576300032,25.11,23.13,0.72,0.467,8.621,NYQ,EQUITY,MUSA,MUSA,Murphy USA Inc.,Murphy USA Inc.,1376919000,America/New_York,EDT,-14400000,333.85,390.0,252.0,332.67,340.0,2.6,hold,6,105900000,4.936,1081600000,2268400128,0.462,0.936,19973099520,302.131,899.244,0.12679,0.76155,1482600000,360412512,799100032,-0.201,-0.197,0.069510005,0.05415,0.04277,USD,5.2668
7,200 Peach Street,El Dorado,AR,71730-5836,United States,870 875 7600,https://www.murphyusa.com,Specialty Retail,Consumer Cyclical,"Murphy USA Inc. engages in marketing of retail motor fuel products and convenience merchandise. The company operates retail stores under the Murphy USA, Murphy Express, and QuickChek brands. It operates retail gasoline stores principally in the Southeast, Southwest, and Midwest United States. The company was founded in 1996 and is headquartered in El Dorado, Arkansas.",6000,"{'maxAge': 1, 'name': 'Mr. Christopher A. Click', 'age': 49, 'title': 'Sr. VP of Strategy & Devel.', 'yearBorn': 1973, 'exercisedValue': 0, 'unexercisedValue': 0}",2,2,2,4,2,1693526400,1672444800,86400,2,336.84,335.21,331.46,335.935,336.84,335.21,331.46,335.935,1.56,0.0047,1692921600,0.0561,0.80325,13.2955,14.433637,422704,422704,268109,272580,272580,328.56,533.03,900,800,7162084352,231.65,337.07,0.35858652,313.3208,283.4761,1.42,0.004215651,USD,9324589056,0.02885,19565363,21453000,1695537,1939735,1690761600,1693440000,0.079,0.08585,0.88688004,8.1,0.1074,34.997,9.539389,1672444800,1703980800,1688083200,-0.276,576300032,25.11,23.13,0.72,0.467,8.621,NYQ,EQUITY,MUSA,MUSA,Murphy USA Inc.,Murphy USA Inc.,1376919000,America/New_York,EDT,-14400000,333.85,390.0,252.0,332.67,340.0,2.6,hold,6,105900000,4.936,1081600000,2268400128,0.462,0.936,19973099520,302.131,899.244,0.12679,0.76155,1482600000,360412512,799100032,-0.201,-0.197,0.069510005,0.05415,0.04277,USD,5.2668
8,200 Peach Street,El Dorado,AR,71730-5836,United States,870 875 7600,https://www.murphyusa.com,Specialty Retail,Consumer Cyclical,"Murphy USA Inc. engages in marketing of retail motor fuel products and convenience merchandise. The company operates retail stores under the Murphy USA, Murphy Express, and QuickChek brands. It operates retail gasoline stores principally in the Southeast, Southwest, and Midwest United States. The company was founded in 1996 and is headquartered in El Dorado, Arkansas.",6000,"{'maxAge': 1, 'name': 'Ms. Jennifer R Bridges', 'age': 53, 'title': 'Sr. VP Asset Devel.', 'yearBorn': 1969, 'exercisedValue': 0, 'unexercisedValue': 0}",2,2,2,4,2,1693526400,1672444800,86400,2,336.84,335.21,331.46,335.935,336.84,335.21,331.46,335.935,1.56,0.0047,1692921600,0.0561,0.80325,13.2955,14.433637,422704,422704,268109,272580,272580,328.56,533.03,900,800,7162084352,231.65,337.07,0.35858652,313.3208,283.4761,1.42,0.004215651,USD,9324589056,0.02885,19565363,21453000,1695537,1939735,1690761600,1693440000,0.079,0.08585,0.88688004,8.1,0.1074,34.997,9.539389,1672444800,1703980800,1688083200,-0.276,576300032,25.11,23.13,0.72,0.467,8.621,NYQ,EQUITY,MUSA,MUSA,Murphy USA Inc.,Murphy USA Inc.,1376919000,America/New_York,EDT,-14400000,333.85,390.0,252.0,332.67,340.0,2.6,hold,6,105900000,4.936,1081600000,2268400128,0.462,0.936,19973099520,302.131,899.244,0.12679,0.76155,1482600000,360412512,799100032,-0.201,-0.197,0.069510005,0.05415,0.04277,USD,5.2668
9,200 Peach Street,El Dorado,AR,71730-5836,United States,870 875 7600,https://www.murphyusa.com,Specialty Retail,Consumer Cyclical,"Murphy USA Inc. engages in marketing of retail motor fuel products and convenience merchandise. The company operates retail stores under the Murphy USA, Murphy Express, and QuickChek brands. It operates retail gasoline stores principally in the Southeast, Southwest, and Midwest United States. The company was founded in 1996 and is headquartered in El Dorado, Arkansas.",6000,"{'maxAge': 1, 'name': 'Mr. Donald R. Smith Jr.', 'title': 'VP & Controller', 'exercisedValue': 0, 'unexercisedValue': 0}",2,2,2,4,2,1693526400,1672444800,86400,2,336.84,335.21,331.46,335.935,336.84,335.21,331.46,335.935,1.56,0.0047,1692921600,0.0561,0.80325,13.2955,14.433637,422704,422704,268109,272580,272580,328.56,533.03,900,800,7162084352,231.65,337.07,0.35858652,313.3208,283.4761,1.42,0.004215651,USD,9324589056,0.02885,19565363,21453000,1695537,1939735,1690761600,1693440000,0.079,0.08585,0.88688004,8.1,0.1074,34.997,9.539389,1672444800,1703980800,1688083200,-0.276,576300032,25.11,23.13,0.72,0.467,8.621,NYQ,EQUITY,MUSA,MUSA,Murphy USA Inc.,Murphy USA Inc.,1376919000,America/New_York,EDT,-14400000,333.85,390.0,252.0,332.67,340.0,2.6,hold,6,105900000,4.936,1081600000,2268400128,0.462,0.936,19973099520,302.131,899.244,0.12679,0.76155,1482600000,360412512,799100032,-0.201,-0.197,0.069510005,0.05415,0.04277,USD,5.2668
