,address1,address2,city,state,zip,country,phone,fax,website,industry,industryDisp,sector,sectorDisp,longBusinessSummary,fullTimeEmployees,companyOfficers,auditRisk,boardRisk,compensationRisk,shareHolderRightsRisk,overallRisk,governanceEpochDate,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,exDividendDate,payoutRatio,beta,forwardPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,sharesShort,sharesShortPriorMonth,sharesShortPreviousMonthDate,dateShortInterest,sharesPercentSharesOut,heldPercentInsiders,heldPercentInstitutions,shortRatio,shortPercentOfFloat,impliedSharesOutstanding,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,earningsQuarterlyGrowth,netIncomeToCommon,trailingEps,forwardEps,pegRatio,enterpriseToRevenue,enterpriseToEbitda,52WeekChange,SandP52WeekChange,lastDividendValue,lastDividendDate,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,uuid,messageBoardId,gmtOffSetMilliseconds,currentPrice,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,recommendationMean,recommendationKey,numberOfAnalystOpinions,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,freeCashflow,operatingCashflow,earningsGrowth,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,One South Wacker Drive,Suite 1000,Chicago,IL,60606,United States,312 696 3101,312 696 3102,https://centuryaluminum.com,Aluminum,Aluminum,Basic Materials,Basic Materials,"Century Aluminum Company, together with its subsidiaries, produces standard-grade and value-added primary aluminum products in the United States and Iceland. It also owns and operates a carbon anode production facility in the Netherlands. Century Aluminum Company was founded in 1995 and is headquartered in Chicago, Illinois.",1956,"{'maxAge': 1, 'name': 'Mr. Jesse E. Gary', 'age': 42, 'title': 'Pres, CEO & Director', 'yearBorn': 1980, 'fiscalYear': 2022, 'totalPay': 5375172, 'exercisedValue': 0, 'unexercisedValue': 0}",2,3,4,5,3,1693526400,1672444800,86400,2,7.59,7.58,7.42,7.64,7.59,7.58,7.42,7.64,1032307200,0.0,2.725449,19.282051,2854511,2854511,1138459,1341120,1341120,7.33,7.65,1800,800,694734400,5.27,12.97,0.3027165,8.2614,9.03025,0.0,0.0,USD,1251234304,-0.0437,51911060,92384896,6632390,6312100,1690761600,1693440000,0.0718,0.43472,0.58849996,6.14,0.1557,92384896,4.038,1.862308,1672444800,1703980800,1688083200,-0.799,-97000000,-1.05,0.39,-0.48,0.545,164.636,-0.016993463,0.14113986,0.05,1032307200,NMS,EQUITY,CENX,CENX,Century Aluminum Company,Century Aluminum Company,828109800,America/New_York,EDT,81f9b683-d41b-3388-b749-8ce16dda8e6f,finmb_356264,-14400000,7.52,9.0,6.0,8.0,9.0,3.7,underperform,3,50600000,0.548,7600000,575200000,0.205,1.221,2295000064,142.095,24.959,-0.02071,-0.22900999,46700000,46937500,-44600000,-0.796,-0.328,0.0007,0.00331,-0.02405,USD,
1,One South Wacker Drive,Suite 1000,Chicago,IL,60606,United States,312 696 3101,312 696 3102,https://centuryaluminum.com,Aluminum,Aluminum,Basic Materials,Basic Materials,"Century Aluminum Company, together with its subsidiaries, produces standard-grade and value-added primary aluminum products in the United States and Iceland. It also owns and operates a carbon anode production facility in the Netherlands. Century Aluminum Company was founded in 1995 and is headquartered in Chicago, Illinois.",1956,"{'maxAge': 1, 'name': 'Mr. Gerald C. Bialek', 'age': 56, 'title': 'Exec. VP & CFO', 'yearBorn': 1966, 'fiscalYear': 2022, 'totalPay': 323261, 'exercisedValue': 0, 'unexercisedValue': 0}",2,3,4,5,3,1693526400,1672444800,86400,2,7.59,7.58,7.42,7.64,7.59,7.58,7.42,7.64,1032307200,0.0,2.725449,19.282051,2854511,2854511,1138459,1341120,1341120,7.33,7.65,1800,800,694734400,5.27,12.97,0.3027165,8.2614,9.03025,0.0,0.0,USD,1251234304,-0.0437,51911060,92384896,6632390,6312100,1690761600,1693440000,0.0718,0.43472,0.58849996,6.14,0.1557,92384896,4.038,1.862308,1672444800,1703980800,1688083200,-0.799,-97000000,-1.05,0.39,-0.48,0.545,164.636,-0.016993463,0.14113986,0.05,1032307200,NMS,EQUITY,CENX,CENX,Century Aluminum Company,Century Aluminum Company,828109800,America/New_York,EDT,81f9b683-d41b-3388-b749-8ce16dda8e6f,finmb_356264,-14400000,7.52,9.0,6.0,8.0,9.0,3.7,underperform,3,50600000,0.548,7600000,575200000,0.205,1.221,2295000064,142.095,24.959,-0.02071,-0.22900999,46700000,46937500,-44600000,-0.796,-0.328,0.0007,0.00331,-0.02405,USD,
2,One South Wacker Drive,Suite 1000,Chicago,IL,60606,United States,312 696 3101,312 696 3102,https://centuryaluminum.com,Aluminum,Aluminum,Basic Materials,Basic Materials,"Century Aluminum Company, together with its subsidiaries, produces standard-grade and value-added primary aluminum products in the United States and Iceland. It also owns and operates a carbon anode production facility in the Netherlands. Century Aluminum Company was founded in 1995 and is headquartered in Chicago, Illinois.",1956,"{'maxAge': 1, 'name': 'Mr. Gunnar  Gudlaugsson', 'age': 62, 'title': 'Exec. VP of Global Operations', 'yearBorn': 1960, 'fiscalYear': 2022, 'totalPay': 1113420, 'exercisedValue': 0, 'unexercisedValue': 0}",2,3,4,5,3,1693526400,1672444800,86400,2,7.59,7.58,7.42,7.64,7.59,7.58,7.42,7.64,1032307200,0.0,2.725449,19.282051,2854511,2854511,1138459,1341120,1341120,7.33,7.65,1800,800,694734400,5.27,12.97,0.3027165,8.2614,9.03025,0.0,0.0,USD,1251234304,-0.0437,51911060,92384896,6632390,6312100,1690761600,1693440000,0.0718,0.43472,0.58849996,6.14,0.1557,92384896,4.038,1.862308,1672444800,1703980800,1688083200,-0.799,-97000000,-1.05,0.39,-0.48,0.545,164.636,-0.016993463,0.14113986,0.05,1032307200,NMS,EQUITY,CENX,CENX,Century Aluminum Company,Century Aluminum Company,828109800,America/New_York,EDT,81f9b683-d41b-3388-b749-8ce16dda8e6f,finmb_356264,-14400000,7.52,9.0,6.0,8.0,9.0,3.7,underperform,3,50600000,0.548,7600000,575200000,0.205,1.221,2295000064,142.095,24.959,-0.02071,-0.22900999,46700000,46937500,-44600000,-0.796,-0.328,0.0007,0.00331,-0.02405,USD,
3,One South Wacker Drive,Suite 1000,Chicago,IL,60606,United States,312 696 3101,312 696 3102,https://centuryaluminum.com,Aluminum,Aluminum,Basic Materials,Basic Materials,"Century Aluminum Company, together with its subsidiaries, produces standard-grade and value-added primary aluminum products in the United States and Iceland. It also owns and operates a carbon anode production facility in the Netherlands. Century Aluminum Company was founded in 1995 and is headquartered in Chicago, Illinois.",1956,"{'maxAge': 1, 'name': 'Mr. John  DeZee', 'age': 58, 'title': 'Exec. VP, Gen. Counsel & Sec.', 'yearBorn': 1964, 'fiscalYear': 2022, 'totalPay': 666662, 'exercisedValue': 0, 'unexercisedValue': 0}",2,3,4,5,3,1693526400,1672444800,86400,2,7.59,7.58,7.42,7.64,7.59,7.58,7.42,7.64,1032307200,0.0,2.725449,19.282051,2854511,2854511,1138459,1341120,1341120,7.33,7.65,1800,800,694734400,5.27,12.97,0.3027165,8.2614,9.03025,0.0,0.0,USD,1251234304,-0.0437,51911060,92384896,6632390,6312100,1690761600,1693440000,0.0718,0.43472,0.58849996,6.14,0.1557,92384896,4.038,1.862308,1672444800,1703980800,1688083200,-0.799,-97000000,-1.05,0.39,-0.48,0.545,164.636,-0.016993463,0.14113986,0.05,1032307200,NMS,EQUITY,CENX,CENX,Century Aluminum Company,Century Aluminum Company,828109800,America/New_York,EDT,81f9b683-d41b-3388-b749-8ce16dda8e6f,finmb_356264,-14400000,7.52,9.0,6.0,8.0,9.0,3.7,underperform,3,50600000,0.548,7600000,575200000,0.205,1.221,2295000064,142.095,24.959,-0.02071,-0.22900999,46700000,46937500,-44600000,-0.796,-0.328,0.0007,0.00331,-0.02405,USD,
4,One South Wacker Drive,Suite 1000,Chicago,IL,60606,United States,312 696 3101,312 696 3102,https://centuryaluminum.com,Aluminum,Aluminum,Basic Materials,Basic Materials,"Century Aluminum Company, together with its subsidiaries, produces standard-grade and value-added primary aluminum products in the United States and Iceland. It also owns and operates a carbon anode production facility in the Netherlands. Century Aluminum Company was founded in 1995 and is headquartered in Chicago, Illinois.",1956,"{'maxAge': 1, 'name': 'Mr. Matthew F. Aboud', 'age': 46, 'title': 'Sr. VP of Strategy & Bus. Devel.', 'yearBorn': 1976, 'fiscalYear': 2022, 'totalPay': 534992, 'exercisedValue': 0, 'unexercisedValue': 0}",2,3,4,5,3,1693526400,1672444800,86400,2,7.59,7.58,7.42,7.64,7.59,7.58,7.42,7.64,1032307200,0.0,2.725449,19.282051,2854511,2854511,1138459,1341120,1341120,7.33,7.65,1800,800,694734400,5.27,12.97,0.3027165,8.2614,9.03025,0.0,0.0,USD,1251234304,-0.0437,51911060,92384896,6632390,6312100,1690761600,1693440000,0.0718,0.43472,0.58849996,6.14,0.1557,92384896,4.038,1.862308,1672444800,1703980800,1688083200,-0.799,-97000000,-1.05,0.39,-0.48,0.545,164.636,-0.016993463,0.14113986,0.05,1032307200,NMS,EQUITY,CENX,CENX,Century Aluminum Company,Century Aluminum Company,828109800,America/New_York,EDT,81f9b683-d41b-3388-b749-8ce16dda8e6f,finmb_356264,-14400000,7.52,9.0,6.0,8.0,9.0,3.7,underperform,3,50600000,0.548,7600000,575200000,0.205,1.221,2295000064,142.095,24.959,-0.02071,-0.22900999,46700000,46937500,-44600000,-0.796,-0.328,0.0007,0.00331,-0.02405,USD,
5,One South Wacker Drive,Suite 1000,Chicago,IL,60606,United States,312 696 3101,312 696 3102,https://centuryaluminum.com,Aluminum,Aluminum,Basic Materials,Basic Materials,"Century Aluminum Company, together with its subsidiaries, produces standard-grade and value-added primary aluminum products in the United States and Iceland. It also owns and operates a carbon anode production facility in the Netherlands. Century Aluminum Company was founded in 1995 and is headquartered in Chicago, Illinois.",1956,"{'maxAge': 1, 'name': 'Mr. Robert F. Hoffman', 'title': 'VP of Information Technology & Chief Accounting Officer', 'exercisedValue': 0, 'unexercisedValue': 0}",2,3,4,5,3,1693526400,1672444800,86400,2,7.59,7.58,7.42,7.64,7.59,7.58,7.42,7.64,1032307200,0.0,2.725449,19.282051,2854511,2854511,1138459,1341120,1341120,7.33,7.65,1800,800,694734400,5.27,12.97,0.3027165,8.2614,9.03025,0.0,0.0,USD,1251234304,-0.0437,51911060,92384896,6632390,6312100,1690761600,1693440000,0.0718,0.43472,0.58849996,6.14,0.1557,92384896,4.038,1.862308,1672444800,1703980800,1688083200,-0.799,-97000000,-1.05,0.39,-0.48,0.545,164.636,-0.016993463,0.14113986,0.05,1032307200,NMS,EQUITY,CENX,CENX,Century Aluminum Company,Century Aluminum Company,828109800,America/New_York,EDT,81f9b683-d41b-3388-b749-8ce16dda8e6f,finmb_356264,-14400000,7.52,9.0,6.0,8.0,9.0,3.7,underperform,3,50600000,0.548,7600000,575200000,0.205,1.221,2295000064,142.095,24.959,-0.02071,-0.22900999,46700000,46937500,-44600000,-0.796,-0.328,0.0007,0.00331,-0.02405,USD,
6,One South Wacker Drive,Suite 1000,Chicago,IL,60606,United States,312 696 3101,312 696 3102,https://centuryaluminum.com,Aluminum,Aluminum,Basic Materials,Basic Materials,"Century Aluminum Company, together with its subsidiaries, produces standard-grade and value-added primary aluminum products in the United States and Iceland. It also owns and operates a carbon anode production facility in the Netherlands. Century Aluminum Company was founded in 1995 and is headquartered in Chicago, Illinois.",1956,"{'maxAge': 1, 'name': 'Mr. Kenneth L. Calloway', 'title': 'VP of HR', 'exercisedValue': 0, 'unexercisedValue': 0}",2,3,4,5,3,1693526400,1672444800,86400,2,7.59,7.58,7.42,7.64,7.59,7.58,7.42,7.64,1032307200,0.0,2.725449,19.282051,2854511,2854511,1138459,1341120,1341120,7.33,7.65,1800,800,694734400,5.27,12.97,0.3027165,8.2614,9.03025,0.0,0.0,USD,1251234304,-0.0437,51911060,92384896,6632390,6312100,1690761600,1693440000,0.0718,0.43472,0.58849996,6.14,0.1557,92384896,4.038,1.862308,1672444800,1703980800,1688083200,-0.799,-97000000,-1.05,0.39,-0.48,0.545,164.636,-0.016993463,0.14113986,0.05,1032307200,NMS,EQUITY,CENX,CENX,Century Aluminum Company,Century Aluminum Company,828109800,America/New_York,EDT,81f9b683-d41b-3388-b749-8ce16dda8e6f,finmb_356264,-14400000,7.52,9.0,6.0,8.0,9.0,3.7,underperform,3,50600000,0.548,7600000,575200000,0.205,1.221,2295000064,142.095,24.959,-0.02071,-0.22900999,46700000,46937500,-44600000,-0.796,-0.328,0.0007,0.00331,-0.02405,USD,
7,One South Wacker Drive,Suite 1000,Chicago,IL,60606,United States,312 696 3101,312 696 3102,https://centuryaluminum.com,Aluminum,Aluminum,Basic Materials,Basic Materials,"Century Aluminum Company, together with its subsidiaries, produces standard-grade and value-added primary aluminum products in the United States and Iceland. It also owns and operates a carbon anode production facility in the Netherlands. Century Aluminum Company was founded in 1995 and is headquartered in Chicago, Illinois.",1956,"{'maxAge': 1, 'name': 'Mr. Agust  Hafberg', 'title': 'Sr. VP & Chief Commercial Officer', 'exercisedValue': 0, 'unexercisedValue': 0}",2,3,4,5,3,1693526400,1672444800,86400,2,7.59,7.58,7.42,7.64,7.59,7.58,7.42,7.64,1032307200,0.0,2.725449,19.282051,2854511,2854511,1138459,1341120,1341120,7.33,7.65,1800,800,694734400,5.27,12.97,0.3027165,8.2614,9.03025,0.0,0.0,USD,1251234304,-0.0437,51911060,92384896,6632390,6312100,1690761600,1693440000,0.0718,0.43472,0.58849996,6.14,0.1557,92384896,4.038,1.862308,1672444800,1703980800,1688083200,-0.799,-97000000,-1.05,0.39,-0.48,0.545,164.636,-0.016993463,0.14113986,0.05,1032307200,NMS,EQUITY,CENX,CENX,Century Aluminum Company,Century Aluminum Company,828109800,America/New_York,EDT,81f9b683-d41b-3388-b749-8ce16dda8e6f,finmb_356264,-14400000,7.52,9.0,6.0,8.0,9.0,3.7,underperform,3,50600000,0.548,7600000,575200000,0.205,1.221,2295000064,142.095,24.959,-0.02071,-0.22900999,46700000,46937500,-44600000,-0.796,-0.328,0.0007,0.00331,-0.02405,USD,
8,One South Wacker Drive,Suite 1000,Chicago,IL,60606,United States,312 696 3101,312 696 3102,https://centuryaluminum.com,Aluminum,Aluminum,Basic Materials,Basic Materials,"Century Aluminum Company, together with its subsidiaries, produces standard-grade and value-added primary aluminum products in the United States and Iceland. It also owns and operates a carbon anode production facility in the Netherlands. Century Aluminum Company was founded in 1995 and is headquartered in Chicago, Illinois.",1956,"{'maxAge': 1, 'name': 'Ms. Steinunn Dogg Steinsen', 'title': 'VP of HSE, Sustainability & Management Systems', 'exercisedValue': 0, 'unexercisedValue': 0}",2,3,4,5,3,1693526400,1672444800,86400,2,7.59,7.58,7.42,7.64,7.59,7.58,7.42,7.64,1032307200,0.0,2.725449,19.282051,2854511,2854511,1138459,1341120,1341120,7.33,7.65,1800,800,694734400,5.27,12.97,0.3027165,8.2614,9.03025,0.0,0.0,USD,1251234304,-0.0437,51911060,92384896,6632390,6312100,1690761600,1693440000,0.0718,0.43472,0.58849996,6.14,0.1557,92384896,4.038,1.862308,1672444800,1703980800,1688083200,-0.799,-97000000,-1.05,0.39,-0.48,0.545,164.636,-0.016993463,0.14113986,0.05,1032307200,NMS,EQUITY,CENX,CENX,Century Aluminum Company,Century Aluminum Company,828109800,America/New_York,EDT,81f9b683-d41b-3388-b749-8ce16dda8e6f,finmb_356264,-14400000,7.52,9.0,6.0,8.0,9.0,3.7,underperform,3,50600000,0.548,7600000,575200000,0.205,1.221,2295000064,142.095,24.959,-0.02071,-0.22900999,46700000,46937500,-44600000,-0.796,-0.328,0.0007,0.00331,-0.02405,USD,
9,One South Wacker Drive,Suite 1000,Chicago,IL,60606,United States,312 696 3101,312 696 3102,https://centuryaluminum.com,Aluminum,Aluminum,Basic Materials,Basic Materials,"Century Aluminum Company, together with its subsidiaries, produces standard-grade and value-added primary aluminum products in the United States and Iceland. It also owns and operates a carbon anode production facility in the Netherlands. Century Aluminum Company was founded in 1995 and is headquartered in Chicago, Illinois.",1956,"{'maxAge': 1, 'name': 'Mr. Peter A. Trpkovski', 'title': 'Sr. VP of Fin. & Treasurer', 'exercisedValue': 0, 'unexercisedValue': 0}",2,3,4,5,3,1693526400,1672444800,86400,2,7.59,7.58,7.42,7.64,7.59,7.58,7.42,7.64,1032307200,0.0,2.725449,19.282051,2854511,2854511,1138459,1341120,1341120,7.33,7.65,1800,800,694734400,5.27,12.97,0.3027165,8.2614,9.03025,0.0,0.0,USD,1251234304,-0.0437,51911060,92384896,6632390,6312100,1690761600,1693440000,0.0718,0.43472,0.58849996,6.14,0.1557,92384896,4.038,1.862308,1672444800,1703980800,1688083200,-0.799,-97000000,-1.05,0.39,-0.48,0.545,164.636,-0.016993463,0.14113986,0.05,1032307200,NMS,EQUITY,CENX,CENX,Century Aluminum Company,Century Aluminum Company,828109800,America/New_York,EDT,81f9b683-d41b-3388-b749-8ce16dda8e6f,finmb_356264,-14400000,7.52,9.0,6.0,8.0,9.0,3.7,underperform,3,50600000,0.548,7600000,575200000,0.205,1.221,2295000064,142.095,24.959,-0.02071,-0.22900999,46700000,46937500,-44600000,-0.796,-0.328,0.0007,0.00331,-0.02405,USD,
