,address1,city,state,zip,country,phone,fax,website,industry,sector,longBusinessSummary,fullTimeEmployees,companyOfficers,auditRisk,boardRisk,compensationRisk,shareHolderRightsRisk,overallRisk,governanceEpochDate,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,dividendRate,dividendYield,exDividendDate,payoutRatio,fiveYearAvgDividendYield,beta,trailingPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,heldPercentInsiders,heldPercentInstitutions,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,earningsQuarterlyGrowth,netIncomeToCommon,trailingEps,lastSplitFactor,lastSplitDate,enterpriseToRevenue,enterpriseToEbitda,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,recommendationMean,recommendationKey,numberOfAnalystOpinions,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,freeCashflow,operatingCashflow,earningsGrowth,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,Via Franco Sacchetti 20,Sesto San Giovanni,MI,20099,Italy,39 026 2251,39 026 225312,https://www.camparigroup.com,Beverages—Wineries & Distilleries,Consumer Defensive,"Davide Campari-Milano N.V., together with its subsidiaries, markets and distributes alcoholic and non-alcoholic beverages in the Americas, the Middle East, Africa, Europe, and the Asia-Pacific. It offers a range of spirits categories, including aperitif, vodka, liqueurs, bitters, whisky, tequila, rum, gin, and cognac, as well as champagne and non-alcoholic aperitif under various brands, such as Aperol, Campari, SKYY, Wild Turkey, Grand Marnier, Appleton Estate, Wray & Nephew Overproof, and other brands. The company was founded in 1860 and is headquartered in Sesto San Giovanni, Italy. Davide Campari-Milano N.V. is a subsidiary of Lagfin S.C.A.",4500,"{'maxAge': 1, 'name': 'Mr. Robert  Kunze-Concewitz', 'age': 55, 'title': 'Exec. MD, CEO & Exec. Director', 'yearBorn': 1967, 'fiscalYear': 2022, 'totalPay': 2742404, 'exercisedValue': 0, 'unexercisedValue': 0}",1,7,7,9,7,1693526400,1672444800,86400,2,11.34,11.38,11.31,11.465,11.34,11.38,11.31,11.465,0.06,0.0053,1682294400,0.1935,0.58,0.597972,36.70968,3236061,3236061,1983593,2942024,2942024,11.365,11.37,0,0,13472326656,8.61,12.96,4.648034,12.1217,11.346905,0.06,0.005291005,EUR,14718202880,0.121029995,500382769,1119209984,0.54333,0.2319,2.515,4.524851,1672444800,1703980800,1688083200,0.089,350800000,0.31,2:1,1494201600,5.078,21.974,MIL,EQUITY,CPR.MI,CPR.MI,CAMPARI,Davide Campari-Milano N.V.,994402800,Europe/Rome,CEST,7200000,11.38,14.3,8.1,12.4,12.9,2.5,buy,22,637699968,0.564,669800000,2489100032,0.954,2.026,2898500096,87.484,2.534,0.06329,0.12716,1588600000,-139662496,213600000,0.118,0.16,0.58461,0.23108,0.21007,EUR,
1,Via Franco Sacchetti 20,Sesto San Giovanni,MI,20099,Italy,39 026 2251,39 026 225312,https://www.camparigroup.com,Beverages—Wineries & Distilleries,Consumer Defensive,"Davide Campari-Milano N.V., together with its subsidiaries, markets and distributes alcoholic and non-alcoholic beverages in the Americas, the Middle East, Africa, Europe, and the Asia-Pacific. It offers a range of spirits categories, including aperitif, vodka, liqueurs, bitters, whisky, tequila, rum, gin, and cognac, as well as champagne and non-alcoholic aperitif under various brands, such as Aperol, Campari, SKYY, Wild Turkey, Grand Marnier, Appleton Estate, Wray & Nephew Overproof, and other brands. The company was founded in 1860 and is headquartered in Sesto San Giovanni, Italy. Davide Campari-Milano N.V. is a subsidiary of Lagfin S.C.A.",4500,"{'maxAge': 1, 'name': 'Mr. Paolo Rinaldo Marchesini', 'age': 55, 'title': 'Exec. MD, Chief Financial & Operating Officer and Exec. Director', 'yearBorn': 1967, 'fiscalYear': 2022, 'totalPay': 2094059, 'exercisedValue': 0, 'unexercisedValue': 0}",1,7,7,9,7,1693526400,1672444800,86400,2,11.34,11.38,11.31,11.465,11.34,11.38,11.31,11.465,0.06,0.0053,1682294400,0.1935,0.58,0.597972,36.70968,3236061,3236061,1983593,2942024,2942024,11.365,11.37,0,0,13472326656,8.61,12.96,4.648034,12.1217,11.346905,0.06,0.005291005,EUR,14718202880,0.121029995,500382769,1119209984,0.54333,0.2319,2.515,4.524851,1672444800,1703980800,1688083200,0.089,350800000,0.31,2:1,1494201600,5.078,21.974,MIL,EQUITY,CPR.MI,CPR.MI,CAMPARI,Davide Campari-Milano N.V.,994402800,Europe/Rome,CEST,7200000,11.38,14.3,8.1,12.4,12.9,2.5,buy,22,637699968,0.564,669800000,2489100032,0.954,2.026,2898500096,87.484,2.534,0.06329,0.12716,1588600000,-139662496,213600000,0.118,0.16,0.58461,0.23108,0.21007,EUR,
2,Via Franco Sacchetti 20,Sesto San Giovanni,MI,20099,Italy,39 026 2251,39 026 225312,https://www.camparigroup.com,Beverages—Wineries & Distilleries,Consumer Defensive,"Davide Campari-Milano N.V., together with its subsidiaries, markets and distributes alcoholic and non-alcoholic beverages in the Americas, the Middle East, Africa, Europe, and the Asia-Pacific. It offers a range of spirits categories, including aperitif, vodka, liqueurs, bitters, whisky, tequila, rum, gin, and cognac, as well as champagne and non-alcoholic aperitif under various brands, such as Aperol, Campari, SKYY, Wild Turkey, Grand Marnier, Appleton Estate, Wray & Nephew Overproof, and other brands. The company was founded in 1860 and is headquartered in Sesto San Giovanni, Italy. Davide Campari-Milano N.V. is a subsidiary of Lagfin S.C.A.",4500,"{'maxAge': 1, 'name': 'Mr. Fabio  Di Fede', 'age': 50, 'title': 'Exec. MD, Group Gen. Counsel, Bus. Devel. Officer & Exec. Director', 'yearBorn': 1972, 'fiscalYear': 2022, 'totalPay': 1687131, 'exercisedValue': 0, 'unexercisedValue': 532149}",1,7,7,9,7,1693526400,1672444800,86400,2,11.34,11.38,11.31,11.465,11.34,11.38,11.31,11.465,0.06,0.0053,1682294400,0.1935,0.58,0.597972,36.70968,3236061,3236061,1983593,2942024,2942024,11.365,11.37,0,0,13472326656,8.61,12.96,4.648034,12.1217,11.346905,0.06,0.005291005,EUR,14718202880,0.121029995,500382769,1119209984,0.54333,0.2319,2.515,4.524851,1672444800,1703980800,1688083200,0.089,350800000,0.31,2:1,1494201600,5.078,21.974,MIL,EQUITY,CPR.MI,CPR.MI,CAMPARI,Davide Campari-Milano N.V.,994402800,Europe/Rome,CEST,7200000,11.38,14.3,8.1,12.4,12.9,2.5,buy,22,637699968,0.564,669800000,2489100032,0.954,2.026,2898500096,87.484,2.534,0.06329,0.12716,1588600000,-139662496,213600000,0.118,0.16,0.58461,0.23108,0.21007,EUR,
3,Via Franco Sacchetti 20,Sesto San Giovanni,MI,20099,Italy,39 026 2251,39 026 225312,https://www.camparigroup.com,Beverages—Wineries & Distilleries,Consumer Defensive,"Davide Campari-Milano N.V., together with its subsidiaries, markets and distributes alcoholic and non-alcoholic beverages in the Americas, the Middle East, Africa, Europe, and the Asia-Pacific. It offers a range of spirits categories, including aperitif, vodka, liqueurs, bitters, whisky, tequila, rum, gin, and cognac, as well as champagne and non-alcoholic aperitif under various brands, such as Aperol, Campari, SKYY, Wild Turkey, Grand Marnier, Appleton Estate, Wray & Nephew Overproof, and other brands. The company was founded in 1860 and is headquartered in Sesto San Giovanni, Italy. Davide Campari-Milano N.V. is a subsidiary of Lagfin S.C.A.",4500,"{'maxAge': 1, 'name': 'Ms. Julka  Villa', 'title': 'Group Head of Marketing', 'exercisedValue': 0, 'unexercisedValue': 0}",1,7,7,9,7,1693526400,1672444800,86400,2,11.34,11.38,11.31,11.465,11.34,11.38,11.31,11.465,0.06,0.0053,1682294400,0.1935,0.58,0.597972,36.70968,3236061,3236061,1983593,2942024,2942024,11.365,11.37,0,0,13472326656,8.61,12.96,4.648034,12.1217,11.346905,0.06,0.005291005,EUR,14718202880,0.121029995,500382769,1119209984,0.54333,0.2319,2.515,4.524851,1672444800,1703980800,1688083200,0.089,350800000,0.31,2:1,1494201600,5.078,21.974,MIL,EQUITY,CPR.MI,CPR.MI,CAMPARI,Davide Campari-Milano N.V.,994402800,Europe/Rome,CEST,7200000,11.38,14.3,8.1,12.4,12.9,2.5,buy,22,637699968,0.564,669800000,2489100032,0.954,2.026,2898500096,87.484,2.534,0.06329,0.12716,1588600000,-139662496,213600000,0.118,0.16,0.58461,0.23108,0.21007,EUR,
4,Via Franco Sacchetti 20,Sesto San Giovanni,MI,20099,Italy,39 026 2251,39 026 225312,https://www.camparigroup.com,Beverages—Wineries & Distilleries,Consumer Defensive,"Davide Campari-Milano N.V., together with its subsidiaries, markets and distributes alcoholic and non-alcoholic beverages in the Americas, the Middle East, Africa, Europe, and the Asia-Pacific. It offers a range of spirits categories, including aperitif, vodka, liqueurs, bitters, whisky, tequila, rum, gin, and cognac, as well as champagne and non-alcoholic aperitif under various brands, such as Aperol, Campari, SKYY, Wild Turkey, Grand Marnier, Appleton Estate, Wray & Nephew Overproof, and other brands. The company was founded in 1860 and is headquartered in Sesto San Giovanni, Italy. Davide Campari-Milano N.V. is a subsidiary of Lagfin S.C.A.",4500,"{'maxAge': 1, 'name': 'Mr. David  Souperbiet', 'title': 'Group Head of HR', 'exercisedValue': 0, 'unexercisedValue': 0}",1,7,7,9,7,1693526400,1672444800,86400,2,11.34,11.38,11.31,11.465,11.34,11.38,11.31,11.465,0.06,0.0053,1682294400,0.1935,0.58,0.597972,36.70968,3236061,3236061,1983593,2942024,2942024,11.365,11.37,0,0,13472326656,8.61,12.96,4.648034,12.1217,11.346905,0.06,0.005291005,EUR,14718202880,0.121029995,500382769,1119209984,0.54333,0.2319,2.515,4.524851,1672444800,1703980800,1688083200,0.089,350800000,0.31,2:1,1494201600,5.078,21.974,MIL,EQUITY,CPR.MI,CPR.MI,CAMPARI,Davide Campari-Milano N.V.,994402800,Europe/Rome,CEST,7200000,11.38,14.3,8.1,12.4,12.9,2.5,buy,22,637699968,0.564,669800000,2489100032,0.954,2.026,2898500096,87.484,2.534,0.06329,0.12716,1588600000,-139662496,213600000,0.118,0.16,0.58461,0.23108,0.21007,EUR,
5,Via Franco Sacchetti 20,Sesto San Giovanni,MI,20099,Italy,39 026 2251,39 026 225312,https://www.camparigroup.com,Beverages—Wineries & Distilleries,Consumer Defensive,"Davide Campari-Milano N.V., together with its subsidiaries, markets and distributes alcoholic and non-alcoholic beverages in the Americas, the Middle East, Africa, Europe, and the Asia-Pacific. It offers a range of spirits categories, including aperitif, vodka, liqueurs, bitters, whisky, tequila, rum, gin, and cognac, as well as champagne and non-alcoholic aperitif under various brands, such as Aperol, Campari, SKYY, Wild Turkey, Grand Marnier, Appleton Estate, Wray & Nephew Overproof, and other brands. The company was founded in 1860 and is headquartered in Sesto San Giovanni, Italy. Davide Campari-Milano N.V. is a subsidiary of Lagfin S.C.A.",4500,"{'maxAge': 1, 'name': 'Mr. Sascha  Cumia', 'age': 52, 'title': 'Managing Director of Southern Europe, Middle East & Africa', 'yearBorn': 1970, 'exercisedValue': 0, 'unexercisedValue': 0}",1,7,7,9,7,1693526400,1672444800,86400,2,11.34,11.38,11.31,11.465,11.34,11.38,11.31,11.465,0.06,0.0053,1682294400,0.1935,0.58,0.597972,36.70968,3236061,3236061,1983593,2942024,2942024,11.365,11.37,0,0,13472326656,8.61,12.96,4.648034,12.1217,11.346905,0.06,0.005291005,EUR,14718202880,0.121029995,500382769,1119209984,0.54333,0.2319,2.515,4.524851,1672444800,1703980800,1688083200,0.089,350800000,0.31,2:1,1494201600,5.078,21.974,MIL,EQUITY,CPR.MI,CPR.MI,CAMPARI,Davide Campari-Milano N.V.,994402800,Europe/Rome,CEST,7200000,11.38,14.3,8.1,12.4,12.9,2.5,buy,22,637699968,0.564,669800000,2489100032,0.954,2.026,2898500096,87.484,2.534,0.06329,0.12716,1588600000,-139662496,213600000,0.118,0.16,0.58461,0.23108,0.21007,EUR,
6,Via Franco Sacchetti 20,Sesto San Giovanni,MI,20099,Italy,39 026 2251,39 026 225312,https://www.camparigroup.com,Beverages—Wineries & Distilleries,Consumer Defensive,"Davide Campari-Milano N.V., together with its subsidiaries, markets and distributes alcoholic and non-alcoholic beverages in the Americas, the Middle East, Africa, Europe, and the Asia-Pacific. It offers a range of spirits categories, including aperitif, vodka, liqueurs, bitters, whisky, tequila, rum, gin, and cognac, as well as champagne and non-alcoholic aperitif under various brands, such as Aperol, Campari, SKYY, Wild Turkey, Grand Marnier, Appleton Estate, Wray & Nephew Overproof, and other brands. The company was founded in 1860 and is headquartered in Sesto San Giovanni, Italy. Davide Campari-Milano N.V. is a subsidiary of Lagfin S.C.A.",4500,"{'maxAge': 1, 'name': 'Mr. Cesare  Vandini', 'age': 59, 'title': 'Managing Director Northern, Central & Eastern Europe', 'yearBorn': 1963, 'exercisedValue': 0, 'unexercisedValue': 0}",1,7,7,9,7,1693526400,1672444800,86400,2,11.34,11.38,11.31,11.465,11.34,11.38,11.31,11.465,0.06,0.0053,1682294400,0.1935,0.58,0.597972,36.70968,3236061,3236061,1983593,2942024,2942024,11.365,11.37,0,0,13472326656,8.61,12.96,4.648034,12.1217,11.346905,0.06,0.005291005,EUR,14718202880,0.121029995,500382769,1119209984,0.54333,0.2319,2.515,4.524851,1672444800,1703980800,1688083200,0.089,350800000,0.31,2:1,1494201600,5.078,21.974,MIL,EQUITY,CPR.MI,CPR.MI,CAMPARI,Davide Campari-Milano N.V.,994402800,Europe/Rome,CEST,7200000,11.38,14.3,8.1,12.4,12.9,2.5,buy,22,637699968,0.564,669800000,2489100032,0.954,2.026,2898500096,87.484,2.534,0.06329,0.12716,1588600000,-139662496,213600000,0.118,0.16,0.58461,0.23108,0.21007,EUR,
7,Via Franco Sacchetti 20,Sesto San Giovanni,MI,20099,Italy,39 026 2251,39 026 225312,https://www.camparigroup.com,Beverages—Wineries & Distilleries,Consumer Defensive,"Davide Campari-Milano N.V., together with its subsidiaries, markets and distributes alcoholic and non-alcoholic beverages in the Americas, the Middle East, Africa, Europe, and the Asia-Pacific. It offers a range of spirits categories, including aperitif, vodka, liqueurs, bitters, whisky, tequila, rum, gin, and cognac, as well as champagne and non-alcoholic aperitif under various brands, such as Aperol, Campari, SKYY, Wild Turkey, Grand Marnier, Appleton Estate, Wray & Nephew Overproof, and other brands. The company was founded in 1860 and is headquartered in Sesto San Giovanni, Italy. Davide Campari-Milano N.V. is a subsidiary of Lagfin S.C.A.",4500,"{'maxAge': 1, 'name': 'Mr. Matteo  Fantacchiotti', 'title': 'Managing Director of Asia-Pacific', 'exercisedValue': 0, 'unexercisedValue': 0}",1,7,7,9,7,1693526400,1672444800,86400,2,11.34,11.38,11.31,11.465,11.34,11.38,11.31,11.465,0.06,0.0053,1682294400,0.1935,0.58,0.597972,36.70968,3236061,3236061,1983593,2942024,2942024,11.365,11.37,0,0,13472326656,8.61,12.96,4.648034,12.1217,11.346905,0.06,0.005291005,EUR,14718202880,0.121029995,500382769,1119209984,0.54333,0.2319,2.515,4.524851,1672444800,1703980800,1688083200,0.089,350800000,0.31,2:1,1494201600,5.078,21.974,MIL,EQUITY,CPR.MI,CPR.MI,CAMPARI,Davide Campari-Milano N.V.,994402800,Europe/Rome,CEST,7200000,11.38,14.3,8.1,12.4,12.9,2.5,buy,22,637699968,0.564,669800000,2489100032,0.954,2.026,2898500096,87.484,2.534,0.06329,0.12716,1588600000,-139662496,213600000,0.118,0.16,0.58461,0.23108,0.21007,EUR,
8,Via Franco Sacchetti 20,Sesto San Giovanni,MI,20099,Italy,39 026 2251,39 026 225312,https://www.camparigroup.com,Beverages—Wineries & Distilleries,Consumer Defensive,"Davide Campari-Milano N.V., together with its subsidiaries, markets and distributes alcoholic and non-alcoholic beverages in the Americas, the Middle East, Africa, Europe, and the Asia-Pacific. It offers a range of spirits categories, including aperitif, vodka, liqueurs, bitters, whisky, tequila, rum, gin, and cognac, as well as champagne and non-alcoholic aperitif under various brands, such as Aperol, Campari, SKYY, Wild Turkey, Grand Marnier, Appleton Estate, Wray & Nephew Overproof, and other brands. The company was founded in 1860 and is headquartered in Sesto San Giovanni, Italy. Davide Campari-Milano N.V. is a subsidiary of Lagfin S.C.A.",4500,"{'maxAge': 1, 'name': 'Mr. Patrick  Piana', 'age': 55, 'title': 'Group Head of Commercial Capabilities & Consumer Engagement', 'yearBorn': 1967, 'exercisedValue': 0, 'unexercisedValue': 0}",1,7,7,9,7,1693526400,1672444800,86400,2,11.34,11.38,11.31,11.465,11.34,11.38,11.31,11.465,0.06,0.0053,1682294400,0.1935,0.58,0.597972,36.70968,3236061,3236061,1983593,2942024,2942024,11.365,11.37,0,0,13472326656,8.61,12.96,4.648034,12.1217,11.346905,0.06,0.005291005,EUR,14718202880,0.121029995,500382769,1119209984,0.54333,0.2319,2.515,4.524851,1672444800,1703980800,1688083200,0.089,350800000,0.31,2:1,1494201600,5.078,21.974,MIL,EQUITY,CPR.MI,CPR.MI,CAMPARI,Davide Campari-Milano N.V.,994402800,Europe/Rome,CEST,7200000,11.38,14.3,8.1,12.4,12.9,2.5,buy,22,637699968,0.564,669800000,2489100032,0.954,2.026,2898500096,87.484,2.534,0.06329,0.12716,1588600000,-139662496,213600000,0.118,0.16,0.58461,0.23108,0.21007,EUR,
9,Via Franco Sacchetti 20,Sesto San Giovanni,MI,20099,Italy,39 026 2251,39 026 225312,https://www.camparigroup.com,Beverages—Wineries & Distilleries,Consumer Defensive,"Davide Campari-Milano N.V., together with its subsidiaries, markets and distributes alcoholic and non-alcoholic beverages in the Americas, the Middle East, Africa, Europe, and the Asia-Pacific. It offers a range of spirits categories, including aperitif, vodka, liqueurs, bitters, whisky, tequila, rum, gin, and cognac, as well as champagne and non-alcoholic aperitif under various brands, such as Aperol, Campari, SKYY, Wild Turkey, Grand Marnier, Appleton Estate, Wray & Nephew Overproof, and other brands. The company was founded in 1860 and is headquartered in Sesto San Giovanni, Italy. Davide Campari-Milano N.V. is a subsidiary of Lagfin S.C.A.",4500,"{'maxAge': 1, 'name': 'Mr. Jose  Silva', 'title': 'Group Head of IT', 'exercisedValue': 0, 'unexercisedValue': 0}",1,7,7,9,7,1693526400,1672444800,86400,2,11.34,11.38,11.31,11.465,11.34,11.38,11.31,11.465,0.06,0.0053,1682294400,0.1935,0.58,0.597972,36.70968,3236061,3236061,1983593,2942024,2942024,11.365,11.37,0,0,13472326656,8.61,12.96,4.648034,12.1217,11.346905,0.06,0.005291005,EUR,14718202880,0.121029995,500382769,1119209984,0.54333,0.2319,2.515,4.524851,1672444800,1703980800,1688083200,0.089,350800000,0.31,2:1,1494201600,5.078,21.974,MIL,EQUITY,CPR.MI,CPR.MI,CAMPARI,Davide Campari-Milano N.V.,994402800,Europe/Rome,CEST,7200000,11.38,14.3,8.1,12.4,12.9,2.5,buy,22,637699968,0.564,669800000,2489100032,0.954,2.026,2898500096,87.484,2.534,0.06329,0.12716,1588600000,-139662496,213600000,0.118,0.16,0.58461,0.23108,0.21007,EUR,
