,address1,address2,city,state,zip,country,phone,fax,website,industry,sector,longBusinessSummary,fullTimeEmployees,companyOfficers,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,payoutRatio,beta,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,heldPercentInsiders,heldPercentInstitutions,bookValue,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,netIncomeToCommon,trailingEps,enterpriseToEbitda,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,recommendationKey,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,returnOnAssets,grossProfits,freeCashflow,operatingCashflow,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,2525 East 29th Avenue,Ste. 10B-160,Spokane,WA,99223-4942,United States,509 535 7367,509 695 3289,https://www.goldrichmining.com,Gold,Basic Materials,"Goldrich Mining Company, an exploration stage company, acquires and explores for mineral properties in the Americas. The company primarily explores for gold and associated base, and precious metals. Its flagship property is the Chandalar property consisting of 426.5 acres as twenty-one federal lode claims, one patented federal placer claim, and one patented federal mill site and 22,432 acres of unpatented State of Alaska mining claims. The company was formerly known as Little Squaw Gold Mining Company and changed its name to Goldrich Mining Company in May 2008. Goldrich Mining Company was incorporated in 1959 and is based in Spokane, Washington.",2,"{'maxAge': 1, 'name': 'Mr. William V. Schara CPA', 'age': 65, 'title': 'Pres, CEO & Director', 'yearBorn': 1957, 'fiscalYear': 2022, 'totalPay': 180000, 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,4,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006,0.0,9.570539,200000,200000,4843,27844,27844,0.0,0.0,0,0,117136,0.0002,0.06,0.00049,0.01267675,0.0,0.0,USD,6314003,0.0,138307994,195226000,0.32803002,0.0,-0.062,1672444800,1703980800,1672444800,-1063234,-0.01,-8.811,PNK,EQUITY,GRMC,GRMC,GOLDRICH MINING COMPANY,Goldrich Mining Company,791735400,America/New_York,EDT,-14400000,0.0006,none,3969,0.0,-716624,5929662,0.0,0.009,-0.59293,-165853,-331266,-441790,0.0,0.0,0.0,USD,
1,2525 East 29th Avenue,Ste. 10B-160,Spokane,WA,99223-4942,United States,509 535 7367,509 695 3289,https://www.goldrichmining.com,Gold,Basic Materials,"Goldrich Mining Company, an exploration stage company, acquires and explores for mineral properties in the Americas. The company primarily explores for gold and associated base, and precious metals. Its flagship property is the Chandalar property consisting of 426.5 acres as twenty-one federal lode claims, one patented federal placer claim, and one patented federal mill site and 22,432 acres of unpatented State of Alaska mining claims. The company was formerly known as Little Squaw Gold Mining Company and changed its name to Goldrich Mining Company in May 2008. Goldrich Mining Company was incorporated in 1959 and is based in Spokane, Washington.",2,"{'maxAge': 1, 'name': 'Mr. Ted R. Sharp CPA', 'age': 65, 'title': 'Sec., Treasurer & CFO', 'yearBorn': 1957, 'fiscalYear': 2022, 'totalPay': 12863, 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,4,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006,0.0,9.570539,200000,200000,4843,27844,27844,0.0,0.0,0,0,117136,0.0002,0.06,0.00049,0.01267675,0.0,0.0,USD,6314003,0.0,138307994,195226000,0.32803002,0.0,-0.062,1672444800,1703980800,1672444800,-1063234,-0.01,-8.811,PNK,EQUITY,GRMC,GRMC,GOLDRICH MINING COMPANY,Goldrich Mining Company,791735400,America/New_York,EDT,-14400000,0.0006,none,3969,0.0,-716624,5929662,0.0,0.009,-0.59293,-165853,-331266,-441790,0.0,0.0,0.0,USD,
