,address1,address2,city,zip,country,website,industry,sector,longBusinessSummary,companyOfficers,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,payoutRatio,beta,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,heldPercentInsiders,heldPercentInstitutions,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,netIncomeToCommon,trailingEps,lastSplitFactor,lastSplitDate,enterpriseToRevenue,enterpriseToEbitda,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,recommendationKey,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,freeCashflow,operatingCashflow,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,International House,2nd Floor 41 The Parade,Saint Helier,JE2 3QQ,Jersey,https://www.goldstoneresources.com,Gold,Basic Materials,"Goldstone Resources Limited, through its subsidiaries, engages in the exploration and development of gold and associated elements in West and Central Africa. It holds 100% interest in the Akrokeri-Homase Gold project located in Ghana. The company was incorporated in 1998 and is based in Saint Helier, Jersey.","{'maxAge': 1, 'name': 'Ms. Emma Kinder Priestley BEng, CEng, CRICS', 'age': 49, 'title': 'CEO & Exec. Director', 'yearBorn': 1973, 'exercisedValue': 0, 'unexercisedValue': 0}",86400,4,2.125,0.0,0.0,0.0,2.125,0.0,0.0,0.0,0.0,-0.043543,2170220,2170220,44771,0,0,0.0,0.0,0,0,10718030,0.0,7.65,2.0414135,0.0215,2.3871624,0.0,0.0,GBp,11631258,-0.30905,144749577,498512992,0.59089,0.0,0.045,47.77778,1640908800,1672444800,1656547200,-1622634,-0.0,1:10,1414713600,2.215,-65.185,LSE,EQUITY,GRL.L,GRL.L,GOLDSTONE RESOURCES LIMITED ORD,Goldstone Resources Limited,1016438400,Europe/London,BST,3600000,2.15,none,927702,0.003,-178434,4813910,0.173,0.303,5250298,29.993,0.013,-0.00992,-0.102749996,-3269390,543289,0.3987,-0.03398,-0.07024,USD,
1,International House,2nd Floor 41 The Parade,Saint Helier,JE2 3QQ,Jersey,https://www.goldstoneresources.com,Gold,Basic Materials,"Goldstone Resources Limited, through its subsidiaries, engages in the exploration and development of gold and associated elements in West and Central Africa. It holds 100% interest in the Akrokeri-Homase Gold project located in Ghana. The company was incorporated in 1998 and is based in Saint Helier, Jersey.","{'maxAge': 1, 'name': 'Mr. Issouf  Ouedraogo', 'title': 'Gen. Mang., Geology', 'exercisedValue': 0, 'unexercisedValue': 0}",86400,4,2.125,0.0,0.0,0.0,2.125,0.0,0.0,0.0,0.0,-0.043543,2170220,2170220,44771,0,0,0.0,0.0,0,0,10718030,0.0,7.65,2.0414135,0.0215,2.3871624,0.0,0.0,GBp,11631258,-0.30905,144749577,498512992,0.59089,0.0,0.045,47.77778,1640908800,1672444800,1656547200,-1622634,-0.0,1:10,1414713600,2.215,-65.185,LSE,EQUITY,GRL.L,GRL.L,GOLDSTONE RESOURCES LIMITED ORD,Goldstone Resources Limited,1016438400,Europe/London,BST,3600000,2.15,none,927702,0.003,-178434,4813910,0.173,0.303,5250298,29.993,0.013,-0.00992,-0.102749996,-3269390,543289,0.3987,-0.03398,-0.07024,USD,
