,address1,address2,city,state,zip,country,phone,fax,website,industry,industryDisp,sector,sectorDisp,longBusinessSummary,companyOfficers,auditRisk,boardRisk,compensationRisk,shareHolderRightsRisk,overallRisk,governanceEpochDate,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,dividendRate,dividendYield,exDividendDate,fiveYearAvgDividendYield,beta,forwardPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,heldPercentInsiders,heldPercentInstitutions,impliedSharesOutstanding,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,netIncomeToCommon,trailingEps,forwardEps,pegRatio,lastSplitFactor,lastSplitDate,enterpriseToRevenue,enterpriseToEbitda,52WeekChange,SandP52WeekChange,lastDividendValue,lastDividendDate,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,uuid,messageBoardId,gmtOffSetMilliseconds,currentPrice,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,recommendationMean,recommendationKey,numberOfAnalystOpinions,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,freeCashflow,operatingCashflow,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,"Cromwell House, Level 19",200 Mary Street,Brisbane,QLD,4000,Australia,61 7 3225 7777,61 7 3225 7788,https://www.cromwellpropertygroup.com,REIT—Office,REIT—Office,Real Estate,Real Estate,"Cromwell Property Group (ASX:CMW) is a real estate investor and fund manager with operations on three continents and a global investor base. Cromwell is included in the S&P/ASX200. As at 30 June 2022, Cromwell had a market capitalisation of $2.0 billion, an Australian investment portfolio valued at $3.0 billion and total assets under management of $12.0 billion across Australia, New Zealand and Europe.","{'maxAge': 1, 'name': 'Mr. Jonathan P.  Callaghan', 'age': 50, 'title': 'CEO, MD & Director', 'yearBorn': 1972, 'fiscalYear': 2023, 'totalPay': 1460555, 'exercisedValue': 0, 'unexercisedValue': 0}",2,8,4,7,8,1693526400,1703980800,86400,4,0.44,0.45,0.43,0.45,0.44,0.45,0.43,0.45,0.06,0.113400005,1687996800,8.11,0.643451,8.6,8615467,8615467,2482790,3599114,3599114,0.43,0.435,0,0,1126114176,0.415,0.765,3.1368084,0.511,0.59525,0.055,0.125,AUD,2913067264,-1.23621,1348271143,2618870016,0.44041002,0.1427,2618870016,0.845,0.5088757,1688083200,1719705600,1688083200,-443800000,-0.17,0.05,-3.0,1:1,864259200,8.114,18.879,-0.43046355,0.14113986,0.01375,1687996800,ASX,EQUITY,CMW.AX,CMW.AX,CROMWELL STAPLED,Cromwell Property Group,916009200,Australia/Sydney,AEST,be5bddbf-b744-3aa9-a059-4ce3b4b2e7d7,finmb_11234995,36000000,0.43,0.77,0.7,0.73,0.73,3.0,hold,2,141900000,0.054,154300000,1824099968,0.57,1.026,359000000,82.456,0.137,0.020539999,-0.18031,312100000,143662496,149200000,-0.381,0.76602,0.4298,0.42423,AUD,
1,"Cromwell House, Level 19",200 Mary Street,Brisbane,QLD,4000,Australia,61 7 3225 7777,61 7 3225 7788,https://www.cromwellpropertygroup.com,REIT—Office,REIT—Office,Real Estate,Real Estate,"Cromwell Property Group (ASX:CMW) is a real estate investor and fund manager with operations on three continents and a global investor base. Cromwell is included in the S&P/ASX200. As at 30 June 2022, Cromwell had a market capitalisation of $2.0 billion, an Australian investment portfolio valued at $3.0 billion and total assets under management of $12.0 billion across Australia, New Zealand and Europe.","{'maxAge': 1, 'name': 'Mr. Michael Damian Wilde B.Com., B.Sc.', 'age': 52, 'title': 'Chief Financial Officer', 'yearBorn': 1970, 'fiscalYear': 2023, 'totalPay': 1106797, 'exercisedValue': 0, 'unexercisedValue': 0}",2,8,4,7,8,1693526400,1703980800,86400,4,0.44,0.45,0.43,0.45,0.44,0.45,0.43,0.45,0.06,0.113400005,1687996800,8.11,0.643451,8.6,8615467,8615467,2482790,3599114,3599114,0.43,0.435,0,0,1126114176,0.415,0.765,3.1368084,0.511,0.59525,0.055,0.125,AUD,2913067264,-1.23621,1348271143,2618870016,0.44041002,0.1427,2618870016,0.845,0.5088757,1688083200,1719705600,1688083200,-443800000,-0.17,0.05,-3.0,1:1,864259200,8.114,18.879,-0.43046355,0.14113986,0.01375,1687996800,ASX,EQUITY,CMW.AX,CMW.AX,CROMWELL STAPLED,Cromwell Property Group,916009200,Australia/Sydney,AEST,be5bddbf-b744-3aa9-a059-4ce3b4b2e7d7,finmb_11234995,36000000,0.43,0.77,0.7,0.73,0.73,3.0,hold,2,141900000,0.054,154300000,1824099968,0.57,1.026,359000000,82.456,0.137,0.020539999,-0.18031,312100000,143662496,149200000,-0.381,0.76602,0.4298,0.42423,AUD,
2,"Cromwell House, Level 19",200 Mary Street,Brisbane,QLD,4000,Australia,61 7 3225 7777,61 7 3225 7788,https://www.cromwellpropertygroup.com,REIT—Office,REIT—Office,Real Estate,Real Estate,"Cromwell Property Group (ASX:CMW) is a real estate investor and fund manager with operations on three continents and a global investor base. Cromwell is included in the S&P/ASX200. As at 30 June 2022, Cromwell had a market capitalisation of $2.0 billion, an Australian investment portfolio valued at $3.0 billion and total assets under management of $12.0 billion across Australia, New Zealand and Europe.","{'maxAge': 1, 'name': 'Mr. Ross  McGlade', 'title': 'Investor Relations Mang.', 'exercisedValue': 0, 'unexercisedValue': 0}",2,8,4,7,8,1693526400,1703980800,86400,4,0.44,0.45,0.43,0.45,0.44,0.45,0.43,0.45,0.06,0.113400005,1687996800,8.11,0.643451,8.6,8615467,8615467,2482790,3599114,3599114,0.43,0.435,0,0,1126114176,0.415,0.765,3.1368084,0.511,0.59525,0.055,0.125,AUD,2913067264,-1.23621,1348271143,2618870016,0.44041002,0.1427,2618870016,0.845,0.5088757,1688083200,1719705600,1688083200,-443800000,-0.17,0.05,-3.0,1:1,864259200,8.114,18.879,-0.43046355,0.14113986,0.01375,1687996800,ASX,EQUITY,CMW.AX,CMW.AX,CROMWELL STAPLED,Cromwell Property Group,916009200,Australia/Sydney,AEST,be5bddbf-b744-3aa9-a059-4ce3b4b2e7d7,finmb_11234995,36000000,0.43,0.77,0.7,0.73,0.73,3.0,hold,2,141900000,0.054,154300000,1824099968,0.57,1.026,359000000,82.456,0.137,0.020539999,-0.18031,312100000,143662496,149200000,-0.381,0.76602,0.4298,0.42423,AUD,
3,"Cromwell House, Level 19",200 Mary Street,Brisbane,QLD,4000,Australia,61 7 3225 7777,61 7 3225 7788,https://www.cromwellpropertygroup.com,REIT—Office,REIT—Office,Real Estate,Real Estate,"Cromwell Property Group (ASX:CMW) is a real estate investor and fund manager with operations on three continents and a global investor base. Cromwell is included in the S&P/ASX200. As at 30 June 2022, Cromwell had a market capitalisation of $2.0 billion, an Australian investment portfolio valued at $3.0 billion and total assets under management of $12.0 billion across Australia, New Zealand and Europe.","{'maxAge': 1, 'name': 'Mr. Ross L. Stiles', 'title': 'Capital Raising Mang., Head of Compliance & Head of Compliance', 'fiscalYear': 2003, 'exercisedValue': 0, 'unexercisedValue': 0}",2,8,4,7,8,1693526400,1703980800,86400,4,0.44,0.45,0.43,0.45,0.44,0.45,0.43,0.45,0.06,0.113400005,1687996800,8.11,0.643451,8.6,8615467,8615467,2482790,3599114,3599114,0.43,0.435,0,0,1126114176,0.415,0.765,3.1368084,0.511,0.59525,0.055,0.125,AUD,2913067264,-1.23621,1348271143,2618870016,0.44041002,0.1427,2618870016,0.845,0.5088757,1688083200,1719705600,1688083200,-443800000,-0.17,0.05,-3.0,1:1,864259200,8.114,18.879,-0.43046355,0.14113986,0.01375,1687996800,ASX,EQUITY,CMW.AX,CMW.AX,CROMWELL STAPLED,Cromwell Property Group,916009200,Australia/Sydney,AEST,be5bddbf-b744-3aa9-a059-4ce3b4b2e7d7,finmb_11234995,36000000,0.43,0.77,0.7,0.73,0.73,3.0,hold,2,141900000,0.054,154300000,1824099968,0.57,1.026,359000000,82.456,0.137,0.020539999,-0.18031,312100000,143662496,149200000,-0.381,0.76602,0.4298,0.42423,AUD,
4,"Cromwell House, Level 19",200 Mary Street,Brisbane,QLD,4000,Australia,61 7 3225 7777,61 7 3225 7788,https://www.cromwellpropertygroup.com,REIT—Office,REIT—Office,Real Estate,Real Estate,"Cromwell Property Group (ASX:CMW) is a real estate investor and fund manager with operations on three continents and a global investor base. Cromwell is included in the S&P/ASX200. As at 30 June 2022, Cromwell had a market capitalisation of $2.0 billion, an Australian investment portfolio valued at $3.0 billion and total assets under management of $12.0 billion across Australia, New Zealand and Europe.","{'maxAge': 1, 'name': 'Ms. Lucy  Laakso J.D., M.B.A.', 'title': 'Corp. Counsel', 'exercisedValue': 0, 'unexercisedValue': 0}",2,8,4,7,8,1693526400,1703980800,86400,4,0.44,0.45,0.43,0.45,0.44,0.45,0.43,0.45,0.06,0.113400005,1687996800,8.11,0.643451,8.6,8615467,8615467,2482790,3599114,3599114,0.43,0.435,0,0,1126114176,0.415,0.765,3.1368084,0.511,0.59525,0.055,0.125,AUD,2913067264,-1.23621,1348271143,2618870016,0.44041002,0.1427,2618870016,0.845,0.5088757,1688083200,1719705600,1688083200,-443800000,-0.17,0.05,-3.0,1:1,864259200,8.114,18.879,-0.43046355,0.14113986,0.01375,1687996800,ASX,EQUITY,CMW.AX,CMW.AX,CROMWELL STAPLED,Cromwell Property Group,916009200,Australia/Sydney,AEST,be5bddbf-b744-3aa9-a059-4ce3b4b2e7d7,finmb_11234995,36000000,0.43,0.77,0.7,0.73,0.73,3.0,hold,2,141900000,0.054,154300000,1824099968,0.57,1.026,359000000,82.456,0.137,0.020539999,-0.18031,312100000,143662496,149200000,-0.381,0.76602,0.4298,0.42423,AUD,
5,"Cromwell House, Level 19",200 Mary Street,Brisbane,QLD,4000,Australia,61 7 3225 7777,61 7 3225 7788,https://www.cromwellpropertygroup.com,REIT—Office,REIT—Office,Real Estate,Real Estate,"Cromwell Property Group (ASX:CMW) is a real estate investor and fund manager with operations on three continents and a global investor base. Cromwell is included in the S&P/ASX200. As at 30 June 2022, Cromwell had a market capitalisation of $2.0 billion, an Australian investment portfolio valued at $3.0 billion and total assets under management of $12.0 billion across Australia, New Zealand and Europe.","{'maxAge': 1, 'name': 'Mr. Philip J. Cowling', 'title': 'Chief Sustainability Officer', 'fiscalYear': 2005, 'exercisedValue': 0, 'unexercisedValue': 0}",2,8,4,7,8,1693526400,1703980800,86400,4,0.44,0.45,0.43,0.45,0.44,0.45,0.43,0.45,0.06,0.113400005,1687996800,8.11,0.643451,8.6,8615467,8615467,2482790,3599114,3599114,0.43,0.435,0,0,1126114176,0.415,0.765,3.1368084,0.511,0.59525,0.055,0.125,AUD,2913067264,-1.23621,1348271143,2618870016,0.44041002,0.1427,2618870016,0.845,0.5088757,1688083200,1719705600,1688083200,-443800000,-0.17,0.05,-3.0,1:1,864259200,8.114,18.879,-0.43046355,0.14113986,0.01375,1687996800,ASX,EQUITY,CMW.AX,CMW.AX,CROMWELL STAPLED,Cromwell Property Group,916009200,Australia/Sydney,AEST,be5bddbf-b744-3aa9-a059-4ce3b4b2e7d7,finmb_11234995,36000000,0.43,0.77,0.7,0.73,0.73,3.0,hold,2,141900000,0.054,154300000,1824099968,0.57,1.026,359000000,82.456,0.137,0.020539999,-0.18031,312100000,143662496,149200000,-0.381,0.76602,0.4298,0.42423,AUD,
6,"Cromwell House, Level 19",200 Mary Street,Brisbane,QLD,4000,Australia,61 7 3225 7777,61 7 3225 7788,https://www.cromwellpropertygroup.com,REIT—Office,REIT—Office,Real Estate,Real Estate,"Cromwell Property Group (ASX:CMW) is a real estate investor and fund manager with operations on three continents and a global investor base. Cromwell is included in the S&P/ASX200. As at 30 June 2022, Cromwell had a market capitalisation of $2.0 billion, an Australian investment portfolio valued at $3.0 billion and total assets under management of $12.0 billion across Australia, New Zealand and Europe.","{'maxAge': 1, 'name': 'Mr. Bobby  Binning', 'title': 'Head of Property', 'fiscalYear': 2010, 'exercisedValue': 0, 'unexercisedValue': 0}",2,8,4,7,8,1693526400,1703980800,86400,4,0.44,0.45,0.43,0.45,0.44,0.45,0.43,0.45,0.06,0.113400005,1687996800,8.11,0.643451,8.6,8615467,8615467,2482790,3599114,3599114,0.43,0.435,0,0,1126114176,0.415,0.765,3.1368084,0.511,0.59525,0.055,0.125,AUD,2913067264,-1.23621,1348271143,2618870016,0.44041002,0.1427,2618870016,0.845,0.5088757,1688083200,1719705600,1688083200,-443800000,-0.17,0.05,-3.0,1:1,864259200,8.114,18.879,-0.43046355,0.14113986,0.01375,1687996800,ASX,EQUITY,CMW.AX,CMW.AX,CROMWELL STAPLED,Cromwell Property Group,916009200,Australia/Sydney,AEST,be5bddbf-b744-3aa9-a059-4ce3b4b2e7d7,finmb_11234995,36000000,0.43,0.77,0.7,0.73,0.73,3.0,hold,2,141900000,0.054,154300000,1824099968,0.57,1.026,359000000,82.456,0.137,0.020539999,-0.18031,312100000,143662496,149200000,-0.381,0.76602,0.4298,0.42423,AUD,
7,"Cromwell House, Level 19",200 Mary Street,Brisbane,QLD,4000,Australia,61 7 3225 7777,61 7 3225 7788,https://www.cromwellpropertygroup.com,REIT—Office,REIT—Office,Real Estate,Real Estate,"Cromwell Property Group (ASX:CMW) is a real estate investor and fund manager with operations on three continents and a global investor base. Cromwell is included in the S&P/ASX200. As at 30 June 2022, Cromwell had a market capitalisation of $2.0 billion, an Australian investment portfolio valued at $3.0 billion and total assets under management of $12.0 billion across Australia, New Zealand and Europe.","{'maxAge': 1, 'name': 'Mr. Bevan  Towning', 'title': 'Head of Australasian Wholesale Unlisted Funds Management', 'exercisedValue': 0, 'unexercisedValue': 0}",2,8,4,7,8,1693526400,1703980800,86400,4,0.44,0.45,0.43,0.45,0.44,0.45,0.43,0.45,0.06,0.113400005,1687996800,8.11,0.643451,8.6,8615467,8615467,2482790,3599114,3599114,0.43,0.435,0,0,1126114176,0.415,0.765,3.1368084,0.511,0.59525,0.055,0.125,AUD,2913067264,-1.23621,1348271143,2618870016,0.44041002,0.1427,2618870016,0.845,0.5088757,1688083200,1719705600,1688083200,-443800000,-0.17,0.05,-3.0,1:1,864259200,8.114,18.879,-0.43046355,0.14113986,0.01375,1687996800,ASX,EQUITY,CMW.AX,CMW.AX,CROMWELL STAPLED,Cromwell Property Group,916009200,Australia/Sydney,AEST,be5bddbf-b744-3aa9-a059-4ce3b4b2e7d7,finmb_11234995,36000000,0.43,0.77,0.7,0.73,0.73,3.0,hold,2,141900000,0.054,154300000,1824099968,0.57,1.026,359000000,82.456,0.137,0.020539999,-0.18031,312100000,143662496,149200000,-0.381,0.76602,0.4298,0.42423,AUD,
8,"Cromwell House, Level 19",200 Mary Street,Brisbane,QLD,4000,Australia,61 7 3225 7777,61 7 3225 7788,https://www.cromwellpropertygroup.com,REIT—Office,REIT—Office,Real Estate,Real Estate,"Cromwell Property Group (ASX:CMW) is a real estate investor and fund manager with operations on three continents and a global investor base. Cromwell is included in the S&P/ASX200. As at 30 June 2022, Cromwell had a market capitalisation of $2.0 billion, an Australian investment portfolio valued at $3.0 billion and total assets under management of $12.0 billion across Australia, New Zealand and Europe.","{'maxAge': 1, 'name': 'Mr. Rod  Martin', 'title': 'Head of Facilities Services', 'exercisedValue': 0, 'unexercisedValue': 0}",2,8,4,7,8,1693526400,1703980800,86400,4,0.44,0.45,0.43,0.45,0.44,0.45,0.43,0.45,0.06,0.113400005,1687996800,8.11,0.643451,8.6,8615467,8615467,2482790,3599114,3599114,0.43,0.435,0,0,1126114176,0.415,0.765,3.1368084,0.511,0.59525,0.055,0.125,AUD,2913067264,-1.23621,1348271143,2618870016,0.44041002,0.1427,2618870016,0.845,0.5088757,1688083200,1719705600,1688083200,-443800000,-0.17,0.05,-3.0,1:1,864259200,8.114,18.879,-0.43046355,0.14113986,0.01375,1687996800,ASX,EQUITY,CMW.AX,CMW.AX,CROMWELL STAPLED,Cromwell Property Group,916009200,Australia/Sydney,AEST,be5bddbf-b744-3aa9-a059-4ce3b4b2e7d7,finmb_11234995,36000000,0.43,0.77,0.7,0.73,0.73,3.0,hold,2,141900000,0.054,154300000,1824099968,0.57,1.026,359000000,82.456,0.137,0.020539999,-0.18031,312100000,143662496,149200000,-0.381,0.76602,0.4298,0.42423,AUD,
9,"Cromwell House, Level 19",200 Mary Street,Brisbane,QLD,4000,Australia,61 7 3225 7777,61 7 3225 7788,https://www.cromwellpropertygroup.com,REIT—Office,REIT—Office,Real Estate,Real Estate,"Cromwell Property Group (ASX:CMW) is a real estate investor and fund manager with operations on three continents and a global investor base. Cromwell is included in the S&P/ASX200. As at 30 June 2022, Cromwell had a market capitalisation of $2.0 billion, an Australian investment portfolio valued at $3.0 billion and total assets under management of $12.0 billion across Australia, New Zealand and Europe.","{'maxAge': 1, 'name': 'Mr. Lodewijk  Zweers', 'title': 'Head of Capital and Operations of Europe', 'exercisedValue': 0, 'unexercisedValue': 0}",2,8,4,7,8,1693526400,1703980800,86400,4,0.44,0.45,0.43,0.45,0.44,0.45,0.43,0.45,0.06,0.113400005,1687996800,8.11,0.643451,8.6,8615467,8615467,2482790,3599114,3599114,0.43,0.435,0,0,1126114176,0.415,0.765,3.1368084,0.511,0.59525,0.055,0.125,AUD,2913067264,-1.23621,1348271143,2618870016,0.44041002,0.1427,2618870016,0.845,0.5088757,1688083200,1719705600,1688083200,-443800000,-0.17,0.05,-3.0,1:1,864259200,8.114,18.879,-0.43046355,0.14113986,0.01375,1687996800,ASX,EQUITY,CMW.AX,CMW.AX,CROMWELL STAPLED,Cromwell Property Group,916009200,Australia/Sydney,AEST,be5bddbf-b744-3aa9-a059-4ce3b4b2e7d7,finmb_11234995,36000000,0.43,0.77,0.7,0.73,0.73,3.0,hold,2,141900000,0.054,154300000,1824099968,0.57,1.026,359000000,82.456,0.137,0.020539999,-0.18031,312100000,143662496,149200000,-0.381,0.76602,0.4298,0.42423,AUD,
