,address1,city,zip,country,phone,fax,website,industry,sector,longBusinessSummary,fullTimeEmployees,companyOfficers,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,exDividendDate,beta,trailingPE,volume,regularMarketVolume,bid,ask,fiftyTwoWeekLow,fiftyTwoWeekHigh,trailingAnnualDividendRate,trailingAnnualDividendYield,enterpriseValue,profitMargins,sharesOutstanding,heldPercentInsiders,heldPercentInstitutions,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,earningsQuarterlyGrowth,netIncomeToCommon,trailingEps,enterpriseToRevenue,enterpriseToEbitda,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,recommendationKey,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,freeCashflow,operatingCashflow,earningsGrowth,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,C / San Bernardo 123 3rd,Madrid,28015,Spain,34 91 445 34 62,34 91 448 14 25,https://www.doalca.com,REIT—Office,Real Estate,"Inversiones Doalca Socimi, S.A., a real estate investment company, leases and rents real estate properties in Spain. Its real estate properties include offices and commercial premises. As of December 31, 2015, the company owned a portfolio of 11 properties with a constructed area of approximately 42,000 square meters and a total leasable area of approximately 32,000 square meters. Inversiones Doalca Socimi, S.A. was incorporated in 1998 and is headquartered in Madrid, Spain.",8,"{'maxAge': 1, 'name': 'Mr. Alejandro J. Fernández de Araoz Gómez-Acebo', 'age': 60, 'title': 'Deputy Sec. & Director', 'yearBorn': 1962, 'exercisedValue': 0, 'unexercisedValue': 0}",86400,2,26.6,0.0,26.6,26.6,26.6,0.0,26.6,26.6,1688688000,-0.016516,19.359535,54200,54200,0.0,26.6,26.6,26.6,0.984,0.036992483,168447040,0.94654,6072470,0.9867,0.0,4.76,5.588235,1672444800,1703980800,1672444800,2.301,10177264,1.374,15.667,22.874,MCE,EQUITY,YDOA.MC,YDOA.MC,"INVERSIONES DOALCA SOCIMI, S.A.","Inversiones Doalca SOCIMI, S.A.",Europe/Madrid,CEST,7200000,26.6,none,216416,0.036,7364201,7133144,0.72,0.72,10752006,24.679,1.771,0.104329996,0.38119,10473453,5231166,11423312,2.3,0.295,0.97409,0.68491,0.5969,EUR,
1,C / San Bernardo 123 3rd,Madrid,28015,Spain,34 91 445 34 62,34 91 448 14 25,https://www.doalca.com,REIT—Office,Real Estate,"Inversiones Doalca Socimi, S.A., a real estate investment company, leases and rents real estate properties in Spain. Its real estate properties include offices and commercial premises. As of December 31, 2015, the company owned a portfolio of 11 properties with a constructed area of approximately 42,000 square meters and a total leasable area of approximately 32,000 square meters. Inversiones Doalca Socimi, S.A. was incorporated in 1998 and is headquartered in Madrid, Spain.",8,"{'maxAge': 1, 'name': 'Mr. Alfonso  Guilarte Gutiérrez', 'title': 'Sec.', 'exercisedValue': 0, 'unexercisedValue': 0}",86400,2,26.6,0.0,26.6,26.6,26.6,0.0,26.6,26.6,1688688000,-0.016516,19.359535,54200,54200,0.0,26.6,26.6,26.6,0.984,0.036992483,168447040,0.94654,6072470,0.9867,0.0,4.76,5.588235,1672444800,1703980800,1672444800,2.301,10177264,1.374,15.667,22.874,MCE,EQUITY,YDOA.MC,YDOA.MC,"INVERSIONES DOALCA SOCIMI, S.A.","Inversiones Doalca SOCIMI, S.A.",Europe/Madrid,CEST,7200000,26.6,none,216416,0.036,7364201,7133144,0.72,0.72,10752006,24.679,1.771,0.104329996,0.38119,10473453,5231166,11423312,2.3,0.295,0.97409,0.68491,0.5969,EUR,
