,address1,city,zip,country,phone,fax,website,industry,sector,longBusinessSummary,fullTimeEmployees,companyOfficers,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,dividendRate,dividendYield,exDividendDate,payoutRatio,fiveYearAvgDividendYield,beta,trailingPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,heldPercentInsiders,heldPercentInstitutions,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,earningsQuarterlyGrowth,netIncomeToCommon,trailingEps,lastSplitFactor,lastSplitDate,enterpriseToRevenue,enterpriseToEbitda,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,recommendationKey,numberOfAnalystOpinions,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,earningsGrowth,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,Augsburger Strasse 2b,Germering,82110,Germany,49 89 894450 0,49 89 894450 123,https://www.fortecag.de,Electronics & Computer Distribution,Technology,"FORTEC Elektronik AG provides components and systems in the areas of display technology, embedded systems, and power supplies in Germany and internationally. It operates through two segments, Data Visualisation and Power Supplies. The Data Visualisation segment offers standard kits and support services to product solutions with access to TFT controller and drive solutions developed in-house, as well as generation of optical bonding technology. The Power Supplies segment provides power supplies and DC/DC convertors. Fortec Elektronik AG was founded in 1984 and is based in Germering, Germany.",231,"{'maxAge': 1, 'name': 'Ms. Sandra  Maile', 'title': 'Chairman of the Management Board & CEO', 'exercisedValue': 0, 'unexercisedValue': 0}",86400,2,26.0,26.1,26.1,26.1,26.0,26.1,26.1,26.1,0.7,0.0269,1676505600,0.29659998,3.18,0.748873,11.059322,100,100,23,0,0,26.1,26.7,27000,30000,86141488,19.3,29.3,0.84791607,27.47,25.7155,0.7,0.026923077,EUR,81551336,0.07581,3081478,3250440,0.36498,0.0369,16.412,1.5902997,1656547200,1688083200,1680220800,0.839,7702000,2.36,3:1,1149120000,0.803,8.429,FRA,EQUITY,FEV.F,FEV.F,FORTEC ELEKTRO. O.N.,FORTEC Elektronik AG,947833200,Europe/Berlin,CEST,7200000,26.1,13.87,13.87,13.87,13.87,none,1,9897000,3.045,9675500,6928000,1.509,3.873,101592000,12.985,31.255,0.08222,0.15208,29039000,0.839,0.218,0.32930002,0.095240004,0.091680005,EUR,
1,Augsburger Strasse 2b,Germering,82110,Germany,49 89 894450 0,49 89 894450 123,https://www.fortecag.de,Electronics & Computer Distribution,Technology,"FORTEC Elektronik AG provides components and systems in the areas of display technology, embedded systems, and power supplies in Germany and internationally. It operates through two segments, Data Visualisation and Power Supplies. The Data Visualisation segment offers standard kits and support services to product solutions with access to TFT controller and drive solutions developed in-house, as well as generation of optical bonding technology. The Power Supplies segment provides power supplies and DC/DC convertors. Fortec Elektronik AG was founded in 1984 and is based in Germering, Germany.",231,"{'maxAge': 1, 'name': 'Mr. Ulrich  Ermel', 'age': 37, 'title': 'Member of Management Board & COO', 'yearBorn': 1985, 'exercisedValue': 0, 'unexercisedValue': 0}",86400,2,26.0,26.1,26.1,26.1,26.0,26.1,26.1,26.1,0.7,0.0269,1676505600,0.29659998,3.18,0.748873,11.059322,100,100,23,0,0,26.1,26.7,27000,30000,86141488,19.3,29.3,0.84791607,27.47,25.7155,0.7,0.026923077,EUR,81551336,0.07581,3081478,3250440,0.36498,0.0369,16.412,1.5902997,1656547200,1688083200,1680220800,0.839,7702000,2.36,3:1,1149120000,0.803,8.429,FRA,EQUITY,FEV.F,FEV.F,FORTEC ELEKTRO. O.N.,FORTEC Elektronik AG,947833200,Europe/Berlin,CEST,7200000,26.1,13.87,13.87,13.87,13.87,none,1,9897000,3.045,9675500,6928000,1.509,3.873,101592000,12.985,31.255,0.08222,0.15208,29039000,0.839,0.218,0.32930002,0.095240004,0.091680005,EUR,
