,address1,address2,city,country,phone,fax,website,industry,sector,longBusinessSummary,fullTimeEmployees,companyOfficers,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,dividendRate,dividendYield,exDividendDate,fiveYearAvgDividendYield,beta,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,heldPercentInsiders,heldPercentInstitutions,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,netIncomeToCommon,trailingEps,enterpriseToRevenue,enterpriseToEbitda,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,recommendationKey,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,AIA Kowloon Tower,27th Floor Landmark East 100 How Ming Street,Kwun Tong,Hong Kong,852 2752 2338,852 2329 7556,https://www.wingtaiproperties.com,Real Estate—Development,Real Estate,"Wing Tai Properties Limited, an investment holding company, engages in the investment, development, and management of properties in Hong Kong, the United Kingdom, the People's Republic of China, Singapore, and internationally. The company operates through Property Development, Property Investment and Management, Hospitality Investment and Management, and Others divisions. It develops and manages residential and commercial properties. The company's investment properties include commercial, industrial, residential units and serviced apartments, and hotel projects. It is also involved in the hospitality management, treasury investment, licensing, mortgage financing, and property agency activities. The company was formerly known as USI Holdings Limited and changed its name to Wing Tai Properties Limited in 2010. Wing Tai Properties Limited was incorporated in 1991 and is headquartered in Kwun Tong, Hong Kong.",360,"{'maxAge': 1, 'name': 'Dr. Wai-Chee  Cheng GBS, J.P., JP, O.B.E., OBE', 'age': 74, 'title': 'Exec. Chairman', 'yearBorn': 1948, 'fiscalYear': 2022, 'totalPay': 1246851, 'exercisedValue': 25409, 'unexercisedValue': 0}",1672444800,86400,4,0.326,0.338,0.338,0.338,0.326,0.338,0.338,0.338,0.03,0.09729999,1694649600,6.65,0.276276,40,40,4,4,4,0.336,0.386,413300,394500,507665888,0.326,0.5,0.13668244,0.3568,0.38309,0.27,0.8282209,EUR,4476689920,-0.32938,357927547,1357200000,0.73625,0.00986,18.433,0.018336678,1672444800,1703980800,1688083200,-1288199936,-0.11,1.205,4.75,FRA,EQUITY,USH.F,USH.F,"WING TAI PROPE.LTD HD-,50",Wing Tai Properties Limited,1199084400,Europe/Berlin,CEST,7200000,0.338,none,2983099904,2.198,942550016,6842599936,1.079,2.738,3714200064,25.661,2.738,0.01587,-0.03878,-0.445,0.37965,0.25377,0.25128,HKD,
1,AIA Kowloon Tower,27th Floor Landmark East 100 How Ming Street,Kwun Tong,Hong Kong,852 2752 2338,852 2329 7556,https://www.wingtaiproperties.com,Real Estate—Development,Real Estate,"Wing Tai Properties Limited, an investment holding company, engages in the investment, development, and management of properties in Hong Kong, the United Kingdom, the People's Republic of China, Singapore, and internationally. The company operates through Property Development, Property Investment and Management, Hospitality Investment and Management, and Others divisions. It develops and manages residential and commercial properties. The company's investment properties include commercial, industrial, residential units and serviced apartments, and hotel projects. It is also involved in the hospitality management, treasury investment, licensing, mortgage financing, and property agency activities. The company was formerly known as USI Holdings Limited and changed its name to Wing Tai Properties Limited in 2010. Wing Tai Properties Limited was incorporated in 1991 and is headquartered in Kwun Tong, Hong Kong.",360,"{'maxAge': 1, 'name': 'Mr. Wai Sun  Cheng J.P., S.B.S.', 'age': 66, 'title': 'Deputy Chairman & Chief Exec.', 'yearBorn': 1956, 'fiscalYear': 2022, 'totalPay': 2563313, 'exercisedValue': 25409, 'unexercisedValue': 0}",1672444800,86400,4,0.326,0.338,0.338,0.338,0.326,0.338,0.338,0.338,0.03,0.09729999,1694649600,6.65,0.276276,40,40,4,4,4,0.336,0.386,413300,394500,507665888,0.326,0.5,0.13668244,0.3568,0.38309,0.27,0.8282209,EUR,4476689920,-0.32938,357927547,1357200000,0.73625,0.00986,18.433,0.018336678,1672444800,1703980800,1688083200,-1288199936,-0.11,1.205,4.75,FRA,EQUITY,USH.F,USH.F,"WING TAI PROPE.LTD HD-,50",Wing Tai Properties Limited,1199084400,Europe/Berlin,CEST,7200000,0.338,none,2983099904,2.198,942550016,6842599936,1.079,2.738,3714200064,25.661,2.738,0.01587,-0.03878,-0.445,0.37965,0.25377,0.25128,HKD,
2,AIA Kowloon Tower,27th Floor Landmark East 100 How Ming Street,Kwun Tong,Hong Kong,852 2752 2338,852 2329 7556,https://www.wingtaiproperties.com,Real Estate—Development,Real Estate,"Wing Tai Properties Limited, an investment holding company, engages in the investment, development, and management of properties in Hong Kong, the United Kingdom, the People's Republic of China, Singapore, and internationally. The company operates through Property Development, Property Investment and Management, Hospitality Investment and Management, and Others divisions. It develops and manages residential and commercial properties. The company's investment properties include commercial, industrial, residential units and serviced apartments, and hotel projects. It is also involved in the hospitality management, treasury investment, licensing, mortgage financing, and property agency activities. The company was formerly known as USI Holdings Limited and changed its name to Wing Tai Properties Limited in 2010. Wing Tai Properties Limited was incorporated in 1991 and is headquartered in Kwun Tong, Hong Kong.",360,"{'maxAge': 1, 'name': 'Mr. Man Piu  Cheng', 'age': 69, 'title': 'Exec. Director', 'yearBorn': 1953, 'fiscalYear': 2022, 'totalPay': 3193, 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,4,0.326,0.338,0.338,0.338,0.326,0.338,0.338,0.338,0.03,0.09729999,1694649600,6.65,0.276276,40,40,4,4,4,0.336,0.386,413300,394500,507665888,0.326,0.5,0.13668244,0.3568,0.38309,0.27,0.8282209,EUR,4476689920,-0.32938,357927547,1357200000,0.73625,0.00986,18.433,0.018336678,1672444800,1703980800,1688083200,-1288199936,-0.11,1.205,4.75,FRA,EQUITY,USH.F,USH.F,"WING TAI PROPE.LTD HD-,50",Wing Tai Properties Limited,1199084400,Europe/Berlin,CEST,7200000,0.338,none,2983099904,2.198,942550016,6842599936,1.079,2.738,3714200064,25.661,2.738,0.01587,-0.03878,-0.445,0.37965,0.25377,0.25128,HKD,
3,AIA Kowloon Tower,27th Floor Landmark East 100 How Ming Street,Kwun Tong,Hong Kong,852 2752 2338,852 2329 7556,https://www.wingtaiproperties.com,Real Estate—Development,Real Estate,"Wing Tai Properties Limited, an investment holding company, engages in the investment, development, and management of properties in Hong Kong, the United Kingdom, the People's Republic of China, Singapore, and internationally. The company operates through Property Development, Property Investment and Management, Hospitality Investment and Management, and Others divisions. It develops and manages residential and commercial properties. The company's investment properties include commercial, industrial, residential units and serviced apartments, and hotel projects. It is also involved in the hospitality management, treasury investment, licensing, mortgage financing, and property agency activities. The company was formerly known as USI Holdings Limited and changed its name to Wing Tai Properties Limited in 2010. Wing Tai Properties Limited was incorporated in 1991 and is headquartered in Kwun Tong, Hong Kong.",360,"{'maxAge': 1, 'name': 'Mr. Wai-Wai  Chow', 'age': 73, 'title': 'MD of Group Property Investment & Management Division and Exec. Director', 'yearBorn': 1949, 'fiscalYear': 2022, 'totalPay': 777972, 'exercisedValue': 4774, 'unexercisedValue': 0}",1672444800,86400,4,0.326,0.338,0.338,0.338,0.326,0.338,0.338,0.338,0.03,0.09729999,1694649600,6.65,0.276276,40,40,4,4,4,0.336,0.386,413300,394500,507665888,0.326,0.5,0.13668244,0.3568,0.38309,0.27,0.8282209,EUR,4476689920,-0.32938,357927547,1357200000,0.73625,0.00986,18.433,0.018336678,1672444800,1703980800,1688083200,-1288199936,-0.11,1.205,4.75,FRA,EQUITY,USH.F,USH.F,"WING TAI PROPE.LTD HD-,50",Wing Tai Properties Limited,1199084400,Europe/Berlin,CEST,7200000,0.338,none,2983099904,2.198,942550016,6842599936,1.079,2.738,3714200064,25.661,2.738,0.01587,-0.03878,-0.445,0.37965,0.25377,0.25128,HKD,
4,AIA Kowloon Tower,27th Floor Landmark East 100 How Ming Street,Kwun Tong,Hong Kong,852 2752 2338,852 2329 7556,https://www.wingtaiproperties.com,Real Estate—Development,Real Estate,"Wing Tai Properties Limited, an investment holding company, engages in the investment, development, and management of properties in Hong Kong, the United Kingdom, the People's Republic of China, Singapore, and internationally. The company operates through Property Development, Property Investment and Management, Hospitality Investment and Management, and Others divisions. It develops and manages residential and commercial properties. The company's investment properties include commercial, industrial, residential units and serviced apartments, and hotel projects. It is also involved in the hospitality management, treasury investment, licensing, mortgage financing, and property agency activities. The company was formerly known as USI Holdings Limited and changed its name to Wing Tai Properties Limited in 2010. Wing Tai Properties Limited was incorporated in 1991 and is headquartered in Kwun Tong, Hong Kong.",360,"{'maxAge': 1, 'name': 'Mr. Kar Wai  Ng', 'age': 66, 'title': 'MD of Group Property Division & Exec. Director', 'yearBorn': 1956, 'fiscalYear': 2022, 'totalPay': 1135602, 'exercisedValue': 9584, 'unexercisedValue': 0}",1672444800,86400,4,0.326,0.338,0.338,0.338,0.326,0.338,0.338,0.338,0.03,0.09729999,1694649600,6.65,0.276276,40,40,4,4,4,0.336,0.386,413300,394500,507665888,0.326,0.5,0.13668244,0.3568,0.38309,0.27,0.8282209,EUR,4476689920,-0.32938,357927547,1357200000,0.73625,0.00986,18.433,0.018336678,1672444800,1703980800,1688083200,-1288199936,-0.11,1.205,4.75,FRA,EQUITY,USH.F,USH.F,"WING TAI PROPE.LTD HD-,50",Wing Tai Properties Limited,1199084400,Europe/Berlin,CEST,7200000,0.338,none,2983099904,2.198,942550016,6842599936,1.079,2.738,3714200064,25.661,2.738,0.01587,-0.03878,-0.445,0.37965,0.25377,0.25128,HKD,
5,AIA Kowloon Tower,27th Floor Landmark East 100 How Ming Street,Kwun Tong,Hong Kong,852 2752 2338,852 2329 7556,https://www.wingtaiproperties.com,Real Estate—Development,Real Estate,"Wing Tai Properties Limited, an investment holding company, engages in the investment, development, and management of properties in Hong Kong, the United Kingdom, the People's Republic of China, Singapore, and internationally. The company operates through Property Development, Property Investment and Management, Hospitality Investment and Management, and Others divisions. It develops and manages residential and commercial properties. The company's investment properties include commercial, industrial, residential units and serviced apartments, and hotel projects. It is also involved in the hospitality management, treasury investment, licensing, mortgage financing, and property agency activities. The company was formerly known as USI Holdings Limited and changed its name to Wing Tai Properties Limited in 2010. Wing Tai Properties Limited was incorporated in 1991 and is headquartered in Kwun Tong, Hong Kong.",360,"{'maxAge': 1, 'name': 'Ms. Ching Man  Fung', 'age': 59, 'title': 'Chief Financial Officer', 'yearBorn': 1963, 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,4,0.326,0.338,0.338,0.338,0.326,0.338,0.338,0.338,0.03,0.09729999,1694649600,6.65,0.276276,40,40,4,4,4,0.336,0.386,413300,394500,507665888,0.326,0.5,0.13668244,0.3568,0.38309,0.27,0.8282209,EUR,4476689920,-0.32938,357927547,1357200000,0.73625,0.00986,18.433,0.018336678,1672444800,1703980800,1688083200,-1288199936,-0.11,1.205,4.75,FRA,EQUITY,USH.F,USH.F,"WING TAI PROPE.LTD HD-,50",Wing Tai Properties Limited,1199084400,Europe/Berlin,CEST,7200000,0.338,none,2983099904,2.198,942550016,6842599936,1.079,2.738,3714200064,25.661,2.738,0.01587,-0.03878,-0.445,0.37965,0.25377,0.25128,HKD,
6,AIA Kowloon Tower,27th Floor Landmark East 100 How Ming Street,Kwun Tong,Hong Kong,852 2752 2338,852 2329 7556,https://www.wingtaiproperties.com,Real Estate—Development,Real Estate,"Wing Tai Properties Limited, an investment holding company, engages in the investment, development, and management of properties in Hong Kong, the United Kingdom, the People's Republic of China, Singapore, and internationally. The company operates through Property Development, Property Investment and Management, Hospitality Investment and Management, and Others divisions. It develops and manages residential and commercial properties. The company's investment properties include commercial, industrial, residential units and serviced apartments, and hotel projects. It is also involved in the hospitality management, treasury investment, licensing, mortgage financing, and property agency activities. The company was formerly known as USI Holdings Limited and changed its name to Wing Tai Properties Limited in 2010. Wing Tai Properties Limited was incorporated in 1991 and is headquartered in Kwun Tong, Hong Kong.",360,"{'maxAge': 1, 'name': 'Mr. Siu Wah Chung', 'age': 68, 'title': 'Group Legal Counsel & Company Sec.', 'yearBorn': 1954, 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,4,0.326,0.338,0.338,0.338,0.326,0.338,0.338,0.338,0.03,0.09729999,1694649600,6.65,0.276276,40,40,4,4,4,0.336,0.386,413300,394500,507665888,0.326,0.5,0.13668244,0.3568,0.38309,0.27,0.8282209,EUR,4476689920,-0.32938,357927547,1357200000,0.73625,0.00986,18.433,0.018336678,1672444800,1703980800,1688083200,-1288199936,-0.11,1.205,4.75,FRA,EQUITY,USH.F,USH.F,"WING TAI PROPE.LTD HD-,50",Wing Tai Properties Limited,1199084400,Europe/Berlin,CEST,7200000,0.338,none,2983099904,2.198,942550016,6842599936,1.079,2.738,3714200064,25.661,2.738,0.01587,-0.03878,-0.445,0.37965,0.25377,0.25128,HKD,
7,AIA Kowloon Tower,27th Floor Landmark East 100 How Ming Street,Kwun Tong,Hong Kong,852 2752 2338,852 2329 7556,https://www.wingtaiproperties.com,Real Estate—Development,Real Estate,"Wing Tai Properties Limited, an investment holding company, engages in the investment, development, and management of properties in Hong Kong, the United Kingdom, the People's Republic of China, Singapore, and internationally. The company operates through Property Development, Property Investment and Management, Hospitality Investment and Management, and Others divisions. It develops and manages residential and commercial properties. The company's investment properties include commercial, industrial, residential units and serviced apartments, and hotel projects. It is also involved in the hospitality management, treasury investment, licensing, mortgage financing, and property agency activities. The company was formerly known as USI Holdings Limited and changed its name to Wing Tai Properties Limited in 2010. Wing Tai Properties Limited was incorporated in 1991 and is headquartered in Kwun Tong, Hong Kong.",360,"{'maxAge': 1, 'name': 'Ms. Kan Fung Ling  Li', 'age': 60, 'title': 'Director of Corp. Devel.', 'yearBorn': 1962, 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,4,0.326,0.338,0.338,0.338,0.326,0.338,0.338,0.338,0.03,0.09729999,1694649600,6.65,0.276276,40,40,4,4,4,0.336,0.386,413300,394500,507665888,0.326,0.5,0.13668244,0.3568,0.38309,0.27,0.8282209,EUR,4476689920,-0.32938,357927547,1357200000,0.73625,0.00986,18.433,0.018336678,1672444800,1703980800,1688083200,-1288199936,-0.11,1.205,4.75,FRA,EQUITY,USH.F,USH.F,"WING TAI PROPE.LTD HD-,50",Wing Tai Properties Limited,1199084400,Europe/Berlin,CEST,7200000,0.338,none,2983099904,2.198,942550016,6842599936,1.079,2.738,3714200064,25.661,2.738,0.01587,-0.03878,-0.445,0.37965,0.25377,0.25128,HKD,
8,AIA Kowloon Tower,27th Floor Landmark East 100 How Ming Street,Kwun Tong,Hong Kong,852 2752 2338,852 2329 7556,https://www.wingtaiproperties.com,Real Estate—Development,Real Estate,"Wing Tai Properties Limited, an investment holding company, engages in the investment, development, and management of properties in Hong Kong, the United Kingdom, the People's Republic of China, Singapore, and internationally. The company operates through Property Development, Property Investment and Management, Hospitality Investment and Management, and Others divisions. It develops and manages residential and commercial properties. The company's investment properties include commercial, industrial, residential units and serviced apartments, and hotel projects. It is also involved in the hospitality management, treasury investment, licensing, mortgage financing, and property agency activities. The company was formerly known as USI Holdings Limited and changed its name to Wing Tai Properties Limited in 2010. Wing Tai Properties Limited was incorporated in 1991 and is headquartered in Kwun Tong, Hong Kong.",360,"{'maxAge': 1, 'name': 'Mr. Michael Hamilton  Hobson', 'age': 65, 'title': 'Director & CEO of Lanson Place Hospitality Management Limited', 'yearBorn': 1957, 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,4,0.326,0.338,0.338,0.338,0.326,0.338,0.338,0.338,0.03,0.09729999,1694649600,6.65,0.276276,40,40,4,4,4,0.336,0.386,413300,394500,507665888,0.326,0.5,0.13668244,0.3568,0.38309,0.27,0.8282209,EUR,4476689920,-0.32938,357927547,1357200000,0.73625,0.00986,18.433,0.018336678,1672444800,1703980800,1688083200,-1288199936,-0.11,1.205,4.75,FRA,EQUITY,USH.F,USH.F,"WING TAI PROPE.LTD HD-,50",Wing Tai Properties Limited,1199084400,Europe/Berlin,CEST,7200000,0.338,none,2983099904,2.198,942550016,6842599936,1.079,2.738,3714200064,25.661,2.738,0.01587,-0.03878,-0.445,0.37965,0.25377,0.25128,HKD,
9,AIA Kowloon Tower,27th Floor Landmark East 100 How Ming Street,Kwun Tong,Hong Kong,852 2752 2338,852 2329 7556,https://www.wingtaiproperties.com,Real Estate—Development,Real Estate,"Wing Tai Properties Limited, an investment holding company, engages in the investment, development, and management of properties in Hong Kong, the United Kingdom, the People's Republic of China, Singapore, and internationally. The company operates through Property Development, Property Investment and Management, Hospitality Investment and Management, and Others divisions. It develops and manages residential and commercial properties. The company's investment properties include commercial, industrial, residential units and serviced apartments, and hotel projects. It is also involved in the hospitality management, treasury investment, licensing, mortgage financing, and property agency activities. The company was formerly known as USI Holdings Limited and changed its name to Wing Tai Properties Limited in 2010. Wing Tai Properties Limited was incorporated in 1991 and is headquartered in Kwun Tong, Hong Kong.",360,"{'maxAge': 1, 'name': 'Mr. Chun Keung Leung', 'age': 65, 'title': 'Exec. Director of China Investment & Corp. Advisor', 'yearBorn': 1957, 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,4,0.326,0.338,0.338,0.338,0.326,0.338,0.338,0.338,0.03,0.09729999,1694649600,6.65,0.276276,40,40,4,4,4,0.336,0.386,413300,394500,507665888,0.326,0.5,0.13668244,0.3568,0.38309,0.27,0.8282209,EUR,4476689920,-0.32938,357927547,1357200000,0.73625,0.00986,18.433,0.018336678,1672444800,1703980800,1688083200,-1288199936,-0.11,1.205,4.75,FRA,EQUITY,USH.F,USH.F,"WING TAI PROPE.LTD HD-,50",Wing Tai Properties Limited,1199084400,Europe/Berlin,CEST,7200000,0.338,none,2983099904,2.198,942550016,6842599936,1.079,2.738,3714200064,25.661,2.738,0.01587,-0.03878,-0.445,0.37965,0.25377,0.25128,HKD,
