,address1,city,zip,country,phone,website,industry,sector,longBusinessSummary,fullTimeEmployees,companyOfficers,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,dividendRate,dividendYield,exDividendDate,payoutRatio,beta,trailingPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,heldPercentInsiders,heldPercentInstitutions,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,netIncomeToCommon,trailingEps,enterpriseToRevenue,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,recommendationKey,totalCash,totalCashPerShare,totalDebt,totalRevenue,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,operatingCashflow,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,11 Boulevard Albert 1er,Monaco,98000,Monaco,377 93 10 20 50,https://monaco.ca-indosuez.com,Banks—Regional,Financial Services,"CFM Indosuez Wealth Management SA, together with its subsidiaries, engages in the provision of banking and financial solutions to private investors, businesses, institutions, and professionals in Monaco. The company primarily provides wealth management services to help families and entrepreneurs in creating, cultivating, protecting, and passing on wealth. CFM Indosuez Wealth Management SA was founded in 1922 and is headquartered in Monaco. CFM Indosuez Wealth Management SA operates as a subsidiary of CA Indosuez Wealth (Group).",407,"{'maxAge': 1, 'name': 'Mr. Mathieu  Ferragut', 'title': 'CEO & MD', 'exercisedValue': 0, 'unexercisedValue': 0}",86400,2,980.0,1000.0,1000.0,1000.0,980.0,1000.0,1000.0,1000.0,70.5,0.0698,1684454400,0.5697,0.234234,13.166557,2,2,4,6,6,910.0,935.0,500,2500,573000000,850.0,1010.0,3.6553159,987.8,941.575,70.5,0.071938775,EUR,517148992,0.27663,171040,573000,0.7012,0.0,661.517,1.5116769,1672444800,1703980800,1293753600,43364000,75.95,3.299,PAR,EQUITY,MLCFM.PA,MLCFM.PA,CFM INDOSUEZ WEALTH,CFM Indosuez Wealth Management SA,1014364800,Europe/Paris,CEST,7200000,1000.0,none,61581000,107.471,0,156758000,274.735,0.00644,0.11557999,156758000,77328000,0.0,0.0,0.32985002,EUR,
1,11 Boulevard Albert 1er,Monaco,98000,Monaco,377 93 10 20 50,https://monaco.ca-indosuez.com,Banks—Regional,Financial Services,"CFM Indosuez Wealth Management SA, together with its subsidiaries, engages in the provision of banking and financial solutions to private investors, businesses, institutions, and professionals in Monaco. The company primarily provides wealth management services to help families and entrepreneurs in creating, cultivating, protecting, and passing on wealth. CFM Indosuez Wealth Management SA was founded in 1922 and is headquartered in Monaco. CFM Indosuez Wealth Management SA operates as a subsidiary of CA Indosuez Wealth (Group).",407,"{'maxAge': 1, 'name': 'Sophie  Armando', 'title': 'Head of Fin. & Strategy', 'exercisedValue': 0, 'unexercisedValue': 0}",86400,2,980.0,1000.0,1000.0,1000.0,980.0,1000.0,1000.0,1000.0,70.5,0.0698,1684454400,0.5697,0.234234,13.166557,2,2,4,6,6,910.0,935.0,500,2500,573000000,850.0,1010.0,3.6553159,987.8,941.575,70.5,0.071938775,EUR,517148992,0.27663,171040,573000,0.7012,0.0,661.517,1.5116769,1672444800,1703980800,1293753600,43364000,75.95,3.299,PAR,EQUITY,MLCFM.PA,MLCFM.PA,CFM INDOSUEZ WEALTH,CFM Indosuez Wealth Management SA,1014364800,Europe/Paris,CEST,7200000,1000.0,none,61581000,107.471,0,156758000,274.735,0.00644,0.11557999,156758000,77328000,0.0,0.0,0.32985002,EUR,
2,11 Boulevard Albert 1er,Monaco,98000,Monaco,377 93 10 20 50,https://monaco.ca-indosuez.com,Banks—Regional,Financial Services,"CFM Indosuez Wealth Management SA, together with its subsidiaries, engages in the provision of banking and financial solutions to private investors, businesses, institutions, and professionals in Monaco. The company primarily provides wealth management services to help families and entrepreneurs in creating, cultivating, protecting, and passing on wealth. CFM Indosuez Wealth Management SA was founded in 1922 and is headquartered in Monaco. CFM Indosuez Wealth Management SA operates as a subsidiary of CA Indosuez Wealth (Group).",407,"{'maxAge': 1, 'name': 'Mr. Michael  Van Ommeren', 'title': 'Chief Operating Officer', 'exercisedValue': 0, 'unexercisedValue': 0}",86400,2,980.0,1000.0,1000.0,1000.0,980.0,1000.0,1000.0,1000.0,70.5,0.0698,1684454400,0.5697,0.234234,13.166557,2,2,4,6,6,910.0,935.0,500,2500,573000000,850.0,1010.0,3.6553159,987.8,941.575,70.5,0.071938775,EUR,517148992,0.27663,171040,573000,0.7012,0.0,661.517,1.5116769,1672444800,1703980800,1293753600,43364000,75.95,3.299,PAR,EQUITY,MLCFM.PA,MLCFM.PA,CFM INDOSUEZ WEALTH,CFM Indosuez Wealth Management SA,1014364800,Europe/Paris,CEST,7200000,1000.0,none,61581000,107.471,0,156758000,274.735,0.00644,0.11557999,156758000,77328000,0.0,0.0,0.32985002,EUR,
3,11 Boulevard Albert 1er,Monaco,98000,Monaco,377 93 10 20 50,https://monaco.ca-indosuez.com,Banks—Regional,Financial Services,"CFM Indosuez Wealth Management SA, together with its subsidiaries, engages in the provision of banking and financial solutions to private investors, businesses, institutions, and professionals in Monaco. The company primarily provides wealth management services to help families and entrepreneurs in creating, cultivating, protecting, and passing on wealth. CFM Indosuez Wealth Management SA was founded in 1922 and is headquartered in Monaco. CFM Indosuez Wealth Management SA operates as a subsidiary of CA Indosuez Wealth (Group).",407,"{'maxAge': 1, 'name': 'Mr. Yves  Braccalenti', 'title': 'Head of Customer Relations', 'exercisedValue': 0, 'unexercisedValue': 0}",86400,2,980.0,1000.0,1000.0,1000.0,980.0,1000.0,1000.0,1000.0,70.5,0.0698,1684454400,0.5697,0.234234,13.166557,2,2,4,6,6,910.0,935.0,500,2500,573000000,850.0,1010.0,3.6553159,987.8,941.575,70.5,0.071938775,EUR,517148992,0.27663,171040,573000,0.7012,0.0,661.517,1.5116769,1672444800,1703980800,1293753600,43364000,75.95,3.299,PAR,EQUITY,MLCFM.PA,MLCFM.PA,CFM INDOSUEZ WEALTH,CFM Indosuez Wealth Management SA,1014364800,Europe/Paris,CEST,7200000,1000.0,none,61581000,107.471,0,156758000,274.735,0.00644,0.11557999,156758000,77328000,0.0,0.0,0.32985002,EUR,
4,11 Boulevard Albert 1er,Monaco,98000,Monaco,377 93 10 20 50,https://monaco.ca-indosuez.com,Banks—Regional,Financial Services,"CFM Indosuez Wealth Management SA, together with its subsidiaries, engages in the provision of banking and financial solutions to private investors, businesses, institutions, and professionals in Monaco. The company primarily provides wealth management services to help families and entrepreneurs in creating, cultivating, protecting, and passing on wealth. CFM Indosuez Wealth Management SA was founded in 1922 and is headquartered in Monaco. CFM Indosuez Wealth Management SA operates as a subsidiary of CA Indosuez Wealth (Group).",407,"{'maxAge': 1, 'name': 'Mr. Stéphane  Herpe', 'title': 'Head of Markets, Marketing & Devel. Department', 'exercisedValue': 0, 'unexercisedValue': 0}",86400,2,980.0,1000.0,1000.0,1000.0,980.0,1000.0,1000.0,1000.0,70.5,0.0698,1684454400,0.5697,0.234234,13.166557,2,2,4,6,6,910.0,935.0,500,2500,573000000,850.0,1010.0,3.6553159,987.8,941.575,70.5,0.071938775,EUR,517148992,0.27663,171040,573000,0.7012,0.0,661.517,1.5116769,1672444800,1703980800,1293753600,43364000,75.95,3.299,PAR,EQUITY,MLCFM.PA,MLCFM.PA,CFM INDOSUEZ WEALTH,CFM Indosuez Wealth Management SA,1014364800,Europe/Paris,CEST,7200000,1000.0,none,61581000,107.471,0,156758000,274.735,0.00644,0.11557999,156758000,77328000,0.0,0.0,0.32985002,EUR,
5,11 Boulevard Albert 1er,Monaco,98000,Monaco,377 93 10 20 50,https://monaco.ca-indosuez.com,Banks—Regional,Financial Services,"CFM Indosuez Wealth Management SA, together with its subsidiaries, engages in the provision of banking and financial solutions to private investors, businesses, institutions, and professionals in Monaco. The company primarily provides wealth management services to help families and entrepreneurs in creating, cultivating, protecting, and passing on wealth. CFM Indosuez Wealth Management SA was founded in 1922 and is headquartered in Monaco. CFM Indosuez Wealth Management SA operates as a subsidiary of CA Indosuez Wealth (Group).",407,"{'maxAge': 1, 'name': 'Ariel  Barugel', 'title': 'Head of HR', 'exercisedValue': 0, 'unexercisedValue': 0}",86400,2,980.0,1000.0,1000.0,1000.0,980.0,1000.0,1000.0,1000.0,70.5,0.0698,1684454400,0.5697,0.234234,13.166557,2,2,4,6,6,910.0,935.0,500,2500,573000000,850.0,1010.0,3.6553159,987.8,941.575,70.5,0.071938775,EUR,517148992,0.27663,171040,573000,0.7012,0.0,661.517,1.5116769,1672444800,1703980800,1293753600,43364000,75.95,3.299,PAR,EQUITY,MLCFM.PA,MLCFM.PA,CFM INDOSUEZ WEALTH,CFM Indosuez Wealth Management SA,1014364800,Europe/Paris,CEST,7200000,1000.0,none,61581000,107.471,0,156758000,274.735,0.00644,0.11557999,156758000,77328000,0.0,0.0,0.32985002,EUR,
6,11 Boulevard Albert 1er,Monaco,98000,Monaco,377 93 10 20 50,https://monaco.ca-indosuez.com,Banks—Regional,Financial Services,"CFM Indosuez Wealth Management SA, together with its subsidiaries, engages in the provision of banking and financial solutions to private investors, businesses, institutions, and professionals in Monaco. The company primarily provides wealth management services to help families and entrepreneurs in creating, cultivating, protecting, and passing on wealth. CFM Indosuez Wealth Management SA was founded in 1922 and is headquartered in Monaco. CFM Indosuez Wealth Management SA operates as a subsidiary of CA Indosuez Wealth (Group).",407,"{'maxAge': 1, 'name': 'Mr. Grégoire  Faure', 'title': 'Deputy CEO & Deputy MD', 'exercisedValue': 0, 'unexercisedValue': 0}",86400,2,980.0,1000.0,1000.0,1000.0,980.0,1000.0,1000.0,1000.0,70.5,0.0698,1684454400,0.5697,0.234234,13.166557,2,2,4,6,6,910.0,935.0,500,2500,573000000,850.0,1010.0,3.6553159,987.8,941.575,70.5,0.071938775,EUR,517148992,0.27663,171040,573000,0.7012,0.0,661.517,1.5116769,1672444800,1703980800,1293753600,43364000,75.95,3.299,PAR,EQUITY,MLCFM.PA,MLCFM.PA,CFM INDOSUEZ WEALTH,CFM Indosuez Wealth Management SA,1014364800,Europe/Paris,CEST,7200000,1000.0,none,61581000,107.471,0,156758000,274.735,0.00644,0.11557999,156758000,77328000,0.0,0.0,0.32985002,EUR,
7,11 Boulevard Albert 1er,Monaco,98000,Monaco,377 93 10 20 50,https://monaco.ca-indosuez.com,Banks—Regional,Financial Services,"CFM Indosuez Wealth Management SA, together with its subsidiaries, engages in the provision of banking and financial solutions to private investors, businesses, institutions, and professionals in Monaco. The company primarily provides wealth management services to help families and entrepreneurs in creating, cultivating, protecting, and passing on wealth. CFM Indosuez Wealth Management SA was founded in 1922 and is headquartered in Monaco. CFM Indosuez Wealth Management SA operates as a subsidiary of CA Indosuez Wealth (Group).",407,"{'maxAge': 1, 'name': 'Mr. Olivier  Livenais', 'title': ""Chief Exec. of Indosuez's Hong Kong Branch"", 'exercisedValue': 0, 'unexercisedValue': 0}",86400,2,980.0,1000.0,1000.0,1000.0,980.0,1000.0,1000.0,1000.0,70.5,0.0698,1684454400,0.5697,0.234234,13.166557,2,2,4,6,6,910.0,935.0,500,2500,573000000,850.0,1010.0,3.6553159,987.8,941.575,70.5,0.071938775,EUR,517148992,0.27663,171040,573000,0.7012,0.0,661.517,1.5116769,1672444800,1703980800,1293753600,43364000,75.95,3.299,PAR,EQUITY,MLCFM.PA,MLCFM.PA,CFM INDOSUEZ WEALTH,CFM Indosuez Wealth Management SA,1014364800,Europe/Paris,CEST,7200000,1000.0,none,61581000,107.471,0,156758000,274.735,0.00644,0.11557999,156758000,77328000,0.0,0.0,0.32985002,EUR,
8,11 Boulevard Albert 1er,Monaco,98000,Monaco,377 93 10 20 50,https://monaco.ca-indosuez.com,Banks—Regional,Financial Services,"CFM Indosuez Wealth Management SA, together with its subsidiaries, engages in the provision of banking and financial solutions to private investors, businesses, institutions, and professionals in Monaco. The company primarily provides wealth management services to help families and entrepreneurs in creating, cultivating, protecting, and passing on wealth. CFM Indosuez Wealth Management SA was founded in 1922 and is headquartered in Monaco. CFM Indosuez Wealth Management SA operates as a subsidiary of CA Indosuez Wealth (Group).",407,"{'maxAge': 1, 'name': 'Mr. Vincent  Thomas', 'title': 'Deputy CEO & Deputy MD', 'exercisedValue': 0, 'unexercisedValue': 0}",86400,2,980.0,1000.0,1000.0,1000.0,980.0,1000.0,1000.0,1000.0,70.5,0.0698,1684454400,0.5697,0.234234,13.166557,2,2,4,6,6,910.0,935.0,500,2500,573000000,850.0,1010.0,3.6553159,987.8,941.575,70.5,0.071938775,EUR,517148992,0.27663,171040,573000,0.7012,0.0,661.517,1.5116769,1672444800,1703980800,1293753600,43364000,75.95,3.299,PAR,EQUITY,MLCFM.PA,MLCFM.PA,CFM INDOSUEZ WEALTH,CFM Indosuez Wealth Management SA,1014364800,Europe/Paris,CEST,7200000,1000.0,none,61581000,107.471,0,156758000,274.735,0.00644,0.11557999,156758000,77328000,0.0,0.0,0.32985002,EUR,
9,11 Boulevard Albert 1er,Monaco,98000,Monaco,377 93 10 20 50,https://monaco.ca-indosuez.com,Banks—Regional,Financial Services,"CFM Indosuez Wealth Management SA, together with its subsidiaries, engages in the provision of banking and financial solutions to private investors, businesses, institutions, and professionals in Monaco. The company primarily provides wealth management services to help families and entrepreneurs in creating, cultivating, protecting, and passing on wealth. CFM Indosuez Wealth Management SA was founded in 1922 and is headquartered in Monaco. CFM Indosuez Wealth Management SA operates as a subsidiary of CA Indosuez Wealth (Group).",407,"{'maxAge': 1, 'name': 'Mr. Pierre  Masclet', 'title': 'Deputy CEO & Director', 'exercisedValue': 0, 'unexercisedValue': 0}",86400,2,980.0,1000.0,1000.0,1000.0,980.0,1000.0,1000.0,1000.0,70.5,0.0698,1684454400,0.5697,0.234234,13.166557,2,2,4,6,6,910.0,935.0,500,2500,573000000,850.0,1010.0,3.6553159,987.8,941.575,70.5,0.071938775,EUR,517148992,0.27663,171040,573000,0.7012,0.0,661.517,1.5116769,1672444800,1703980800,1293753600,43364000,75.95,3.299,PAR,EQUITY,MLCFM.PA,MLCFM.PA,CFM INDOSUEZ WEALTH,CFM Indosuez Wealth Management SA,1014364800,Europe/Paris,CEST,7200000,1000.0,none,61581000,107.471,0,156758000,274.735,0.00644,0.11557999,156758000,77328000,0.0,0.0,0.32985002,EUR,
