,address1,address2,city,state,zip,country,phone,website,industry,sector,longBusinessSummary,fullTimeEmployees,companyOfficers,auditRisk,boardRisk,compensationRisk,shareHolderRightsRisk,overallRisk,governanceEpochDate,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,exDividendDate,payoutRatio,beta,forwardPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,sharesShort,sharesShortPriorMonth,sharesShortPreviousMonthDate,dateShortInterest,sharesPercentSharesOut,heldPercentInsiders,heldPercentInstitutions,shortRatio,shortPercentOfFloat,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,earningsQuarterlyGrowth,netIncomeToCommon,trailingEps,forwardEps,pegRatio,enterpriseToRevenue,enterpriseToEbitda,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,recommendationMean,recommendationKey,numberOfAnalystOpinions,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,freeCashflow,operatingCashflow,earningsGrowth,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,4610 South Ulster Street,Suite 150,Denver,CO,80237,United States,303 262 4500,https://www.startek.com,Information Technology Services,Technology,"StarTek, Inc., a business process outsourcing company, provides customer experience, digital transformation, and technology services in various markets. The company primarily offers customer engagement, omnichannel engagement, social media, customer intelligence analytics, work from home, and back-office services under the Startek and Aegis brands. It also offers Startek cloud, a hybrid omni-cloud platform integrated with artificial intelligence capabilities, which enables agents to work in remote and home-based roles for increased business agility and continuity. The company serves telecom, e-commerce and consumer, financial and business services, cable and media, travel and hospitality, technology, education and healthcare, energy, and other industries in the Americas, India, Sri Lanka, Malaysia, South Africa, Australia, and internationally. StarTek, Inc. was founded in 1987 and is headquartered in Denver, Colorado.",32000,"{'maxAge': 1, 'name': 'Mr. Bharat  Rao', 'age': 56, 'title': 'Global CEO & Director', 'yearBorn': 1966, 'fiscalYear': 2022, 'totalPay': 648444, 'exercisedValue': 0, 'unexercisedValue': 0}",5,10,6,1,6,1693526400,1672444800,86400,4,3.15,3.13,3.13,3.29,3.15,3.13,3.13,3.29,1163376000,0.0,1.430152,6.3269234,5009,5009,34620,10280,10280,3.04,3.27,1100,1000,132592920,2.64,4.53,0.3572768,3.1038,3.4484,0.0,0.0,USD,211958704,0.00803,7955980,40301800,17769,20957,1690761600,1693440000,0.0004,0.80306,0.05998,0.73,0.0011,4.849,0.6784904,1672444800,1703980800,1688083200,2.5,-9044000,-0.06,0.52,1.7,0.571,6.681,NYQ,EQUITY,SRT,SRT,"StarTek, Inc.","Startek, Inc.",866727000,America/New_York,EDT,-14400000,3.29,5.5,4.0,4.75,4.75,1.5,strong_buy,2,34908000,0.866,31726000,119916000,1.005,1.279,371120992,61.401,9.209,0.011670001,-0.011419999,57797000,55484876,15695000,2.508,-0.051,0.15526,0.085489996,0.025980001,USD,0.4138
1,4610 South Ulster Street,Suite 150,Denver,CO,80237,United States,303 262 4500,https://www.startek.com,Information Technology Services,Technology,"StarTek, Inc., a business process outsourcing company, provides customer experience, digital transformation, and technology services in various markets. The company primarily offers customer engagement, omnichannel engagement, social media, customer intelligence analytics, work from home, and back-office services under the Startek and Aegis brands. It also offers Startek cloud, a hybrid omni-cloud platform integrated with artificial intelligence capabilities, which enables agents to work in remote and home-based roles for increased business agility and continuity. The company serves telecom, e-commerce and consumer, financial and business services, cable and media, travel and hospitality, technology, education and healthcare, energy, and other industries in the Americas, India, Sri Lanka, Malaysia, South Africa, Australia, and internationally. StarTek, Inc. was founded in 1987 and is headquartered in Denver, Colorado.",32000,"{'maxAge': 1, 'name': 'Mr. Surender Mohan Gupta', 'age': 56, 'title': 'Chief People Officer', 'yearBorn': 1966, 'fiscalYear': 2022, 'totalPay': 533343, 'exercisedValue': 0, 'unexercisedValue': 0}",5,10,6,1,6,1693526400,1672444800,86400,4,3.15,3.13,3.13,3.29,3.15,3.13,3.13,3.29,1163376000,0.0,1.430152,6.3269234,5009,5009,34620,10280,10280,3.04,3.27,1100,1000,132592920,2.64,4.53,0.3572768,3.1038,3.4484,0.0,0.0,USD,211958704,0.00803,7955980,40301800,17769,20957,1690761600,1693440000,0.0004,0.80306,0.05998,0.73,0.0011,4.849,0.6784904,1672444800,1703980800,1688083200,2.5,-9044000,-0.06,0.52,1.7,0.571,6.681,NYQ,EQUITY,SRT,SRT,"StarTek, Inc.","Startek, Inc.",866727000,America/New_York,EDT,-14400000,3.29,5.5,4.0,4.75,4.75,1.5,strong_buy,2,34908000,0.866,31726000,119916000,1.005,1.279,371120992,61.401,9.209,0.011670001,-0.011419999,57797000,55484876,15695000,2.508,-0.051,0.15526,0.085489996,0.025980001,USD,0.4138
2,4610 South Ulster Street,Suite 150,Denver,CO,80237,United States,303 262 4500,https://www.startek.com,Information Technology Services,Technology,"StarTek, Inc., a business process outsourcing company, provides customer experience, digital transformation, and technology services in various markets. The company primarily offers customer engagement, omnichannel engagement, social media, customer intelligence analytics, work from home, and back-office services under the Startek and Aegis brands. It also offers Startek cloud, a hybrid omni-cloud platform integrated with artificial intelligence capabilities, which enables agents to work in remote and home-based roles for increased business agility and continuity. The company serves telecom, e-commerce and consumer, financial and business services, cable and media, travel and hospitality, technology, education and healthcare, energy, and other industries in the Americas, India, Sri Lanka, Malaysia, South Africa, Australia, and internationally. StarTek, Inc. was founded in 1987 and is headquartered in Denver, Colorado.",32000,"{'maxAge': 1, 'name': 'Mr. Neeraj  Jain', 'age': 45, 'title': 'Chief Financial Officer', 'yearBorn': 1977, 'exercisedValue': 0, 'unexercisedValue': 0}",5,10,6,1,6,1693526400,1672444800,86400,4,3.15,3.13,3.13,3.29,3.15,3.13,3.13,3.29,1163376000,0.0,1.430152,6.3269234,5009,5009,34620,10280,10280,3.04,3.27,1100,1000,132592920,2.64,4.53,0.3572768,3.1038,3.4484,0.0,0.0,USD,211958704,0.00803,7955980,40301800,17769,20957,1690761600,1693440000,0.0004,0.80306,0.05998,0.73,0.0011,4.849,0.6784904,1672444800,1703980800,1688083200,2.5,-9044000,-0.06,0.52,1.7,0.571,6.681,NYQ,EQUITY,SRT,SRT,"StarTek, Inc.","Startek, Inc.",866727000,America/New_York,EDT,-14400000,3.29,5.5,4.0,4.75,4.75,1.5,strong_buy,2,34908000,0.866,31726000,119916000,1.005,1.279,371120992,61.401,9.209,0.011670001,-0.011419999,57797000,55484876,15695000,2.508,-0.051,0.15526,0.085489996,0.025980001,USD,0.4138
3,4610 South Ulster Street,Suite 150,Denver,CO,80237,United States,303 262 4500,https://www.startek.com,Information Technology Services,Technology,"StarTek, Inc., a business process outsourcing company, provides customer experience, digital transformation, and technology services in various markets. The company primarily offers customer engagement, omnichannel engagement, social media, customer intelligence analytics, work from home, and back-office services under the Startek and Aegis brands. It also offers Startek cloud, a hybrid omni-cloud platform integrated with artificial intelligence capabilities, which enables agents to work in remote and home-based roles for increased business agility and continuity. The company serves telecom, e-commerce and consumer, financial and business services, cable and media, travel and hospitality, technology, education and healthcare, energy, and other industries in the Americas, India, Sri Lanka, Malaysia, South Africa, Australia, and internationally. StarTek, Inc. was founded in 1987 and is headquartered in Denver, Colorado.",32000,"{'maxAge': 1, 'name': 'Mr. Gurpal  Singh', 'title': 'Chief Operating Officer', 'exercisedValue': 0, 'unexercisedValue': 0}",5,10,6,1,6,1693526400,1672444800,86400,4,3.15,3.13,3.13,3.29,3.15,3.13,3.13,3.29,1163376000,0.0,1.430152,6.3269234,5009,5009,34620,10280,10280,3.04,3.27,1100,1000,132592920,2.64,4.53,0.3572768,3.1038,3.4484,0.0,0.0,USD,211958704,0.00803,7955980,40301800,17769,20957,1690761600,1693440000,0.0004,0.80306,0.05998,0.73,0.0011,4.849,0.6784904,1672444800,1703980800,1688083200,2.5,-9044000,-0.06,0.52,1.7,0.571,6.681,NYQ,EQUITY,SRT,SRT,"StarTek, Inc.","Startek, Inc.",866727000,America/New_York,EDT,-14400000,3.29,5.5,4.0,4.75,4.75,1.5,strong_buy,2,34908000,0.866,31726000,119916000,1.005,1.279,371120992,61.401,9.209,0.011670001,-0.011419999,57797000,55484876,15695000,2.508,-0.051,0.15526,0.085489996,0.025980001,USD,0.4138
4,4610 South Ulster Street,Suite 150,Denver,CO,80237,United States,303 262 4500,https://www.startek.com,Information Technology Services,Technology,"StarTek, Inc., a business process outsourcing company, provides customer experience, digital transformation, and technology services in various markets. The company primarily offers customer engagement, omnichannel engagement, social media, customer intelligence analytics, work from home, and back-office services under the Startek and Aegis brands. It also offers Startek cloud, a hybrid omni-cloud platform integrated with artificial intelligence capabilities, which enables agents to work in remote and home-based roles for increased business agility and continuity. The company serves telecom, e-commerce and consumer, financial and business services, cable and media, travel and hospitality, technology, education and healthcare, energy, and other industries in the Americas, India, Sri Lanka, Malaysia, South Africa, Australia, and internationally. StarTek, Inc. was founded in 1987 and is headquartered in Denver, Colorado.",32000,"{'maxAge': 1, 'name': 'Mr. P. Srinivasa Reddy', 'title': 'Chief Technology Officer', 'exercisedValue': 0, 'unexercisedValue': 0}",5,10,6,1,6,1693526400,1672444800,86400,4,3.15,3.13,3.13,3.29,3.15,3.13,3.13,3.29,1163376000,0.0,1.430152,6.3269234,5009,5009,34620,10280,10280,3.04,3.27,1100,1000,132592920,2.64,4.53,0.3572768,3.1038,3.4484,0.0,0.0,USD,211958704,0.00803,7955980,40301800,17769,20957,1690761600,1693440000,0.0004,0.80306,0.05998,0.73,0.0011,4.849,0.6784904,1672444800,1703980800,1688083200,2.5,-9044000,-0.06,0.52,1.7,0.571,6.681,NYQ,EQUITY,SRT,SRT,"StarTek, Inc.","Startek, Inc.",866727000,America/New_York,EDT,-14400000,3.29,5.5,4.0,4.75,4.75,1.5,strong_buy,2,34908000,0.866,31726000,119916000,1.005,1.279,371120992,61.401,9.209,0.011670001,-0.011419999,57797000,55484876,15695000,2.508,-0.051,0.15526,0.085489996,0.025980001,USD,0.4138
5,4610 South Ulster Street,Suite 150,Denver,CO,80237,United States,303 262 4500,https://www.startek.com,Information Technology Services,Technology,"StarTek, Inc., a business process outsourcing company, provides customer experience, digital transformation, and technology services in various markets. The company primarily offers customer engagement, omnichannel engagement, social media, customer intelligence analytics, work from home, and back-office services under the Startek and Aegis brands. It also offers Startek cloud, a hybrid omni-cloud platform integrated with artificial intelligence capabilities, which enables agents to work in remote and home-based roles for increased business agility and continuity. The company serves telecom, e-commerce and consumer, financial and business services, cable and media, travel and hospitality, technology, education and healthcare, energy, and other industries in the Americas, India, Sri Lanka, Malaysia, South Africa, Australia, and internationally. StarTek, Inc. was founded in 1987 and is headquartered in Denver, Colorado.",32000,"{'maxAge': 1, 'name': 'Murali  Ramachandran', 'title': 'Chief Information Officer', 'exercisedValue': 0, 'unexercisedValue': 0}",5,10,6,1,6,1693526400,1672444800,86400,4,3.15,3.13,3.13,3.29,3.15,3.13,3.13,3.29,1163376000,0.0,1.430152,6.3269234,5009,5009,34620,10280,10280,3.04,3.27,1100,1000,132592920,2.64,4.53,0.3572768,3.1038,3.4484,0.0,0.0,USD,211958704,0.00803,7955980,40301800,17769,20957,1690761600,1693440000,0.0004,0.80306,0.05998,0.73,0.0011,4.849,0.6784904,1672444800,1703980800,1688083200,2.5,-9044000,-0.06,0.52,1.7,0.571,6.681,NYQ,EQUITY,SRT,SRT,"StarTek, Inc.","Startek, Inc.",866727000,America/New_York,EDT,-14400000,3.29,5.5,4.0,4.75,4.75,1.5,strong_buy,2,34908000,0.866,31726000,119916000,1.005,1.279,371120992,61.401,9.209,0.011670001,-0.011419999,57797000,55484876,15695000,2.508,-0.051,0.15526,0.085489996,0.025980001,USD,0.4138
6,4610 South Ulster Street,Suite 150,Denver,CO,80237,United States,303 262 4500,https://www.startek.com,Information Technology Services,Technology,"StarTek, Inc., a business process outsourcing company, provides customer experience, digital transformation, and technology services in various markets. The company primarily offers customer engagement, omnichannel engagement, social media, customer intelligence analytics, work from home, and back-office services under the Startek and Aegis brands. It also offers Startek cloud, a hybrid omni-cloud platform integrated with artificial intelligence capabilities, which enables agents to work in remote and home-based roles for increased business agility and continuity. The company serves telecom, e-commerce and consumer, financial and business services, cable and media, travel and hospitality, technology, education and healthcare, energy, and other industries in the Americas, India, Sri Lanka, Malaysia, South Africa, Australia, and internationally. StarTek, Inc. was founded in 1987 and is headquartered in Denver, Colorado.",32000,"{'maxAge': 1, 'name': 'Ms. Rebecca  Gautrey', 'title': 'Chief Marketing Officer', 'exercisedValue': 0, 'unexercisedValue': 0}",5,10,6,1,6,1693526400,1672444800,86400,4,3.15,3.13,3.13,3.29,3.15,3.13,3.13,3.29,1163376000,0.0,1.430152,6.3269234,5009,5009,34620,10280,10280,3.04,3.27,1100,1000,132592920,2.64,4.53,0.3572768,3.1038,3.4484,0.0,0.0,USD,211958704,0.00803,7955980,40301800,17769,20957,1690761600,1693440000,0.0004,0.80306,0.05998,0.73,0.0011,4.849,0.6784904,1672444800,1703980800,1688083200,2.5,-9044000,-0.06,0.52,1.7,0.571,6.681,NYQ,EQUITY,SRT,SRT,"StarTek, Inc.","Startek, Inc.",866727000,America/New_York,EDT,-14400000,3.29,5.5,4.0,4.75,4.75,1.5,strong_buy,2,34908000,0.866,31726000,119916000,1.005,1.279,371120992,61.401,9.209,0.011670001,-0.011419999,57797000,55484876,15695000,2.508,-0.051,0.15526,0.085489996,0.025980001,USD,0.4138
7,4610 South Ulster Street,Suite 150,Denver,CO,80237,United States,303 262 4500,https://www.startek.com,Information Technology Services,Technology,"StarTek, Inc., a business process outsourcing company, provides customer experience, digital transformation, and technology services in various markets. The company primarily offers customer engagement, omnichannel engagement, social media, customer intelligence analytics, work from home, and back-office services under the Startek and Aegis brands. It also offers Startek cloud, a hybrid omni-cloud platform integrated with artificial intelligence capabilities, which enables agents to work in remote and home-based roles for increased business agility and continuity. The company serves telecom, e-commerce and consumer, financial and business services, cable and media, travel and hospitality, technology, education and healthcare, energy, and other industries in the Americas, India, Sri Lanka, Malaysia, South Africa, Australia, and internationally. StarTek, Inc. was founded in 1987 and is headquartered in Denver, Colorado.",32000,"{'maxAge': 1, 'name': 'Mr. Abhinandan  Jain', 'title': 'Chief Growth Officer', 'exercisedValue': 0, 'unexercisedValue': 0}",5,10,6,1,6,1693526400,1672444800,86400,4,3.15,3.13,3.13,3.29,3.15,3.13,3.13,3.29,1163376000,0.0,1.430152,6.3269234,5009,5009,34620,10280,10280,3.04,3.27,1100,1000,132592920,2.64,4.53,0.3572768,3.1038,3.4484,0.0,0.0,USD,211958704,0.00803,7955980,40301800,17769,20957,1690761600,1693440000,0.0004,0.80306,0.05998,0.73,0.0011,4.849,0.6784904,1672444800,1703980800,1688083200,2.5,-9044000,-0.06,0.52,1.7,0.571,6.681,NYQ,EQUITY,SRT,SRT,"StarTek, Inc.","Startek, Inc.",866727000,America/New_York,EDT,-14400000,3.29,5.5,4.0,4.75,4.75,1.5,strong_buy,2,34908000,0.866,31726000,119916000,1.005,1.279,371120992,61.401,9.209,0.011670001,-0.011419999,57797000,55484876,15695000,2.508,-0.051,0.15526,0.085489996,0.025980001,USD,0.4138
8,4610 South Ulster Street,Suite 150,Denver,CO,80237,United States,303 262 4500,https://www.startek.com,Information Technology Services,Technology,"StarTek, Inc., a business process outsourcing company, provides customer experience, digital transformation, and technology services in various markets. The company primarily offers customer engagement, omnichannel engagement, social media, customer intelligence analytics, work from home, and back-office services under the Startek and Aegis brands. It also offers Startek cloud, a hybrid omni-cloud platform integrated with artificial intelligence capabilities, which enables agents to work in remote and home-based roles for increased business agility and continuity. The company serves telecom, e-commerce and consumer, financial and business services, cable and media, travel and hospitality, technology, education and healthcare, energy, and other industries in the Americas, India, Sri Lanka, Malaysia, South Africa, Australia, and internationally. StarTek, Inc. was founded in 1987 and is headquartered in Denver, Colorado.",32000,"{'maxAge': 1, 'name': 'Mr. Ronald  Gillette', 'age': 65, 'title': 'Strategic Advisor & Head of Bus. Transformation', 'yearBorn': 1957, 'exercisedValue': 0, 'unexercisedValue': 0}",5,10,6,1,6,1693526400,1672444800,86400,4,3.15,3.13,3.13,3.29,3.15,3.13,3.13,3.29,1163376000,0.0,1.430152,6.3269234,5009,5009,34620,10280,10280,3.04,3.27,1100,1000,132592920,2.64,4.53,0.3572768,3.1038,3.4484,0.0,0.0,USD,211958704,0.00803,7955980,40301800,17769,20957,1690761600,1693440000,0.0004,0.80306,0.05998,0.73,0.0011,4.849,0.6784904,1672444800,1703980800,1688083200,2.5,-9044000,-0.06,0.52,1.7,0.571,6.681,NYQ,EQUITY,SRT,SRT,"StarTek, Inc.","Startek, Inc.",866727000,America/New_York,EDT,-14400000,3.29,5.5,4.0,4.75,4.75,1.5,strong_buy,2,34908000,0.866,31726000,119916000,1.005,1.279,371120992,61.401,9.209,0.011670001,-0.011419999,57797000,55484876,15695000,2.508,-0.051,0.15526,0.085489996,0.025980001,USD,0.4138
9,4610 South Ulster Street,Suite 150,Denver,CO,80237,United States,303 262 4500,https://www.startek.com,Information Technology Services,Technology,"StarTek, Inc., a business process outsourcing company, provides customer experience, digital transformation, and technology services in various markets. The company primarily offers customer engagement, omnichannel engagement, social media, customer intelligence analytics, work from home, and back-office services under the Startek and Aegis brands. It also offers Startek cloud, a hybrid omni-cloud platform integrated with artificial intelligence capabilities, which enables agents to work in remote and home-based roles for increased business agility and continuity. The company serves telecom, e-commerce and consumer, financial and business services, cable and media, travel and hospitality, technology, education and healthcare, energy, and other industries in the Americas, India, Sri Lanka, Malaysia, South Africa, Australia, and internationally. StarTek, Inc. was founded in 1987 and is headquartered in Denver, Colorado.",32000,"{'maxAge': 1, 'name': 'Ankul  Agarwal', 'title': 'Chief of Staff', 'exercisedValue': 0, 'unexercisedValue': 0}",5,10,6,1,6,1693526400,1672444800,86400,4,3.15,3.13,3.13,3.29,3.15,3.13,3.13,3.29,1163376000,0.0,1.430152,6.3269234,5009,5009,34620,10280,10280,3.04,3.27,1100,1000,132592920,2.64,4.53,0.3572768,3.1038,3.4484,0.0,0.0,USD,211958704,0.00803,7955980,40301800,17769,20957,1690761600,1693440000,0.0004,0.80306,0.05998,0.73,0.0011,4.849,0.6784904,1672444800,1703980800,1688083200,2.5,-9044000,-0.06,0.52,1.7,0.571,6.681,NYQ,EQUITY,SRT,SRT,"StarTek, Inc.","Startek, Inc.",866727000,America/New_York,EDT,-14400000,3.29,5.5,4.0,4.75,4.75,1.5,strong_buy,2,34908000,0.866,31726000,119916000,1.005,1.279,371120992,61.401,9.209,0.011670001,-0.011419999,57797000,55484876,15695000,2.508,-0.051,0.15526,0.085489996,0.025980001,USD,0.4138
