,address1,address2,city,zip,country,phone,fax,website,industry,sector,longBusinessSummary,companyOfficers,auditRisk,boardRisk,compensationRisk,shareHolderRightsRisk,overallRisk,governanceEpochDate,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,exDividendDate,payoutRatio,beta,trailingPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,heldPercentInsiders,heldPercentInstitutions,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,earningsQuarterlyGrowth,netIncomeToCommon,trailingEps,lastSplitFactor,lastSplitDate,enterpriseToRevenue,enterpriseToEbitda,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,recommendationKey,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,freeCashflow,operatingCashflow,earningsGrowth,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,"37, avenue Sidi Brahim",BP 52100 Cedex,Grasse,06130,France,33 4 93 40 33 66,33 4 93 70 68 09,https://www.robertet.com,Chemicals,Basic Materials,"Robertet SA produces and sells perfumes, aromas, and natural products. The company operates in four segments: Raw materials, Fragrances, Flavors, and Active Ingredients. It also produces organic essential oils and active ingredients. The company operates in North America, Europe, the Asia Pacific, South America, Caribbean, Africa, and the Middle East. Robertet SA was founded in 1850 and is headquartered in Grasse, France.","{'maxAge': 1, 'name': 'Mr. Jerome  Bruhat', 'title': 'Chief Exec. Officer', 'fiscalYear': 2022, 'totalPay': 1102637, 'exercisedValue': 0, 'unexercisedValue': 0}",10,9,7,8,9,1693526400,1672444800,86400,2,795.0,765.0,765.0,765.0,795.0,765.0,765.0,765.0,1498694400,0.0,0.333333,21.010712,7,7,6,1,1,185.0,199.9,900,200,1702553344,700.0,831.6,2.4217124,784.462,784.677,8.5,0.010691823,EUR,1767079808,0.10813,606574,137848,0.0,0.0,198.856,3.847005,1672444800,1703980800,1672444800,-0.08,76020000,36.41,4:1,978393600,2.513,14.674,PAR,EQUITY,CBE.PA,CBE.PA,ROBERTET CI,Robertet SA,707382000,Europe/Paris,CEST,7200000,765.0,none,128055000,61.362,120419000,297868992,1.722,3.302,703036992,71.64,303.819,0.07813,0.15942,-3275375,46762000,-0.08,0.116,0.53106,0.17128,0.14496,EUR,
1,"37, avenue Sidi Brahim",BP 52100 Cedex,Grasse,06130,France,33 4 93 40 33 66,33 4 93 70 68 09,https://www.robertet.com,Chemicals,Basic Materials,"Robertet SA produces and sells perfumes, aromas, and natural products. The company operates in four segments: Raw materials, Fragrances, Flavors, and Active Ingredients. It also produces organic essential oils and active ingredients. The company operates in North America, Europe, the Asia Pacific, South America, Caribbean, Africa, and the Middle East. Robertet SA was founded in 1850 and is headquartered in Grasse, France.","{'maxAge': 1, 'name': 'Mr. Christophe  Maubert', 'age': 63, 'title': 'VP of the Board & Director of Fragrance Division', 'yearBorn': 1959, 'fiscalYear': 2022, 'totalPay': 31500, 'exercisedValue': 0, 'unexercisedValue': 0}",10,9,7,8,9,1693526400,1672444800,86400,2,795.0,765.0,765.0,765.0,795.0,765.0,765.0,765.0,1498694400,0.0,0.333333,21.010712,7,7,6,1,1,185.0,199.9,900,200,1702553344,700.0,831.6,2.4217124,784.462,784.677,8.5,0.010691823,EUR,1767079808,0.10813,606574,137848,0.0,0.0,198.856,3.847005,1672444800,1703980800,1672444800,-0.08,76020000,36.41,4:1,978393600,2.513,14.674,PAR,EQUITY,CBE.PA,CBE.PA,ROBERTET CI,Robertet SA,707382000,Europe/Paris,CEST,7200000,765.0,none,128055000,61.362,120419000,297868992,1.722,3.302,703036992,71.64,303.819,0.07813,0.15942,-3275375,46762000,-0.08,0.116,0.53106,0.17128,0.14496,EUR,
2,"37, avenue Sidi Brahim",BP 52100 Cedex,Grasse,06130,France,33 4 93 40 33 66,33 4 93 70 68 09,https://www.robertet.com,Chemicals,Basic Materials,"Robertet SA produces and sells perfumes, aromas, and natural products. The company operates in four segments: Raw materials, Fragrances, Flavors, and Active Ingredients. It also produces organic essential oils and active ingredients. The company operates in North America, Europe, the Asia Pacific, South America, Caribbean, Africa, and the Middle East. Robertet SA was founded in 1850 and is headquartered in Grasse, France.","{'maxAge': 1, 'name': 'Mr. Olivier  Maubert', 'age': 57, 'title': 'Director of the Flavor Division and H&B Division', 'yearBorn': 1965, 'fiscalYear': 2022, 'totalPay': 5000, 'exercisedValue': 0, 'unexercisedValue': 0}",10,9,7,8,9,1693526400,1672444800,86400,2,795.0,765.0,765.0,765.0,795.0,765.0,765.0,765.0,1498694400,0.0,0.333333,21.010712,7,7,6,1,1,185.0,199.9,900,200,1702553344,700.0,831.6,2.4217124,784.462,784.677,8.5,0.010691823,EUR,1767079808,0.10813,606574,137848,0.0,0.0,198.856,3.847005,1672444800,1703980800,1672444800,-0.08,76020000,36.41,4:1,978393600,2.513,14.674,PAR,EQUITY,CBE.PA,CBE.PA,ROBERTET CI,Robertet SA,707382000,Europe/Paris,CEST,7200000,765.0,none,128055000,61.362,120419000,297868992,1.722,3.302,703036992,71.64,303.819,0.07813,0.15942,-3275375,46762000,-0.08,0.116,0.53106,0.17128,0.14496,EUR,
3,"37, avenue Sidi Brahim",BP 52100 Cedex,Grasse,06130,France,33 4 93 40 33 66,33 4 93 70 68 09,https://www.robertet.com,Chemicals,Basic Materials,"Robertet SA produces and sells perfumes, aromas, and natural products. The company operates in four segments: Raw materials, Fragrances, Flavors, and Active Ingredients. It also produces organic essential oils and active ingredients. The company operates in North America, Europe, the Asia Pacific, South America, Caribbean, Africa, and the Middle East. Robertet SA was founded in 1850 and is headquartered in Grasse, France.","{'maxAge': 1, 'name': 'Ms. Isabelle  Pardies', 'title': 'Chief Financial Officer', 'exercisedValue': 0, 'unexercisedValue': 0}",10,9,7,8,9,1693526400,1672444800,86400,2,795.0,765.0,765.0,765.0,795.0,765.0,765.0,765.0,1498694400,0.0,0.333333,21.010712,7,7,6,1,1,185.0,199.9,900,200,1702553344,700.0,831.6,2.4217124,784.462,784.677,8.5,0.010691823,EUR,1767079808,0.10813,606574,137848,0.0,0.0,198.856,3.847005,1672444800,1703980800,1672444800,-0.08,76020000,36.41,4:1,978393600,2.513,14.674,PAR,EQUITY,CBE.PA,CBE.PA,ROBERTET CI,Robertet SA,707382000,Europe/Paris,CEST,7200000,765.0,none,128055000,61.362,120419000,297868992,1.722,3.302,703036992,71.64,303.819,0.07813,0.15942,-3275375,46762000,-0.08,0.116,0.53106,0.17128,0.14496,EUR,
4,"37, avenue Sidi Brahim",BP 52100 Cedex,Grasse,06130,France,33 4 93 40 33 66,33 4 93 70 68 09,https://www.robertet.com,Chemicals,Basic Materials,"Robertet SA produces and sells perfumes, aromas, and natural products. The company operates in four segments: Raw materials, Fragrances, Flavors, and Active Ingredients. It also produces organic essential oils and active ingredients. The company operates in North America, Europe, the Asia Pacific, South America, Caribbean, Africa, and the Middle East. Robertet SA was founded in 1850 and is headquartered in Grasse, France.","{'maxAge': 1, 'name': 'Mr. Herve  Bellon', 'title': 'Chief Operating Officer', 'exercisedValue': 0, 'unexercisedValue': 0}",10,9,7,8,9,1693526400,1672444800,86400,2,795.0,765.0,765.0,765.0,795.0,765.0,765.0,765.0,1498694400,0.0,0.333333,21.010712,7,7,6,1,1,185.0,199.9,900,200,1702553344,700.0,831.6,2.4217124,784.462,784.677,8.5,0.010691823,EUR,1767079808,0.10813,606574,137848,0.0,0.0,198.856,3.847005,1672444800,1703980800,1672444800,-0.08,76020000,36.41,4:1,978393600,2.513,14.674,PAR,EQUITY,CBE.PA,CBE.PA,ROBERTET CI,Robertet SA,707382000,Europe/Paris,CEST,7200000,765.0,none,128055000,61.362,120419000,297868992,1.722,3.302,703036992,71.64,303.819,0.07813,0.15942,-3275375,46762000,-0.08,0.116,0.53106,0.17128,0.14496,EUR,
5,"37, avenue Sidi Brahim",BP 52100 Cedex,Grasse,06130,France,33 4 93 40 33 66,33 4 93 70 68 09,https://www.robertet.com,Chemicals,Basic Materials,"Robertet SA produces and sells perfumes, aromas, and natural products. The company operates in four segments: Raw materials, Fragrances, Flavors, and Active Ingredients. It also produces organic essential oils and active ingredients. The company operates in North America, Europe, the Asia Pacific, South America, Caribbean, Africa, and the Middle East. Robertet SA was founded in 1850 and is headquartered in Grasse, France.","{'maxAge': 1, 'name': 'Ms. Eugenie  Cossart', 'title': 'Gen. Counsel', 'exercisedValue': 0, 'unexercisedValue': 0}",10,9,7,8,9,1693526400,1672444800,86400,2,795.0,765.0,765.0,765.0,795.0,765.0,765.0,765.0,1498694400,0.0,0.333333,21.010712,7,7,6,1,1,185.0,199.9,900,200,1702553344,700.0,831.6,2.4217124,784.462,784.677,8.5,0.010691823,EUR,1767079808,0.10813,606574,137848,0.0,0.0,198.856,3.847005,1672444800,1703980800,1672444800,-0.08,76020000,36.41,4:1,978393600,2.513,14.674,PAR,EQUITY,CBE.PA,CBE.PA,ROBERTET CI,Robertet SA,707382000,Europe/Paris,CEST,7200000,765.0,none,128055000,61.362,120419000,297868992,1.722,3.302,703036992,71.64,303.819,0.07813,0.15942,-3275375,46762000,-0.08,0.116,0.53106,0.17128,0.14496,EUR,
6,"37, avenue Sidi Brahim",BP 52100 Cedex,Grasse,06130,France,33 4 93 40 33 66,33 4 93 70 68 09,https://www.robertet.com,Chemicals,Basic Materials,"Robertet SA produces and sells perfumes, aromas, and natural products. The company operates in four segments: Raw materials, Fragrances, Flavors, and Active Ingredients. It also produces organic essential oils and active ingredients. The company operates in North America, Europe, the Asia Pacific, South America, Caribbean, Africa, and the Middle East. Robertet SA was founded in 1850 and is headquartered in Grasse, France.","{'maxAge': 1, 'name': 'Ms. Stephanie  Groult', 'title': 'Managing Director of Purchasing', 'exercisedValue': 0, 'unexercisedValue': 0}",10,9,7,8,9,1693526400,1672444800,86400,2,795.0,765.0,765.0,765.0,795.0,765.0,765.0,765.0,1498694400,0.0,0.333333,21.010712,7,7,6,1,1,185.0,199.9,900,200,1702553344,700.0,831.6,2.4217124,784.462,784.677,8.5,0.010691823,EUR,1767079808,0.10813,606574,137848,0.0,0.0,198.856,3.847005,1672444800,1703980800,1672444800,-0.08,76020000,36.41,4:1,978393600,2.513,14.674,PAR,EQUITY,CBE.PA,CBE.PA,ROBERTET CI,Robertet SA,707382000,Europe/Paris,CEST,7200000,765.0,none,128055000,61.362,120419000,297868992,1.722,3.302,703036992,71.64,303.819,0.07813,0.15942,-3275375,46762000,-0.08,0.116,0.53106,0.17128,0.14496,EUR,
7,"37, avenue Sidi Brahim",BP 52100 Cedex,Grasse,06130,France,33 4 93 40 33 66,33 4 93 70 68 09,https://www.robertet.com,Chemicals,Basic Materials,"Robertet SA produces and sells perfumes, aromas, and natural products. The company operates in four segments: Raw materials, Fragrances, Flavors, and Active Ingredients. It also produces organic essential oils and active ingredients. The company operates in North America, Europe, the Asia Pacific, South America, Caribbean, Africa, and the Middle East. Robertet SA was founded in 1850 and is headquartered in Grasse, France.","{'maxAge': 1, 'name': ""Mr. Arthur  Le Tourneur D'lson"", 'title': 'Chief Growth Officer', 'exercisedValue': 0, 'unexercisedValue': 0}",10,9,7,8,9,1693526400,1672444800,86400,2,795.0,765.0,765.0,765.0,795.0,765.0,765.0,765.0,1498694400,0.0,0.333333,21.010712,7,7,6,1,1,185.0,199.9,900,200,1702553344,700.0,831.6,2.4217124,784.462,784.677,8.5,0.010691823,EUR,1767079808,0.10813,606574,137848,0.0,0.0,198.856,3.847005,1672444800,1703980800,1672444800,-0.08,76020000,36.41,4:1,978393600,2.513,14.674,PAR,EQUITY,CBE.PA,CBE.PA,ROBERTET CI,Robertet SA,707382000,Europe/Paris,CEST,7200000,765.0,none,128055000,61.362,120419000,297868992,1.722,3.302,703036992,71.64,303.819,0.07813,0.15942,-3275375,46762000,-0.08,0.116,0.53106,0.17128,0.14496,EUR,
8,"37, avenue Sidi Brahim",BP 52100 Cedex,Grasse,06130,France,33 4 93 40 33 66,33 4 93 70 68 09,https://www.robertet.com,Chemicals,Basic Materials,"Robertet SA produces and sells perfumes, aromas, and natural products. The company operates in four segments: Raw materials, Fragrances, Flavors, and Active Ingredients. It also produces organic essential oils and active ingredients. The company operates in North America, Europe, the Asia Pacific, South America, Caribbean, Africa, and the Middle East. Robertet SA was founded in 1850 and is headquartered in Grasse, France.","{'maxAge': 1, 'name': 'Mr. Guillaume  Castel', 'title': 'Chief Information Systems Officer', 'exercisedValue': 0, 'unexercisedValue': 0}",10,9,7,8,9,1693526400,1672444800,86400,2,795.0,765.0,765.0,765.0,795.0,765.0,765.0,765.0,1498694400,0.0,0.333333,21.010712,7,7,6,1,1,185.0,199.9,900,200,1702553344,700.0,831.6,2.4217124,784.462,784.677,8.5,0.010691823,EUR,1767079808,0.10813,606574,137848,0.0,0.0,198.856,3.847005,1672444800,1703980800,1672444800,-0.08,76020000,36.41,4:1,978393600,2.513,14.674,PAR,EQUITY,CBE.PA,CBE.PA,ROBERTET CI,Robertet SA,707382000,Europe/Paris,CEST,7200000,765.0,none,128055000,61.362,120419000,297868992,1.722,3.302,703036992,71.64,303.819,0.07813,0.15942,-3275375,46762000,-0.08,0.116,0.53106,0.17128,0.14496,EUR,
9,"37, avenue Sidi Brahim",BP 52100 Cedex,Grasse,06130,France,33 4 93 40 33 66,33 4 93 70 68 09,https://www.robertet.com,Chemicals,Basic Materials,"Robertet SA produces and sells perfumes, aromas, and natural products. The company operates in four segments: Raw materials, Fragrances, Flavors, and Active Ingredients. It also produces organic essential oils and active ingredients. The company operates in North America, Europe, the Asia Pacific, South America, Caribbean, Africa, and the Middle East. Robertet SA was founded in 1850 and is headquartered in Grasse, France.","{'maxAge': 1, 'name': 'Ms. Catherine  Gadras', 'title': 'Managing Director Product Safety of Regulatory Affairs', 'exercisedValue': 0, 'unexercisedValue': 0}",10,9,7,8,9,1693526400,1672444800,86400,2,795.0,765.0,765.0,765.0,795.0,765.0,765.0,765.0,1498694400,0.0,0.333333,21.010712,7,7,6,1,1,185.0,199.9,900,200,1702553344,700.0,831.6,2.4217124,784.462,784.677,8.5,0.010691823,EUR,1767079808,0.10813,606574,137848,0.0,0.0,198.856,3.847005,1672444800,1703980800,1672444800,-0.08,76020000,36.41,4:1,978393600,2.513,14.674,PAR,EQUITY,CBE.PA,CBE.PA,ROBERTET CI,Robertet SA,707382000,Europe/Paris,CEST,7200000,765.0,none,128055000,61.362,120419000,297868992,1.722,3.302,703036992,71.64,303.819,0.07813,0.15942,-3275375,46762000,-0.08,0.116,0.53106,0.17128,0.14496,EUR,
