,address1,address2,city,zip,country,phone,fax,website,industry,sector,longBusinessSummary,fullTimeEmployees,companyOfficers,auditRisk,boardRisk,compensationRisk,shareHolderRightsRisk,overallRisk,governanceEpochDate,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,dividendRate,dividendYield,exDividendDate,payoutRatio,fiveYearAvgDividendYield,beta,trailingPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,heldPercentInsiders,heldPercentInstitutions,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,netIncomeToCommon,trailingEps,enterpriseToRevenue,enterpriseToEbitda,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,recommendationKey,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,freeCashflow,operatingCashflow,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,19 Tai Seng Avenue,No. 07-01,Singapore,534054,Singapore,65 6411 6900,65 6479 6305,https://xppower.com,Electrical Equipment & Parts,Industrials,"XP Power Limited, an investment holding company, designs and manufactures power supply solutions in Europe, North America, and Asia. The company offers AC-DC power supplies, DC-DC converters, high voltage DC-DC converters, high voltage AC-DC power supplies, RF power systems, EMI filters, custom power supplies, and 3 phase power supplies. It also offers engineering services. The company serves healthcare, industrial technology, and semiconductor equipment manufacturing industries. XP Power Limited was founded in 1988 and is based in Singapore.",2918,"{'maxAge': 1, 'name': 'Mr. Gavin Peter Griggs', 'title': 'CEO & Exec. Director', 'fiscalYear': 2022, 'totalPay': 746522, 'exercisedValue': 0, 'unexercisedValue': 57432}",10,7,6,1,7,1693526400,1672444800,86400,2,28.5,28.5,28.5,28.5,28.5,28.5,28.5,28.5,1.18,0.041300002,1694044800,0.7959,2.94,1.282657,19.256756,88,88,93,0,0,0.0,0.0,0,0,562655552,16.46,30.25,1.7206591,27.7657,26.657825,0.94,0.032982457,USD,763317504,0.07095,18507243,19742300,0.10135,0.76785004,6.714,4.244861,1672444800,1703980800,1688083200,23200000,1.48,2.334,16.38,PNK,EQUITY,XPPLF,XPPLF,XP POWER LTD,XP Power Limited,1344000600,America/New_York,EDT,-14400000,28.5,none,25500000,1.304,46600000,230600000,1.047,2.134,327000000,174.433,16.7,0.0553,0.17988001,120600000,-16975000,38600000,0.296,0.42171,0.14251,0.11743,GBP,
1,19 Tai Seng Avenue,No. 07-01,Singapore,534054,Singapore,65 6411 6900,65 6479 6305,https://xppower.com,Electrical Equipment & Parts,Industrials,"XP Power Limited, an investment holding company, designs and manufactures power supply solutions in Europe, North America, and Asia. The company offers AC-DC power supplies, DC-DC converters, high voltage DC-DC converters, high voltage AC-DC power supplies, RF power systems, EMI filters, custom power supplies, and 3 phase power supplies. It also offers engineering services. The company serves healthcare, industrial technology, and semiconductor equipment manufacturing industries. XP Power Limited was founded in 1988 and is based in Singapore.",2918,"{'maxAge': 1, 'name': 'Mr. Andy  Sng', 'age': 52, 'title': 'Exec. VP of Asia & Exec. Director', 'yearBorn': 1970, 'fiscalYear': 2022, 'totalPay': 246773, 'exercisedValue': 0, 'unexercisedValue': 22044}",10,7,6,1,7,1693526400,1672444800,86400,2,28.5,28.5,28.5,28.5,28.5,28.5,28.5,28.5,1.18,0.041300002,1694044800,0.7959,2.94,1.282657,19.256756,88,88,93,0,0,0.0,0.0,0,0,562655552,16.46,30.25,1.7206591,27.7657,26.657825,0.94,0.032982457,USD,763317504,0.07095,18507243,19742300,0.10135,0.76785004,6.714,4.244861,1672444800,1703980800,1688083200,23200000,1.48,2.334,16.38,PNK,EQUITY,XPPLF,XPPLF,XP POWER LTD,XP Power Limited,1344000600,America/New_York,EDT,-14400000,28.5,none,25500000,1.304,46600000,230600000,1.047,2.134,327000000,174.433,16.7,0.0553,0.17988001,120600000,-16975000,38600000,0.296,0.42171,0.14251,0.11743,GBP,
2,19 Tai Seng Avenue,No. 07-01,Singapore,534054,Singapore,65 6411 6900,65 6479 6305,https://xppower.com,Electrical Equipment & Parts,Industrials,"XP Power Limited, an investment holding company, designs and manufactures power supply solutions in Europe, North America, and Asia. The company offers AC-DC power supplies, DC-DC converters, high voltage DC-DC converters, high voltage AC-DC power supplies, RF power systems, EMI filters, custom power supplies, and 3 phase power supplies. It also offers engineering services. The company serves healthcare, industrial technology, and semiconductor equipment manufacturing industries. XP Power Limited was founded in 1988 and is based in Singapore.",2918,"{'maxAge': 1, 'name': 'Mr. Matthew John Webb', 'title': 'Chief Financial Officer', 'exercisedValue': 0, 'unexercisedValue': 0}",10,7,6,1,7,1693526400,1672444800,86400,2,28.5,28.5,28.5,28.5,28.5,28.5,28.5,28.5,1.18,0.041300002,1694044800,0.7959,2.94,1.282657,19.256756,88,88,93,0,0,0.0,0.0,0,0,562655552,16.46,30.25,1.7206591,27.7657,26.657825,0.94,0.032982457,USD,763317504,0.07095,18507243,19742300,0.10135,0.76785004,6.714,4.244861,1672444800,1703980800,1688083200,23200000,1.48,2.334,16.38,PNK,EQUITY,XPPLF,XPPLF,XP POWER LTD,XP Power Limited,1344000600,America/New_York,EDT,-14400000,28.5,none,25500000,1.304,46600000,230600000,1.047,2.134,327000000,174.433,16.7,0.0553,0.17988001,120600000,-16975000,38600000,0.296,0.42171,0.14251,0.11743,GBP,
3,19 Tai Seng Avenue,No. 07-01,Singapore,534054,Singapore,65 6411 6900,65 6479 6305,https://xppower.com,Electrical Equipment & Parts,Industrials,"XP Power Limited, an investment holding company, designs and manufactures power supply solutions in Europe, North America, and Asia. The company offers AC-DC power supplies, DC-DC converters, high voltage DC-DC converters, high voltage AC-DC power supplies, RF power systems, EMI filters, custom power supplies, and 3 phase power supplies. It also offers engineering services. The company serves healthcare, industrial technology, and semiconductor equipment manufacturing industries. XP Power Limited was founded in 1988 and is based in Singapore.",2918,"{'maxAge': 1, 'name': 'Mr. Adrian  Irwin', 'title': 'Exec. VP of Global Manufacturing & Operations', 'exercisedValue': 0, 'unexercisedValue': 0}",10,7,6,1,7,1693526400,1672444800,86400,2,28.5,28.5,28.5,28.5,28.5,28.5,28.5,28.5,1.18,0.041300002,1694044800,0.7959,2.94,1.282657,19.256756,88,88,93,0,0,0.0,0.0,0,0,562655552,16.46,30.25,1.7206591,27.7657,26.657825,0.94,0.032982457,USD,763317504,0.07095,18507243,19742300,0.10135,0.76785004,6.714,4.244861,1672444800,1703980800,1688083200,23200000,1.48,2.334,16.38,PNK,EQUITY,XPPLF,XPPLF,XP POWER LTD,XP Power Limited,1344000600,America/New_York,EDT,-14400000,28.5,none,25500000,1.304,46600000,230600000,1.047,2.134,327000000,174.433,16.7,0.0553,0.17988001,120600000,-16975000,38600000,0.296,0.42171,0.14251,0.11743,GBP,
4,19 Tai Seng Avenue,No. 07-01,Singapore,534054,Singapore,65 6411 6900,65 6479 6305,https://xppower.com,Electrical Equipment & Parts,Industrials,"XP Power Limited, an investment holding company, designs and manufactures power supply solutions in Europe, North America, and Asia. The company offers AC-DC power supplies, DC-DC converters, high voltage DC-DC converters, high voltage AC-DC power supplies, RF power systems, EMI filters, custom power supplies, and 3 phase power supplies. It also offers engineering services. The company serves healthcare, industrial technology, and semiconductor equipment manufacturing industries. XP Power Limited was founded in 1988 and is based in Singapore.",2918,"{'maxAge': 1, 'name': 'Mr. Gary  Bocock', 'title': 'Technical Director', 'exercisedValue': 0, 'unexercisedValue': 0}",10,7,6,1,7,1693526400,1672444800,86400,2,28.5,28.5,28.5,28.5,28.5,28.5,28.5,28.5,1.18,0.041300002,1694044800,0.7959,2.94,1.282657,19.256756,88,88,93,0,0,0.0,0.0,0,0,562655552,16.46,30.25,1.7206591,27.7657,26.657825,0.94,0.032982457,USD,763317504,0.07095,18507243,19742300,0.10135,0.76785004,6.714,4.244861,1672444800,1703980800,1688083200,23200000,1.48,2.334,16.38,PNK,EQUITY,XPPLF,XPPLF,XP POWER LTD,XP Power Limited,1344000600,America/New_York,EDT,-14400000,28.5,none,25500000,1.304,46600000,230600000,1.047,2.134,327000000,174.433,16.7,0.0553,0.17988001,120600000,-16975000,38600000,0.296,0.42171,0.14251,0.11743,GBP,
5,19 Tai Seng Avenue,No. 07-01,Singapore,534054,Singapore,65 6411 6900,65 6479 6305,https://xppower.com,Electrical Equipment & Parts,Industrials,"XP Power Limited, an investment holding company, designs and manufactures power supply solutions in Europe, North America, and Asia. The company offers AC-DC power supplies, DC-DC converters, high voltage DC-DC converters, high voltage AC-DC power supplies, RF power systems, EMI filters, custom power supplies, and 3 phase power supplies. It also offers engineering services. The company serves healthcare, industrial technology, and semiconductor equipment manufacturing industries. XP Power Limited was founded in 1988 and is based in Singapore.",2918,"{'maxAge': 1, 'name': 'Mr. Michael  Laver', 'age': 59, 'title': 'Pres of Corp. Devel.', 'yearBorn': 1963, 'fiscalYear': 2019, 'exercisedValue': 0, 'unexercisedValue': 0}",10,7,6,1,7,1693526400,1672444800,86400,2,28.5,28.5,28.5,28.5,28.5,28.5,28.5,28.5,1.18,0.041300002,1694044800,0.7959,2.94,1.282657,19.256756,88,88,93,0,0,0.0,0.0,0,0,562655552,16.46,30.25,1.7206591,27.7657,26.657825,0.94,0.032982457,USD,763317504,0.07095,18507243,19742300,0.10135,0.76785004,6.714,4.244861,1672444800,1703980800,1688083200,23200000,1.48,2.334,16.38,PNK,EQUITY,XPPLF,XPPLF,XP POWER LTD,XP Power Limited,1344000600,America/New_York,EDT,-14400000,28.5,none,25500000,1.304,46600000,230600000,1.047,2.134,327000000,174.433,16.7,0.0553,0.17988001,120600000,-16975000,38600000,0.296,0.42171,0.14251,0.11743,GBP,
6,19 Tai Seng Avenue,No. 07-01,Singapore,534054,Singapore,65 6411 6900,65 6479 6305,https://xppower.com,Electrical Equipment & Parts,Industrials,"XP Power Limited, an investment holding company, designs and manufactures power supply solutions in Europe, North America, and Asia. The company offers AC-DC power supplies, DC-DC converters, high voltage DC-DC converters, high voltage AC-DC power supplies, RF power systems, EMI filters, custom power supplies, and 3 phase power supplies. It also offers engineering services. The company serves healthcare, industrial technology, and semiconductor equipment manufacturing industries. XP Power Limited was founded in 1988 and is based in Singapore.",2918,"{'maxAge': 1, 'name': 'Mr. Peter  Blyth', 'title': 'Exec. VP of Global Products', 'exercisedValue': 0, 'unexercisedValue': 0}",10,7,6,1,7,1693526400,1672444800,86400,2,28.5,28.5,28.5,28.5,28.5,28.5,28.5,28.5,1.18,0.041300002,1694044800,0.7959,2.94,1.282657,19.256756,88,88,93,0,0,0.0,0.0,0,0,562655552,16.46,30.25,1.7206591,27.7657,26.657825,0.94,0.032982457,USD,763317504,0.07095,18507243,19742300,0.10135,0.76785004,6.714,4.244861,1672444800,1703980800,1688083200,23200000,1.48,2.334,16.38,PNK,EQUITY,XPPLF,XPPLF,XP POWER LTD,XP Power Limited,1344000600,America/New_York,EDT,-14400000,28.5,none,25500000,1.304,46600000,230600000,1.047,2.134,327000000,174.433,16.7,0.0553,0.17988001,120600000,-16975000,38600000,0.296,0.42171,0.14251,0.11743,GBP,
7,19 Tai Seng Avenue,No. 07-01,Singapore,534054,Singapore,65 6411 6900,65 6479 6305,https://xppower.com,Electrical Equipment & Parts,Industrials,"XP Power Limited, an investment holding company, designs and manufactures power supply solutions in Europe, North America, and Asia. The company offers AC-DC power supplies, DC-DC converters, high voltage DC-DC converters, high voltage AC-DC power supplies, RF power systems, EMI filters, custom power supplies, and 3 phase power supplies. It also offers engineering services. The company serves healthcare, industrial technology, and semiconductor equipment manufacturing industries. XP Power Limited was founded in 1988 and is based in Singapore.",2918,"{'maxAge': 1, 'name': 'Mr. Jay  Warner', 'title': 'Exec. VP - N. America Sales & Engineering Services', 'exercisedValue': 0, 'unexercisedValue': 0}",10,7,6,1,7,1693526400,1672444800,86400,2,28.5,28.5,28.5,28.5,28.5,28.5,28.5,28.5,1.18,0.041300002,1694044800,0.7959,2.94,1.282657,19.256756,88,88,93,0,0,0.0,0.0,0,0,562655552,16.46,30.25,1.7206591,27.7657,26.657825,0.94,0.032982457,USD,763317504,0.07095,18507243,19742300,0.10135,0.76785004,6.714,4.244861,1672444800,1703980800,1688083200,23200000,1.48,2.334,16.38,PNK,EQUITY,XPPLF,XPPLF,XP POWER LTD,XP Power Limited,1344000600,America/New_York,EDT,-14400000,28.5,none,25500000,1.304,46600000,230600000,1.047,2.134,327000000,174.433,16.7,0.0553,0.17988001,120600000,-16975000,38600000,0.296,0.42171,0.14251,0.11743,GBP,
8,19 Tai Seng Avenue,No. 07-01,Singapore,534054,Singapore,65 6411 6900,65 6479 6305,https://xppower.com,Electrical Equipment & Parts,Industrials,"XP Power Limited, an investment holding company, designs and manufactures power supply solutions in Europe, North America, and Asia. The company offers AC-DC power supplies, DC-DC converters, high voltage DC-DC converters, high voltage AC-DC power supplies, RF power systems, EMI filters, custom power supplies, and 3 phase power supplies. It also offers engineering services. The company serves healthcare, industrial technology, and semiconductor equipment manufacturing industries. XP Power Limited was founded in 1988 and is based in Singapore.",2918,"{'maxAge': 1, 'name': 'Mr. Richard  Bartlett', 'title': 'Head of Product Devel.', 'exercisedValue': 0, 'unexercisedValue': 0}",10,7,6,1,7,1693526400,1672444800,86400,2,28.5,28.5,28.5,28.5,28.5,28.5,28.5,28.5,1.18,0.041300002,1694044800,0.7959,2.94,1.282657,19.256756,88,88,93,0,0,0.0,0.0,0,0,562655552,16.46,30.25,1.7206591,27.7657,26.657825,0.94,0.032982457,USD,763317504,0.07095,18507243,19742300,0.10135,0.76785004,6.714,4.244861,1672444800,1703980800,1688083200,23200000,1.48,2.334,16.38,PNK,EQUITY,XPPLF,XPPLF,XP POWER LTD,XP Power Limited,1344000600,America/New_York,EDT,-14400000,28.5,none,25500000,1.304,46600000,230600000,1.047,2.134,327000000,174.433,16.7,0.0553,0.17988001,120600000,-16975000,38600000,0.296,0.42171,0.14251,0.11743,GBP,
9,19 Tai Seng Avenue,No. 07-01,Singapore,534054,Singapore,65 6411 6900,65 6479 6305,https://xppower.com,Electrical Equipment & Parts,Industrials,"XP Power Limited, an investment holding company, designs and manufactures power supply solutions in Europe, North America, and Asia. The company offers AC-DC power supplies, DC-DC converters, high voltage DC-DC converters, high voltage AC-DC power supplies, RF power systems, EMI filters, custom power supplies, and 3 phase power supplies. It also offers engineering services. The company serves healthcare, industrial technology, and semiconductor equipment manufacturing industries. XP Power Limited was founded in 1988 and is based in Singapore.",2918,"{'maxAge': 1, 'name': 'Mr. Hiren  Shah', 'title': 'Exec. VP of Engineering', 'exercisedValue': 0, 'unexercisedValue': 0}",10,7,6,1,7,1693526400,1672444800,86400,2,28.5,28.5,28.5,28.5,28.5,28.5,28.5,28.5,1.18,0.041300002,1694044800,0.7959,2.94,1.282657,19.256756,88,88,93,0,0,0.0,0.0,0,0,562655552,16.46,30.25,1.7206591,27.7657,26.657825,0.94,0.032982457,USD,763317504,0.07095,18507243,19742300,0.10135,0.76785004,6.714,4.244861,1672444800,1703980800,1688083200,23200000,1.48,2.334,16.38,PNK,EQUITY,XPPLF,XPPLF,XP POWER LTD,XP Power Limited,1344000600,America/New_York,EDT,-14400000,28.5,none,25500000,1.304,46600000,230600000,1.047,2.134,327000000,174.433,16.7,0.0553,0.17988001,120600000,-16975000,38600000,0.296,0.42171,0.14251,0.11743,GBP,
