,address1,address2,city,state,zip,country,phone,fax,website,industry,sector,longBusinessSummary,fullTimeEmployees,companyOfficers,auditRisk,boardRisk,compensationRisk,shareHolderRightsRisk,overallRisk,governanceEpochDate,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,exDividendDate,payoutRatio,beta,trailingPE,forwardPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,sharesShort,sharesShortPriorMonth,sharesShortPreviousMonthDate,dateShortInterest,sharesPercentSharesOut,heldPercentInsiders,heldPercentInstitutions,shortRatio,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,netIncomeToCommon,trailingEps,forwardEps,pegRatio,lastSplitFactor,lastSplitDate,enterpriseToRevenue,enterpriseToEbitda,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,recommendationMean,recommendationKey,numberOfAnalystOpinions,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,freeCashflow,operatingCashflow,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,407 - 8th Avenue S.W.,Suite 500,Calgary,AB,T2P 1E5,Canada,403-266-6000,403-266-7381,https://www.calfrac.com,Oil & Gas Equipment & Services,Energy,"Calfrac Well Services Ltd., together with its subsidiaries, provides specialized oilfield services in Canada, the United States, and Argentina. It offers hydraulic fracturing, coiled tubing, cementing, and other well stimulation services, as well as pressure pumping services to oil and natural gas industries. Calfrac Well Services Ltd. was founded in 1999 and is headquartered in Calgary, Canada.",2270,"{'maxAge': 1, 'name': 'Mr. Ronald P. Mathison B.Com., B.Comm (Hon), C.F.A., CPA, CA, CBV, CFA', 'age': 65, 'title': 'Co-Founder & Chairman', 'yearBorn': 1957, 'fiscalYear': 2022, 'totalPay': 61050, 'exercisedValue': 0, 'unexercisedValue': 0}",8,10,5,5,8,1693526400,1672444800,86400,2,5.87,5.79,5.72,5.93,5.87,5.79,5.72,5.93,1451347200,0.0,1.9237,2.8,3.8266666,69096,69096,49941,27100,27100,5.74,5.79,474649216,3.7,7.9,0.25712714,5.3306,5.152,0.0,0.0,CAD,829333504,0.08722,42809109,80860200,249715,133706,1690761600,1693440000,0.0031,0.47586,0.2352,6.41,6.22,0.92282957,1672444800,1703980800,1688083200,146952992,2.05,1.5,-0.09,1:50,1609200000,0.449,2.729,TOR,EQUITY,CFW.TO,CFW.TO,CALFRAC WELL SERVICES LTD.,Calfrac Well Services Ltd.,830439000,America/Toronto,EDT,-14400000,5.74,9.0,6.5,7.88,8.0,2.2,buy,4,2122000,0.026,303846016,356804992,1.68,2.463,1845970944,70.945,28.917,0.119849995,0.36949003,146129000,-65196752,141676992,0.465,0.14372,0.16459998,0.10465,CAD,
1,407 - 8th Avenue S.W.,Suite 500,Calgary,AB,T2P 1E5,Canada,403-266-6000,403-266-7381,https://www.calfrac.com,Oil & Gas Equipment & Services,Energy,"Calfrac Well Services Ltd., together with its subsidiaries, provides specialized oilfield services in Canada, the United States, and Argentina. It offers hydraulic fracturing, coiled tubing, cementing, and other well stimulation services, as well as pressure pumping services to oil and natural gas industries. Calfrac Well Services Ltd. was founded in 1999 and is headquartered in Calgary, Canada.",2270,"{'maxAge': 1, 'name': 'Mr. Patrick G. Powell', 'age': 65, 'title': 'CEO & Director', 'yearBorn': 1957, 'fiscalYear': 2022, 'totalPay': 1409673, 'exercisedValue': 0, 'unexercisedValue': 0}",8,10,5,5,8,1693526400,1672444800,86400,2,5.87,5.79,5.72,5.93,5.87,5.79,5.72,5.93,1451347200,0.0,1.9237,2.8,3.8266666,69096,69096,49941,27100,27100,5.74,5.79,474649216,3.7,7.9,0.25712714,5.3306,5.152,0.0,0.0,CAD,829333504,0.08722,42809109,80860200,249715,133706,1690761600,1693440000,0.0031,0.47586,0.2352,6.41,6.22,0.92282957,1672444800,1703980800,1688083200,146952992,2.05,1.5,-0.09,1:50,1609200000,0.449,2.729,TOR,EQUITY,CFW.TO,CFW.TO,CALFRAC WELL SERVICES LTD.,Calfrac Well Services Ltd.,830439000,America/Toronto,EDT,-14400000,5.74,9.0,6.5,7.88,8.0,2.2,buy,4,2122000,0.026,303846016,356804992,1.68,2.463,1845970944,70.945,28.917,0.119849995,0.36949003,146129000,-65196752,141676992,0.465,0.14372,0.16459998,0.10465,CAD,
2,407 - 8th Avenue S.W.,Suite 500,Calgary,AB,T2P 1E5,Canada,403-266-6000,403-266-7381,https://www.calfrac.com,Oil & Gas Equipment & Services,Energy,"Calfrac Well Services Ltd., together with its subsidiaries, provides specialized oilfield services in Canada, the United States, and Argentina. It offers hydraulic fracturing, coiled tubing, cementing, and other well stimulation services, as well as pressure pumping services to oil and natural gas industries. Calfrac Well Services Ltd. was founded in 1999 and is headquartered in Calgary, Canada.",2270,"{'maxAge': 1, 'name': 'Mr. Douglas Robert Ramsay', 'age': 66, 'title': 'Co-Founder & Independent Vice Chairman', 'yearBorn': 1956, 'fiscalYear': 2022, 'totalPay': 131000, 'exercisedValue': 0, 'unexercisedValue': 0}",8,10,5,5,8,1693526400,1672444800,86400,2,5.87,5.79,5.72,5.93,5.87,5.79,5.72,5.93,1451347200,0.0,1.9237,2.8,3.8266666,69096,69096,49941,27100,27100,5.74,5.79,474649216,3.7,7.9,0.25712714,5.3306,5.152,0.0,0.0,CAD,829333504,0.08722,42809109,80860200,249715,133706,1690761600,1693440000,0.0031,0.47586,0.2352,6.41,6.22,0.92282957,1672444800,1703980800,1688083200,146952992,2.05,1.5,-0.09,1:50,1609200000,0.449,2.729,TOR,EQUITY,CFW.TO,CFW.TO,CALFRAC WELL SERVICES LTD.,Calfrac Well Services Ltd.,830439000,America/Toronto,EDT,-14400000,5.74,9.0,6.5,7.88,8.0,2.2,buy,4,2122000,0.026,303846016,356804992,1.68,2.463,1845970944,70.945,28.917,0.119849995,0.36949003,146129000,-65196752,141676992,0.465,0.14372,0.16459998,0.10465,CAD,
3,407 - 8th Avenue S.W.,Suite 500,Calgary,AB,T2P 1E5,Canada,403-266-6000,403-266-7381,https://www.calfrac.com,Oil & Gas Equipment & Services,Energy,"Calfrac Well Services Ltd., together with its subsidiaries, provides specialized oilfield services in Canada, the United States, and Argentina. It offers hydraulic fracturing, coiled tubing, cementing, and other well stimulation services, as well as pressure pumping services to oil and natural gas industries. Calfrac Well Services Ltd. was founded in 1999 and is headquartered in Calgary, Canada.",2270,"{'maxAge': 1, 'name': 'Mr. Michael D. Olinek', 'title': 'Chief Financial Officer', 'fiscalYear': 2022, 'totalPay': 843516, 'exercisedValue': 0, 'unexercisedValue': 0}",8,10,5,5,8,1693526400,1672444800,86400,2,5.87,5.79,5.72,5.93,5.87,5.79,5.72,5.93,1451347200,0.0,1.9237,2.8,3.8266666,69096,69096,49941,27100,27100,5.74,5.79,474649216,3.7,7.9,0.25712714,5.3306,5.152,0.0,0.0,CAD,829333504,0.08722,42809109,80860200,249715,133706,1690761600,1693440000,0.0031,0.47586,0.2352,6.41,6.22,0.92282957,1672444800,1703980800,1688083200,146952992,2.05,1.5,-0.09,1:50,1609200000,0.449,2.729,TOR,EQUITY,CFW.TO,CFW.TO,CALFRAC WELL SERVICES LTD.,Calfrac Well Services Ltd.,830439000,America/Toronto,EDT,-14400000,5.74,9.0,6.5,7.88,8.0,2.2,buy,4,2122000,0.026,303846016,356804992,1.68,2.463,1845970944,70.945,28.917,0.119849995,0.36949003,146129000,-65196752,141676992,0.465,0.14372,0.16459998,0.10465,CAD,
4,407 - 8th Avenue S.W.,Suite 500,Calgary,AB,T2P 1E5,Canada,403-266-6000,403-266-7381,https://www.calfrac.com,Oil & Gas Equipment & Services,Energy,"Calfrac Well Services Ltd., together with its subsidiaries, provides specialized oilfield services in Canada, the United States, and Argentina. It offers hydraulic fracturing, coiled tubing, cementing, and other well stimulation services, as well as pressure pumping services to oil and natural gas industries. Calfrac Well Services Ltd. was founded in 1999 and is headquartered in Calgary, Canada.",2270,"{'maxAge': 1, 'name': 'Mr. Mark Douglas Rosen', 'title': 'Pres of United States Operations', 'fiscalYear': 2022, 'totalPay': 841908, 'exercisedValue': 0, 'unexercisedValue': 0}",8,10,5,5,8,1693526400,1672444800,86400,2,5.87,5.79,5.72,5.93,5.87,5.79,5.72,5.93,1451347200,0.0,1.9237,2.8,3.8266666,69096,69096,49941,27100,27100,5.74,5.79,474649216,3.7,7.9,0.25712714,5.3306,5.152,0.0,0.0,CAD,829333504,0.08722,42809109,80860200,249715,133706,1690761600,1693440000,0.0031,0.47586,0.2352,6.41,6.22,0.92282957,1672444800,1703980800,1688083200,146952992,2.05,1.5,-0.09,1:50,1609200000,0.449,2.729,TOR,EQUITY,CFW.TO,CFW.TO,CALFRAC WELL SERVICES LTD.,Calfrac Well Services Ltd.,830439000,America/Toronto,EDT,-14400000,5.74,9.0,6.5,7.88,8.0,2.2,buy,4,2122000,0.026,303846016,356804992,1.68,2.463,1845970944,70.945,28.917,0.119849995,0.36949003,146129000,-65196752,141676992,0.465,0.14372,0.16459998,0.10465,CAD,
5,407 - 8th Avenue S.W.,Suite 500,Calgary,AB,T2P 1E5,Canada,403-266-6000,403-266-7381,https://www.calfrac.com,Oil & Gas Equipment & Services,Energy,"Calfrac Well Services Ltd., together with its subsidiaries, provides specialized oilfield services in Canada, the United States, and Argentina. It offers hydraulic fracturing, coiled tubing, cementing, and other well stimulation services, as well as pressure pumping services to oil and natural gas industries. Calfrac Well Services Ltd. was founded in 1999 and is headquartered in Calgary, Canada.",2270,"{'maxAge': 1, 'name': 'Mr. James Michael Brown', 'title': 'VP of Technical Services', 'fiscalYear': 2021, 'exercisedValue': 0, 'unexercisedValue': 0}",8,10,5,5,8,1693526400,1672444800,86400,2,5.87,5.79,5.72,5.93,5.87,5.79,5.72,5.93,1451347200,0.0,1.9237,2.8,3.8266666,69096,69096,49941,27100,27100,5.74,5.79,474649216,3.7,7.9,0.25712714,5.3306,5.152,0.0,0.0,CAD,829333504,0.08722,42809109,80860200,249715,133706,1690761600,1693440000,0.0031,0.47586,0.2352,6.41,6.22,0.92282957,1672444800,1703980800,1688083200,146952992,2.05,1.5,-0.09,1:50,1609200000,0.449,2.729,TOR,EQUITY,CFW.TO,CFW.TO,CALFRAC WELL SERVICES LTD.,Calfrac Well Services Ltd.,830439000,America/Toronto,EDT,-14400000,5.74,9.0,6.5,7.88,8.0,2.2,buy,4,2122000,0.026,303846016,356804992,1.68,2.463,1845970944,70.945,28.917,0.119849995,0.36949003,146129000,-65196752,141676992,0.465,0.14372,0.16459998,0.10465,CAD,
6,407 - 8th Avenue S.W.,Suite 500,Calgary,AB,T2P 1E5,Canada,403-266-6000,403-266-7381,https://www.calfrac.com,Oil & Gas Equipment & Services,Energy,"Calfrac Well Services Ltd., together with its subsidiaries, provides specialized oilfield services in Canada, the United States, and Argentina. It offers hydraulic fracturing, coiled tubing, cementing, and other well stimulation services, as well as pressure pumping services to oil and natural gas industries. Calfrac Well Services Ltd. was founded in 1999 and is headquartered in Calgary, Canada.",2270,"{'maxAge': 1, 'name': 'Jeffrey Irwin Ellis', 'title': 'Gen. Counsel & Corp. Sec.', 'exercisedValue': 0, 'unexercisedValue': 0}",8,10,5,5,8,1693526400,1672444800,86400,2,5.87,5.79,5.72,5.93,5.87,5.79,5.72,5.93,1451347200,0.0,1.9237,2.8,3.8266666,69096,69096,49941,27100,27100,5.74,5.79,474649216,3.7,7.9,0.25712714,5.3306,5.152,0.0,0.0,CAD,829333504,0.08722,42809109,80860200,249715,133706,1690761600,1693440000,0.0031,0.47586,0.2352,6.41,6.22,0.92282957,1672444800,1703980800,1688083200,146952992,2.05,1.5,-0.09,1:50,1609200000,0.449,2.729,TOR,EQUITY,CFW.TO,CFW.TO,CALFRAC WELL SERVICES LTD.,Calfrac Well Services Ltd.,830439000,America/Toronto,EDT,-14400000,5.74,9.0,6.5,7.88,8.0,2.2,buy,4,2122000,0.026,303846016,356804992,1.68,2.463,1845970944,70.945,28.917,0.119849995,0.36949003,146129000,-65196752,141676992,0.465,0.14372,0.16459998,0.10465,CAD,
7,407 - 8th Avenue S.W.,Suite 500,Calgary,AB,T2P 1E5,Canada,403-266-6000,403-266-7381,https://www.calfrac.com,Oil & Gas Equipment & Services,Energy,"Calfrac Well Services Ltd., together with its subsidiaries, provides specialized oilfield services in Canada, the United States, and Argentina. It offers hydraulic fracturing, coiled tubing, cementing, and other well stimulation services, as well as pressure pumping services to oil and natural gas industries. Calfrac Well Services Ltd. was founded in 1999 and is headquartered in Calgary, Canada.",2270,"{'maxAge': 1, 'name': 'Brent W. Merchant', 'title': 'VP of Sales & Marketing', 'exercisedValue': 0, 'unexercisedValue': 0}",8,10,5,5,8,1693526400,1672444800,86400,2,5.87,5.79,5.72,5.93,5.87,5.79,5.72,5.93,1451347200,0.0,1.9237,2.8,3.8266666,69096,69096,49941,27100,27100,5.74,5.79,474649216,3.7,7.9,0.25712714,5.3306,5.152,0.0,0.0,CAD,829333504,0.08722,42809109,80860200,249715,133706,1690761600,1693440000,0.0031,0.47586,0.2352,6.41,6.22,0.92282957,1672444800,1703980800,1688083200,146952992,2.05,1.5,-0.09,1:50,1609200000,0.449,2.729,TOR,EQUITY,CFW.TO,CFW.TO,CALFRAC WELL SERVICES LTD.,Calfrac Well Services Ltd.,830439000,America/Toronto,EDT,-14400000,5.74,9.0,6.5,7.88,8.0,2.2,buy,4,2122000,0.026,303846016,356804992,1.68,2.463,1845970944,70.945,28.917,0.119849995,0.36949003,146129000,-65196752,141676992,0.465,0.14372,0.16459998,0.10465,CAD,
8,407 - 8th Avenue S.W.,Suite 500,Calgary,AB,T2P 1E5,Canada,403-266-6000,403-266-7381,https://www.calfrac.com,Oil & Gas Equipment & Services,Energy,"Calfrac Well Services Ltd., together with its subsidiaries, provides specialized oilfield services in Canada, the United States, and Argentina. It offers hydraulic fracturing, coiled tubing, cementing, and other well stimulation services, as well as pressure pumping services to oil and natural gas industries. Calfrac Well Services Ltd. was founded in 1999 and is headquartered in Calgary, Canada.",2270,"{'maxAge': 1, 'name': 'Jon  Koop', 'title': 'VP of HR', 'exercisedValue': 0, 'unexercisedValue': 0}",8,10,5,5,8,1693526400,1672444800,86400,2,5.87,5.79,5.72,5.93,5.87,5.79,5.72,5.93,1451347200,0.0,1.9237,2.8,3.8266666,69096,69096,49941,27100,27100,5.74,5.79,474649216,3.7,7.9,0.25712714,5.3306,5.152,0.0,0.0,CAD,829333504,0.08722,42809109,80860200,249715,133706,1690761600,1693440000,0.0031,0.47586,0.2352,6.41,6.22,0.92282957,1672444800,1703980800,1688083200,146952992,2.05,1.5,-0.09,1:50,1609200000,0.449,2.729,TOR,EQUITY,CFW.TO,CFW.TO,CALFRAC WELL SERVICES LTD.,Calfrac Well Services Ltd.,830439000,America/Toronto,EDT,-14400000,5.74,9.0,6.5,7.88,8.0,2.2,buy,4,2122000,0.026,303846016,356804992,1.68,2.463,1845970944,70.945,28.917,0.119849995,0.36949003,146129000,-65196752,141676992,0.465,0.14372,0.16459998,0.10465,CAD,
9,407 - 8th Avenue S.W.,Suite 500,Calgary,AB,T2P 1E5,Canada,403-266-6000,403-266-7381,https://www.calfrac.com,Oil & Gas Equipment & Services,Energy,"Calfrac Well Services Ltd., together with its subsidiaries, provides specialized oilfield services in Canada, the United States, and Argentina. It offers hydraulic fracturing, coiled tubing, cementing, and other well stimulation services, as well as pressure pumping services to oil and natural gas industries. Calfrac Well Services Ltd. was founded in 1999 and is headquartered in Calgary, Canada.",2270,"{'maxAge': 1, 'name': 'Mr. Gordon Troy Milgate', 'title': 'Pres of Canadian Operations', 'exercisedValue': 0, 'unexercisedValue': 0}",8,10,5,5,8,1693526400,1672444800,86400,2,5.87,5.79,5.72,5.93,5.87,5.79,5.72,5.93,1451347200,0.0,1.9237,2.8,3.8266666,69096,69096,49941,27100,27100,5.74,5.79,474649216,3.7,7.9,0.25712714,5.3306,5.152,0.0,0.0,CAD,829333504,0.08722,42809109,80860200,249715,133706,1690761600,1693440000,0.0031,0.47586,0.2352,6.41,6.22,0.92282957,1672444800,1703980800,1688083200,146952992,2.05,1.5,-0.09,1:50,1609200000,0.449,2.729,TOR,EQUITY,CFW.TO,CFW.TO,CALFRAC WELL SERVICES LTD.,Calfrac Well Services Ltd.,830439000,America/Toronto,EDT,-14400000,5.74,9.0,6.5,7.88,8.0,2.2,buy,4,2122000,0.026,303846016,356804992,1.68,2.463,1845970944,70.945,28.917,0.119849995,0.36949003,146129000,-65196752,141676992,0.465,0.14372,0.16459998,0.10465,CAD,
