,address1,address2,city,country,phone,fax,industry,sector,longBusinessSummary,companyOfficers,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,beta,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,sharesOutstanding,heldPercentInsiders,heldPercentInstitutions,bookValue,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,netIncomeToCommon,trailingEps,enterpriseToEbitda,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,recommendationKey,ebitda,totalDebt,currentRatio,returnOnAssets,freeCashflow,operatingCashflow,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,Kai Tak Commercial Building,Suite 308 3rd Floor 317-319 Des Voeux Road,Central,Hong Kong,852 3106 3332,852 3106 3262,Oil & Gas E&P,Energy,"Energy Finders, Inc. does not have significant operations. The company intends to consummate a merger or acquisition with a partner that may involve a change in the company's business. Previously, it was engaged in the oil and gas exploration activities. The company was incorporated in 2006 and is headquartered in Central, Hong Kong.","{'maxAge': 1, 'name': 'Mr. Arshad A. Shah', 'age': 66, 'title': 'Pres', 'yearBorn': 1956, 'exercisedValue': 0, 'unexercisedValue': 0}",86400,4,0.095,0.0804,0.0804,0.099,0.095,0.0804,0.0804,0.099,2.5778,14054,14054,95152,41614,41614,0.0,0.0,0,0,9106644,0.0087,0.42,0.102462,0.093771,0.0,0.0,USD,7979080,0.0,91986400,0.0,0.0,-0.004,1333152000,1364688000,1333152000,-286881,-0.003,-28.444,PNK,EQUITY,EGYF,EGYF,ENERGY FINDERS INC,"Energy Finders, Inc.",783613800,America/New_York,EDT,-14400000,0.099,none,-280523,376,0.001,-0.26545998,107515,-102,0.0,0.0,0.0,USD,
1,Kai Tak Commercial Building,Suite 308 3rd Floor 317-319 Des Voeux Road,Central,Hong Kong,852 3106 3332,852 3106 3262,Oil & Gas E&P,Energy,"Energy Finders, Inc. does not have significant operations. The company intends to consummate a merger or acquisition with a partner that may involve a change in the company's business. Previously, it was engaged in the oil and gas exploration activities. The company was incorporated in 2006 and is headquartered in Central, Hong Kong.","{'maxAge': 1, 'name': 'Mr. Yi Chang  Cao', 'title': 'Chief Financial Officer and Director', 'exercisedValue': 0, 'unexercisedValue': 0}",86400,4,0.095,0.0804,0.0804,0.099,0.095,0.0804,0.0804,0.099,2.5778,14054,14054,95152,41614,41614,0.0,0.0,0,0,9106644,0.0087,0.42,0.102462,0.093771,0.0,0.0,USD,7979080,0.0,91986400,0.0,0.0,-0.004,1333152000,1364688000,1333152000,-286881,-0.003,-28.444,PNK,EQUITY,EGYF,EGYF,ENERGY FINDERS INC,"Energy Finders, Inc.",783613800,America/New_York,EDT,-14400000,0.099,none,-280523,376,0.001,-0.26545998,107515,-102,0.0,0.0,0.0,USD,
