,address1,city,state,zip,country,phone,website,industry,sector,longBusinessSummary,companyOfficers,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,dividendRate,dividendYield,exDividendDate,payoutRatio,fiveYearAvgDividendYield,beta,trailingPE,forwardPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,sharesShort,sharesShortPriorMonth,sharesShortPreviousMonthDate,dateShortInterest,sharesPercentSharesOut,heldPercentInsiders,heldPercentInstitutions,shortRatio,shortPercentOfFloat,bookValue,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,earningsQuarterlyGrowth,netIncomeToCommon,trailingEps,forwardEps,enterpriseToRevenue,enterpriseToEbitda,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,recommendationMean,recommendationKey,numberOfAnalystOpinions,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,freeCashflow,operatingCashflow,earningsGrowth,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,1811 Aksarben Drive,Omaha,NE,68106,United States,402 884 8700,https://www.greenplainspartners.com,Oil & Gas Midstream,Energy,"Green Plains Partners LP provides fuel storage and transportation services in the United States. The company acquires, owns, develops, and operates ethanol and fuel storage facilities, terminals, transportation assets, and other related assets and businesses. It also owns and operates a fleet of 19 trucks and tankers for transportation of ethanol and other products. The company was incorporated in 2015 and is headquartered in Omaha, Nebraska.","{'maxAge': 1, 'name': 'Mr. Todd A. Becker', 'age': 57, 'title': 'Pres, CEO & Chairman of Green Plains Holdings LLC', 'yearBorn': 1965, 'fiscalYear': 2022, 'totalPay': 58245, 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,2,13.58,13.82,13.569,13.82,13.58,13.82,13.569,13.82,1.82,0.134,1691020800,1.1,11.22,0.828838,8.351515,6.1244445,27118,27118,49704,27380,27380,13.59,13.88,800,800,320588928,11.721,14.91,3.894849,13.623,12.988865,1.82,0.13402063,USD,414271424,0.46478,7867934,23264800,181497,292572,1690761600,1693440000,0.0078,0.5069,0.14208001,3.11,0.015800001,-0.062,1672444800,1703980800,1688083200,-0.112,38257000,1.65,2.25,5.033,8.343,NGM,EQUITY,GPP,GPP,Green Plains Partners LP,Green Plains Partners LP,1435325400,America/New_York,EDT,-14400000,13.78,14.5,14.5,14.5,14.5,3.0,hold,1,15550000,0.668,49655000,113910000,1.069,1.122,82311000,3.544,0.23231001,91.96466,54609000,28917500,43389000,-0.112,0.044,0.66279,0.60326,0.5503,USD,
1,1811 Aksarben Drive,Omaha,NE,68106,United States,402 884 8700,https://www.greenplainspartners.com,Oil & Gas Midstream,Energy,"Green Plains Partners LP provides fuel storage and transportation services in the United States. The company acquires, owns, develops, and operates ethanol and fuel storage facilities, terminals, transportation assets, and other related assets and businesses. It also owns and operates a fleet of 19 trucks and tankers for transportation of ethanol and other products. The company was incorporated in 2015 and is headquartered in Omaha, Nebraska.","{'maxAge': 1, 'name': 'Mr. James E. Stark', 'age': 61, 'title': 'CFO & Principal Accounting Officer of Green Plains Holdings LLC', 'yearBorn': 1961, 'fiscalYear': 2022, 'totalPay': 56801, 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,2,13.58,13.82,13.569,13.82,13.58,13.82,13.569,13.82,1.82,0.134,1691020800,1.1,11.22,0.828838,8.351515,6.1244445,27118,27118,49704,27380,27380,13.59,13.88,800,800,320588928,11.721,14.91,3.894849,13.623,12.988865,1.82,0.13402063,USD,414271424,0.46478,7867934,23264800,181497,292572,1690761600,1693440000,0.0078,0.5069,0.14208001,3.11,0.015800001,-0.062,1672444800,1703980800,1688083200,-0.112,38257000,1.65,2.25,5.033,8.343,NGM,EQUITY,GPP,GPP,Green Plains Partners LP,Green Plains Partners LP,1435325400,America/New_York,EDT,-14400000,13.78,14.5,14.5,14.5,14.5,3.0,hold,1,15550000,0.668,49655000,113910000,1.069,1.122,82311000,3.544,0.23231001,91.96466,54609000,28917500,43389000,-0.112,0.044,0.66279,0.60326,0.5503,USD,
2,1811 Aksarben Drive,Omaha,NE,68106,United States,402 884 8700,https://www.greenplainspartners.com,Oil & Gas Midstream,Energy,"Green Plains Partners LP provides fuel storage and transportation services in the United States. The company acquires, owns, develops, and operates ethanol and fuel storage facilities, terminals, transportation assets, and other related assets and businesses. It also owns and operates a fleet of 19 trucks and tankers for transportation of ethanol and other products. The company was incorporated in 2015 and is headquartered in Omaha, Nebraska.","{'maxAge': 1, 'name': 'Mr. Chris G. Osowski', 'age': 43, 'title': 'Exec. VP of Operations & Technology of Green Plains Holdings LLC', 'yearBorn': 1979, 'fiscalYear': 2022, 'totalPay': 27965, 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,2,13.58,13.82,13.569,13.82,13.58,13.82,13.569,13.82,1.82,0.134,1691020800,1.1,11.22,0.828838,8.351515,6.1244445,27118,27118,49704,27380,27380,13.59,13.88,800,800,320588928,11.721,14.91,3.894849,13.623,12.988865,1.82,0.13402063,USD,414271424,0.46478,7867934,23264800,181497,292572,1690761600,1693440000,0.0078,0.5069,0.14208001,3.11,0.015800001,-0.062,1672444800,1703980800,1688083200,-0.112,38257000,1.65,2.25,5.033,8.343,NGM,EQUITY,GPP,GPP,Green Plains Partners LP,Green Plains Partners LP,1435325400,America/New_York,EDT,-14400000,13.78,14.5,14.5,14.5,14.5,3.0,hold,1,15550000,0.668,49655000,113910000,1.069,1.122,82311000,3.544,0.23231001,91.96466,54609000,28917500,43389000,-0.112,0.044,0.66279,0.60326,0.5503,USD,
3,1811 Aksarben Drive,Omaha,NE,68106,United States,402 884 8700,https://www.greenplainspartners.com,Oil & Gas Midstream,Energy,"Green Plains Partners LP provides fuel storage and transportation services in the United States. The company acquires, owns, develops, and operates ethanol and fuel storage facilities, terminals, transportation assets, and other related assets and businesses. It also owns and operates a fleet of 19 trucks and tankers for transportation of ethanol and other products. The company was incorporated in 2015 and is headquartered in Omaha, Nebraska.","{'maxAge': 1, 'name': 'Ms. Michelle S. Mapes B.S., J.D., M.B.A.', 'age': 55, 'title': 'Chief Legal & Admin. Officer, Corp. Sec. and Director of Green Plains Holdings LLC', 'yearBorn': 1967, 'fiscalYear': 2022, 'totalPay': 24155, 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,2,13.58,13.82,13.569,13.82,13.58,13.82,13.569,13.82,1.82,0.134,1691020800,1.1,11.22,0.828838,8.351515,6.1244445,27118,27118,49704,27380,27380,13.59,13.88,800,800,320588928,11.721,14.91,3.894849,13.623,12.988865,1.82,0.13402063,USD,414271424,0.46478,7867934,23264800,181497,292572,1690761600,1693440000,0.0078,0.5069,0.14208001,3.11,0.015800001,-0.062,1672444800,1703980800,1688083200,-0.112,38257000,1.65,2.25,5.033,8.343,NGM,EQUITY,GPP,GPP,Green Plains Partners LP,Green Plains Partners LP,1435325400,America/New_York,EDT,-14400000,13.78,14.5,14.5,14.5,14.5,3.0,hold,1,15550000,0.668,49655000,113910000,1.069,1.122,82311000,3.544,0.23231001,91.96466,54609000,28917500,43389000,-0.112,0.044,0.66279,0.60326,0.5503,USD,
4,1811 Aksarben Drive,Omaha,NE,68106,United States,402 884 8700,https://www.greenplainspartners.com,Oil & Gas Midstream,Energy,"Green Plains Partners LP provides fuel storage and transportation services in the United States. The company acquires, owns, develops, and operates ethanol and fuel storage facilities, terminals, transportation assets, and other related assets and businesses. It also owns and operates a fleet of 19 trucks and tankers for transportation of ethanol and other products. The company was incorporated in 2015 and is headquartered in Omaha, Nebraska.","{'maxAge': 1, 'name': 'Mr. George Patrich Simpkins Jr.', 'age': 60, 'title': 'Chief Transformation Officer & Director of Green Plains Holdings LLC', 'yearBorn': 1962, 'fiscalYear': 2022, 'totalPay': 24106, 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,2,13.58,13.82,13.569,13.82,13.58,13.82,13.569,13.82,1.82,0.134,1691020800,1.1,11.22,0.828838,8.351515,6.1244445,27118,27118,49704,27380,27380,13.59,13.88,800,800,320588928,11.721,14.91,3.894849,13.623,12.988865,1.82,0.13402063,USD,414271424,0.46478,7867934,23264800,181497,292572,1690761600,1693440000,0.0078,0.5069,0.14208001,3.11,0.015800001,-0.062,1672444800,1703980800,1688083200,-0.112,38257000,1.65,2.25,5.033,8.343,NGM,EQUITY,GPP,GPP,Green Plains Partners LP,Green Plains Partners LP,1435325400,America/New_York,EDT,-14400000,13.78,14.5,14.5,14.5,14.5,3.0,hold,1,15550000,0.668,49655000,113910000,1.069,1.122,82311000,3.544,0.23231001,91.96466,54609000,28917500,43389000,-0.112,0.044,0.66279,0.60326,0.5503,USD,
5,1811 Aksarben Drive,Omaha,NE,68106,United States,402 884 8700,https://www.greenplainspartners.com,Oil & Gas Midstream,Energy,"Green Plains Partners LP provides fuel storage and transportation services in the United States. The company acquires, owns, develops, and operates ethanol and fuel storage facilities, terminals, transportation assets, and other related assets and businesses. It also owns and operates a fleet of 19 trucks and tankers for transportation of ethanol and other products. The company was incorporated in 2015 and is headquartered in Omaha, Nebraska.","{'maxAge': 1, 'name': 'Mr. Phil  Boggs', 'title': 'Exec. VP of Investor Relations Green Plains Holdings LLC', 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,2,13.58,13.82,13.569,13.82,13.58,13.82,13.569,13.82,1.82,0.134,1691020800,1.1,11.22,0.828838,8.351515,6.1244445,27118,27118,49704,27380,27380,13.59,13.88,800,800,320588928,11.721,14.91,3.894849,13.623,12.988865,1.82,0.13402063,USD,414271424,0.46478,7867934,23264800,181497,292572,1690761600,1693440000,0.0078,0.5069,0.14208001,3.11,0.015800001,-0.062,1672444800,1703980800,1688083200,-0.112,38257000,1.65,2.25,5.033,8.343,NGM,EQUITY,GPP,GPP,Green Plains Partners LP,Green Plains Partners LP,1435325400,America/New_York,EDT,-14400000,13.78,14.5,14.5,14.5,14.5,3.0,hold,1,15550000,0.668,49655000,113910000,1.069,1.122,82311000,3.544,0.23231001,91.96466,54609000,28917500,43389000,-0.112,0.044,0.66279,0.60326,0.5503,USD,
6,1811 Aksarben Drive,Omaha,NE,68106,United States,402 884 8700,https://www.greenplainspartners.com,Oil & Gas Midstream,Energy,"Green Plains Partners LP provides fuel storage and transportation services in the United States. The company acquires, owns, develops, and operates ethanol and fuel storage facilities, terminals, transportation assets, and other related assets and businesses. It also owns and operates a fleet of 19 trucks and tankers for transportation of ethanol and other products. The company was incorporated in 2015 and is headquartered in Omaha, Nebraska.","{'maxAge': 1, 'name': 'Mr. James F. Herbert', 'age': 48, 'title': 'Chief HR Officer of Green Plains Holdings LLC', 'yearBorn': 1974, 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,2,13.58,13.82,13.569,13.82,13.58,13.82,13.569,13.82,1.82,0.134,1691020800,1.1,11.22,0.828838,8.351515,6.1244445,27118,27118,49704,27380,27380,13.59,13.88,800,800,320588928,11.721,14.91,3.894849,13.623,12.988865,1.82,0.13402063,USD,414271424,0.46478,7867934,23264800,181497,292572,1690761600,1693440000,0.0078,0.5069,0.14208001,3.11,0.015800001,-0.062,1672444800,1703980800,1688083200,-0.112,38257000,1.65,2.25,5.033,8.343,NGM,EQUITY,GPP,GPP,Green Plains Partners LP,Green Plains Partners LP,1435325400,America/New_York,EDT,-14400000,13.78,14.5,14.5,14.5,14.5,3.0,hold,1,15550000,0.668,49655000,113910000,1.069,1.122,82311000,3.544,0.23231001,91.96466,54609000,28917500,43389000,-0.112,0.044,0.66279,0.60326,0.5503,USD,
7,1811 Aksarben Drive,Omaha,NE,68106,United States,402 884 8700,https://www.greenplainspartners.com,Oil & Gas Midstream,Energy,"Green Plains Partners LP provides fuel storage and transportation services in the United States. The company acquires, owns, develops, and operates ethanol and fuel storage facilities, terminals, transportation assets, and other related assets and businesses. It also owns and operates a fleet of 19 trucks and tankers for transportation of ethanol and other products. The company was incorporated in 2015 and is headquartered in Omaha, Nebraska.","{'maxAge': 1, 'name': 'Mr. Paul E. Kolomaya CPA', 'age': 57, 'title': 'Consultant', 'yearBorn': 1965, 'fiscalYear': 2021, 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,2,13.58,13.82,13.569,13.82,13.58,13.82,13.569,13.82,1.82,0.134,1691020800,1.1,11.22,0.828838,8.351515,6.1244445,27118,27118,49704,27380,27380,13.59,13.88,800,800,320588928,11.721,14.91,3.894849,13.623,12.988865,1.82,0.13402063,USD,414271424,0.46478,7867934,23264800,181497,292572,1690761600,1693440000,0.0078,0.5069,0.14208001,3.11,0.015800001,-0.062,1672444800,1703980800,1688083200,-0.112,38257000,1.65,2.25,5.033,8.343,NGM,EQUITY,GPP,GPP,Green Plains Partners LP,Green Plains Partners LP,1435325400,America/New_York,EDT,-14400000,13.78,14.5,14.5,14.5,14.5,3.0,hold,1,15550000,0.668,49655000,113910000,1.069,1.122,82311000,3.544,0.23231001,91.96466,54609000,28917500,43389000,-0.112,0.044,0.66279,0.60326,0.5503,USD,
8,1811 Aksarben Drive,Omaha,NE,68106,United States,402 884 8700,https://www.greenplainspartners.com,Oil & Gas Midstream,Energy,"Green Plains Partners LP provides fuel storage and transportation services in the United States. The company acquires, owns, develops, and operates ethanol and fuel storage facilities, terminals, transportation assets, and other related assets and businesses. It also owns and operates a fleet of 19 trucks and tankers for transportation of ethanol and other products. The company was incorporated in 2015 and is headquartered in Omaha, Nebraska.","{'maxAge': 1, 'name': 'Mr. Leslie  van der Meulen', 'age': 44, 'title': 'Exec. VP of Product Marketing & Innovation of Green Plains Holdings LLC', 'yearBorn': 1978, 'fiscalYear': 2021, 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,2,13.58,13.82,13.569,13.82,13.58,13.82,13.569,13.82,1.82,0.134,1691020800,1.1,11.22,0.828838,8.351515,6.1244445,27118,27118,49704,27380,27380,13.59,13.88,800,800,320588928,11.721,14.91,3.894849,13.623,12.988865,1.82,0.13402063,USD,414271424,0.46478,7867934,23264800,181497,292572,1690761600,1693440000,0.0078,0.5069,0.14208001,3.11,0.015800001,-0.062,1672444800,1703980800,1688083200,-0.112,38257000,1.65,2.25,5.033,8.343,NGM,EQUITY,GPP,GPP,Green Plains Partners LP,Green Plains Partners LP,1435325400,America/New_York,EDT,-14400000,13.78,14.5,14.5,14.5,14.5,3.0,hold,1,15550000,0.668,49655000,113910000,1.069,1.122,82311000,3.544,0.23231001,91.96466,54609000,28917500,43389000,-0.112,0.044,0.66279,0.60326,0.5503,USD,
9,1811 Aksarben Drive,Omaha,NE,68106,United States,402 884 8700,https://www.greenplainspartners.com,Oil & Gas Midstream,Energy,"Green Plains Partners LP provides fuel storage and transportation services in the United States. The company acquires, owns, develops, and operates ethanol and fuel storage facilities, terminals, transportation assets, and other related assets and businesses. It also owns and operates a fleet of 19 trucks and tankers for transportation of ethanol and other products. The company was incorporated in 2015 and is headquartered in Omaha, Nebraska.","{'maxAge': 1, 'name': 'Mr. Grant D. Kadavy', 'age': 46, 'title': 'Exec. VP of Commercial Operations - Green Plains Holdings LLC', 'yearBorn': 1976, 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,2,13.58,13.82,13.569,13.82,13.58,13.82,13.569,13.82,1.82,0.134,1691020800,1.1,11.22,0.828838,8.351515,6.1244445,27118,27118,49704,27380,27380,13.59,13.88,800,800,320588928,11.721,14.91,3.894849,13.623,12.988865,1.82,0.13402063,USD,414271424,0.46478,7867934,23264800,181497,292572,1690761600,1693440000,0.0078,0.5069,0.14208001,3.11,0.015800001,-0.062,1672444800,1703980800,1688083200,-0.112,38257000,1.65,2.25,5.033,8.343,NGM,EQUITY,GPP,GPP,Green Plains Partners LP,Green Plains Partners LP,1435325400,America/New_York,EDT,-14400000,13.78,14.5,14.5,14.5,14.5,3.0,hold,1,15550000,0.668,49655000,113910000,1.069,1.122,82311000,3.544,0.23231001,91.96466,54609000,28917500,43389000,-0.112,0.044,0.66279,0.60326,0.5503,USD,
