,address1,address2,city,state,zip,country,phone,website,longBusinessSummary,companyOfficers,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,beta,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,heldPercentInsiders,heldPercentInstitutions,bookValue,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,netIncomeToCommon,trailingEps,lastSplitFactor,lastSplitDate,enterpriseToRevenue,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,recommendationKey,totalCash,totalCashPerShare,totalDebt,quickRatio,currentRatio,totalRevenue,revenuePerShare,returnOnAssets,freeCashflow,operatingCashflow,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,1930 Village Center Circle,Suite 3-6189,Las Vegas,NV,89134,United States,424 253 9991,https://www.1pmindustries.com,"1PM Industries, Inc. focuses on the sale and distribution of medical marijuana under the brand Von Baron Farms. It sells products, including its pancake and waffle batter. The company was incorporated in 1990 and is based in Las Vegas, Nevada.","{'maxAge': 1, 'name': 'Mr. Joseph  Wade', 'age': 47, 'title': 'Chief Exec. Officer, Pres, CFO & Director', 'yearBorn': 1975, 'fiscalYear': 2017, 'totalPay': 697761, 'exercisedValue': 0, 'unexercisedValue': 0}",1514678400,86400,4,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,45.061653,4,4,205191,273141,273141,375,1e-06,0.0001,0.0042613638,4.5357e-06,4.5357e-06,0.0,0.0,USD,163519,0.0,2274776521,2629250048,0.0999,0.0,-0.001,1488240000,1519776000,1512000000,-4466809,-0.006,1:1000,1428278400,1.858,PNK,EQUITY,OPMZ,OPMZ,1PM INDS INC,"1PM Industries, Inc.",1026912600,America/New_York,EDT,-14400000,1e-06,none,168179,0.0,328669,0.064,0.064,88000,0.0,-2.81474,1116563,-1682824,3.821,1.0,0.0,-20.112679,USD,
1,1930 Village Center Circle,Suite 3-6189,Las Vegas,NV,89134,United States,424 253 9991,https://www.1pmindustries.com,"1PM Industries, Inc. focuses on the sale and distribution of medical marijuana under the brand Von Baron Farms. It sells products, including its pancake and waffle batter. The company was incorporated in 1990 and is based in Las Vegas, Nevada.","{'maxAge': 1, 'name': 'Mr. Matthew L. Billington', 'age': 36, 'title': 'COO & Director', 'yearBorn': 1986, 'fiscalYear': 2017, 'totalPay': 174441, 'exercisedValue': 0, 'unexercisedValue': 0}",1514678400,86400,4,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,45.061653,4,4,205191,273141,273141,375,1e-06,0.0001,0.0042613638,4.5357e-06,4.5357e-06,0.0,0.0,USD,163519,0.0,2274776521,2629250048,0.0999,0.0,-0.001,1488240000,1519776000,1512000000,-4466809,-0.006,1:1000,1428278400,1.858,PNK,EQUITY,OPMZ,OPMZ,1PM INDS INC,"1PM Industries, Inc.",1026912600,America/New_York,EDT,-14400000,1e-06,none,168179,0.0,328669,0.064,0.064,88000,0.0,-2.81474,1116563,-1682824,3.821,1.0,0.0,-20.112679,USD,
