,address1,address2,city,state,zip,country,phone,industry,sector,longBusinessSummary,companyOfficers,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,beta,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,sharesOutstanding,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,netIncomeToCommon,trailingEps,enterpriseToRevenue,enterpriseToEbitda,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,recommendationKey,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,grossProfits,operatingCashflow,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,602 Cedar Street,Suite 205,Wallace,ID,83873,United States,208-556-1600,Other Industrial Metals & Mining,Basic Materials,"Silver Verde May Mining Co., Inc., an exploration stage company, engages in the acquisition, exploration, and development of mineral properties in the United States. The company focuses on exploring gold, silver, lead, zinc, copper, and other minerals on the properties. It holds interests in 15 mineral exploration properties in the states of Idaho, Utah, and Wyoming. The company was incorporated in 1906 and is based in Wallace, Idaho.","{'maxAge': 1, 'name': 'Mr. Michael B. Lavigne', 'age': 63, 'title': 'CEO, Principal Financial Officer, Principal Accounting Officer & Director', 'yearBorn': 1959, 'exercisedValue': 0, 'unexercisedValue': 0}",86400,4,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,2.231673,1000,1000,0,0,0,20,1e-06,0.07,0.008,0.07,0.07,0.0,0.0,USD,564062,0.0,20740500,0.23,4.347826e-06,1325289600,1356912000,1333152000,-319529,-0.018,225.625,-1.581,PNK,EQUITY,SIVE,SIVE,SILVER VERDE MAY MINING CO INC,"Silver Verde May Mining Co., Inc.",1252416600,America/New_York,EDT,-14400000,1e-06,none,219045,0.011,-356728,90963,0.803,1.167,2500,1.665,0.0,-5000,-433023,-1.4,0.0,-142.776,USD,
1,602 Cedar Street,Suite 205,Wallace,ID,83873,United States,208-556-1600,Other Industrial Metals & Mining,Basic Materials,"Silver Verde May Mining Co., Inc., an exploration stage company, engages in the acquisition, exploration, and development of mineral properties in the United States. The company focuses on exploring gold, silver, lead, zinc, copper, and other minerals on the properties. It holds interests in 15 mineral exploration properties in the states of Idaho, Utah, and Wyoming. The company was incorporated in 1906 and is based in Wallace, Idaho.","{'maxAge': 1, 'name': 'Mr. Gregory Lane Schifrin', 'age': 63, 'title': 'Pres', 'yearBorn': 1959, 'exercisedValue': 0, 'unexercisedValue': 0}",86400,4,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,2.231673,1000,1000,0,0,0,20,1e-06,0.07,0.008,0.07,0.07,0.0,0.0,USD,564062,0.0,20740500,0.23,4.347826e-06,1325289600,1356912000,1333152000,-319529,-0.018,225.625,-1.581,PNK,EQUITY,SIVE,SIVE,SILVER VERDE MAY MINING CO INC,"Silver Verde May Mining Co., Inc.",1252416600,America/New_York,EDT,-14400000,1e-06,none,219045,0.011,-356728,90963,0.803,1.167,2500,1.665,0.0,-5000,-433023,-1.4,0.0,-142.776,USD,
