,address1,address2,city,state,zip,country,phone,fax,website,industry,sector,longBusinessSummary,fullTimeEmployees,companyOfficers,auditRisk,boardRisk,compensationRisk,shareHolderRightsRisk,overallRisk,governanceEpochDate,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,exDividendDate,fiveYearAvgDividendYield,beta,forwardPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,sharesShort,sharesShortPriorMonth,sharesShortPreviousMonthDate,dateShortInterest,sharesPercentSharesOut,heldPercentInsiders,heldPercentInstitutions,shortRatio,shortPercentOfFloat,bookValue,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,netIncomeToCommon,trailingEps,forwardEps,lastSplitFactor,lastSplitDate,enterpriseToRevenue,enterpriseToEbitda,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,recommendationMean,recommendationKey,numberOfAnalystOpinions,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,freeCashflow,operatingCashflow,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,1100 Walnut,Suite 3350,Kansas City,MO,64106-2280,United States,816 875 3705,816 875 5875,https://corenergy.reit,REIT—Specialty,Real Estate,"CorEnergy Infrastructure Trust, Inc. (NYSE: CORR, CORRPrA) is a real estate investment trust that owns and operates or leases regulated natural gas transmission and distribution lines and crude oil gathering, storage and transmission pipelines and associated rights-of-way.",156,"{'maxAge': 1, 'name': 'Mr. David John Schulte CFA, J.D.', 'age': 61, 'title': 'Co-Founder, CEO & Chairman', 'yearBorn': 1961, 'fiscalYear': 2022, 'totalPay': 768497, 'exercisedValue': 0, 'unexercisedValue': 0}",10,9,7,6,8,1693526400,1672444800,86400,4,0.835,0.835001,0.8064,0.88,0.835,0.835001,0.8064,0.88,1668470400,10.04,1.319847,3.949524,81890,81890,44353,54030,54030,0.84,0.8499,1000,3200,13301585,0.72,3.48,0.099080734,1.0234,1.43915,0.1,0.11976048,USD,479203744,-0.19113001,14531504,15353800,264999,243796,1690761600,1693440000,0.0165,0.05357,0.11879,6.5,0.0182,-0.919,1672444800,1703980800,1688083200,-35211600,-2.24,0.21,1:5,1449014400,3.569,17.591,NYQ,EQUITY,CORR,CORR,"CorEnergy Infrastructure Trust,","CorEnergy Infrastructure Trust, Inc.",1170426600,America/New_York,EDT,-14400000,0.8294,1.0,1.0,1.0,1.0,3.0,hold,1,9237764,0.576,27240772,227102416,0.144,1.067,134249968,97.341,8.815,0.01502,-0.09039,60451722,-82964408,13147974,0.131,0.38417998,0.20291,0.088369995,USD,
1,1100 Walnut,Suite 3350,Kansas City,MO,64106-2280,United States,816 875 3705,816 875 5875,https://corenergy.reit,REIT—Specialty,Real Estate,"CorEnergy Infrastructure Trust, Inc. (NYSE: CORR, CORRPrA) is a real estate investment trust that owns and operates or leases regulated natural gas transmission and distribution lines and crude oil gathering, storage and transmission pipelines and associated rights-of-way.",156,"{'maxAge': 1, 'name': 'Mr. Robert L. Waldron', 'age': 51, 'title': 'CFO & Pres', 'yearBorn': 1971, 'fiscalYear': 2022, 'totalPay': 357820, 'exercisedValue': 0, 'unexercisedValue': 0}",10,9,7,6,8,1693526400,1672444800,86400,4,0.835,0.835001,0.8064,0.88,0.835,0.835001,0.8064,0.88,1668470400,10.04,1.319847,3.949524,81890,81890,44353,54030,54030,0.84,0.8499,1000,3200,13301585,0.72,3.48,0.099080734,1.0234,1.43915,0.1,0.11976048,USD,479203744,-0.19113001,14531504,15353800,264999,243796,1690761600,1693440000,0.0165,0.05357,0.11879,6.5,0.0182,-0.919,1672444800,1703980800,1688083200,-35211600,-2.24,0.21,1:5,1449014400,3.569,17.591,NYQ,EQUITY,CORR,CORR,"CorEnergy Infrastructure Trust,","CorEnergy Infrastructure Trust, Inc.",1170426600,America/New_York,EDT,-14400000,0.8294,1.0,1.0,1.0,1.0,3.0,hold,1,9237764,0.576,27240772,227102416,0.144,1.067,134249968,97.341,8.815,0.01502,-0.09039,60451722,-82964408,13147974,0.131,0.38417998,0.20291,0.088369995,USD,
2,1100 Walnut,Suite 3350,Kansas City,MO,64106-2280,United States,816 875 3705,816 875 5875,https://corenergy.reit,REIT—Specialty,Real Estate,"CorEnergy Infrastructure Trust, Inc. (NYSE: CORR, CORRPrA) is a real estate investment trust that owns and operates or leases regulated natural gas transmission and distribution lines and crude oil gathering, storage and transmission pipelines and associated rights-of-way.",156,"{'maxAge': 1, 'name': 'Mr. John D. Grier', 'age': 66, 'title': 'COO & Director', 'yearBorn': 1956, 'fiscalYear': 2020, 'exercisedValue': 0, 'unexercisedValue': 0}",10,9,7,6,8,1693526400,1672444800,86400,4,0.835,0.835001,0.8064,0.88,0.835,0.835001,0.8064,0.88,1668470400,10.04,1.319847,3.949524,81890,81890,44353,54030,54030,0.84,0.8499,1000,3200,13301585,0.72,3.48,0.099080734,1.0234,1.43915,0.1,0.11976048,USD,479203744,-0.19113001,14531504,15353800,264999,243796,1690761600,1693440000,0.0165,0.05357,0.11879,6.5,0.0182,-0.919,1672444800,1703980800,1688083200,-35211600,-2.24,0.21,1:5,1449014400,3.569,17.591,NYQ,EQUITY,CORR,CORR,"CorEnergy Infrastructure Trust,","CorEnergy Infrastructure Trust, Inc.",1170426600,America/New_York,EDT,-14400000,0.8294,1.0,1.0,1.0,1.0,3.0,hold,1,9237764,0.576,27240772,227102416,0.144,1.067,134249968,97.341,8.815,0.01502,-0.09039,60451722,-82964408,13147974,0.131,0.38417998,0.20291,0.088369995,USD,
3,1100 Walnut,Suite 3350,Kansas City,MO,64106-2280,United States,816 875 3705,816 875 5875,https://corenergy.reit,REIT—Specialty,Real Estate,"CorEnergy Infrastructure Trust, Inc. (NYSE: CORR, CORRPrA) is a real estate investment trust that owns and operates or leases regulated natural gas transmission and distribution lines and crude oil gathering, storage and transmission pipelines and associated rights-of-way.",156,"{'maxAge': 1, 'name': 'Mr. Christopher M. Huffman', 'age': 41, 'title': 'Chief Accounting Officer', 'yearBorn': 1981, 'exercisedValue': 0, 'unexercisedValue': 0}",10,9,7,6,8,1693526400,1672444800,86400,4,0.835,0.835001,0.8064,0.88,0.835,0.835001,0.8064,0.88,1668470400,10.04,1.319847,3.949524,81890,81890,44353,54030,54030,0.84,0.8499,1000,3200,13301585,0.72,3.48,0.099080734,1.0234,1.43915,0.1,0.11976048,USD,479203744,-0.19113001,14531504,15353800,264999,243796,1690761600,1693440000,0.0165,0.05357,0.11879,6.5,0.0182,-0.919,1672444800,1703980800,1688083200,-35211600,-2.24,0.21,1:5,1449014400,3.569,17.591,NYQ,EQUITY,CORR,CORR,"CorEnergy Infrastructure Trust,","CorEnergy Infrastructure Trust, Inc.",1170426600,America/New_York,EDT,-14400000,0.8294,1.0,1.0,1.0,1.0,3.0,hold,1,9237764,0.576,27240772,227102416,0.144,1.067,134249968,97.341,8.815,0.01502,-0.09039,60451722,-82964408,13147974,0.131,0.38417998,0.20291,0.088369995,USD,
4,1100 Walnut,Suite 3350,Kansas City,MO,64106-2280,United States,816 875 3705,816 875 5875,https://corenergy.reit,REIT—Specialty,Real Estate,"CorEnergy Infrastructure Trust, Inc. (NYSE: CORR, CORRPrA) is a real estate investment trust that owns and operates or leases regulated natural gas transmission and distribution lines and crude oil gathering, storage and transmission pipelines and associated rights-of-way.",156,"{'maxAge': 1, 'name': 'Mr. Christopher M. Reitz', 'age': 56, 'title': 'Exec. VP, Gen. Counsel & Corp. Sec.', 'yearBorn': 1966, 'exercisedValue': 0, 'unexercisedValue': 0}",10,9,7,6,8,1693526400,1672444800,86400,4,0.835,0.835001,0.8064,0.88,0.835,0.835001,0.8064,0.88,1668470400,10.04,1.319847,3.949524,81890,81890,44353,54030,54030,0.84,0.8499,1000,3200,13301585,0.72,3.48,0.099080734,1.0234,1.43915,0.1,0.11976048,USD,479203744,-0.19113001,14531504,15353800,264999,243796,1690761600,1693440000,0.0165,0.05357,0.11879,6.5,0.0182,-0.919,1672444800,1703980800,1688083200,-35211600,-2.24,0.21,1:5,1449014400,3.569,17.591,NYQ,EQUITY,CORR,CORR,"CorEnergy Infrastructure Trust,","CorEnergy Infrastructure Trust, Inc.",1170426600,America/New_York,EDT,-14400000,0.8294,1.0,1.0,1.0,1.0,3.0,hold,1,9237764,0.576,27240772,227102416,0.144,1.067,134249968,97.341,8.815,0.01502,-0.09039,60451722,-82964408,13147974,0.131,0.38417998,0.20291,0.088369995,USD,
5,1100 Walnut,Suite 3350,Kansas City,MO,64106-2280,United States,816 875 3705,816 875 5875,https://corenergy.reit,REIT—Specialty,Real Estate,"CorEnergy Infrastructure Trust, Inc. (NYSE: CORR, CORRPrA) is a real estate investment trust that owns and operates or leases regulated natural gas transmission and distribution lines and crude oil gathering, storage and transmission pipelines and associated rights-of-way.",156,"{'maxAge': 1, 'name': 'Ms. Norma  Renteria', 'title': 'HR Director', 'exercisedValue': 0, 'unexercisedValue': 0}",10,9,7,6,8,1693526400,1672444800,86400,4,0.835,0.835001,0.8064,0.88,0.835,0.835001,0.8064,0.88,1668470400,10.04,1.319847,3.949524,81890,81890,44353,54030,54030,0.84,0.8499,1000,3200,13301585,0.72,3.48,0.099080734,1.0234,1.43915,0.1,0.11976048,USD,479203744,-0.19113001,14531504,15353800,264999,243796,1690761600,1693440000,0.0165,0.05357,0.11879,6.5,0.0182,-0.919,1672444800,1703980800,1688083200,-35211600,-2.24,0.21,1:5,1449014400,3.569,17.591,NYQ,EQUITY,CORR,CORR,"CorEnergy Infrastructure Trust,","CorEnergy Infrastructure Trust, Inc.",1170426600,America/New_York,EDT,-14400000,0.8294,1.0,1.0,1.0,1.0,3.0,hold,1,9237764,0.576,27240772,227102416,0.144,1.067,134249968,97.341,8.815,0.01502,-0.09039,60451722,-82964408,13147974,0.131,0.38417998,0.20291,0.088369995,USD,
6,1100 Walnut,Suite 3350,Kansas City,MO,64106-2280,United States,816 875 3705,816 875 5875,https://corenergy.reit,REIT—Specialty,Real Estate,"CorEnergy Infrastructure Trust, Inc. (NYSE: CORR, CORRPrA) is a real estate investment trust that owns and operates or leases regulated natural gas transmission and distribution lines and crude oil gathering, storage and transmission pipelines and associated rights-of-way.",156,"{'maxAge': 1, 'name': 'Mr. Michael G. Jonagan', 'age': 61, 'title': 'Sr. VP', 'yearBorn': 1961, 'exercisedValue': 0, 'unexercisedValue': 0}",10,9,7,6,8,1693526400,1672444800,86400,4,0.835,0.835001,0.8064,0.88,0.835,0.835001,0.8064,0.88,1668470400,10.04,1.319847,3.949524,81890,81890,44353,54030,54030,0.84,0.8499,1000,3200,13301585,0.72,3.48,0.099080734,1.0234,1.43915,0.1,0.11976048,USD,479203744,-0.19113001,14531504,15353800,264999,243796,1690761600,1693440000,0.0165,0.05357,0.11879,6.5,0.0182,-0.919,1672444800,1703980800,1688083200,-35211600,-2.24,0.21,1:5,1449014400,3.569,17.591,NYQ,EQUITY,CORR,CORR,"CorEnergy Infrastructure Trust,","CorEnergy Infrastructure Trust, Inc.",1170426600,America/New_York,EDT,-14400000,0.8294,1.0,1.0,1.0,1.0,3.0,hold,1,9237764,0.576,27240772,227102416,0.144,1.067,134249968,97.341,8.815,0.01502,-0.09039,60451722,-82964408,13147974,0.131,0.38417998,0.20291,0.088369995,USD,
7,1100 Walnut,Suite 3350,Kansas City,MO,64106-2280,United States,816 875 3705,816 875 5875,https://corenergy.reit,REIT—Specialty,Real Estate,"CorEnergy Infrastructure Trust, Inc. (NYSE: CORR, CORRPrA) is a real estate investment trust that owns and operates or leases regulated natural gas transmission and distribution lines and crude oil gathering, storage and transmission pipelines and associated rights-of-way.",156,"{'maxAge': 1, 'name': 'Mr. Richard C. Kreul', 'age': 66, 'title': 'Pres of MoGas, LLC & MoWood, LLC', 'yearBorn': 1956, 'exercisedValue': 0, 'unexercisedValue': 0}",10,9,7,6,8,1693526400,1672444800,86400,4,0.835,0.835001,0.8064,0.88,0.835,0.835001,0.8064,0.88,1668470400,10.04,1.319847,3.949524,81890,81890,44353,54030,54030,0.84,0.8499,1000,3200,13301585,0.72,3.48,0.099080734,1.0234,1.43915,0.1,0.11976048,USD,479203744,-0.19113001,14531504,15353800,264999,243796,1690761600,1693440000,0.0165,0.05357,0.11879,6.5,0.0182,-0.919,1672444800,1703980800,1688083200,-35211600,-2.24,0.21,1:5,1449014400,3.569,17.591,NYQ,EQUITY,CORR,CORR,"CorEnergy Infrastructure Trust,","CorEnergy Infrastructure Trust, Inc.",1170426600,America/New_York,EDT,-14400000,0.8294,1.0,1.0,1.0,1.0,3.0,hold,1,9237764,0.576,27240772,227102416,0.144,1.067,134249968,97.341,8.815,0.01502,-0.09039,60451722,-82964408,13147974,0.131,0.38417998,0.20291,0.088369995,USD,
8,1100 Walnut,Suite 3350,Kansas City,MO,64106-2280,United States,816 875 3705,816 875 5875,https://corenergy.reit,REIT—Specialty,Real Estate,"CorEnergy Infrastructure Trust, Inc. (NYSE: CORR, CORRPrA) is a real estate investment trust that owns and operates or leases regulated natural gas transmission and distribution lines and crude oil gathering, storage and transmission pipelines and associated rights-of-way.",156,"{'maxAge': 1, 'name': 'Ms. Rachel A. Stroer', 'title': 'Assistant Sec.', 'exercisedValue': 0, 'unexercisedValue': 0}",10,9,7,6,8,1693526400,1672444800,86400,4,0.835,0.835001,0.8064,0.88,0.835,0.835001,0.8064,0.88,1668470400,10.04,1.319847,3.949524,81890,81890,44353,54030,54030,0.84,0.8499,1000,3200,13301585,0.72,3.48,0.099080734,1.0234,1.43915,0.1,0.11976048,USD,479203744,-0.19113001,14531504,15353800,264999,243796,1690761600,1693440000,0.0165,0.05357,0.11879,6.5,0.0182,-0.919,1672444800,1703980800,1688083200,-35211600,-2.24,0.21,1:5,1449014400,3.569,17.591,NYQ,EQUITY,CORR,CORR,"CorEnergy Infrastructure Trust,","CorEnergy Infrastructure Trust, Inc.",1170426600,America/New_York,EDT,-14400000,0.8294,1.0,1.0,1.0,1.0,3.0,hold,1,9237764,0.576,27240772,227102416,0.144,1.067,134249968,97.341,8.815,0.01502,-0.09039,60451722,-82964408,13147974,0.131,0.38417998,0.20291,0.088369995,USD,
9,1100 Walnut,Suite 3350,Kansas City,MO,64106-2280,United States,816 875 3705,816 875 5875,https://corenergy.reit,REIT—Specialty,Real Estate,"CorEnergy Infrastructure Trust, Inc. (NYSE: CORR, CORRPrA) is a real estate investment trust that owns and operates or leases regulated natural gas transmission and distribution lines and crude oil gathering, storage and transmission pipelines and associated rights-of-way.",156,"{'maxAge': 1, 'name': 'Ms. Natalie  Hill', 'title': 'Assistant Corp. Sec. and Paralegal', 'exercisedValue': 0, 'unexercisedValue': 0}",10,9,7,6,8,1693526400,1672444800,86400,4,0.835,0.835001,0.8064,0.88,0.835,0.835001,0.8064,0.88,1668470400,10.04,1.319847,3.949524,81890,81890,44353,54030,54030,0.84,0.8499,1000,3200,13301585,0.72,3.48,0.099080734,1.0234,1.43915,0.1,0.11976048,USD,479203744,-0.19113001,14531504,15353800,264999,243796,1690761600,1693440000,0.0165,0.05357,0.11879,6.5,0.0182,-0.919,1672444800,1703980800,1688083200,-35211600,-2.24,0.21,1:5,1449014400,3.569,17.591,NYQ,EQUITY,CORR,CORR,"CorEnergy Infrastructure Trust,","CorEnergy Infrastructure Trust, Inc.",1170426600,America/New_York,EDT,-14400000,0.8294,1.0,1.0,1.0,1.0,3.0,hold,1,9237764,0.576,27240772,227102416,0.144,1.067,134249968,97.341,8.815,0.01502,-0.09039,60451722,-82964408,13147974,0.131,0.38417998,0.20291,0.088369995,USD,
