,address1,city,zip,country,phone,fax,website,industry,industryDisp,sector,sectorDisp,longBusinessSummary,companyOfficers,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,dividendRate,dividendYield,exDividendDate,payoutRatio,beta,trailingPE,forwardPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,heldPercentInsiders,heldPercentInstitutions,impliedSharesOutstanding,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,earningsQuarterlyGrowth,netIncomeToCommon,trailingEps,forwardEps,enterpriseToRevenue,enterpriseToEbitda,52WeekChange,SandP52WeekChange,lastDividendValue,lastDividendDate,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,uuid,messageBoardId,gmtOffSetMilliseconds,currentPrice,recommendationMean,recommendationKey,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,freeCashflow,operatingCashflow,earningsGrowth,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,7 Malaya Dmitrovka Street,Moscow,127006,Russia,7 800 333 8000,7 495 785 0925,https://www.rushydro.ru,Utilities—Renewable,Utilities—Renewable,Utilities,Utilities,"Public Joint-Stock Company Federal Hydro-Generating Company - RusHydro, together with its subsidiaries, generates, transmits, distributes, and sells electricity and heat in Russia. It generates electricity from hydro, solar, wind, and geothermal energy. The company has an installed electricity generation capacity of 38.4 GW. It also engages in the research, engineering, construction, and energy retailing activities, as well as repair, modernization, and reconstruction of equipment and hydraulic structures. The company was founded in 2004 and is based in Moscow, Russia.","{'maxAge': 1, 'name': 'Mr. Victor Viktorovich Khmarin', 'age': 44, 'title': 'Chairman of the Management Board, Gen. Director, CEO & Director', 'yearBorn': 1978, 'exercisedValue': 0, 'unexercisedValue': 0}",86400,4,0.797,0.7901,0.7863,0.8025,0.797,0.7901,0.7863,0.8025,0.05,0.0668,1688947200,0.5555,0.261968,8.03,5.353333,122541000,122541000,0,0,0,0.8066,0.8002,3800000,25100000,349655891968,0.7863,0.8025,0.67470914,0.7945,0.7945,0.05,0.06273526,RUB,596652392448,0.07335,163917384651,435437010944,0.62354,0.16139,435437010944,1.462,0.54924756,1672444800,1703980800,1688083200,0.915,38013001728,0.1,0.15,1.151,5.692,0.0,0.14113986,0.050255,1688947200,MCX,EQUITY,HYDR.ME,HYDR.ME,RUSHYDRO PJSC,Public Joint-Stock Company Federal Hydro-Generating Company - RusHydro,1267597800,Europe/Moscow,MSK,e2725879-e98d-346a-8c3e-025c15bd53db,finmb_26400948,10800000,0.803,1.0,strong_buy,39132000256,0.089,104825004032,265046999040,0.523,0.898,518232014848,40.092,1.183,0.045479998,0.05702,228583000000,-91927003136,91800002560,0.894,0.204,0.50044996,0.20226999,0.14409,RUB,
1,7 Malaya Dmitrovka Street,Moscow,127006,Russia,7 800 333 8000,7 495 785 0925,https://www.rushydro.ru,Utilities—Renewable,Utilities—Renewable,Utilities,Utilities,"Public Joint-Stock Company Federal Hydro-Generating Company - RusHydro, together with its subsidiaries, generates, transmits, distributes, and sells electricity and heat in Russia. It generates electricity from hydro, solar, wind, and geothermal energy. The company has an installed electricity generation capacity of 38.4 GW. It also engages in the research, engineering, construction, and energy retailing activities, as well as repair, modernization, and reconstruction of equipment and hydraulic structures. The company was founded in 2004 and is based in Moscow, Russia.","{'maxAge': 1, 'name': 'Mr. Kirov Sergey Anatolyevich', 'age': 46, 'title': 'Member of the Management Board & First Deputy Gen. Director', 'yearBorn': 1976, 'exercisedValue': 0, 'unexercisedValue': 0}",86400,4,0.797,0.7901,0.7863,0.8025,0.797,0.7901,0.7863,0.8025,0.05,0.0668,1688947200,0.5555,0.261968,8.03,5.353333,122541000,122541000,0,0,0,0.8066,0.8002,3800000,25100000,349655891968,0.7863,0.8025,0.67470914,0.7945,0.7945,0.05,0.06273526,RUB,596652392448,0.07335,163917384651,435437010944,0.62354,0.16139,435437010944,1.462,0.54924756,1672444800,1703980800,1688083200,0.915,38013001728,0.1,0.15,1.151,5.692,0.0,0.14113986,0.050255,1688947200,MCX,EQUITY,HYDR.ME,HYDR.ME,RUSHYDRO PJSC,Public Joint-Stock Company Federal Hydro-Generating Company - RusHydro,1267597800,Europe/Moscow,MSK,e2725879-e98d-346a-8c3e-025c15bd53db,finmb_26400948,10800000,0.803,1.0,strong_buy,39132000256,0.089,104825004032,265046999040,0.523,0.898,518232014848,40.092,1.183,0.045479998,0.05702,228583000000,-91927003136,91800002560,0.894,0.204,0.50044996,0.20226999,0.14409,RUB,
2,7 Malaya Dmitrovka Street,Moscow,127006,Russia,7 800 333 8000,7 495 785 0925,https://www.rushydro.ru,Utilities—Renewable,Utilities—Renewable,Utilities,Utilities,"Public Joint-Stock Company Federal Hydro-Generating Company - RusHydro, together with its subsidiaries, generates, transmits, distributes, and sells electricity and heat in Russia. It generates electricity from hydro, solar, wind, and geothermal energy. The company has an installed electricity generation capacity of 38.4 GW. It also engages in the research, engineering, construction, and energy retailing activities, as well as repair, modernization, and reconstruction of equipment and hydraulic structures. The company was founded in 2004 and is based in Moscow, Russia.","{'maxAge': 1, 'name': 'Mr. Nikolay I. Karpukhin', 'age': 38, 'title': 'Member of Management Board & First Deputy Director Gen.', 'yearBorn': 1984, 'exercisedValue': 0, 'unexercisedValue': 0}",86400,4,0.797,0.7901,0.7863,0.8025,0.797,0.7901,0.7863,0.8025,0.05,0.0668,1688947200,0.5555,0.261968,8.03,5.353333,122541000,122541000,0,0,0,0.8066,0.8002,3800000,25100000,349655891968,0.7863,0.8025,0.67470914,0.7945,0.7945,0.05,0.06273526,RUB,596652392448,0.07335,163917384651,435437010944,0.62354,0.16139,435437010944,1.462,0.54924756,1672444800,1703980800,1688083200,0.915,38013001728,0.1,0.15,1.151,5.692,0.0,0.14113986,0.050255,1688947200,MCX,EQUITY,HYDR.ME,HYDR.ME,RUSHYDRO PJSC,Public Joint-Stock Company Federal Hydro-Generating Company - RusHydro,1267597800,Europe/Moscow,MSK,e2725879-e98d-346a-8c3e-025c15bd53db,finmb_26400948,10800000,0.803,1.0,strong_buy,39132000256,0.089,104825004032,265046999040,0.523,0.898,518232014848,40.092,1.183,0.045479998,0.05702,228583000000,-91927003136,91800002560,0.894,0.204,0.50044996,0.20226999,0.14409,RUB,
3,7 Malaya Dmitrovka Street,Moscow,127006,Russia,7 800 333 8000,7 495 785 0925,https://www.rushydro.ru,Utilities—Renewable,Utilities—Renewable,Utilities,Utilities,"Public Joint-Stock Company Federal Hydro-Generating Company - RusHydro, together with its subsidiaries, generates, transmits, distributes, and sells electricity and heat in Russia. It generates electricity from hydro, solar, wind, and geothermal energy. The company has an installed electricity generation capacity of 38.4 GW. It also engages in the research, engineering, construction, and energy retailing activities, as well as repair, modernization, and reconstruction of equipment and hydraulic structures. The company was founded in 2004 and is based in Moscow, Russia.","{'maxAge': 1, 'name': 'Mr. Roman Nikolayevich Berdnikov', 'age': 49, 'title': 'Member of Management Board & First Deputy Director Gen.', 'yearBorn': 1973, 'exercisedValue': 0, 'unexercisedValue': 0}",86400,4,0.797,0.7901,0.7863,0.8025,0.797,0.7901,0.7863,0.8025,0.05,0.0668,1688947200,0.5555,0.261968,8.03,5.353333,122541000,122541000,0,0,0,0.8066,0.8002,3800000,25100000,349655891968,0.7863,0.8025,0.67470914,0.7945,0.7945,0.05,0.06273526,RUB,596652392448,0.07335,163917384651,435437010944,0.62354,0.16139,435437010944,1.462,0.54924756,1672444800,1703980800,1688083200,0.915,38013001728,0.1,0.15,1.151,5.692,0.0,0.14113986,0.050255,1688947200,MCX,EQUITY,HYDR.ME,HYDR.ME,RUSHYDRO PJSC,Public Joint-Stock Company Federal Hydro-Generating Company - RusHydro,1267597800,Europe/Moscow,MSK,e2725879-e98d-346a-8c3e-025c15bd53db,finmb_26400948,10800000,0.803,1.0,strong_buy,39132000256,0.089,104825004032,265046999040,0.523,0.898,518232014848,40.092,1.183,0.045479998,0.05702,228583000000,-91927003136,91800002560,0.894,0.204,0.50044996,0.20226999,0.14409,RUB,
4,7 Malaya Dmitrovka Street,Moscow,127006,Russia,7 800 333 8000,7 495 785 0925,https://www.rushydro.ru,Utilities—Renewable,Utilities—Renewable,Utilities,Utilities,"Public Joint-Stock Company Federal Hydro-Generating Company - RusHydro, together with its subsidiaries, generates, transmits, distributes, and sells electricity and heat in Russia. It generates electricity from hydro, solar, wind, and geothermal energy. The company has an installed electricity generation capacity of 38.4 GW. It also engages in the research, engineering, construction, and energy retailing activities, as well as repair, modernization, and reconstruction of equipment and hydraulic structures. The company was founded in 2004 and is based in Moscow, Russia.","{'maxAge': 1, 'name': 'Yuriy Sergeevich Lyubimov', 'title': 'First Deputy Director Gen. & Member of Exec. Board', 'exercisedValue': 0, 'unexercisedValue': 0}",86400,4,0.797,0.7901,0.7863,0.8025,0.797,0.7901,0.7863,0.8025,0.05,0.0668,1688947200,0.5555,0.261968,8.03,5.353333,122541000,122541000,0,0,0,0.8066,0.8002,3800000,25100000,349655891968,0.7863,0.8025,0.67470914,0.7945,0.7945,0.05,0.06273526,RUB,596652392448,0.07335,163917384651,435437010944,0.62354,0.16139,435437010944,1.462,0.54924756,1672444800,1703980800,1688083200,0.915,38013001728,0.1,0.15,1.151,5.692,0.0,0.14113986,0.050255,1688947200,MCX,EQUITY,HYDR.ME,HYDR.ME,RUSHYDRO PJSC,Public Joint-Stock Company Federal Hydro-Generating Company - RusHydro,1267597800,Europe/Moscow,MSK,e2725879-e98d-346a-8c3e-025c15bd53db,finmb_26400948,10800000,0.803,1.0,strong_buy,39132000256,0.089,104825004032,265046999040,0.523,0.898,518232014848,40.092,1.183,0.045479998,0.05702,228583000000,-91927003136,91800002560,0.894,0.204,0.50044996,0.20226999,0.14409,RUB,
5,7 Malaya Dmitrovka Street,Moscow,127006,Russia,7 800 333 8000,7 495 785 0925,https://www.rushydro.ru,Utilities—Renewable,Utilities—Renewable,Utilities,Utilities,"Public Joint-Stock Company Federal Hydro-Generating Company - RusHydro, together with its subsidiaries, generates, transmits, distributes, and sells electricity and heat in Russia. It generates electricity from hydro, solar, wind, and geothermal energy. The company has an installed electricity generation capacity of 38.4 GW. It also engages in the research, engineering, construction, and energy retailing activities, as well as repair, modernization, and reconstruction of equipment and hydraulic structures. The company was founded in 2004 and is based in Moscow, Russia.","{'maxAge': 1, 'name': 'Yulia  Medvedeva', 'title': 'Chief Accountant', 'exercisedValue': 0, 'unexercisedValue': 0}",86400,4,0.797,0.7901,0.7863,0.8025,0.797,0.7901,0.7863,0.8025,0.05,0.0668,1688947200,0.5555,0.261968,8.03,5.353333,122541000,122541000,0,0,0,0.8066,0.8002,3800000,25100000,349655891968,0.7863,0.8025,0.67470914,0.7945,0.7945,0.05,0.06273526,RUB,596652392448,0.07335,163917384651,435437010944,0.62354,0.16139,435437010944,1.462,0.54924756,1672444800,1703980800,1688083200,0.915,38013001728,0.1,0.15,1.151,5.692,0.0,0.14113986,0.050255,1688947200,MCX,EQUITY,HYDR.ME,HYDR.ME,RUSHYDRO PJSC,Public Joint-Stock Company Federal Hydro-Generating Company - RusHydro,1267597800,Europe/Moscow,MSK,e2725879-e98d-346a-8c3e-025c15bd53db,finmb_26400948,10800000,0.803,1.0,strong_buy,39132000256,0.089,104825004032,265046999040,0.523,0.898,518232014848,40.092,1.183,0.045479998,0.05702,228583000000,-91927003136,91800002560,0.894,0.204,0.50044996,0.20226999,0.14409,RUB,
6,7 Malaya Dmitrovka Street,Moscow,127006,Russia,7 800 333 8000,7 495 785 0925,https://www.rushydro.ru,Utilities—Renewable,Utilities—Renewable,Utilities,Utilities,"Public Joint-Stock Company Federal Hydro-Generating Company - RusHydro, together with its subsidiaries, generates, transmits, distributes, and sells electricity and heat in Russia. It generates electricity from hydro, solar, wind, and geothermal energy. The company has an installed electricity generation capacity of 38.4 GW. It also engages in the research, engineering, construction, and energy retailing activities, as well as repair, modernization, and reconstruction of equipment and hydraulic structures. The company was founded in 2004 and is based in Moscow, Russia.","{'maxAge': 1, 'name': 'Mr. Sergey Sergeevich Terebulin', 'age': 44, 'title': 'Deputy Director Gen. of Corp. Fin. & Corp. Governance', 'yearBorn': 1978, 'exercisedValue': 0, 'unexercisedValue': 0}",86400,4,0.797,0.7901,0.7863,0.8025,0.797,0.7901,0.7863,0.8025,0.05,0.0668,1688947200,0.5555,0.261968,8.03,5.353333,122541000,122541000,0,0,0,0.8066,0.8002,3800000,25100000,349655891968,0.7863,0.8025,0.67470914,0.7945,0.7945,0.05,0.06273526,RUB,596652392448,0.07335,163917384651,435437010944,0.62354,0.16139,435437010944,1.462,0.54924756,1672444800,1703980800,1688083200,0.915,38013001728,0.1,0.15,1.151,5.692,0.0,0.14113986,0.050255,1688947200,MCX,EQUITY,HYDR.ME,HYDR.ME,RUSHYDRO PJSC,Public Joint-Stock Company Federal Hydro-Generating Company - RusHydro,1267597800,Europe/Moscow,MSK,e2725879-e98d-346a-8c3e-025c15bd53db,finmb_26400948,10800000,0.803,1.0,strong_buy,39132000256,0.089,104825004032,265046999040,0.523,0.898,518232014848,40.092,1.183,0.045479998,0.05702,228583000000,-91927003136,91800002560,0.894,0.204,0.50044996,0.20226999,0.14409,RUB,
7,7 Malaya Dmitrovka Street,Moscow,127006,Russia,7 800 333 8000,7 495 785 0925,https://www.rushydro.ru,Utilities—Renewable,Utilities—Renewable,Utilities,Utilities,"Public Joint-Stock Company Federal Hydro-Generating Company - RusHydro, together with its subsidiaries, generates, transmits, distributes, and sells electricity and heat in Russia. It generates electricity from hydro, solar, wind, and geothermal energy. The company has an installed electricity generation capacity of 38.4 GW. It also engages in the research, engineering, construction, and energy retailing activities, as well as repair, modernization, and reconstruction of equipment and hydraulic structures. The company was founded in 2004 and is based in Moscow, Russia.","{'maxAge': 1, 'name': 'Mr. Alexander  Charikov', 'title': 'Deputy Director & Head of Admin.', 'exercisedValue': 0, 'unexercisedValue': 0}",86400,4,0.797,0.7901,0.7863,0.8025,0.797,0.7901,0.7863,0.8025,0.05,0.0668,1688947200,0.5555,0.261968,8.03,5.353333,122541000,122541000,0,0,0,0.8066,0.8002,3800000,25100000,349655891968,0.7863,0.8025,0.67470914,0.7945,0.7945,0.05,0.06273526,RUB,596652392448,0.07335,163917384651,435437010944,0.62354,0.16139,435437010944,1.462,0.54924756,1672444800,1703980800,1688083200,0.915,38013001728,0.1,0.15,1.151,5.692,0.0,0.14113986,0.050255,1688947200,MCX,EQUITY,HYDR.ME,HYDR.ME,RUSHYDRO PJSC,Public Joint-Stock Company Federal Hydro-Generating Company - RusHydro,1267597800,Europe/Moscow,MSK,e2725879-e98d-346a-8c3e-025c15bd53db,finmb_26400948,10800000,0.803,1.0,strong_buy,39132000256,0.089,104825004032,265046999040,0.523,0.898,518232014848,40.092,1.183,0.045479998,0.05702,228583000000,-91927003136,91800002560,0.894,0.204,0.50044996,0.20226999,0.14409,RUB,
8,7 Malaya Dmitrovka Street,Moscow,127006,Russia,7 800 333 8000,7 495 785 0925,https://www.rushydro.ru,Utilities—Renewable,Utilities—Renewable,Utilities,Utilities,"Public Joint-Stock Company Federal Hydro-Generating Company - RusHydro, together with its subsidiaries, generates, transmits, distributes, and sells electricity and heat in Russia. It generates electricity from hydro, solar, wind, and geothermal energy. The company has an installed electricity generation capacity of 38.4 GW. It also engages in the research, engineering, construction, and energy retailing activities, as well as repair, modernization, and reconstruction of equipment and hydraulic structures. The company was founded in 2004 and is based in Moscow, Russia.","{'maxAge': 1, 'name': 'Dmitry  Yakovlev', 'title': 'Chief Expert of Investor Relations & Corp. Fin. Department', 'exercisedValue': 0, 'unexercisedValue': 0}",86400,4,0.797,0.7901,0.7863,0.8025,0.797,0.7901,0.7863,0.8025,0.05,0.0668,1688947200,0.5555,0.261968,8.03,5.353333,122541000,122541000,0,0,0,0.8066,0.8002,3800000,25100000,349655891968,0.7863,0.8025,0.67470914,0.7945,0.7945,0.05,0.06273526,RUB,596652392448,0.07335,163917384651,435437010944,0.62354,0.16139,435437010944,1.462,0.54924756,1672444800,1703980800,1688083200,0.915,38013001728,0.1,0.15,1.151,5.692,0.0,0.14113986,0.050255,1688947200,MCX,EQUITY,HYDR.ME,HYDR.ME,RUSHYDRO PJSC,Public Joint-Stock Company Federal Hydro-Generating Company - RusHydro,1267597800,Europe/Moscow,MSK,e2725879-e98d-346a-8c3e-025c15bd53db,finmb_26400948,10800000,0.803,1.0,strong_buy,39132000256,0.089,104825004032,265046999040,0.523,0.898,518232014848,40.092,1.183,0.045479998,0.05702,228583000000,-91927003136,91800002560,0.894,0.204,0.50044996,0.20226999,0.14409,RUB,
9,7 Malaya Dmitrovka Street,Moscow,127006,Russia,7 800 333 8000,7 495 785 0925,https://www.rushydro.ru,Utilities—Renewable,Utilities—Renewable,Utilities,Utilities,"Public Joint-Stock Company Federal Hydro-Generating Company - RusHydro, together with its subsidiaries, generates, transmits, distributes, and sells electricity and heat in Russia. It generates electricity from hydro, solar, wind, and geothermal energy. The company has an installed electricity generation capacity of 38.4 GW. It also engages in the research, engineering, construction, and energy retailing activities, as well as repair, modernization, and reconstruction of equipment and hydraulic structures. The company was founded in 2004 and is based in Moscow, Russia.","{'maxAge': 1, 'name': 'Nagora Margarita Georgievna', 'title': 'Director of the Corp. Communications', 'exercisedValue': 0, 'unexercisedValue': 0}",86400,4,0.797,0.7901,0.7863,0.8025,0.797,0.7901,0.7863,0.8025,0.05,0.0668,1688947200,0.5555,0.261968,8.03,5.353333,122541000,122541000,0,0,0,0.8066,0.8002,3800000,25100000,349655891968,0.7863,0.8025,0.67470914,0.7945,0.7945,0.05,0.06273526,RUB,596652392448,0.07335,163917384651,435437010944,0.62354,0.16139,435437010944,1.462,0.54924756,1672444800,1703980800,1688083200,0.915,38013001728,0.1,0.15,1.151,5.692,0.0,0.14113986,0.050255,1688947200,MCX,EQUITY,HYDR.ME,HYDR.ME,RUSHYDRO PJSC,Public Joint-Stock Company Federal Hydro-Generating Company - RusHydro,1267597800,Europe/Moscow,MSK,e2725879-e98d-346a-8c3e-025c15bd53db,finmb_26400948,10800000,0.803,1.0,strong_buy,39132000256,0.089,104825004032,265046999040,0.523,0.898,518232014848,40.092,1.183,0.045479998,0.05702,228583000000,-91927003136,91800002560,0.894,0.204,0.50044996,0.20226999,0.14409,RUB,
